week_end,n_days,tone_mean,tone_z_mean,vol_mean
2020-09-06,7,-0.7845,0.1903,0.0319
2020-09-13,7,-0.3846,1.0262,0.0322
2020-09-20,7,-0.51,0.7641,0.0351
2020-09-27,7,-0.8827,-0.0149,0.0413
2020-10-04,7,-0.895,-0.0405,0.0414
2020-10-11,7,-0.4646,0.859,0.0329
2020-10-18,7,-0.7878,0.1835,0.0437
2020-10-25,6,-0.4897,0.8065,0.0495
2020-11-01,7,-0.5264,0.7297,0.0553
2020-11-08,7,-0.3036,1.1955,0.042
2020-11-15,7,-0.0122,1.8046,0.0504
2020-11-22,7,-0.3856,1.024,0.0393
2020-11-29,7,-0.3715,1.0536,0.055
2020-12-06,7,-0.4443,0.9015,0.0407
2020-12-13,7,-0.4425,0.9052,0.048
2020-12-20,7,-0.5349,0.712,0.0392
2020-12-27,7,-0.7242,0.3164,0.0728
2021-01-03,7,-0.7817,0.1961,0.0431
2021-01-10,7,-0.9798,-0.2177,0.0305
2021-01-17,7,-0.8067,0.144,0.0491
2021-01-24,7,-0.6029,0.5699,0.0613
2021-01-31,7,-0.6303,0.5126,0.0522
2021-02-07,7,-0.7973,0.1636,0.0626
2021-02-14,7,-0.5879,0.6013,0.0526
2021-02-21,7,-0.5796,0.6185,0.0682
2021-02-28,7,-0.6486,0.4743,0.0527
2021-03-07,7,-0.3828,1.0298,0.0467
2021-03-14,7,-0.5545,0.6712,0.0532
2021-03-21,7,-0.4799,0.8269,0.0598
2021-03-28,7,-0.5857,0.6058,0.0575
2021-04-04,7,-0.8601,0.0324,0.0585
2021-04-11,7,-0.6875,0.3932,0.063
2021-04-18,7,-0.427,0.9377,0.062
2021-04-25,7,-0.432,0.9271,0.0692
2021-05-02,7,-0.5308,0.7206,0.0598
2021-05-09,7,-0.6377,0.4971,0.0439
2021-05-16,7,-0.7213,0.3224,0.0614
2021-05-23,7,-0.6783,0.4122,0.0702
2021-05-30,7,-0.5088,0.7666,0.0643
2021-06-06,7,-0.3113,1.1793,0.086
2021-06-13,7,-0.2916,1.2204,0.0597
2021-06-20,7,-0.3674,1.062,0.0682
2021-06-27,7,-0.6575,0.4557,0.0658
2021-07-04,7,-0.6628,0.4447,0.0747
