GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31
Республика Мордовия;33388926;33572465;4623;23634;22539;511;372;0;0;29347670;29598103;4242;197;0;0;251669;252957;75;4749132;4692367;4841;5191735;17736550;3192579;10405235;1872940;159294;1160345;561467;404;5189957;252940
Республика Саха (Якутия);47231539;47205967;2877;142848;147307;658;164206;0;0;38631705;38680966;2592;73236;0;0;8341113;8251325;100;10380469;10223827;3266;171803414;34183717;6153073;7032832;1265912;876985;4010176;27774979;412793;171803414;8251305
Республика Северная Осетия-Алания;8865232;8768608;1307;3707;2562;145;2356;208;1;7797753;7716830;1201;498;186;1;56957;60151;55;1121603;1106510;1376;889597;1810153;325827;301313;54236;19030;252561;11898;0;858767;54621
Республика Татарстан;544596165;545990797;47777;1146118;1124664;1067;23995;9519;46;483872084;485890216;46098;14591;4127;12;27777019;27787102;582;57968230;57196901;46623;368191447;551493274;99268790;210695309;37925155;987655;60355980;19775368;2979785;256689047;22562794
Республика Тыва;2953667;2934973;258;7535;7518;61;0;0;0;2186421;2179546;209;0;0;0;314747;314747;8;737828;727009;293;5356830;370090;66616;41066;7391;2427;56798;15028;0;5050282;305254
Удмуртская Республика;100337312;100409735;14849;88635;91966;729;2149;430;16;81822257;81670525;14344;1219;499;6;1915256;1881958;242;17609923;17916532;15093;63932782;39973566;7195244;14108855;2539598;411641;4244005;2965718;155027;50301132;1577324
Республика Хакасия;22487281;22370356;2151;207019;211839;424;89;0;0;19907999;19796739;1905;80;0;0;2201757;2203640;42;2583505;2585372;2477;23211848;5279532;950313;1362861;245314;93869;611130;550489;225;23211846;2203285
Чеченская Республика;11279957;11309848;1258;19749;7882;25;35;35;1;11888779;11953522;1159;0;0;0;5022;5022;3;827928;808480;1223;57560;1144297;205975;409502;73710;9026;123239;336741;15641;57560;5022
Чувашская Республика;39575516;39409366;7550;85821;85465;965;10340;8948;4;33453864;33305449;7118;275;0;0;224257;223897;169;6846834;6840868;8030;3777376;19044399;3427993;4054023;729723;190634;2507636;485256;39982;3775840;223843
Алтайский край;102572195;103297876;17998;122964;118673;1502;23903;9781;20;91677992;92648876;17154;2900;172;7;1850174;1851961;561;11196597;10912833;18475;23592674;26582251;4784809;10525805;1894645;560267;2329897;4290157;108700;23592574;1841260
Краснодарский край;451692741;443858215;37600;535402;744005;1667;155754;146377;16;401400808;394053445;35510;117425;115839;7;23825177;23821699;767;59127878;59083838;37291;367060878;247155199;44487937;132544059;23857931;2698467;17931539;56800881;3235324;264960642;23506878
Красноярский край;278278981;278571627;26357;536826;531834;2340;60078;15627;7;211732031;212725450;25052;14077;5629;2;23805108;24030333;530;72066984;71561199;27096;344334200;82930951;14927570;19559496;3520710;1780941;9625919;14150475;927155;343626182;23909041
Приморский край;137891857;136054322;17886;218253;217255;1578;1939;897;13;127970018;126166822;17040;-555;464;9;6168458;6158348;622;13090666;13014240;18272;83778399;47881271;8618631;13275520;2389594;466046;5762991;10799703;3977382;84252123;6158317
Ставропольский край;127157663;128150106;13332;180901;178349;795;29397;1374;14;112868685;114045517;12485;1017;571;6;2147410;2147059;188;15898642;15621109;13610;22904145;47743443;8593815;14314930;2576689;357066;5660060;4470469;1668131;22841185;2118849
Хабаровский край;107707486;107287618;11847;184422;170728;1973;16760;8455;9;93825460;93547825;11196;3391;2701;4;4428973;4436348;241;16591170;16458894;13084;57891982;24869591;4476526;10922022;1965966;917536;1593024;2993664;1709221;58120963;4441608
Амурская область;36686974;33253801;4298;58033;58210;963;38;38;1;37596635;34309406;3963;0;0;0;3497456;3460372;151;5812421;5710306;4819;39002893;70975853;12775653;35083625;6315052;667272;5793329;112546851;14119;39002407;3452374
Архангельская область;53199704;53080590;5060;103073;91762;1634;743;0;0;37362599;37165520;4647;82;0;0;2060715;2058633;111;16611683;16735667;6332;27908291;17956274;3232127;3050938;549170;386810;2296147;2863525;3648103;24916158;1877270
Астраханская область;29644806;28977843;3344;185196;184410;402;5146;57;1;21123253;21014417;3053;-3984;0;0;5402509;5397993;313;11042438;10474834;3348;42620453;7886115;1419501;3348275;602691;163965;652845;548517;1441777;42632513;5382144
Белгородская область;152832321;153919417;16894;354980;338098;1636;27508;7231;12;139593752;140555046;16474;9319;2267;4;6006584;6021701;453;16469334;16533875;17167;77697526;134330166;24179428;30595500;5507194;794783;17877451;38681953;266356;77683087;6012240
Брянская область;51880683;51935479;7414;146049;134706;1019;1764;350;8;47187439;47309566;6922;702;282;8;602729;593322;439;6510721;6422643;7788;12277574;8879164;1598248;4217298;759113;194482;644653;796810;273597;11721171;549525
Владимирская область;78727413;79159096;9735;535350;529951;1258;-21909;2980;15;67775925;68414947;9207;8163;231;9;658060;671465;358;12389976;12248792;10586;15469718;14888053;2679851;5973200;1075178;351024;1253649;3419701;4722730;15469207;644026
Волгоградская область;137523197;138631669;14093;213627;212234;2146;4986;1033;9;119224817;120472806;13154;3237;401;3;13558071;13559381;241;17912892;17815456;15519;102421034;39549384;7118893;19053137;3429568;805568;2883757;3574250;117409;102421036;13557699
Вологодская область;113088820;113592238;12876;160416;160560;1123;110078;10137;3;100391490;101066444;12315;59591;-475;1;14160035;14212566;244;9166692;8961487;13357;95692136;906221751;163119915;871814413;156926593;319197;5874125;1351374;522312;84839869;11250572
Воронежская область;200630049;199464613;25400;287554;285700;1622;21927;13500;17;191070090;190091173;24415;15958;11873;5;2053680;2052780;319;14559350;14415066;25857;23081156;42413722;7634470;11746567;2114386;337058;5183026;4434245;587017;23076696;2047876
Ивановская область;50605899;50372069;10806;63524;64827;496;975;42;4;47155303;46987983;10118;512;13;2;391493;391426;197;3888395;3823029;10866;4562275;34553324;6219598;7946225;1430322;189329;4599947;1467006;79066;4562274;390881
Иркутская область;197413154;195119432;17409;1266959;1251950;2409;8600;1674;9;163938659;161669405;15939;2210;738;5;7590025;7620430;623;38342762;38182502;18389;124100658;40253991;7245716;11540528;2077297;564285;4604134;2190300;175863;124047415;7411315
Калининградская область;84207371;84224411;6905;165783;169315;608;1973;35;2;57160728;57205899;6408;461;0;0;1598165;1582563;318;29753829;29741383;6924;57430158;25827153;4648888;11025089;1984515;144255;2520118;10994338;1285818;52873643;1471899
Калужская область;112222200;112910963;9039;1273130;1228906;853;101040;2062;9;101773711;101637559;8473;56906;722;1;2239944;2246987;278;13425519;13955523;9242;30740321;75421398;13575860;50196533;9035377;395018;4145465;2847895;626854;30724056;2205745
Камчатский край;15464087;15394771;1498;45131;42059;151;161;0;0;12354206;12339256;1362;0;0;0;1179393;1178720;46;3354809;3304562;1476;19614685;6060892;1090960;3970617;714711;221354;154895;198338;774756;19563680;1170061
Кемеровская область;212378895;212477518;14214;153781;153633;1199;202820;11562;16;173680271;173966978;13175;67598;6248;10;27530506;27533596;240;35130853;34864143;14507;298157865;83610176;15049828;45763948;8237512;942549;5869767;7434507;129277;262205704;22253427
Кировская область;41714134;41984281;9024;83298;83407;2488;6276;1758;10;35880174;36194473;8524;1432;305;2;533818;530379;161;6323177;6286548;11163;9429256;40003894;7200703;34577485;6223948;355901;620854;1154929;10383;9387685;524771
Костромская область;27049639;26771168;4411;53119;54615;621;3337;965;8;24020619;23777536;3832;1431;69;4;952158;950143;145;2923737;2909366;4845;9471487;303921351;54705843;84874066;15277331;359866;39068646;195528;1319;9468201;947039
Курганская область;26893410;26732395;3698;20366;20215;462;6;0;0;22648206;22495810;3405;0;0;0;68072;113705;97;4436460;4387504;3955;2342889;7690053;1384210;2158847;388596;51841;943773;370640;239892;2342890;111870
Курская область;69788490;69498550;7778;27270;26984;620;1759;523;4;62061025;61801818;7270;1041;103;2;549510;551468;133;9240620;9189033;7846;13978001;19450663;3501120;5795337;1043162;333051;2124907;2700528;22325;13978001;551002
Ленинградская область;192652320;192193070;11542;1962990;1961363;2583;58712;39387;14;154482864;154266040;10861;47323;32921;11;24374820;24386234;575;43252500;43076457;13036;211864189;38168128;6870264;10233549;1842038;668047;4360179;10663975;36692178;210957663;24181375
Липецкая область;83610564;84003132;8593;258317;246612;695;1150;891;6;76061018;76351393;8174;-1576;-1576;1;12515856;12523161;97;5960437;5949290;8805;96033448;15310622;2755915;5562490;1001249;92377;1662289;675429;136207;96032781;12437448
Магаданская область;12526962;12166800;971;43605;43712;339;0;0;0;11070929;10720778;896;0;0;0;3959890;3981869;96;2832118;2816049;1142;40075447;3258953;586613;206160;37110;53254;496249;1351862;94782;40496176;3982061
Московская область;1306486866;1298022815;83029;6744129;6551206;6893;443588;304460;167;1181108647;1173612821;79330;130336;65800;55;11260445;11353853;2504;146277790;145083872;85519;187388730;433504335;78030779;135693677;24424857;13747751;39858171;35297375;19747088;187035552;10655222
Мурманская область;41163138;42082705;4805;355022;368451;1500;45;0;0;32432329;33408709;4492;44;0;0;4222421;4231160;75;6688113;6648914;5940;48277655;13640125;2455225;2426064;436694;383153;1635378;15811843;4243445;40313789;3168668
Нижегородская область;349664666;349466096;41366;877775;751250;2194;425560;6411;40;306994685;306912343;39710;292074;3236;19;19784935;19776835;902;37525813;37215594;41955;159233781;130150544;23427111;41316558;7436988;2497542;13492581;15286994;43531689;159223272;20057937
Новгородская область;36223723;36078068;4206;140654;138974;497;23001;666;4;31397403;31368567;3940;25756;0;2;3643261;3640937;140;4952077;4849823;4317;33037275;9343218;1681782;1868408;336312;323357;1022113;483921;332448;33035881;3614444
Новосибирская область;253855182;254783455;45719;358347;268656;1837;28792;10079;48;229237293;230448439;44323;13351;3613;17;5055899;5031617;930;26596659;26055362;45412;65978496;218701137;39366211;39253174;7065567;1519846;30780798;70857060;2261617;65817143;4972944
Омская область;100495263;100418289;15678;142624;142560;1095;15260;585;10;83054143;83225546;14957;11035;198;5;1483546;1489155;469;18372653;18126245;16078;18422810;35564188;6401551;18983658;3417059;190086;2794406;4071859;276260;18412257;1485994
Оренбургская область;102455378;102420025;10854;176859;181561;940;3107;1606;8;74954804;75069567;9946;1400;305;2;3983085;3985865;299;28655612;28525276;11287;47169338;48938754;8808982;32088678;5775962;241848;2791172;2392339;318126;47127367;3976233
Орловская область;31622710;31732202;5508;131437;131526;433;2411;47;4;28513115;28736636;5124;1608;27;2;214662;214393;136;3877916;3819865;5636;4774730;9193882;1654900;3367910;606225;173183;875492;587195;53442;4774727;210178
Пензенская область;56923437;57378122;8410;37735;36091;776;5742;3780;15;50925043;51422925;8004;4598;2723;8;234141;234161;159;7478365;7442057;8862;6811218;13157774;2368398;3939426;709100;87200;1572098;1384933;235356;6810753;233365
Пермский край;195674930;201361800;28375;166646;183040;2230;11329;-285;12;158032672;163763983;26911;10299;2273;6;16085392;16129853;448;35814041;35689697;29614;181505501;85315481;15356787;43414366;7814589;967937;6574261;25905213;2060382;122683620;10522537
Псковская область;25720245;25687722;5043;36626;36830;621;1174;143;4;24177462;24143277;4759;1210;1304;4;295830;296697;279;2311074;2301711;5213;5575708;6120489;1101694;2886450;519559;122917;459218;261236;23176;5533614;296332
Ростовская область;278340602;277000011;31556;260987;254243;1584;14950;5019;39;262784288;262069714;29602;8525;1963;16;13078905;13091225;1094;29449748;28942351;31434;227637714;81539042;14677028;32532080;5855774;832972;7988282;5716325;4085554;227615231;13079000
Рязанская область;82708345;82973058;11745;58871;58707;818;7223;3699;17;71024061;71109616;11216;2078;522;5;855417;851026;198;12789136;12966851;12099;13373572;22055980;3970077;6182474;1112846;245256;2611975;1727527;247122;13364256;845841
Самарская область;367569470;359035162;43834;700607;689616;1562;121451;2360;28;315928544;307562105;42017;126754;2753;12;7208486;7244419;702;52384095;52197045;43306;102237989;210606686;37909205;71885429;12939378;1896772;23073055;43691793;2012535;102874000;7223998
Саратовская область;114847181;115625201;16368;144963;146508;673;13242;5917;24;99822598;100789465;15454;7666;2099;12;1399532;1402106;373;17841963;17572357;16353;28686313;37341680;6721502;11680917;2102566;325424;4293512;1262403;347093;28686312;1395412
Сахалинская область;44419829;44285372;2872;2370836;2370315;563;116;23;3;42381089;42376600;2606;60;1;1;901803;919294;80;12868283;12752144;3085;24618655;7076081;1273696;1363742;245474;134251;893971;1268365;2092356;24385385;891610
Свердловская область;511637567;503155078;64014;752372;728282;4011;102018;10036;78;450214717;441451600;61409;83127;18851;23;25599138;25513385;1497;58361783;58452958;65519;257796182;472994572;85139025;293705889;52867059;3208032;29063934;21044564;3595197;242296661;23277710
Смоленская область;53676955;54484253;9390;207220;210230;1237;56108;48127;44;49928028;50777353;9009;51729;46278;33;3827037;3815314;1664;5169719;5136049;8878;39235651;16163547;2909443;6012511;1082256;98606;1728581;6569232;1813686;39231433;3771926
Тамбовская область;50253696;49107583;5736;65704;64623;737;7226;18;1;47908466;46765324;5420;5357;0;0;297656;297664;67;5680563;5690666;6105;4259102;12158472;2188526;2550480;459089;231609;1497828;575986;18778;3724376;216916
Тверская область;58088008;58608933;10588;132805;132523;1727;49964;2051;5;51735075;52082045;9813;43119;1653;3;736578;754430;236;7408791;7506203;11801;9372443;17226805;3100824;6244942;1124092;526449;1450283;1798149;1027774;9291696;743263
Томская область;123634698;123938760;10665;94626;97258;1099;6289;656;2;103193169;103520111;10209;3492;42;1;869350;856849;143;21392179;21304383;11325;9634645;19959471;3592709;4711610;848092;160377;2584240;2550344;427080;9634645;853625
Тульская область;106443955;107828008;12908;288381;291432;1089;18470;16297;22;96735323;98177016;12348;2101;833;7;7356559;7354637;244;12155463;12204507;13432;80712687;20096121;3617302;5722568;1030066;593646;1993590;2638473;841191;78721989;7132417
Тюменская область;215030971;214894457;15829;2214824;2261658;1209;32221;552;3;185634520;185639222;15008;17193;170;1;14842023;14838789;126;36486180;36362057;16278;186609858;113706065;20467095;43536255;7836524;1297989;11332582;33137592;2951097;186609858;14832208
Ульяновская область;75050215;73747790;10746;191299;191116;951;-10354;5612;4;67111416;65855631;10219;-759;0;0;808765;789273;161;9096422;9066692;11080;15400643;19364673;3485640;7986133;1437504;522042;1526094;3375242;6160188;14859859;757820
Челябинская область;325212077;326016555;42951;356754;316372;2115;219070;10052;57;285083854;286238760;41240;123591;6484;24;13570718;13386272;1308;33534259;33302553;43332;119563890;295974466;53275407;201699203;36305859;856231;16113317;11134405;1263994;119021151;13174798
Забайкальский край;20899871;20871919;2398;66727;58483;836;11586;50;5;19602658;19588034;2107;442;123;1;1325412;1319848;134;4227169;4221326;2990;17120218;12932169;2327790;957527;172356;66067;2089367;9799181;4732;17162182;1322277
Ярославская область;108722991;110877892;19707;164913;162917;800;25878;1364;11;93203717;95454526;18779;13558;1030;6;1169552;1169679;347;16913002;16817603;19800;19059519;43592118;7846586;17062322;3071217;889572;3885797;16664721;682483;19011162;1142946
город Москва;7097582777;7069642545;385086;47008406;47529452;20382;1829802;1058143;726;6370086323;6347421797;373061;875436;485608;259;390619156;390690659;7896;821358098;822332616;379472;4534870169;70152268284;12627408297;44486907384;8007643330;84982191;4534782776;6645757017;54243688138;4473115513;382615555
город Санкт-Петербург;2020692006;2022567332;170605;6923788;6883899;6988;418976;57556;163;1830451361;1833064444;166356;235582;11586;41;47337246;47642614;3752;224518429;223507502;168951;558267277;3119698064;561545643;2025026807;364504821;11446417;185594405;3776014985;46994686;551625998;46663174
Еврейская автономная область;1522568;1520601;344;6277;5193;421;0;0;0;1642297;1657123;317;0;0;0;134385;133861;17;274384;254466;710;1463681;520334;93659;66244;11924;10049;71686;94306;0;1463681;133862
Ненецкий АО;5371368;5366159;180;6616;6616;8;0;0;0;5785083;5806671;169;-334;0;0;2118398;2123424;8;753358;751236;161;36069573;1581290;284632;127738;22993;19889;241750;2919690;177077;24896314;1503525
Ханты-Мансийский АО - Югра;437755013;435491662;12490;541934;530906;1180;1267;1267;4;289774330;287996645;11577;430;430;1;32857165;32809865;61;119419986;119016278;13059;693526280;91831740;16529716;26065878;4691856;2417883;9419977;9413926;5072874;372584552;17307663
Чукотский АО;4162909;4175301;201;118916;118880;497;0;0;0;3625815;3627543;189;0;0;0;2239418;2244883;25;881148;884417;583;31522005;812237;146204;182518;32854;37052;76298;88168;0;31604015;2244883
Ямало-Hенецкий АО;287519744;286983237;2693;4715899;4721658;473;0;0;0;197338551;197268748;2371;0;0;0;4108156;4132936;15;124116054;123771234;2945;88688904;36309078;6535638;15397708;2771588;392181;3371869;2702614;81208;88688904;4123929
Республика Крым;46897795;46413329;9516;27365;45386;1165;1212;263;1;40564836;40096937;8801;0;0;0;31145;49505;42;7246327;7242645;10288;919599;32568849;5862395;32861691;5915103;444424;-497132;2050622;163599;919599;49033
город Севастополь;13176521;13070574;3452;18422;18125;536;20;20;1;11466682;11371280;3273;0;0;0;4308;4308;14;1826511;1816277;3872;204297;6832159;1229787;681900;122742;67720;1039325;2631131;23084;204296;4244
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
