GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156
   Магаданская область;50793580;50433352;1995;1284100;1132860;11328606;327;0;0;0;0;179764;37333894;37316624;186705642;1908;0;20031;19948;119683;34;0;0;0;0;0;0;0;0;1709333;1709333;8546667;56;6959505;6947238;41859187;670;3001482;2997330;308;6495;6495;7;3306954;3307251;609;270651;235173;455;0;0;0;22;22;3;0;0;0;0;0;0;51112624;51520576;1910;39080131;39503677;1872;667706;667706;61;1603;1474;4;3010681;3008981;287;1707992;1707992;56;6420821;6407056;610;224217;224217;82;0;0;0;0;0;0;16139428;15366029;263;10105396;10004187;2088;0;0;0;26350455;26188089;505;1396821;1416855;20;268260537;758;1858253;371651;203123;40624;37490;293537;3262;652;1432;286;1432;-1066;8;3;3152583;630517;19873;3975;48;626494;0;0;0;0;5010836;1002168;222996;44599;37538;920031;382978;76596;2571;514;2394;73688;473;0;0;0;473;4726256;5109234;0;0;0;0;268260537;15360417
   Московская область;4289278286;4289006097;177272;279298158;280530693;2805308095;15380;10260;10949;120441;60;-37358;3074219354;3072658099;15363293015;171753;-31381;22516382;22560820;135364899;2207;32002;31943;147801;28;585172;585194;2926897;13;1392798;1381963;6909822;856;791981598;791611874;4828069647;103136;94573065;94088241;39119;10423519;10438250;304;119881810;119324063;55062;17816408;17784385;9731;23997;23997;50;20545;21744;154;3077810;2273420;279;-933;1075;32;3842891077;3847600065;170816;2537989097;2543460318;168988;418635907;418508632;14612;32268999;32161043;4738;113442319;113362377;36520;1240944;1229846;821;724426536;724017895;98216;16696238;16670424;3441;402557;402557;17;1085008;728536;29;29594151;29626940;1649;550977138;545895116;179186;0;0;0;114483572;114293945;2041;13987329;13995272;467;1004606477;54919;604749030;120949807;140917291;28183461;12912145;79854201;3339;668;1433;287;1;380;6;6;523978641;104795726;421927170;84385436;1499461;18910829;0;0;0;0;1128727671;225745533;562844461;112568897;14411606;98765030;190805300;38161059;8757178;1751437;350397;36059225;168017;144940;28988;51100;87929;55781207;246586507;1997088;224676;134;77;1004606477;27945306
   Мурманская область;117836401;117754192;6235;7628519;7627190;76271880;1582;346;237;2610;4;1002;83161638;83092497;415462434;5786;0;673012;673082;4038491;146;0;0;0;0;0;0;0;0;388550;377510;1887551;70;18492070;18486680;119517021;2586;6626641;6637346;1062;296823;296823;13;7490881;7495217;1717;1767066;1762781;2179;179;179;1;4775;4775;27;2439;2439;1;0;0;0;174376229;174453012;5815;145128674;145231253;5765;4070215;4070598;217;69489;69320;52;6015299;6020245;928;386375;375336;66;16944654;16927512;2486;1779564;1779064;214;0;0;0;0;0;0;6359643;6359687;86;24493744;24316655;7911;0;0;0;85588879;85573838;339;14470641;14470960;40;759871558;2458;21962995;4392601;2196233;439244;327701;3625656;54851;10970;2752;550;542;9878;2;1;3300456;660091;29679;5936;31400;622755;0;0;0;0;25263451;5052692;2225912;445180;359101;4248411;8725947;1745189;367086;73418;9357;1662414;5951;49;10;0;5941;28815002;37540949;0;0;0;0;759871558;6356720
   Нижегородская область;1069046220;1073541424;78744;63735606;63697965;636979636;6291;1021;1021;11232;19;-628240;784840802;788946722;3944733095;76674;-4791;15260941;15260779;91564682;1365;0;0;0;0;0;0;0;0;947689;943715;4718570;412;173448872;173408782;1057044953;38396;26117624;25968145;16454;1578871;1720847;172;31444153;31220206;23830;2735708;2744727;3411;822;822;5;2515;2527;51;2936419;900364;63;151;151;13;944347260;948801428;76473;714923949;719316552;75990;45594077;45641083;3197;3797069;3808873;1059;29289031;29333947;16105;943395;939371;394;147087165;147054325;36119;2806092;2790994;1053;-3099;0;0;734918;290977;17;22324016;22339334;803;158421656;157420866;79530;0;0;0;52666665;51583674;1073;10407464;10391700;126;389982366;24462;171472086;34294411;28229416;5645885;6251631;22396895;251142;50228;122961;24592;615;25021;61;27;54616960;10923393;18510499;3702101;86667;7134625;0;0;0;0;226089046;45217804;46739915;9347986;6338298;29531520;12559364;2511874;3239769;647955;18737;1845182;94223;10911;2182;30;92011;120253135;132812499;252188;24076;62;30;389982366;20425215
   Новгородская область;95496307;95454205;7790;7669056;7665455;76654553;837;-522;253;2786;8;20697;66209554;66194586;330974334;7516;-118;877175;881734;5290398;213;0;0;36;0;0;0;0;0;282033;285154;1425770;90;17718699;17713146;107412125;3599;1625697;1623461;1390;524750;524750;24;2717050;2708338;2359;347022;347287;647;0;0;0;823;843;22;42853;25971;7;51;51;1;93219719;93295367;7409;68040623;68115803;7352;6692536;6702825;383;334798;336114;170;1988872;1989245;1346;279051;282172;86;15335673;15323968;3395;426533;426566;159;3;0;0;0;0;0;1090625;1090625;112;12550367;12433449;7906;0;0;0;11011988;10964312;229;640935;640935;24;116571319;2498;10413540;2082707;1126932;225386;246413;1610908;30177;6035;3238;648;31;5356;3;2;3910808;782162;1950877;390175;30990;360997;0;0;0;0;14324348;2864869;3077809;615561;277403;1971905;884695;176940;125923;25184;427;151329;589;0;0;0;589;410715;1295410;0;0;0;0;116571319;1077400
   Новосибирская область;664679860;663978497;81059;70485346;70503470;705040347;9031;42012;28485;313330;56;457771;460311656;459687847;2298739579;78466;-2708;4202051;4211327;25477807;1200;2302;2302;21600;4;0;0;0;0;396014;397170;1985850;237;108224484;108388578;690926001;39279;18802076;18764150;17057;47327;201935;98;20706301;20694683;24449;733571;732596;2389;1396;1396;16;28010;27636;54;102766;70838;79;0;0;0;592785579;592561025;79202;438865150;438987628;78685;26285544;26124184;3376;6701830;6695557;1115;23236604;23236583;16230;385098;386538;223;97178585;96952045;37018;623558;623835;466;0;0;0;53394;52013;17;16675525;16884327;516;84813740;83625470;80322;0;0;0;28689232;28132667;1328;1444080;1391933;82;282684764;25021;129421150;25884232;38025213;7605043;2278691;16000498;354965;70993;161411;32282;5438;33273;56;27;232275427;46455083;96935850;19387171;1092820;25975092;0;0;0;0;361696577;72339315;134961063;26992214;3371511;41975590;167612497;33522500;613073;122614;10993;33388893;302116;79336;15867;1836;284413;10509561;178122058;423576;4193;66;32;282684764;16762817
   Омская область;295605241;295446639;28061;21189498;21164666;211646658;4159;12035;12007;132076;17;69011;210976319;211105401;1055515932;26788;7567;543152;543638;3261825;281;0;0;0;0;0;0;0;0;264165;256809;1284044;155;46267779;46122436;286178170;11736;14939721;14896389;4886;10897;12882;46;16275715;16237138;7620;332043;332985;1217;0;0;0;-1641;509;27;9965;4676;28;0;0;0;245600347;245480604;27158;182337465;182477505;26946;4001112;4007966;607;1289438;1291882;507;15895488;15802686;4717;263409;256052;151;41510507;41339633;10928;306000;305922;186;68;68;1;306;310;5;476394;476855;344;59385552;59333007;27920;0;0;0;9544485;9444447;744;10349155;10365295;58;52240672;9202;39271553;7854306;9740978;1948195;826910;5079201;427;85;182;36;0;49;3;2;19205165;3841033;20264949;4052989;2985;-214941;0;0;0;0;58476718;11695339;30005927;6001184;829895;4864260;21388385;4277677;653204;130641;305203;3841833;2391;11945;2389;0;2;1388317;22776702;1181;83;3;3;52240672;473162
   Оренбургская область;356957055;356767396;19061;15970538;15955681;159556803;3010;2306;2062;22681;6;123169;273584273;273575067;1367875698;18053;3648;5135559;5135469;30812817;347;0;0;0;0;0;0;0;0;805912;805722;4028609;185;51271523;51229439;319444857;8496;8979833;8981638;3845;207573;207573;17;10059637;10058583;5738;189070;195876;1226;113;49;3;-7675;1652;45;13227;8187;14;110;110;3;251175168;251233131;17548;187459026;187552171;17421;2935073;2934368;317;883229;884909;252;11062337;11044038;3651;792619;792218;177;47842115;47803507;7754;222477;221883;239;0;0;0;11328;6882;6;6084287;6086064;245;109570266;109351963;19545;0;0;0;9636672;9655520;513;8021783;8021842;79;157375760;6283;28512841;5702567;5975119;1195024;505845;4001698;12188;2438;5464;1093;0;1345;11;9;160737665;32147532;149742580;29948517;60235;2138780;0;0;0;0;189250506;37850099;155717699;31143541;566080;6140478;6192113;1238423;644596;128919;116821;992683;57417;1869;374;13;57030;1266223;7458336;21886;1881;18;10;157375760;6084791
   Орловская область;108152602;108214503;10625;15970684;15857373;158573727;1994;6699;6699;73694;7;-87828;60010099;60142313;300711585;9798;-382;2015880;1994573;11967441;266;0;0;0;0;0;0;0;0;124433;124125;620628;81;24195515;24182169;161740801;4776;3377013;3378929;1626;7055;7055;23;5928018;5906052;2427;174625;178566;629;22;22;1;4937;5280;16;5645;2840;11;19;19;1;98283633;98569921;10058;64432936;64720418;9979;3960002;3960233;323;731721;732043;227;6250448;6251490;1632;123949;123641;77;22880592;22870981;4484;164343;164343;140;0;0;0;27;0;0;108023;108023;66;13269948;13067965;10684;0;0;0;3317955;3334370;311;522011;524082;29;24974867;3452;8671914;1734383;2246251;449249;111214;1173920;418331;83666;29084;5817;26678;51171;12;5;1286615;257323;71063;14213;2048;241062;0;0;0;0;9958529;1991706;2317314;463462;113262;1414982;1938141;387630;9934;1987;3706;381937;8114;30;6;0;8108;8560;1946701;104689;10;18;9;24974867;105094
   Пензенская область;182338152;182112556;16158;24480915;24483391;244833906;2484;4087;3844;42283;12;114123;119193812;119105888;595529424;15339;353;1626838;1625819;9754903;442;0;0;0;0;0;0;0;0;102445;102545;512724;169;27516436;27498564;179813229;8041;8932758;8920985;3170;899;1007;10;9298674;9289558;4848;113517;110170;1141;100;100;5;1900;1900;43;903370;896525;17;0;0;0;159468141;159406189;15590;119770729;119708562;15468;4326065;4331692;476;452521;452403;207;9305312;9327665;2980;102547;102306;167;25443950;25416846;7693;67110;66718;189;0;0;0;33;33;1;35604;35557;37;27848758;27678221;16625;0;0;0;3970135;3960709;285;935754;895607;61;27454212;5149;16183625;3236728;2332868;466577;197238;2572913;0;0;0;0;0;0;0;0;4153415;830684;1266717;253343;11675;565666;0;0;0;0;20337040;4067412;3599585;719920;208913;3138579;3516066;703214;52662;10532;631;692051;77;0;0;0;77;849110;4365176;0;0;0;0;27454212;6320
   Пермский край;563606328;562659995;46448;20643408;20590964;205909633;4515;14759;5833;64158;18;863187;430380428;430381961;2151909193;45354;-2841;5529103;5524459;33146491;1027;1429;1429;6896;7;0;0;0;0;1898816;1898693;9493470;360;84676224;84671270;511646437;22078;18080724;18072661;9849;110292;130731;52;19603351;19579598;14768;1255177;1254301;2976;3471;3471;3;3652;3549;53;16873;6686;31;149;149;3;440319121;440239332;44592;330054675;330042218;44245;8838971;8811426;1211;1528414;1519322;418;16867976;16859831;9316;1879138;1879042;349;80189191;80163811;20999;825067;827089;409;165194;165194;1;1676;1217;4;3619577;3619442;270;141855947;140987523;48072;0;0;0;20812624;20851855;484;12495453;12496074;142;428158535;14716;74940860;14988168;16075663;3215131;1489680;10283357;150556;30111;287632;57526;11045;-38460;34;23;64206719;12841343;40766541;8153307;282004;4406032;0;0;0;0;139147579;27829511;56842204;11368438;1771684;14689389;27055519;5411104;3500620;700123;39893;4671088;25508;37959;7592;2717;15199;5661590;32717109;107105;1946;25;15;428158535;3626822
   Псковская область;64617138;64622017;8153;12490407;12484869;124848689;972;4643;1031;11344;5;-22217;38791091;38771370;193856852;7918;198;2354649;2354635;14127813;184;0;0;923;0;0;0;0;0;69562;69123;345614;72;9311231;9321396;59388887;3322;1418269;1422416;1206;33981;33981;14;1617574;1619547;1969;175701;175630;700;0;0;0;10689;10689;8;21243;19277;15;0;0;0;59089952;59218181;7819;45168142;45260331;7740;3003998;2998753;484;515079;528313;334;1535651;1539787;1136;66569;66131;69;8604236;8628622;3121;102897;102863;114;0;0;0;4537;3786;2;2004738;2004158;417;6698256;6582233;8155;0;0;0;2969208;2966147;700;24342;24342;10;25496404;2767;6794616;1358923;1292668;258532;113448;986943;13;3;0;0;0;3;1;1;607759;121552;147090;29418;6002;86132;0;0;0;0;7402375;1480475;1439758;287950;119450;1073075;1028796;205760;64873;12976;573;192211;27;0;0;0;27;414660;1443456;54;0;1;1;25496404;2004231
   Ростовская область;788430057;787826205;59582;69775019;69714011;697139328;8293;104391;81840;900243;76;-175501;495009996;494701469;2473504238;55953;38511;16219669;16199424;97196544;1257;120;120;77385;3;97;97;486;3;1084171;1076858;5384291;470;162817391;162690956;1047686476;34054;31228915;31271556;13392;1047062;1094671;106;43168942;42936857;18879;742182;733390;2100;1331;1153;8;7746;7872;113;61822;36076;72;2987;898;10;745266585;746967391;57105;511638511;513419972;56415;37557451;37559063;3692;3991290;4002463;1058;40262672;40243473;12572;1040184;1035486;444;150328417;150247090;32196;16130391;477170;525;105;105;2;37557;22661;16;32365145;32337232;859;100032688;97820202;58362;0;0;0;88838781;88641983;3009;1279901;1254050;92;831105661;18498;101951719;20390343;27388294;5477659;1886634;13026050;304927;60985;178963;35793;21;25171;52;25;61159200;12231841;1300827;260165;101951;11869725;0;0;0;0;163110919;32622184;28689121;5737824;1988585;24895775;22631938;4526388;1804632;360925;319259;3846204;224283;85584;17117;6833;200333;57624889;80256827;143264;16342;23;10;831105661;32229124
   Рязанская область;254818082;256254803;21174;20186981;20193414;201934137;2710;486;487;5352;15;-514467;175103130;176003735;880018686;20141;-4319;3695837;3698588;22191528;475;969;969;5676;4;0;0;0;0;121107;117682;588409;125;44417539;44433607;275045145;9646;10755531;10754488;3772;25326;26259;29;11811761;11806733;5572;188888;188739;1010;0;0;0;2343;2343;28;224728;222161;21;0;0;0;224937776;226631545;20331;161902008;163667081;20178;9065791;9074944;688;945020;943051;294;11934294;11922263;3605;120158;115853;118;41006393;40944388;9035;160293;160028;213;0;0;0;959;959;4;347457;344799;129;38605106;38313617;21419;0;0;0;8081817;8618836;236;221092;221092;41;48206021;6713;16091352;3218272;3548679;709736;432253;2076283;308;62;139;28;0;34;2;2;12291023;2458206;1887058;377412;29627;2051167;0;0;0;0;28382375;5676478;5435737;1087148;461880;4127450;4162266;832452;37424;7484;656;824312;8977;347;69;347;8561;441140;4603406;1982;191;4;3;48206021;343980
   Самарская область;979613630;975172741;85761;40017671;40002373;400023786;7105;10876;10829;119114;32;1845449;732722276;730330067;3722178932;83326;26220;12408812;12410864;74465044;1118;269;269;2252;8;0;0;0;0;504547;496899;2484493;300;157647828;157466691;982718011;37897;31359337;31319138;15488;390480;384919;108;34429003;34400046;22252;2227017;2221289;2598;622736;622788;13;2573;2734;49;48439;39123;77;193;179;8;794451443;791526110;82985;567237135;564218277;82426;40355870;40341157;2222;2605882;2604628;745;35243002;35369759;15009;502028;493590;284;147038187;147040640;35352;1472075;1461656;776;177;177;5;3809;2826;7;6679368;6726174;615;197196127;195682301;85387;0;0;0;16144829;16270813;763;12307495;12151489;182;294350888;28044;108036441;21607288;30594884;6118973;2235057;13253258;237363;47473;46572;9314;18384;19775;43;20;103075873;20615176;31035617;6207122;230711;14177343;0;0;0;0;211112314;42222464;61630501;12326095;2465768;27430601;30681640;6136325;2365389;473078;874702;4788545;48157;47083;9417;1796;36944;7527319;38208959;100194;8656;32;20;294350888;6687312
   Саратовская область;337211749;337331763;31999;32893476;32862047;328620459;4490;28298;26672;293392;34;-77825;205244856;205372890;1026743197;30269;-301;9125674;9128110;54768657;649;0;0;0;0;0;0;0;0;584649;580213;2901060;192;70454951;70420538;471163098;16548;16555557;16541357;7142;1167811;1165314;71;18957153;18934598;10056;283702;282008;1166;131;0;0;7262;7222;33;16245;13848;31;0;0;0;288436050;289067330;30828;198977184;199638227;30592;6361854;6347636;653;635254;633092;378;21165715;21169998;6715;563011;558544;179;60549864;60535189;15421;180616;180033;253;0;0;0;616;568;7;1708366;1709781;234;60925299;60392940;31954;0;0;0;13460385;13489436;651;1191146;1191420;44;93788467;9979;32086142;6417228;7461390;1492276;637292;4287660;10650;2130;1365;273;34;1823;12;11;17910576;3582114;1216880;243377;7930;3330807;0;0;0;0;49996718;9999342;8678270;1735653;645222;7618467;29732292;5946458;446146;89229;22431;5834798;66980;5672;1134;0;65846;672393;30404685;19007;135;8;8;93788467;1707104
   Сахалинская область;86693998;86294022;5269;5880137;5743838;57439759;944;13;16;176;2;44651;64916259;64906291;323486528;5126;38;1150564;1151473;6908840;59;3096;3096;65857;1;0;0;0;0;125728;125409;627045;68;11518840;11332528;73209229;2282;2673950;2656738;723;353430;353430;17;3258848;3227193;1456;1486731;1480531;770;0;0;0;409;409;4;380;188;5;0;0;0;86753389;86642183;4999;67787537;67834455;4938;2980559;2947421;426;3533;3674;18;2245812;2234856;687;124742;124423;64;12126771;12013275;2211;1484332;1483976;281;0;0;0;0;0;0;5755107;5753122;158;26739203;26442305;5359;0;0;0;31048744;31048972;483;308825;296199;23;205299738;1688;16872858;3374572;2024776;404954;242554;2727064;21541;4308;14783;2957;212;1139;12;5;3208265;641654;349726;69945;30285;541424;0;0;0;0;20081123;4016226;2374502;474899;272839;3268488;6340454;1268091;1086372;217273;258746;792072;425645;445240;89048;2;336595;8656556;14997010;206950;1080;12;5;205299738;5700961
   Свердловская область;1713661699;1709729106;115292;50012153;49985532;499980293;8002;54138;54134;595474;51;1774443;1108703151;1107323793;5545951416;112227;-3036354;151880219;152020742;912470422;2471;4057;4057;23113;22;441091;441091;2205456;6;1351672;1336222;6681105;639;325875473;321843550;1950819543;63238;70229677;70068279;28378;1015732;1042643;216;77028377;77015323;37897;1854531;1770238;5879;3613;3534;16;47244;47362;156;143680;92182;126;0;0;0;1569486073;1565055519;111810;1136182224;1128364930;110979;50927070;50549115;4705;14088819;14143413;1301;88365273;85040388;26711;1321410;1323803;622;287718450;283792303;60398;-9552570;1369028;1313;405009;405009;7;7998;4699;21;10513431;12046664;1018;217999611;216579375;117279;0;0;0;81578209;81306031;1328;6848409;6859953;291;794258156;36425;225521239;45104246;58585349;11717074;5713839;27673333;864543;172909;20876;4175;23566;145168;52;32;538994432;107798886;289782478;57956495;724780;49117611;0;0;0;0;764515671;152903132;348367827;69673569;6438619;76790944;90427798;18085561;3137081;627414;676592;16781555;186218;579792;115958;95771;-25511;7367879;97795677;254304;9802;60;28;794258156;11760140
   Смоленская область;186571285;186928239;21234;14088579;14119326;141193261;2643;1739;1739;19128;14;350810;125651276;126352316;631760529;20050;1536;5933561;5903802;35422813;559;0;0;0;0;0;0;0;0;119601;119601;598004;113;35336683;35356491;216741055;8689;3565293;3555732;3168;1177448;1177381;58;5087972;5075007;4746;547555;555109;1937;993;993;6;1288;1288;21;8828;5449;29;0;0;0;174725827;175243792;21097;107356747;107894833;20544;8061568;8069574;1110;20494069;20472414;5016;4163790;4162705;3040;119476;117663;112;33603711;33636904;8084;495338;493677;577;0;0;0;2938;1429;7;5744709;5701312;1584;19244265;19126565;19143;0;0;0;12465732;12488414;4529;31490;31490;11;135962829;7105;14298552;2859711;3227945;645589;366037;1848085;13630;2726;1459;292;1;2433;7;6;33679769;6735954;16842281;3368457;17003;3350494;0;0;0;0;47978321;9595665;20070226;4014046;383040;5198579;4295845;859168;44095;8820;1765;848583;49696;26674;5335;454;43907;8532099;12827944;2517958;185100;291;110;135962829;5692064
   Тамбовская область;139015770;138522235;11055;34890458;34928740;349287366;2820;5243;5004;55041;15;524463;66700117;66739798;333711212;10087;0;487425;487299;2923797;199;260;260;4608;2;0;0;0;0;161998;159051;795256;130;27738426;27715073;206665206;4864;7526455;7514796;1850;592471;591871;6;8502653;8478572;2878;164819;164911;1067;2;2;1;3846;3907;30;2477;271;5;27;27;5;130679242;130546796;10533;95699456;95589695;10470;1644978;1643496;133;476956;477367;102;8537046;8535186;1802;160271;157364;122;24036551;24019214;4380;120702;121193;187;3991;3991;5;788;87;2;523922;525838;14;15504074;15148613;11518;0;0;0;7505350;7514174;213;1087712;855324;34;29919946;3724;10907047;2181408;2008305;401659;115352;1664397;1152;230;0;0;0;230;1;1;4651548;930310;12949359;2589872;1191;-1660753;0;0;0;0;15558595;3111718;14957664;2991531;116543;3644;2109244;421848;70320;14064;6791;400993;8419;0;0;0;8419;90061;2199305;8821;103;2;2;29919946;525371
   Тверская область;206453643;206505403;20277;12160194;12114127;121141263;2230;3212;3101;34127;22;27652;149866583;149983552;749921129;19713;0;10031745;10019724;60118347;446;238;238;1310;2;0;0;0;0;241435;241505;1207527;153;29868676;29884917;185036807;9245;3312658;3319349;3556;16346;16346;36;4253903;4250583;5502;374939;354836;2294;0;0;0;688;672;20;58494;1630;17;0;0;0;186188353;186544027;19014;145198476;145566512;18876;9660508;9660809;675;709846;709770;269;3881068;3878465;3366;220811;220882;146;26248712;26252541;8755;277215;263446;313;0;0;0;220;58;5;2084524;2028575;172;25714677;25387352;21735;0;0;0;7110488;7086033;366;739233;738210;47;54599878;6908;26007979;5201595;3959829;791966;287090;4122539;175717;35143;0;0;1;35142;10;4;4313237;862646;320871;64174;5819;792653;0;0;0;0;30321216;6064241;4280700;856140;292909;4915192;5193315;1038663;1311715;262342;16047;760274;2932;87;17;1568;1347;1855382;7048697;380;0;1;1;54599878;2027419
   Томская область;280465957;280480525;15828;16784841;16782744;167827433;1786;-501;2;17;2;-53505;225916042;225900747;1129504577;15346;1318;724543;774617;4647703;218;11;11;1119;1;119;119;593;1;135527;136357;681787;96;32265848;32241120;195313825;7344;3858035;3839239;3282;348435;321993;10;4697312;4647151;4696;120248;118641;1470;392;392;1;614;614;14;4718;-607;14;22;22;3;212288417;212533327;15200;172716012;173006238;15111;3120597;3112706;332;210133;210133;128;5555526;5545303;3003;141239;136029;96;30470719;30452221;6876;89567;83791;186;83;83;1;0;0;0;739390;747003;77;72352950;72106791;16642;0;0;0;4750858;4770952;341;3777645;3780461;78;33827861;5226;33489245;6697850;5003943;1000788;362432;5334630;18047;3609;5522;1104;983;1522;13;6;11698021;2339603;3278104;655621;12695;1671287;0;0;0;0;45187266;9037453;8282047;1656409;375127;7005917;7889200;1577842;48839;9767;46102;1521973;3061;0;0;0;3061;1597582;9486782;151236;10876;3;2;33827861;731513
   Тульская область;343555910;342697071;24793;27963938;27950602;279506028;2729;7916;7916;87075;6;55199;234947842;234588882;1172946116;23948;0;4939894;4706005;28236034;477;974;974;7036;6;0;0;0;0;355966;353541;1767710;273;57583785;57464377;365627388;11777;15339206;15356873;4745;279244;279244;31;17701121;17600292;6794;1245057;1251179;1662;3;3;1;2323;2302;48;92097;73895;33;0;0;0;337415477;335454164;23641;245450297;243700219;23456;20663612;20649175;869;1005475;986846;379;16369950;16367278;4475;353533;351126;266;52393359;52220399;11192;1177432;1177647;362;0;0;0;6337;6337;1;663215;663585;113;40213026;40410213;25480;0;0;0;31036599;32264488;428;2764337;2760792;111;314666569;8009;33531694;6706337;11951370;2390276;1884899;2431162;4120;824;4316;863;0;-39;2;2;6277941;1255588;358856;71770;10015;1173803;0;0;0;0;39809635;7961925;12310226;2462046;1894914;3604965;8246139;1649229;420450;84090;433652;1131487;3594;0;0;0;3594;3695604;11941743;104;0;1;1;314666569;577072
   Тюменская область;631394147;631687513;26651;13153544;13150554;131504958;2622;290;525;5778;17;-32260;458031938;458433275;2292166931;25640;-22;2521664;2420861;14499680;504;3783;3604;17948;8;2;2;12;1;760639;757041;3785204;180;127942511;127893683;773941923;12799;17745704;17724615;6121;49651;49449;47;29015666;29030176;9071;4585709;4516874;1854;134;0;0;1592;2021;35;48012;626;7;9;14;3;501856023;502706580;25557;346344440;347269086;25331;8631588;8606401;394;461792;461672;144;19075122;19144010;5737;761771;758173;177;122124579;122117661;12008;4415079;4364162;363;0;0;0;24;24;1;227659;228063;84;148194702;147461931;27358;0;0;0;13893037;14025303;480;19802011;19957456;61;224203887;8565;78038835;15607765;16817005;3363399;1884362;10360004;144359;28872;107808;21562;16807;-9497;18;10;108654251;21730850;21051112;4210221;579889;16940740;0;0;0;0;186693086;37338615;37868117;7573620;2464251;27300744;169505764;33901152;4859514;971903;1091292;31837957;135636;6900;1380;1339;132917;6201087;175706851;601;110;2;1;224203887;176143
   Ульяновская область;184380993;182627117;19768;13109674;13108148;131081476;2135;874;870;9575;14;627466;131789921;130559725;652800657;19059;5193;2831519;2813530;16866371;392;213;213;1145;2;10;10;51;1;88022;87843;439218;154;28217464;28059509;174500794;8803;6589266;6588708;3596;118684;118297;26;7710817;7982374;5441;286207;291171;1252;0;0;0;1300;1300;14;7843;2477;8;40;40;2;164679785;163279523;19151;118913064;117574946;19050;10408530;10406789;486;741646;626249;208;7336590;7327683;3468;86924;86673;152;26969007;27030525;8249;223952;226577;255;0;0;0;660;660;1;410985;409869;100;24241700;23882763;20228;0;0;0;4592710;4637897;302;72552;72552;20;35283865;6373;24392941;4878585;6274601;1254921;759354;2864310;3382;676;0;0;29;647;4;2;5147144;1029430;1395543;279108;22782;727540;0;0;0;0;29540085;5908015;7670144;1534029;782136;3591850;4113320;822665;438817;87765;7439;727461;29997;0;0;0;29997;12033064;16146384;10707;0;6;3;35283865;401447
   Челябинская область;958223252;961918609;78164;32004244;32005071;320050779;4535;13108;12660;139269;42;-974344;691920113;694892290;3474462902;76137;3941;21042646;20824073;124944431;1528;4300;4211;28404;13;0;0;0;0;1196273;1195212;5976061;437;178941900;178967510;1085312784;40061;30819664;30796860;17297;736667;629721;123;34058136;33991712;23386;715831;711132;3588;608;599;7;14629;14627;84;104746;45156;150;614;385;6;856825979;861208343;75955;605715271;610097565;75419;24073506;24077970;2379;23533562;23531443;1042;33266828;33297794;16600;778903;777914;417;168728651;168694215;37961;793714;785682;655;0;0;0;8260;6472;20;10381831;10357159;1020;122649942;121927819;78506;0;0;0;31465551;30687248;1976;4621968;4632795;148;399103194;24793;127769370;25553875;21737187;4347438;1174884;20031553;112183;22437;113801;22760;4858;-5181;40;20;204991617;40998321;88783055;17756611;234819;23006891;0;0;0;0;332760987;66552196;110520242;22104049;1409703;43038444;21320109;4264024;640685;128136;31264;4104624;80702;132472;26494;71;54137;4626164;25946273;529584;23774;87;49;399103194;10297109
   Ярославская область;308369579;307578041;33895;10022129;10020902;100209253;2549;153;153;1685;4;-115852;218911075;218771756;1093858588;33122;6701;1958151;1959132;11754793;461;107;105;814;2;0;0;0;0;199776;199692;998458;194;59708358;59851644;361762091;15404;14546415;13600051;5846;704380;706794;78;17675732;16750600;8610;325723;319901;1220;558;551;5;9218;5199;35;13563;5385;18;-11;0;0;273682846;273698435;32539;189753126;190838317;32350;10366926;10180673;883;497186;492086;416;21444254;20517913;5557;199449;199365;192;51163352;51216556;14537;258229;254675;343;1435;1435;2;598;380;2;1193252;1115898;201;46464525;45698047;34144;0;0;0;12666037;12494799;530;1360531;1360531;74;85801681;10784;57179254;11435848;9488119;1897625;949939;8588284;400050;80010;52;10;957;79043;13;6;6708340;1341669;1256794;251358;7814;1082497;0;0;0;0;63887594;12777517;10744913;2148983;957753;9670781;65264073;13052815;256266;51254;38703;12962858;2021;153;31;0;1990;605669;65869742;59789;5370;19;11;85801681;1114536
