GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31
Удмуртская Республика;106411705;106814481;14511;161906;162591;684;2747;945;12;85261314;85585324;14009;233;7;3;1701688;1696628;155;20993861;21012825;14789;61870703;36458469;6562524;12215811;2198847;376606;3987071;2277144;142398;61870701;1696459
Республика Хакасия;23078531;22996655;1940;188634;189534;330;231;0;0;20749899;20678477;1715;204;0;0;2502718;2497673;36;2522433;2521752;2202;25817489;4740681;853324;978951;176214;80423;596687;537458;0;25817488;2497645
Чеченская Республика;16326341;15910136;1331;-8656;7066;20;0;0;0;16875877;16438523;1260;0;0;0;2832;2832;2;834534;869476;1279;65614;1718780;309381;464930;83686;23667;202028;98671;10420;65613;2832
Чувашская Республика;43854068;44216022;7389;78496;77086;917;1846;0;0;36413545;36787943;7003;41;32;1;198459;197691;88;7809059;7793994;7878;3688457;14167977;2550234;2683240;482988;93320;1973926;1182287;24028;3688217;196974
Алтайский край;97331858;96970826;18246;75682;75194;1389;14171;11857;8;87119931;86883574;17379;126;0;0;2199639;2200292;415;10903462;10768413;18670;34076971;19979842;3596371;6546762;1178418;592547;1825406;4585110;325767;34051510;2185164
Краснодарский край;455303156;452807610;36789;1173226;1150254;2146;13282;2845;19;407263818;405198727;34698;2107;136;4;23758800;23754954;598;60856535;60553889;37159;270562202;189836669;34170599;107127940;19283032;2601054;12286513;15662833;5928539;270599994;23588047
Красноярский край;302133270;301744700;26172;773024;770123;2244;45801;19070;12;229671536;229712134;24865;19326;6622;6;25915614;25920470;484;78494627;78059116;26903;419026811;99846647;17972399;32995943;5939272;1802786;10230341;8172538;1536295;416210263;25884864
Приморский край;161912627;160874343;17860;275890;275861;1566;6438;1548;10;153845703;152430766;16952;2312;529;7;6075633;6057923;576;13980071;14329042;18269;122959213;76864032;13835529;30680087;5522421;465613;7847495;9421468;4303519;122833004;6018278
Ставропольский край;118960654;118923483;12741;78706;79441;695;22158;1223;10;105600977;105684293;11873;13753;5294;2;2381913;2387120;94;15809824;15714360;12948;27481849;40147646;7226578;6911823;1244129;311374;5671075;4295016;1548915;27444416;2390099
Хабаровский край;122598792;118987548;10924;146604;147559;1837;69170;13406;3;108078726;104718608;10279;44620;18264;5;5468923;5462189;238;19136048;18800173;12092;75853717;23507865;4231417;10817109;1947082;908364;1375971;5236571;1702450;75826861;5455303
Амурская область;37003309;36917118;4219;57510;56126;941;-45;0;0;43244518;43126552;3922;-39;0;0;3500854;3471314;129;6721119;6731549;4781;45294764;87573672;15763266;49436520;8898573;669802;6194891;59628977;8415;44686411;3565067
Архангельская область;43720164;43876444;4645;123020;118335;1527;414;0;0;38639611;38811033;4249;190;0;0;2161438;2165706;111;7500586;7434780;5861;32291083;70081175;12614616;3150716;567128;3475273;8572215;5176899;2234829;32291085;2162533
Астраханская область;37874484;37751951;3117;185949;185807;342;1349;0;0;22060992;22003611;2860;1097;1022;2;7301619;7305423;265;14707674;14648427;3130;86230806;7418525;1335336;1489057;268032;34357;1032947;662082;1767382;86298342;7308010
Белгородская область;159026607;157195102;17331;237864;228607;1495;48479;22560;9;142436129;140596932;16899;14714;7002;5;5894573;5895587;227;20848631;20764259;17576;91720598;22365982;4025881;9395908;1691267;76440;2258174;40736606;469148;91673185;5890364
Брянская область;46020905;45993450;6756;170551;166653;857;1159;1114;7;42409040;42473440;6335;994;992;4;402938;394937;291;6622228;6555592;7094;8413998;11014048;1982530;3763724;677467;161336;1143727;341749;232878;8410951;392131
Владимирская область;78900879;78888303;9412;481180;533395;1192;9441;3639;12;66902617;66751058;8931;4103;125;3;598959;596754;287;13172535;13230573;10221;19064951;13776101;2479704;3991825;718531;113611;1647562;4754314;1382771;19033050;596407
Волгоградская область;141455696;141320193;13070;181597;181323;1946;17673;1071;15;122892983;123006669;12116;10278;2041;4;14390099;14391243;198;16458314;16227360;14433;114121899;47134634;8484235;25148268;4526686;712603;3244946;4309008;1181426;114121823;14387318
Вологодская область;115615085;117607959;11854;184485;181724;991;7817;6451;4;96520843;98614130;11332;1243;0;0;15891043;15862886;218;11933618;11837142;12402;131703446;684626787;123232823;656700273;118206049;200771;4826003;2694567;825069;131703448;15859531
Воронежская область;189393702;180916300;24547;324180;325142;1478;2971;1145;15;175450823;167045889;23567;191;178;3;1925443;1925591;223;16718594;16595557;24977;32299151;49235748;8862436;12020489;2163687;297889;6400860;3350771;776718;32295933;1884143
Ивановская область;45907698;45814506;10799;53222;54495;484;4617;866;7;42574061;42440993;10213;1292;402;5;257897;258215;131;3773102;3807550;10866;4323282;19137173;3444693;4661132;839005;228710;2376978;1235988;199986;4331292;256973
Иркутская область;203436608;202814520;16120;632380;631053;2335;4192;243;2;161376619;160836256;14774;1576;766;2;7789099;7791575;604;45543169;45490469;17177;137513482;38782851;6980916;12946929;2330449;443205;4207262;2118140;95893;137513482;7749124
Калининградская область;93013360;93081475;6538;125241;124075;625;363;209;4;61113711;61241198;6012;114;177;4;972924;970468;295;33532643;33490630;6659;56041887;30912357;5564227;17201628;3096297;165974;2301956;9834215;1197054;56083324;971585
Калужская область;115093813;114927132;9041;134660;755443;858;79941;2005;15;99671880;99547788;8484;49945;0;0;2939418;2914088;193;16584688;17168900;9264;34175201;46044271;8287974;23478818;4226189;333902;3727883;2939692;558337;34151903;2881057
Камчатский край;16653982;16653166;1436;37453;37876;141;687;0;0;14772780;14801637;1251;0;0;0;1296713;1298360;37;2736731;2711446;1426;21948027;4278261;770088;2379304;428278;304387;37423;202810;1642281;21853793;1298360
Кемеровская область;221656615;221184841;13538;266003;264640;1126;176981;7714;17;180564893;180651348;12492;186832;4685;9;33301228;32644844;214;35318305;35313828;13848;347373724;64778173;11660074;34553919;6219708;870413;4569953;7725652;41051;347373723;32605287
Кировская область;41892035;41734082;8147;222208;221280;2294;1410;700;4;35515258;35423291;7708;314;116;1;489051;487158;160;7343673;7213534;10107;8769042;44750062;8055017;36799016;6623822;374379;1056816;1542098;4683;8765938;486330
Костромская область;26997273;26916993;3576;98610;94941;619;1927;761;5;22717732;22648300;3301;1054;561;4;871779;872281;123;4146541;4138233;4021;7968045;252520401;45453671;71514842;12872671;456547;32124453;1057278;733;7972811;869909
Курганская область;24475313;24631872;3358;20403;19197;458;16;0;0;21390293;21547065;3107;9;0;0;139825;139548;76;3404985;3394849;3601;3022975;5793544;1042843;1492957;268732;66455;707656;406786;2854;3022975;139389
Курская область;64377256;64229265;7580;32905;32612;589;594;310;5;56847375;56739556;7112;161;4;2;685338;688116;93;8864068;8822483;7650;16837882;25628467;4613123;6191590;1114486;315411;3183226;2107900;11182;16837860;681879
Ленинградская область;175265200;174653389;11064;1680595;1678158;2329;79757;41807;12;151043482;150688587;10409;2698;2389;4;22027340;22028893;445;30002129;29748142;12438;217603843;46099959;8297991;9419452;1695503;479861;6122627;7867797;38595226;217606387;21994550
Липецкая область;85423498;84892151;8240;314944;316913;678;141;53;2;75449691;75474585;7814;2;0;0;15723428;15906648;74;6913909;6832837;8482;141368791;15348932;2762811;8265131;1487721;104990;1170100;6445416;128551;141651576;15890821
Магаданская область;14172569;14143098;985;54766;54382;306;98;0;0;14191010;14129351;910;0;0;0;4369944;4383404;92;2606463;2626632;1104;48342439;4143559;745842;253773;45679;42544;657619;221243;47167;48407226;4383702
Московская область;1380745634;1378087393;83367;6672439;7038210;6403;568851;293616;163;1249647316;1247916463;79763;148132;28848;35;7725092;7758199;1699;162220079;161656113;85340;209095742;526711093;94807997;151543647;27277858;9905590;57624549;40722024;18730318;209526127;7451772
Мурманская область;27837730;27761695;4091;367332;364636;1399;0;0;0;21915377;21803779;3805;0;0;0;3132516;3130983;58;5737507;5776308;5168;32986039;12191396;2194452;2622154;471989;272760;1449703;20435974;3408860;32986039;3129699
Нижегородская область;382295895;380670500;39107;994686;1023063;2249;1003138;5655;40;332578374;332559447;37504;862173;2840;8;24750828;24749054;713;45230011;44768805;39932;202051379;109346777;19682438;37404601;6732830;2533807;10415801;28337772;39256999;202099731;24574987
Новгородская область;36631993;36711236;4177;169814;170875;467;19345;6642;3;32011031;32081404;3895;16407;5438;2;3886719;3887059;105;4689241;4703110;4308;38381470;9124312;1642376;1324234;238363;172943;1231070;463464;106544;38375412;3876392
Новосибирская область;247009317;249741725;44647;387244;371926;1551;104685;26617;50;219652806;222577700;43315;30702;7232;21;6903241;6900208;592;29654203;29457373;44242;87808774;246956200;44452113;111332343;20039822;1296873;23115418;27513588;2254102;87887632;6788374
Омская область;96046064;96315148;14886;109102;109134;972;9476;39;5;78754871;78992987;14185;8339;4;1;1551368;1587874;335;18013396;17978025;15203;20758373;29459594;5302725;14321959;2577957;274700;2450068;4578917;1277555;20758374;1582534
Оренбургская область;113303974;113386794;10430;187177;185971;855;8795;1046;10;80786985;80964006;9521;6158;4199;4;4807064;4806683;233;31888737;31804761;10809;56973931;78547576;14138568;63607391;11449338;293872;2395358;1482075;513492;57483003;4805738
Орловская область;31407832;31631143;5430;87132;88043;433;6210;48;3;29178084;29383487;5030;4020;0;0;77326;77326;83;3711954;3755952;5544;6505254;8148439;1466721;3108915;559603;154186;752932;619404;83840;6505234;75971
Пензенская область;57288974;57503852;8335;59182;56537;723;4836;2191;18;51524461;51783377;7940;893;638;2;138869;117876;97;7569395;7559524;8681;5961920;15576891;2803838;4690156;844229;101135;1858474;994295;165051;5993639;145431
Пермский край;218275809;218059671;27141;378513;376292;2211;21551;584;10;172929496;172891230;25749;14207;137;1;17677476;17719124;353;40733412;40511408;28507;219104760;77252103;13905384;26747634;4814572;613150;8477662;25568086;1299721;219104761;17702771
Псковская область;25615547;25595131;4925;157528;157470;587;3432;207;7;22758831;22769162;4686;94;16;1;695656;690816;256;3065442;3038665;5061;8576545;6589939;1186186;3105732;559030;122313;504843;1067611;48448;8556789;689534
Ростовская область;269700606;268908898;30328;279939;283856;1545;36314;26113;27;248472276;247777802;28525;8185;2583;8;10337899;10317002;850;31417293;31214738;30221;254784218;75787605;13641770;23140072;4165211;980368;8496191;5109897;6384552;254598499;10301398
Рязанская область;82401777;82369513;10951;63646;69305;759;2977;959;9;70129035;70143511;10415;778;668;4;1169329;1170300;136;12803055;12750570;11309;16208186;18956106;3412098;6679274;1202269;238930;1970899;2274699;207230;16108856;1159333
Самарская область;389055757;382605368;45342;1004781;1015510;1573;60201;2653;31;329986968;323573225;43567;8151;6760;6;9195522;9144957;570;57907679;57868041;44975;127012054;207496284;37349340;60816614;10947004;2068940;24333396;17605839;1440477;127012053;9129583
Саратовская область;112530732;112278097;15956;165924;165606;618;2366;889;17;96229350;96052404;15150;1155;91;5;1564533;1549926;261;18119557;18055309;15979;28290301;60192886;10834721;43485828;7827448;420296;2586977;18733597;222653;27470032;1461015
Сахалинская область;37928006;37809895;2658;1285878;1280510;500;11736;6627;5;35464395;35252346;2412;0;0;0;966517;881642;58;11836118;11798743;2834;17245684;7280723;1310531;1294887;233079;227695;849757;753631;1868753;17111786;881643
Свердловская область;519356764;514726277;59450;1549048;1544562;3675;195773;42814;72;450088124;445503132;57079;128854;13727;13;28622442;28589605;1139;63108168;63087867;61205;287752811;376319708;67737544;236906189;42643118;3668869;21425557;39065011;2773821;282653828;28371428
Смоленская область;55191084;55307521;9609;165811;165135;1234;48679;37801;18;50593839;50806601;9323;37887;33209;13;4082953;4038021;1261;5686731;5659520;9078;46427523;12870720;2316729;3947891;710618;100694;1505417;8928442;2516312;46427523;4007185
Тамбовская область;47017362;46128386;5802;99631;78647;715;752;66;1;44901757;43925229;5497;132;132;1;271172;273593;20;4453467;4414366;6174;6645864;6523377;1174206;1633941;294108;154818;725280;985904;4360;6645400;273073
Тверская область;73190235;71770421;10443;135791;133227;1706;5540;3100;5;65061131;63615735;9643;4672;2781;2;640923;642141;170;8950603;8964912;11686;10713454;12045544;2168198;3819244;687464;171506;1309228;2714135;2599022;10711040;616462
Томская область;123578242;122537538;9618;97161;96582;1020;2587;963;3;91150734;91087114;9133;165;0;0;922834;949030;82;32427695;31989795;10222;11203913;17140551;3085299;3427650;616974;217534;2250791;3622933;424004;11203913;944408
Тульская область;111961034;111532494;13201;301280;302553;1015;17901;14337;15;102527786;102165269;12575;434;214;2;7860308;7859059;183;15238726;15185693;13694;94969767;20082790;3614895;7682949;1382928;509263;1722704;3282424;921897;94966099;7795902
Тюменская область;244786696;243378280;15355;3473484;3478480;1168;11808;1001;4;204830285;203954525;14501;4889;0;0;15692126;15691741;74;50170226;49445350;15841;128243413;84474973;15205503;23976592;4315786;1305366;9584351;6795151;3097630;128208429;15684647
Ульяновская область;69322930;69002916;10479;103842;103786;879;899;143;5;63181103;62844318;10007;19;10;1;799577;777232;120;8077044;8052119;10818;28937977;23508787;4231584;7581422;1364657;494700;2372227;2496354;8128720;28931751;769434
Челябинская область;341701140;335807258;41314;1055119;1142846;2116;98445;9082;61;297567746;293898073;39644;57765;3168;16;19553033;17523787;1008;37219489;37305686;41763;152475537;257882313;46418817;176924997;31846499;809148;13763170;9949900;1418181;152616489;17440971
Забайкальский край;21998566;21943936;2385;73506;74479;753;839;986;4;19977255;19955084;2088;733;877;1;1303891;1311442;134;4658032;4610654;2848;18845319;15033406;2706014;1282592;230866;49057;2426091;11987748;2721;18951250;1293127
Ярославская область;108826599;109198557;19377;180843;177729;848;3941;963;9;93259955;93710094;18475;746;578;4;1475277;1476313;214;17785952;17751337;19580;28300495;49424479;8896408;18120461;3261683;595858;5038867;67603762;469981;28299763;1470102
город Москва;7313224764;7276142430;367579;52216839;52373004;19650;1202040;680846;666;6442625445;6403329947;355156;450873;259707;162;444150646;443970746;5674;925247847;929626907;363148;5280131284;48643938439;8755908917;28825704842;5188626867;73525717;3493756333;3109805344;63507649895;5280483738;442588207
город Санкт-Петербург;2116741564;2127702888;168095;6214586;6442113;7172;148249;73919;151;1907895995;1919397532;163681;37407;8913;31;57019039;56945697;2826;241820183;241458743;167110;642406747;2592494729;466649048;1093638999;196855010;17424532;252369506;3310196820;75695095;640259224;56777193
Еврейская автономная область;2002254;1998959;330;3593;3526;356;919;640;1;1742801;1739471;291;0;0;0;387908;388941;19;313860;311452;643;5256402;421198;75814;88303;15893;7468;52453;86306;0;5256402;389023
Ненецкий АО;4001755;4026483;168;4658;2223;12;0;0;0;4649134;4670347;153;0;0;0;1313840;1318804;8;668130;668191;157;25351550;1462282;263211;164971;29695;15058;218458;3251506;166026;25351550;1317887
Ханты-Мансийский АО - Югра;466567920;465490300;11824;545188;534043;1196;451;247;1;289307126;287995011;10904;150;150;1;29830855;29832094;55;150876526;150791672;12539;733019902;86447444;15560540;23482253;4226808;2158425;9175307;5694014;3998775;733019905;29828645
Чукотский АО;3418218;3416249;194;81438;80415;497;0;0;0;3286411;3272916;188;0;0;0;1834628;1786093;21;642363;646380;580;27110781;779499;140310;187035;33666;31779;74865;157304;0;27112006;1784765
Ямало-Hенецкий АО;107432283;106635921;2426;1240684;1239323;512;0;0;0;104294937;104074300;2136;0;0;0;1466362;1466362;9;31921687;31856870;2736;45617999;24645560;4436205;10286756;1851613;719271;1865321;2722809;7222;45618000;1466363
Республика Крым;51866082;51679285;9250;82253;83635;1682;-5;10;1;45677651;45562437;8707;0;0;0;73554;72806;25;8039374;7982636;10562;1087748;29599490;5327908;11083022;1994946;516169;2816793;2320600;1706;1087749;72733
город Севастополь;10808678;10844583;3366;17136;17402;493;-66;2;1;8895630;8939988;3231;0;0;0;3357;2640;9;2007075;1999541;3791;219603;5638365;1014904;593477;106827;42630;865447;5612561;40186;219603;2513
БАЙКОНУР;327657;328081;54;246;246;12;0;0;0;193894;194070;39;0;0;0;0;0;0;134048;134296;63;3034;151410;27253;122879;22118;16193;-11058;534;0;3034;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
