"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89"
"91","Республика Крым","634256","580579","40988","12689","1737871","283544","69925","54035","0","180209","9422","9196","13361","1068","0","874","3078","6490","19829","754","0","754","294947","304","37095","165565","59512","0","0","0","87","2269","0","0","45","0","16950","152292","22718","859","308469","272758","14327","152209","843886","636232","138125","69528","400032","283510","3037","113485","1167687","2431278","1014580","1279381","1745410","1071946","584730","1890","0","9618","0","538045","125801","1014545","213800","321791","12882","175093","177936","160730","10089","7117","510347","726086","662297","3810","2503776","2994387","3283815","449186","95955","108107","11803","45600","199","160161","0"
"12","Республика Марий-Эл","647130","597635","48956","539","2842781","467073","263488","91162","0","8686","0","16033","11575","72144","0","72124","66318","254535","21144","42911","0","42911","90433","14920","17125","40712","355390","0","0","0","0","393","0","0","25","25","457313","238467","380027","137235","3313","441","0","147427","322820","112233","58673","151914","95779","66604","6691","22484","330308","625848","233236","339231","395050","275364","0","1514","149876","26331","0","65792","27563","159252","11764","145447","10856","17693","36071","35134","0","937","138799","222520","106637","1175","843819","1048267","976923","188093","44013","46539","6077","21385","0","4935","0"
"13","Республика Мордовия","1289860","1262072","27196","592","3165402","780100","372848","113009","69878","120929","0","9136","30643","7097","0","386","7290","16069","2715","0","0","0","14649","167874","80380","259931","522332","131","0","0","1581","13","20009","0","286149","0","254103","345820","26903","35412","404110","3","143","79909","306189","262878","22","43290","116374","62807","3065","50502","416437","604478","219848","344172","505594","393406","20","661","129286","0","0","72933","39255","133433","18540","112313","14218","15963","26888","21583","0","5305","188626","317076","208451","880","874190","1060817","976407","198206","63896","54089","5567","19887","9","6581","0"
"14","Республика Саха (Якутия)","540465","260108","255520","24837","677243","161061","30732","62893","0","15116","0","119","2647","6418","0","0","20856","141","14176","0","0","0","81741","0","3819","158876","145372","0","0","0","0","9824","122272","121598","0","0","30","537","2655","1632","4675","4615","4","57372","2570500","1237333","7106","1326061","243118","170600","26128","46390","850224","1109716","258852","798460","3454322","1416768","236620","1576","599358","443745","413973","1102707","77129","215956","19660","311536","59149","50067","220816","194649","19308","6859","307933","1382498","417915","347","2713880","5999164","3871482","1000075","163257","92564","3196","14630","0","27973","0"
"15","Республика Северная Осетия-Алания","209710","157813","2421","49476","322159","56195","22225","3097","0","60500","378","4606","5859","78","70","4","327","912","2080","207","0","207","3200","126","10921","42840","47989","0","0","0","0","0","45850","0","0","0","57397","6521","1054","260","10878","0","0","9831","222756","150363","68660","3733","181540","141398","4526","35616","158278","212270","81361","113867","147194","77660","2064","63","38381","0","0","41901","27633","91071","16610","62077","9317","22014","15169","12805","0","2364","48131","113368","93052","27","712464","1039847","990032","180889","31250","26922","3319","7556","458","1406","0"
"16","Республика Татарстан","2511958","2389428","114847","7683","24476055","1694346","284310","482894","96568","310018","2120","76866","111499","22384","0","17302","214465","469716","40468","1231211","0","1231166","4006186","100617","1481672","671852","2415914","37842","0","0","116488","62489","2510","0","79295","18161","834615","1108092","1276308","4043712","2759583","370447","2377804","1604411","2557613","2171302","15020","371291","683708","475717","16532","191459","10615045","8858750","3604487","2868429","7343346","5557779","106866","7091","1903616","115260","268219","1160754","241334","1420284","257614","3985488","123364","447915","1747885","1531618","153284","62983","1541212","5514367","2174059","96629","4070944","10825508","8093558","1858988","694833","466390","41634","182216","0","158255","0"
"17","Республика Тыва","72498","33318","39180","0","31256","4666","965","0","0","200","0","1555","9","40","0","31","494","327","607","0","0","0","0","0","0","21397","103","0","0","0","0","0","0","0","0","0","1343","0","5","0","0","0","0","510","164339","94029","0","70310","12964","12885","8","71","174708","63923","5596","54068","102010","32970","0","-70","0","0","18457","33085","17498","28582","8254","70805","5572","35705","9294","9281","0","13","28043","137323","49562","26","703928","1271989","765246","132457","14193","21081","716","8462","0","349","0"
"18","Удмуртская Республика","1111135","1050950","59043","1142","11830795","665990","103291","325190","0","80277","1325","19176","139725","6239","0","3391","379979","37359","29742","0","0","0","92633","4867","115167","220544","4526739","242508","0","0","10011","1943","1907","0","17706","10491","3292599","778933","571050","143974","313507","0","289413","410970","793869","466490","130836","196543","245232","113011","3182","129039","611676","1838802","629323","953634","1174521","733830","3980","981","152497","6642","92743","279173","62133","492720","32329","499618","21558","29634","160318","146156","7144","7018","398743","1195607","695730","1612","1253803","3081273","2682930","522240","130425","116753","15209","47102","6","8337","0"
"19","Республика Хакасия","95055","77397","15674","1984","1432705","126913","22262","29789","0","195905","0","1010","1422","172","0","25","5749","6560","4755","0","0","0","1570","0","13731","78008","716945","82170","0","0","32","385","610972","620","0","0","386","666","13243","69194","25710","360","0","170766","454298","381486","0","72812","71098","44074","20316","6708","339689","391240","121762","219736","302022","193245","43810","688","0","8","55","87492","21222","80926","23608","69422","12950","17546","40044","33582","5012","1450","102071","145358","230987","547","865046","1205381","938004","168099","40644","27239","2693","7169","0","2188","0"
"20","Чеченская Республика","76825","54507","22224","94","356150","9190","2234","3286","0","13162","1039","1886","5612","10568","0","10368","1932","223","966","26","0","26","2552","0","7017","248777","10741","25","0","0","1543","0","0","0","0","0","547","822","2780","16689","0","0","0","21621","331653","166916","142069","22668","58420","43692","4009","10719","1087419","429298","159014","251111","381929","256420","975","2733","61442","472","110","41190","83737","78165","9454","106258","10834","40621","118511","5783","95","112633","45757","164360","180265","23990","1017339","2804205","1231812","260545","104317","27389","1527","3428","0","10833","0"
"21","Чувашская Республика","515127","495872","16927","2328","5227807","563461","71402","56774","0","53160","0","49192","184999","32300","0","32277","138898","42671","24627","136","0","136","286915","133","72138","240800","826777","0","0","0","917","3846","0","0","131295","20713","566428","1106761","252883","405706","148395","66","49480","231427","417408","370602","300","46506","162326","72044","32531","57751","954176","1269002","669145","411597","434036","293016","1930","2425","57833","35711","0","53322","51987","286250","24888","280338","12626","15469","48521","34040","10997","3484","273296","676121","249080","1147","865443","1882463","1806474","208376","20798","67981","7858","34007","0","3781","0"
"22","Алтайский край","2231080","2123405","98170","9505","6582888","1372666","139453","332485","68412","230892","0","54299","33318","3667","0","2268","130224","25078","34748","278965","278965","0","222422","225331","430675","217946","1443215","7597","0","0","273","2834","13646","0","57684","45602","116948","93473","368529","319246","800174","9596","2","181072","1280920","957565","58703","264652","254968","173107","3447","78414","1198674","3339687","1307938","1749287","1067531","535740","30366","980","31454","8016","52","426623","97100","419094","72804","287831","23003","52352","68769","59276","120","9373","391158","755597","373920","1793","2629909","3796136","3492224","445540","127173","118874","12742","56264","58","49633","0"
"23","Краснодарский край","5955670","5846259","45846","63565","9444246","3032772","297797","429072","465230","592769","1605","57423","133159","49957","377","47814","42551","162548","90734","636899","0","636899","329291","118558","332724","952875","1501162","494779","0","0","5275","58822","38582","4","2396","1389","62726","113474","526180","3961","203957","41900","1520","498921","1734586","810088","474838","449660","1549699","788598","70400","690701","6973417","26010794","4146729","21158750","9816661","3573168","88242","15044","1635065","87757","85920","5831484","238332","3074914","1226798","1990837","61618","672672","1380254","1209860","80116","90278","1999699","4780047","2080827","10127","5891557","10396995","10271273","2337848","937127","415849","64009","156625","40","68375","0"
"24","Красноярский край","2028331","1420464","566625","41242","15024116","512315","143261","106699","11","58265","0","21641","38193","4109","0","3982","554382","12665","27461","376699","0","376521","413359","41966","100832","517179","8327497","1843","0","0","0","49122","7609927","475750","14492","14163","163524","192972","294744","226838","916111","18931","469372","2223364","4928785","4316802","65219","546765","1005999","263978","129644","612377","4041727","5334166","2139389","2619232","8911495","4681453","1847619","92193","193382","678717","826267","2555335","169723","1094812","179813","1103379","65251","266174","126886","115884","3552","7450","919809","4478966","2156126","8010","5305114","8921784","6864782","1734062","595107","219543","33896","68138","90","20247","0"
"25","Приморский край","1849316","383702","263755","1201859","4681071","713375","240219","53904","0","66871","0","19474","17761","847","0","843","208170","17060","27275","67","0","67","178200","27758","42132","308608","156834","27351","20063","0","0","2041","7601","0","37492","0","140388","15665","87618","36796","1344476","466350","709730","1271696","1500244","950742","3944","545558","440702","314788","11878","114036","1389774","7502628","1912846","4939898","5392285","905338","85279","3904","200357","431915","163183","3750484","141365","478238","103253","789771","16874","205211","732200","703229","16654","12317","784559","1975015","867932","5236","4711006","4600565","4434693","835373","249117","169483","20656","65382","228","154676","0"
"26","Ставропольский край","3612738","3580477","20527","11734","3290852","536570","73305","175526","21303","236032","594","14129","77393","32462","3669","27152","8632","8110","73782","106","0","106","732705","91291","96513","206215","169454","23876","369","0","1684","309","6664","0","966","966","321272","267239","87730","32036","49143","0","1121","249444","1774069","1153600","343311","277158","470792","382755","2320","85717","1199143","2357239","1159531","881924","1783579","802955","408","3896","429262","27","1172","846631","132794","463935","67157","311013","18217","43013","100878","63338","1338","36202","429634","910192","529797","3752","2449041","3471249","4803818","471472","126546","75807","12594","504","6","30224","0"
"27","Хабаровский край","1219288","111696","325862","781730","4602539","284602","83833","26740","0","19163","0","2365","7878","76","0","49","110119","4151","11926","630587","0","630587","75728","73988","66917","221946","697051","239516","0","0","1578","953","314431","314431","20599","0","1052","19722","26711","6012","2156560","392977","1761228","185985","2657978","2205108","151313","301557","384972","231896","11641","141435","2712764","3713873","1591415","1885196","8561638","6279598","4925400","1531","740068","95598","209424","1867305","109713","366050","51410","544270","17974","255847","54702","44311","2780","7611","541063","1650867","972783","2982","4940620","3354136","3299236","629672","247316","175204","18914","71445","0","14776","0"
"75","Забайкальский край","195984","75779","119789","416","1401413","80505","27852","8185","0","13158","0","220","1339","51","0","40","7139","23","2552","71","0","16","590969","100","8271","51784","509643","443","0","0","31","696","464350","2017","1515","0","67","389","7014","16","40837","36","429","87265","749097","508652","2739","237706","102168","63653","9619","28896","1269997","853745","273222","487374","4098972","3525749","3296810","344","0","56","12896","506958","53313","200846","20790","115293","5416","28707","81484","67002","14128","354","200762","1040675","410935","3213","2687928","2794257","2333203","432613","56288","78577","5708","19368","80","27630","0"
"28","Амурская область","826410","726863","99466","81","1240583","348880","24601","162616","0","6851","0","811","401","0","0","0","13912","2680","2468","267","0","267","544496","0","13030","65994","100660","147","0","0","31","207","0","0","0","0","107","2274","1344","393","67536","33341","0","68479","987569","536187","7274","444108","95733","38422","3434","53877","1320002","1093448","373758","605464","928843","575778","269420","729","91834","28140","14350","257988","52587","145378","21250","114507","4795","31129","830468","827695","578","2195","235035","1272450","316915","667","1884891","1894432","1883981","244213","54913","53124","5560","24135","0","762511","0"
"29","Архангельская область","884469","126671","514897","242901","7055385","171824","36959","27539","0","27819","0","2756","17009","93","0","0","468983","996400","8335","32","32","0","52161","13278","9317","37491","37796","0","0","0","0","200","2776","0","6360","0","65768","2875","125960","400","4853405","4815912","36193","163683","729045","414518","68979","245547","206587","129383","20128","57076","665513","982870","283664","579502","1578410","362353","13272","925","118545","217916","269817","653966","74358","274165","27702","192997","15752","46764","162634","158394","0","4240","365002","509006","278982","877","2376229","2501473","2445918","411702","73304","93781","8206","40763","0","5017","0"
"30","Астраханская область","391522","304875","2714","83933","749945","91468","7190","1012","0","3551","0","27408","5718","12135","0","11994","1391","5526","4580","467","0","467","8966","0","20072","30835","72164","2454","0","0","10286","0","0","0","3784","0","2843","54","426","0","350181","298482","560","112160","398829","304766","8719","85345","176720","117991","2458","56271","577951","607172","206409","363028","707430","228428","72484","6486","89001","88856","0","335710","54436","156453","28345","103274","5037","22128","30852","27543","369","2940","124842","362671","213529","2942","1296986","1412916","1552345","215158","74542","45787","7083","13998","0","9637","0"
"31","Белгородская область","3780689","3749701","17566","13422","6550787","2339668","892192","280146","153576","44449","88","34847","14664","6849","0","1195","12342","118915","86582","145","0","145","96836","71984","100913","470167","1559172","914388","0","0","6517","14601","20999","924","3673","0","112937","60151","1014493","98488","71435","20","65538","235662","890052","476891","169886","243275","257513","153948","4134","99431","1357253","1788939","1034939","555428","1046420","748646","6539","3484","22012","0","0","236251","61523","280145","33929","409340","22753","35820","119591","91348","927","27316","339226","843376","610239","377","1443618","2850747","2312869","484159","106743","97485","9444","25341","0","6459","0"
"32","Брянская область","942110","894749","46600","761","4628686","1305532","737849","279640","19510","54243","38929","9337","78308","6188","0","5486","70763","124988","10905","69","0","69","150839","26","64376","392190","825906","0","0","0","1322","60","17507","0","161375","88","95619","114664","249917","291197","450167","0","25148","294523","532774","255820","107177","169778","139670","92567","3085","44018","613927","1477187","615646","687382","1016836","841150","2140","1959","531433","19","0","106052","69615","192777","28410","170328","12038","15023","36236","35491","91","654","246356","341339","429092","612","1080837","1547420","1609788","257153","77647","74995","9569","34950","0","3079","0"
"33","Владимирская область","557944","482361","71939","3644","9514340","1812684","960848","16806","0","54319","0","200995","160620","13329","0","10725","333383","49447","39976","219","0","219","196704","605531","390915","576949","2107253","176","0","0","42227","9004","24992","0","35425","26275","581735","519326","657364","235701","405601","4500","90057","572289","788333","449051","153083","186199","220594","124034","39570","56990","467611","1975496","766928","1020707","1266743","873251","5975","5309","38036","672","0","336048","56772","240538","50079","276957","15118","50854","56885","37438","8688","10759","541282","1540156","336591","2755","1429074","1877678","1981178","380458","87024","86465","11909","31360","1966","6325","0"
"34","Волгоградская область","1644640","1588791","40515","15334","6025825","677511","37878","117294","0","15941","53234","93332","30584","1497","0","44","11653","17883","50630","310136","0","309902","1724540","10191","285106","634716","1154156","445336","0","0","72572","1506","250535","0","14596","92","71324","42539","461631","69806","22834","18593","0","286581","1201059","710503","247196","243360","304674","219621","12996","72057","997546","1745520","784907","686810","1896976","1159785","14141","2120","529594","17357","331","616507","102996","438811","28185","449314","20055","60173","60793","53189","1821","5783","430469","1934193","674091","3958","2352256","3140978","3615083","431234","132931","145718","15761","53565","0","14096","0"
"35","Вологодская область","1131147","567218","535927","28002","9856899","497546","46942","200244","0","27736","0","37557","44260","700","0","2","549020","154972","14603","17918","17905","13","3010748","25184","43527","140590","4068641","3033123","0","0","27748","306007","8137","0","6044","5116","49757","24191","244450","56806","10043","7431","235","838650","786042","508509","83372","194161","206239","120768","16757","68714","1051123","1914097","1124326","577805","1355173","534624","25476","1066","224605","20453","101389","630365","68342","325286","26456","641248","28948","28975","188442","180853","0","7589","293596","752950","364584","1267","1554791","1920076","2014798","407341","170290","103747","9642","46324","5","35664","0"
"36","Воронежская область","3203325","3135176","59916","8233","7000074","2278812","154675","481992","211011","105878","543","11373","43248","2884","0","1143","31000","45040","60695","0","0","0","559867","10902","197835","516158","844351","8143","0","548","107200","173","39775","0","61909","40244","443608","329217","625182","5320","603788","2409","342729","284373","1777549","1208097","234896","334556","275213","181205","11412","82596","1694183","4078302","2362098","1283022","3376045","2583762","1694815","1447","130974","324","814","690321","100824","467992","54659","590808","27886","97444","182938","114395","36957","31586","610946","3254875","1260821","5139","2298767","4383085","4227373","558747","184253","197394","30100","65381","0","34246","0"
"37","Ивановская область","219942","194877","24918","147","2877359","258531","14685","34585","0","6948","0","885370","452535","1481","0","761","88814","5408","16538","0","0","0","94844","31422","107863","52486","256792","3945","0","0","0","190","1191","0","22624","22113","104705","61107","168291","90064","38","0","12","194122","522725","255183","100946","166597","144926","76611","6619","61696","572081","826084","448568","310814","630073","440517","296102","1791","28082","1638","0","142945","44973","141304","22941","169890","12841","34455","54615","40840","7137","6638","223210","378476","224556","419","939544","1442908","1340528","218369","58216","67213","5553","40428","0","8108","0"
"38","Иркутская область","1591721","903531","685133","3057","8653802","363809","37846","21575","0","74609","1821","4116","29279","4475","95","4379","738488","1008479","17943","830363","0","830363","851319","281902","85878","307264","1977430","63894","0","0","0","379","1711986","175374","-12716","-12716","13439","213395","149941","58300","1252449","1415","1248957","389103","2755991","2300275","11761","443955","425284","267688","15432","142164","2584180","3424174","1497044","1512046","8072582","5914654","3646808","3271","1368818","105141","314196","1612266","126325","625605","158245","531509","24283","110395","181781","165708","3168","12905","545161","2334335","1268408","2181","3668871","6362834","5032144","673013","137736","185211","18341","57429","64","20776","0"
"39","Калининградская область","841436","587504","5203","248729","2556694","845629","238438","70931","0","40528","29106","44858","10052","4798","0","3884","15942","63141","9721","172","0","172","68505","38521","73436","124555","260240","667","0","0","6865","2748","370","0","872","0","40376","57624","86288","119576","439831","434702","36","183795","491784","247718","86118","157948","213521","158394","24540","30587","1024622","2300421","652639","1452292","1331804","672554","188150","2089","23226","80030","353","504781","74086","541997","98276","350149","12244","40220","1077540","1067458","869","9213","372529","960245","457372","6270","1690690","1777079","1943882","384340","126870","122224","14593","46601","0","67595","0"
"40","Калужская область","934076","890384","41934","1758","9210134","1251060","682383","120114","0","26111","23434","49505","115313","4148","0","3742","163149","538352","9417","47646","0","47646","201478","275443","393643","887725","1724504","157337","0","0","82","3035","43398","0","71082","64602","971281","258166","566846","1087809","381558","48295","134984","233546","583355","253844","153506","176005","213834","120033","10761","83040","996338","1578426","1052430","391294","695576","405299","12077","4521","49693","0","23860","212013","54404","256243","46115","310313","22117","26120","142505","136851","1513","4141","374005","1072424","370758","6105","1422428","1879424","1788108","343729","101083","74145","7263","26658","0","9049","0"
"41","Камчатский край","3666425","87051","39540","3539834","930806","722541","19114","39089","0","19329","0","563","203","0","0","0","1113","161","2307","0","0","0","616","0","2418","9380","9043","88","0","0","0","945","0","0","0","0","0","14","6427","0","2185","2185","0","154506","953058","781964","917","170176","178208","127020","1931","49257","382291","559118","248746","276387","764101","189622","0","1147","27831","46636","87382","406881","33580","161810","68990","116216","4477","31625","15469","15112","0","357","151713","663729","184901","259","2214577","1667830","1428631","282825","53756","40336","2994","10715","0","14517","0"
"42","Кемеровская область - Кузбасс","692187","656021","32077","4089","5135618","564334","161713","89643","0","41417","0","5922","68567","1219","0","654","28741","45885","7672","358640","211449","147191","912497","101558","69852","283003","1252548","411759","0","0","82","226","217500","7","2527","1117","29756","177550","396091","10338","143918","645","618","636110","2401069","1712839","25171","663059","507944","276710","20146","211088","2443814","3513136","1449081","749151","3241035","2644400","345441","3015","44712","912","473","507539","87711","501626","83257","512774","10278","139333","140965","117792","6308","16865","617623","1392374","1081739","981","2692828","4245880","4538520","707042","227457","155938","13618","49179","507","30591","0"
"43","Кировская область","1067179","906882","159189","1108","6336484","684634","116856","145085","0","47451","0","5612","148305","90128","0","66058","499010","50397","49274","0","0","0","593585","123306","246158","59873","2622838","214607","0","0","18471","2258","92455","0","615","615","43686","566799","91918","18835","131782","12071","71023","262893","728681","477174","85055","166451","206207","114901","14791","76515","663834","1403210","523841","780193","746122","434066","7030","1516","30751","1679","0","245585","64792","365437","22532","180839","15016","16493","113779","110941","1599","1239","225991","580120","229969","2780","1303531","1988598","2140401","291493","56769","72329","11153","23678","0","9084","0"
"44","Костромская область","329619","228456","100054","1109","2249377","146288","34565","33353","0","34555","0","19134","53482","25416","0","25110","297685","22209","26584","0","0","0","113736","40794","44021","56940","397210","3555","0","0","70095","12683","4171","4171","35","35","802","23792","118058","150996","38319","35509","0","639356","418647","184844","100463","133340","99920","70139","2264","27517","302623","618668","220869","342457","419684","214367","804","570","0","2714","9256","156696","36651","144423","27722","155419","7001","28059","3394389","3393957","0","432","109158","219377","194736","533","773021","1019812","853718","171680","41087","41159","5094","17332","16","2709","0"
"45","Курганская область","456959","410049","38414","8496","5374497","794424","77653","525347","0","33911","5","3219","19495","1978","0","539","68659","24024","7325","2042","0","2042","4021","172847","10458","165989","1582760","15650","0","0","0","926","2227","0","15860","1057","6809","39315","503004","459124","1372754","0","31","102334","259628","74","62339","197215","138372","94535","1894","41943","366784","1051477","508820","463697","400525","301647","9061","333","217427","209","0","58569","40100","123604","12209","931621","8841","15786","36367","31181","2139","3047","142323","580490","215341","663","968917","1500176","1451778","184458","31925","41002","4279","18135","0","4745","0"
"46","Курская область","1626536","1619192","5321","2023","2964233","1033498","334680","60777","181666","15727","3773","51087","44303","30264","0","29800","16158","113299","7570","245","245","0","62310","191163","315573","61102","141762","13348","0","0","0","20","14895","0","394","394","273101","300949","122160","44476","87441","0","0","48272","1740554","1472347","129175","139033","112709","64008","8221","40480","542858","971222","491103","428882","583858","356432","472","1288","65997","255","0","173303","53868","157934","21836","169720","11141","28477","20654","18777","0","1877","179334","548761","273865","465","1219246","2427905","2013315","276855","54661","65555","8844","15835","0","2757","0"
"47","Ленинградская область","1713592","1445821","215559","52212","12596262","1402486","355011","67396","271","48083","340373","211676","55086","7307","0","1478","269237","978510","84738","879883","0","879883","1683188","42592","655533","1219611","1280153","42049","0","0","15786","36156","264782","115","9932","6476","223663","400549","568914","106633","1326595","673457","7397","811452","1916464","1283404","202525","430535","741517","408972","20714","311831","3280070","2436252","1149080","854189","3143911","792930","10787","7905","243506","32391","8522","2300814","9254","587405","103023","347707","18607","45781","63754","26213","271","37270","951104","1521292","871329","3008","1573990","3520617","3350307","894565","384923","208769","18228","102888","583","206202","0"
"48","Липецкая область","3328452","3279893","45378","3181","8418160","1375760","224841","76684","209541","156891","26195","4594","43187","3676","0","3676","12454","195426","18672","0","0","0","193431","54858","200101","204386","4213665","3645974","0","3645750","513","46164","4221","0","129263","128358","22233","957182","365751","72026","96621","0","528","201051","565927","282577","131364","151986","241004","122426","5240","113338","1064097","973564","493345","372239","657271","456881","3304","2105","69383","0","0","154896","45494","186735","18259","357144","19199","23608","44815","37222","0","7593","226763","579108","406893","383","1212394","1985600","1890721","312414","104415","80188","8406","23770","280","63109","0"
