GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176
Сахалинская область;1549746;10910160;0;880410;92809500;26000;34250;253817;0;0;0;0;24899924;292161;492473;0;-2695804;0;0;0;0;0;158367;0;0;0;0;0;225854;0;0;0;0;0;-234948;0;-39255;0;0;0;0;0;10113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148455;0;0;0;0;5;4766803;2424761;234464;674565;604;0;259387;0;0;0;0;0;0;69202;0;0;0;0;0;13741064;7950;2232;87315;204059;0;0;246772;0;0;0;0;14238;5759;453016;1561;0;-178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-36;8;0;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7355;2452;480;-2486;2;236;8806;50;1130;-25;0;0;0;0;735;562;281;19183;2828;-20;0;0;0;0;0
Свердловская область;8188130;56466772;2747965;26544735;0;86257;841188;353830;2647455;843977;551;395554;92329844;961600;1322845;4429;83592186;0;0;0;0;0;0;0;0;0;0;0;5204808;0;67;0;0;0;-1389487;0;0;0;0;0;80;0;11533238;209;0;0;0;0;0;0;0;0;7342;0;0;0;0;0;0;0;0;2449403;0;0;0;11690;18859;28286083;2169652;463715;2169838;13682;0;5074599;0;0;0;24344;7171;0;894175;0;0;0;9168;12374;0;0;0;159078;2244114;0;0;15;0;0;0;0;81869;3049;0;86;0;4;0;0;0;0;-5;0;0;0;3;0;0;0;0;-10;0;-1563;-5934;0;0;378;0;0;-2;3;0;0;0;17;-38;-4;2;0;-3;0;0;0;0;0;-29;0;0;0;-17;0;0;1;0;0;4929;0;65061;92598;13;3420;15;688;5630;2519;38;0;0;698;1011;98;1338;773;0;491;0;0;0;0;0
Смоленская область;1053394;7882909;0;2577918;0;22582;6162;80911;671;627;0;0;13450643;147293;225493;0;-477125;1652;0;0;0;0;0;0;0;0;0;0;950827;1;6011;0;0;0;0;0;0;0;0;0;0;0;12658512;0;0;0;0;0;3579;422;0;10029;35205;0;0;0;0;0;0;0;0;100841;0;0;0;39787;57863;3560721;594770;143086;816768;4695;0;198677;0;0;0;107291;115596;0;70720;0;0;0;120856;75707;0;0;0;34675;24;0;0;0;0;0;0;0;22729;4166;0;6;0;3;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;-40;1;0;0;-60;0;0;103;10;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;64;0;10998;25258;206;3600;0;3080;3419;1497;0;0;0;0;1552;639;1077;0;0;0;0;0;0;0;0
Тамбовская область;431402;4164384;0;935681;0;1947;15626;3470;0;0;0;0;11199446;100166;189803;0;4872645;58533;0;0;0;199901;0;0;0;0;0;0;365673;16321;454;0;0;0;0;0;0;0;0;0;0;0;266438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;257467;0;0;0;58552;24127;3187517;136659;184056;1034010;3105;0;716413;0;0;0;240618;64633;0;198369;0;0;0;316835;32921;0;0;0;12102;252;0;0;0;0;0;0;0;34985;242;0;0;0;0;0;0;-1;0;0;0;0;0;1;0;0;0;0;0;0;7;-1;0;0;0;0;0;22;10;0;0;0;25;17;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;98;0;0;15607;0;766;0;0;243;-992;0;0;0;-80;845;273;1150;-3009;0;0;0;0;0;0;0
Тверская область;1106551;9579997;0;4825680;0;16505;7753;87806;0;205;0;0;18863047;110089;289357;5090;16158468;0;0;0;0;521;961;751;0;0;334406;142287;1542982;376155;105;-7970;0;0;-9917;0;-12385;0;0;0;597;0;465125;0;0;0;0;0;0;0;0;0;5340;0;0;0;0;0;0;0;0;235761;0;0;0;82294;89569;7293101;765022;188275;1174775;3495;0;589904;0;0;0;354930;268712;0;193924;0;0;0;460492;131429;0;0;0;52000;730;0;0;0;0;0;0;0;46396;4092;0;5;0;5;0;0;14;0;0;-1;0;0;-43;0;0;0;0;0;0;152;116;0;0;-26;0;0;843;17;0;0;0;5;236;9;0;0;0;0;0;0;0;0;-2;0;-25;0;-2;0;0;13;0;0;112;0;1058469;28184;0;712;0;114;2135;408;0;0;0;9;883;206;8013;101;0;0;0;0;5;0;486
Томская область;2169113;13688169;0;3785104;0;178074;23899;18692;0;188;0;0;20124472;197955;247201;0;67012009;0;0;0;0;0;427027;-309;0;1405;0;164708;3379408;30622;0;0;0;0;-9360;0;738798;0;0;0;0;0;340799;0;0;0;0;0;0;0;0;0;365;0;0;0;0;0;0;0;0;652340;0;0;0;41041;11859;6630761;499525;148545;705682;5964;0;983425;0;0;487;58129;13720;0;151171;0;0;0;79335;10483;108526433;3121585;2319227;22388;141;0;0;0;0;0;0;0;36498;8438;0;498;0;8;0;0;-3;0;0;0;0;0;0;0;0;0;0;-22;0;4;10;7;0;-54;0;0;0;0;0;0;0;1;0;-4;0;0;1;0;0;0;0;0;1;0;-3;0;-3;0;0;0;0;0;43828;0;2071;49272;0;785;0;0;6309;817;0;0;0;-116;2015;574;1968;0;0;5;0;0;2;0;0
Тульская область;3424799;24721466;0;1138447;0;58178;80401;100019;0;257;0;0;23781491;207510;450759;0;223756;112618;-646;0;1134;0;0;294;0;0;0;0;7298681;4372950;172;0;0;-519606;0;0;0;0;0;0;0;0;651766;0;0;0;0;0;0;0;0;0;3612;0;0;0;0;0;0;0;0;439417;0;0;0;35164;89220;5763277;279865;228813;1268526;7781;0;874657;0;0;0;183100;261895;0;349805;0;0;0;391625;116534;0;0;0;180383;15466;0;0;0;0;0;0;0;68237;1066;0;0;0;2;0;0;3;0;0;0;0;0;-12;0;0;0;0;0;0;-212;172;0;0;1887;0;0;505;424;0;0;0;2;7;0;0;0;1;0;0;0;0;0;-2;0;-2;0;2;0;0;2;0;0;118;0;32612;101089;7;4540;1;247;7575;11467;0;0;0;135;0;0;777;0;0;0;0;0;0;0;0
Тюменская область;8551481;57582771;0;7021137;0;48904;578292;47314;0;83828;5;179436;33061660;212532;4077870;0;59917602;7426;0;0;0;0;88355;-11019592;11;4513866;64417;70710;232253;1650982;0;0;0;-2114332;-4420;0;956324;0;0;0;0;0;405075;0;0;0;0;0;0;0;0;0;5516;0;0;0;0;0;0;0;0;369065;0;0;0;43662;0;10846359;666491;357685;1050428;2980;0;703534;0;0;74;120942;0;0;204700;0;0;0;203725;0;141292251;0;0;77143;2188;0;0;0;0;0;0;0;26503;4864;-7;257;0;-3;0;0;0;0;-4;0;0;0;0;0;0;0;0;-2;0;57;-42;0;0;-139;0;0;48;0;0;0;0;2;-14;-1;-21;0;5;0;0;0;0;0;-29;0;-1;0;-4;0;0;1;0;0;37047;0;9236;77798;0;3240;0;100;1835;103;196;0;0;702;0;614;108;4;0;-10;0;0;0;0;0
Ульяновская область;1435349;11685919;0;450099;0;36837;53299;1003;0;593;0;0;15069501;149878;251355;0;9882195;0;0;0;0;0;0;2658;101550;23381;0;0;8899964;4035372;41;0;0;0;-35426;0;15356;0;0;0;0;0;348565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203080;0;0;0;33487;37921;3475312;199429;163342;1005554;34544;0;436530;0;0;0;70308;63850;0;128447;0;0;0;126043;59059;6564751;0;0;12222;18397;0;0;0;0;0;0;0;24736;949;0;79;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;7;0;107;24;0;0;-2;0;0;613;0;0;0;0;0;78;0;0;0;0;0;0;0;0;0;-9;0;0;0;-1;0;0;10;0;0;4414;0;9029840;38061;20;7740;103;100;2001;424;4;0;0;4;66;168;1171;1;0;-25;0;0;-32;0;0
Челябинская область;7861489;51147494;0;4023229;0;31069;153040;1447663;12876;120331;7255;266626;61139142;848198;2527444;0;56805285;418;0;0;3;0;0;0;16;0;0;617432;85871;289335;574;0;0;0;0;0;0;0;0;0;0;0;10499777;0;0;0;0;0;0;0;0;0;10157;0;0;0;0;0;0;0;0;376126;405098;0;0;101890;74773;15661810;142794;600036;3015025;6082;0;1414891;1852570;0;0;260473;152508;0;176982;149715;0;0;323111;59909;0;0;0;208974;2170835;0;0;0;0;0;0;0;64598;3129;3;258;0;10;3;0;-2;0;0;-71;0;0;5;0;0;0;0;0;0;116;979;0;0;129;-906;0;478;-44;1;0;0;83;31;27;1;0;0;-9;0;0;0;0;20;-167;9;0;136;-10;0;12;0;0;6090;0;3625664;146355;13;-59;28757;697;5135;753;0;0;0;97;1514;892;708;4884;0;0;0;0;0;0;0
Забайкальский край;376932;6361024;0;1745593;0;228;3502;31983;0;0;0;0;18635011;233860;154102;0;677306;0;0;0;0;0;0;0;0;0;0;0;108600;0;0;0;0;0;-2821;0;0;0;0;0;0;0;22987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183902;0;0;1;20098;52902;5446503;0;99326;564052;1877;0;185476;0;0;43;68587;74741;0;71348;0;0;14;66385;66826;0;0;0;27699;2238567;0;0;579346;0;0;0;0;26922;10929;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;221;-3;0;0;0;0;0;47;0;0;0;0;1;22;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;14301;0;0;6618;1;2564;-3550;0;588;164;28;0;0;88;830;37;2358;0;0;0;0;0;0;0;0
Ярославская область;1665737;15164930;0;1268550;0;172507;27251;42026;0;18395;0;4416;22020175;193788;1703829;38438;26274483;0;0;0;0;437924;23578564;87575;0;19884329;33775;0;7190798;0;213;0;0;0;0;0;-19930;0;0;0;0;0;533762;0;0;0;0;0;0;0;0;0;2175;0;0;0;0;0;0;0;0;340470;0;0;0;56568;49032;5915438;960416;227987;1200671;3753;0;816352;0;0;0;351976;133628;0;132807;0;0;0;275640;42061;0;0;0;37646;826;0;0;0;0;0;0;0;8260;4589;0;152;0;-85;0;0;70;0;0;0;0;0;49;0;0;0;0;31;0;-107;46;0;0;26;0;0;919;-49;0;0;0;17;162;16;5;0;1;0;0;0;0;0;-6;0;41;0;-12;0;0;4;0;0;31;0;1793764;36332;5;1242;3449;1;1713;5565;4;0;0;9;404;50;793;11;55;1088;0;0;0;0;10
город Москва;163301905;650914241;60454702;109630353;0;9357033;35214657;122247748;1611395;40281252;726628;16314896;829921880;2890042;46898164;560758;904606881;109;1;0;15475;19256;29728297;-6108006;511007;13165264;5852;143530;1576687;1710405;9441;325722;0;-683946;-9083129;43780276;2362196;0;0;0;15934;0;70030503;0;0;0;15692;0;91707;41707;16;11404;616202;37107;0;0;0;0;0;9198499;18580689;0;0;0;0;0;0;146757081;24950;4641214;24148852;307189;18538072;0;0;0;0;0;0;742923;0;0;0;0;0;0;0;0;0;0;1918;218310;0;0;0;0;0;0;17854;0;11119;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-11;0;16065;7300;10;-559;0;0;0;0;0;-19;-2;0;204;661;-110;17;225;0;0;0;0;0;0;0;0;0;2646;0;0;0;0;0;0;121;136002;8974969;662121;388;34299;0;93670;732509;75984;0;0;0;17797;6;16176;8036;3801;1572;0;0;0;0;0;0
город Санкт-Петербург;34175651;146050607;466226;15990330;0;2668982;4338554;14931854;641798;6485894;88323;2047059;224586153;1546020;7318741;2645148;319574530;0;0;0;45142;259811988;0;0;2482493;0;5426;939105;9363274;5343993;366180;277300;0;0;-1989879;0;-1667303;0;0;0;3099;55758;8424364;0;22753;0;72;0;0;0;0;1047;104392;1226;0;2674;0;0;0;0;3652716;0;0;0;0;-28;0;38508480;13655;1722782;9770577;53490;5438037;0;0;0;0;0;0;335019;0;0;0;0;0;0;-88;0;0;5;30;15224939;0;0;0;0;0;0;3886;2693;7581;1;0;0;0;0;0;72191;0;0;0;0;0;0;0;0;0;0;0;31;-94;46;68;0;0;0;0;0;-2;0;0;15;-131;-8;0;25;0;0;0;0;0;-13;0;0;0;-2;0;0;0;0;0;0;0;14374;30414060;411412;545;10595;154480;1706;47638;1959;64;0;0;711;35956;951;1425;15791;5162;0;0;0;0;0;0
Еврейская автономная область;43432;647476;0;381143;0;0;100;0;0;0;0;0;3106696;18933;7055;0;-98872;0;0;0;0;0;0;0;0;0;0;0;98;0;8593;0;0;0;0;0;0;0;0;0;0;0;3237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44224;0;0;0;3651;5805;1481720;0;22604;130988;969;0;18035;0;0;0;10688;5654;0;10360;0;0;0;7798;8431;0;0;0;33793;48219;0;0;0;0;0;0;0;6270;1786;11;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;-4;0;0;0;0;0;0;0;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;5;0;0;1032;0;0;1382;0;0;8570;0;3857;1144;0;0;0;-36;553;60;136;0;0;4;0;0;0;0;0
Ненецкий АО;23941;5110678;0;3347397;3154250;326831;18249;6010;0;0;0;0;3929427;1968;16558;0;-4511952;0;0;0;0;0;0;0;0;0;0;0;4287;0;0;0;0;0;-21755;0;9518;0;0;0;0;0;380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10031;0;0;2;669;2513;5905580;0;11898;62759;60;0;14587;0;0;296;6348;2997;0;4241;0;0;-1;5461;2914;101447008;115520;13713;56174;0;0;0;0;0;0;3357602;0;4419;1;7689;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38922;281;0;342;0;45;0;0;28;0;0;0;0;44;0;0;115;0;0;0;0;0;0;0;0
Ханты-Мансийский АО - Югра;15871790;76542150;23458348;95438929;0;6095;3114896;795451;0;71049;0;514674;82130067;323616;238149;0;348203372;0;0;0;0;0;13200416;110279;0;6155022;0;0;72411;0;0;0;0;0;-1263341;0;454003;0;0;0;0;0;482684;0;0;0;0;0;0;0;0;0;2432;0;0;706;0;0;0;0;0;674593;0;0;4318;23256;84742;62143787;5460878;1357004;2066478;4804;0;870869;0;0;171764;74189;154790;0;195165;0;0;5257;11469;41567;2674601511;621356;15812;730167;605;0;0;0;0;0;0;0;198159;68;0;2271;0;2;0;0;125;0;0;0;0;0;0;0;0;0;0;0;0;6;339;0;0;-39;0;-6;-1;69;0;0;0;-2;0;80;8;0;0;0;0;0;0;0;-1;0;15;0;-91;0;0;304;0;0;158634;0;21376;44610;97;4934;2224;0;9030;6420;0;0;0;227;720;155;1170;30;0;468;0;0;0;0;0
Чукотский АО;685574;3997795;0;468418;0;61635;1218;863024;0;0;0;0;4582677;5138;87448;0;-4033695;0;0;0;0;0;0;0;0;0;0;0;4153;0;0;0;0;0;-12353;0;-6421;0;0;0;0;0;5398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1335;0;0;0;101;872;1204318;0;11759;10656;0;0;14236;0;0;121;811;2848;0;2646;0;0;0;17;85;0;2782;0;3350;3279013;0;0;3351;0;0;0;0;1267;950;57229;4694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;30;12;0;0;0;0;0;0;0;0;0;3;0;0;0;20;0;0;0;0;0;7283;0;0;1421;0;141;0;0;525;0;0;0;0;0;345;0;0;0;0;0;0;0;1;0;0
Ямало-Hенецкий АО;13071070;67035194;0;45048444;0;764808;1135587;4269372;0;7638;0;514575;51617515;105449;283100;0;232855028;0;0;0;0;0;405725;-100754;0;751806;0;0;1093;0;0;0;0;0;-348671;0;258915;0;0;0;0;0;20604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92859;0;0;210;9603;23749;33613707;37014260;575358;556884;3237;0;171985;0;0;1724;7751;12551;0;43062;0;0;2;1070;2285;269117792;589753355;111932322;360629;60629;0;0;0;0;0;0;0;31275;3;496;1485;0;-2;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-752;10;3;0;5;0;0;0;0;0;0;0;-6;0;-21;0;0;-17;0;0;0;0;0;-1;0;-3;0;0;0;0;-46;0;0;389913;0;0;59127;0;2258;0;100;1514;-126;69;0;0;-90;50;-183;289;0;0;6;0;0;0;0;0
Республика Крым;586547;5590705;0;0;0;85578;11957;41681;0;38654;-43;148658;23568234;212757;295210;0;4713175;0;0;0;0;1829299;0;0;0;0;0;981266;1409247;3010589;2875;1856;0;0;-450;0;0;35941;0;0;0;0;219046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2178945;1;75426;392230;12424;0;316108;0;0;0;131154;8756;0;75324;0;0;0;73214;790;119346;5832;30613;201948;74031;531740;0;0;0;0;0;0;35571;426;4723;-82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3994;615;0;17190;6;3139;0;0;6086;6525;18;0;0;1008;777;7656;407;1;0;1039;0;0;4;0;0
город Севастополь;129567;1505437;0;0;0;18005;1631;1;0;0;0;0;7114664;61908;90139;0;3907758;0;0;0;0;0;0;0;0;0;0;192908;3745;28381;0;0;0;0;0;0;-2520;686;45615;0;0;0;21154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;195830;0;21573;189463;3934;251149;0;0;0;0;0;0;7500;0;0;0;0;0;0;0;0;0;12141;0;0;0;0;0;0;0;0;1183;95;1354;474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5412;0;766;0;0;-2071;84;0;0;0;44;175;20;40;0;0;0;0;0;0;0;0
