GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179
  Ростовская область;4647817;37361133;8;7755647;0;0;0;301849;606423;198282;9;4598;0;5915;64038278;854568;1238852;0;32379627;3192;0;0;0;0;357;50175804;0;6265;0;0;-37;102329;20518;5160902;0;0;1146;0;0;0;-136690;0;-762039;58;34;0;0;0;-2631023;0;3295335;0;0;0;0;0;0;0;0;0;0;3772;0;0;0;0;0;0;0;0;0;903928;0;0;0;153319;81214;4227843;517077;623621;3416062;125999;0;4009941;36;0;0;509006;306985;0;1038208;0;0;0;918193;195579;0;253872;10415;171148;48474;-8;0;364435;0;0;0;0;39590;979;893;1350;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;726;4;330;0;0;3;0;0;0;1;0;0;0;0;11;6;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4827;0;6430216;40477;1344;0;1;0;0;0;0
  Рязанская область;1487054;10907865;-4;983912;0;0;0;3908;169328;206305;0;5406;0;1403;18879684;234610;290359;19;38776869;0;0;0;0;0;0;0;35934163;477317;0;23009402;82210;0;0;1441384;0;0;2791;0;0;0;0;0;-29281;0;0;0;0;0;0;0;1009915;0;0;0;0;0;0;0;0;0;1947;67;0;0;0;0;0;0;0;0;0;644893;-2;0;0;114004;98877;891550;174795;227522;1027724;56;141;982878;0;0;0;234417;125803;0;123372;0;0;0;241270;53594;0;0;0;56234;5897;0;0;804;0;0;0;0;25899;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;33;0;0;0;0;0;0;7;0;1;0;0;0;0;556;0;0;8;0;0;0;25;0;54;0;0;1;0;0;0;0;0;0;0;15;0;1;0;0;1;0;0;3429;0;85875;22260;5;0;0;0;0;0;0
  Самарская область;6265914;42518880;2;3049791;0;0;0;23840;285410;563149;29;62377;1974;38557;62438340;272822;786974;297;128612214;1755;0;0;0;0;0;456877;34582211;696637;559343;22179280;197259;67712;0;9018119;589551;0;15557;0;0;-1176122;0;0;794900;0;0;0;0;0;0;0;2253378;0;0;0;0;0;0;0;0;0;0;522;0;143;0;839;0;0;0;0;0;1030382;1392870;0;0;233140;63783;3520676;28813;838757;3701677;8093;0;1363653;1886068;320;0;344035;113427;0;188781;240892;0;0;406155;69614;111965468;0;0;72152;10226;0;0;0;0;0;0;0;74253;1239;0;214;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;186;0;0;0;0;0;0;11;0;8;0;0;7;0;0;0;0;17;0;0;0;808;8;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;22624;0;47737499;43072;0;0;12569;0;0;0;0
  Саратовская область;1513311;13596961;0;4285522;0;0;0;19658;50216;19121;2041;24019;0;1043;33522780;301685;308501;0;40367428;0;0;0;0;0;0;8405580;12145906;73910;0;7495204;0;0;0;550944;0;0;51;0;0;0;0;0;-28056;0;0;0;0;0;0;0;646471;0;0;0;0;0;0;0;0;0;6;0;0;134;0;0;0;0;0;0;0;564490;0;0;0;80213;258656;1610071;228386;499926;2346976;6685;1;346131;0;0;0;166143;304659;0;69305;0;0;0;319431;181889;9080133;571269;151268;67312;61;0;0;0;0;0;0;0;14138;1054;0;776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1866;3;87;0;0;2;0;0;0;0;0;0;0;0;12;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;33894;0;29309;27933;324;0;0;0;0;0;0
  Сахалинская область;1432979;9534109;0;294581;0;0;191223091;34644;4616;546876;0;0;0;0;31912656;83786;698229;0;-6034877;0;0;0;0;0;0;0;162594;0;0;0;0;0;0;266182;0;0;0;0;0;0;-163927;0;-561684;0;0;0;0;0;0;0;12229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;167259;0;0;0;0;0;1212518;555453;247055;566471;2846;0;347469;0;0;0;-108;0;0;71082;0;0;0;0;0;7273182;6517;6188;147626;303572;0;0;293501;0;0;0;0;19795;199;391909;2805;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7538;4012;0;10661;0;0;85938;0;0;0;0
  Свердловская область;8429131;59729307;2188462;18735934;0;0;0;311666;468729;25824337;-11589595;192576;2675;378390;104159535;655323;3168084;10121;103978262;0;0;0;0;0;0;40977;0;0;0;0;0;0;0;5811110;0;0;782;0;0;0;-1088852;0;0;0;0;0;0;0;0;0;12388970;1088;0;0;0;0;0;0;0;0;44;12272;0;0;0;0;0;0;0;0;0;1996802;0;0;0;7654;16537;5007231;304625;598433;2413578;7119;0;4288634;0;0;0;20188;8657;0;870770;0;0;0;9213;8835;0;0;0;262013;2879879;0;0;0;0;0;0;0;86808;-23;-579;97;0;0;0;0;0;0;995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;2;8;0;0;669;0;0;0;0;0;0;0;0;4;1;0;1;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;8101;0;48296;93092;665;0;98;0;0;0;0
  Смоленская область;933420;7027281;0;3281857;0;0;0;23720;11498;43597;703;1407;182;0;15111818;77863;462116;8442;5020072;6207;0;0;0;0;0;0;0;0;0;0;0;0;0;587294;0;0;2928;0;0;0;0;0;0;0;0;0;0;0;0;0;18842802;0;0;0;0;0;0;1163212;0;1269048;11104;10074;0;0;0;0;0;0;0;0;0;109420;0;0;0;26406;54619;968928;138166;348609;930778;3136;0;227843;0;0;0;91314;107227;0;70329;0;0;0;118415;57983;0;0;0;41817;0;0;0;0;0;0;0;0;31176;4442;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;1;0;1;0;0;0;0;0;20;18;0;0;0;0;5;76;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;48;0;33069;15249;0;0;0;0;0;0;0
  Тамбовская область;777323;5529963;1;484063;0;0;0;3551;65506;52072;0;1890;0;326;12685308;141993;178104;0;5408930;287676;0;0;0;0;0;2115;0;0;0;0;0;0;0;366511;205663;0;447;0;0;0;0;0;0;0;0;0;0;0;0;0;392744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323826;0;0;0;63000;28949;771956;19841;218147;1042224;0;0;514573;0;0;0;261933;58836;0;129733;0;0;0;262716;29065;0;0;0;10750;735;3;0;0;0;0;0;0;36341;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;11482;3;0;0;0;0;0;0
  Тверская область;1272235;10320078;0;5449179;0;0;-5;8148;40968;136997;0;1396;0;425;21422414;147147;287254;-1;19062333;0;0;0;0;0;0;969;0;1705;0;0;381603;85778;0;1424054;263248;0;1065;4934;0;0;-12252;0;-25184;0;0;0;1545;0;0;0;465751;0;0;0;0;0;0;0;0;0;0;9449;0;0;0;0;0;0;0;0;0;283452;0;0;0;83122;83068;1932563;180836;251158;1391506;2205;7;621686;0;0;0;413209;228225;0;224755;0;0;0;388335;91176;0;0;0;35876;626;0;0;0;0;0;0;0;59130;4789;0;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;33;7;37;0;0;82;0;0;1757;2;4;0;0;0;6;313;6;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;252;0;0;89;0;1093715;36320;0;0;2782;0;0;0;0
  Томская область;1155777;7840531;0;2150948;0;0;0;1823;16337;19330;62;0;14;2338;22835996;56738;177360;0;47723019;0;0;0;0;0;0;1180;553500;-89;0;335;0;235570;0;3222523;200254;0;0;0;0;0;4488;0;1358755;0;0;0;0;0;211778;0;176889;1034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;319218;0;0;0;35597;12145;1437373;92897;222845;956102;5334;0;1162428;0;0;477;132058;12692;0;118168;0;0;0;71683;8187;54695754;1921671;1407480;32259;91;0;0;0;0;0;0;0;44362;4632;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;848;16;205;2;0;5023;0;0;0;0;0;0;0;0;39;0;99;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;46832;0;21;17855;0;0;2991;0;0;0;0
  Тульская область;2691898;21222429;-2;571749;0;0;0;68089;68969;260724;0;1;0;0;27395793;141298;293401;2726;11904073;703129;1191;0;1002;0;0;0;0;0;781391;0;0;0;0;8258094;9093085;0;15442;31;0;-555550;0;0;0;0;0;0;0;0;0;0;959157;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;395507;0;0;0;45533;96158;1413424;66649;278561;1487527;3772;-7;834452;0;0;-65;212952;246309;0;303688;0;0;0;335288;89825;0;0;0;197663;24100;31;0;0;0;0;0;0;90160;1251;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;778;0;-361;-58;625;0;0;660;0;0;-87;660;0;0;0;0;27;-110;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;-137;0;0;87;0;2678388;57508;23;0;0;0;0;0;0
  Тюменская область;4162937;28110361;0;6568428;0;0;0;24265;472597;16374;-268;51123;0;62275;36090205;195952;512845;1039;77879789;33031;0;0;0;0;0;0;3293118;-13862402;0;2967888;60494;86368;0;251296;986386;0;12;0;0;-2383752;-56353;0;90866;0;0;0;0;0;0;0;384718;0;0;0;0;0;0;0;0;0;0;2646;0;0;0;0;0;0;0;0;0;680236;0;0;0;52074;0;2811198;109985;439165;1628586;2750;217;671751;0;0;74;113618;0;0;192405;0;0;0;174461;0;84459214;1190;16417;85323;4284;0;0;0;0;0;0;0;23713;1492;0;604;0;0;0;1367279;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;13;0;12;0;0;2;0;0;28;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;43215;0;14442;30631;0;0;10;0;0;0;0
  Ульяновская область;879869;9395712;0;212820;0;0;0;10576;45886;75208;17433;358;0;0;16462620;158394;153471;0;16905500;0;0;0;0;0;0;4;0;1883;97585;0;0;0;0;10593946;7348259;0;2;0;0;0;-70067;0;23728;0;0;0;0;0;0;0;406767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;398457;0;0;0;29920;49815;725953;46423;195389;1120619;39053;0;444511;0;2;0;72987;59200;0;122936;0;0;0;110673;54436;3837357;0;0;16366;13845;0;0;0;0;0;0;0;28960;88;0;58;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;1;0;7;1;1;0;0;1;0;0;-302;0;-5;0;0;0;0;-333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2793;0;8685268;18046;10;0;27509;0;0;0;0
  Челябинская область;5238302;39643905;3;2949854;0;-299;0;36761;270415;1139876;469;113798;53;369037;69883235;730406;1015846;3271;71150505;308;0;0;0;0;0;0;0;0;0;0;0;305343;0;114738;966056;0;3092;136135;0;0;0;0;0;0;0;0;0;0;0;0;13204030;0;0;0;0;0;105;0;0;0;0;23265;0;0;0;0;0;0;0;0;0;411337;456251;0;0;113735;81039;2810235;31206;716459;2480611;6196;-282;1328248;1723078;226;2;267304;137814;0;144285;137166;0;0;292875;52571;0;0;0;234669;3390519;0;0;0;0;0;0;0;69491;3148;1;199;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;14;0;7;-1;0;11;6;0;4;9;0;0;0;0;0;157;0;-3;0;0;0;0;0;0;0;0;0;3;0;1;3;0;1;0;0;6587;0;5595763;72339;28;0;0;0;0;0;0
  Ярославская область;1803438;16735718;0;788134;0;0;0;35460;27851;324274;0;47;35754;5588;24113315;222615;281758;0;27747201;0;0;0;0;0;0;2974419;27857979;66742;0;24263161;35311;0;0;6209871;1726460;0;624;0;0;0;0;0;-42664;0;0;0;0;0;0;0;403548;0;0;0;0;0;0;0;118;0;0;0;0;0;0;0;0;0;0;0;0;436749;0;0;0;71472;67890;1248431;237198;261637;1243622;4083;0;795692;1;0;0;335430;143041;0;169745;0;0;0;217356;26068;0;0;0;30876;1303;0;0;0;0;0;0;0;9232;5052;0;239;0;0;0;0;0;0;1;0;0;228;0;0;0;0;0;7;0;0;0;0;7;0;26;1;114;0;0;10;0;0;595;0;0;0;0;0;4;151;1;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;11;0;0;105;0;2273789;30640;0;0;1;0;0;0;0
  г. Москва;170763610;745875863;34120522;45407150;-1447993;0;0;12716657;56714221;137188977;1981491;48299017;1532316;30696360;1007788503;2627937;52361022;2024039;1163327052;24309;0;0;58213;0;0;646820;32435004;-6650916;473996;15527443;21365;1475;0;894361;1818912;0;6554;679904;0;-748086;-6945692;36382814;380405;0;0;0;17654;25471;56602106;0;79004025;0;0;0;-924;0;0;34615;207107;0;975;654879;44333;0;0;0;23;0;0;6380412;23321809;0;0;0;0;0;0;33307858;6069;5454339;23635827;385340;15929498;1004;3;165;1;2057;445;579486;0;0;0;0;0;0;0;0;0;238;523;426910;0;0;0;0;0;0;87645;5;8569;164;0;0;0;0;0;-76;-672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3738;-122;-344;-104;551;0;0;0;0;0;12;1;0;0;227;630;-2;47;55;0;0;0;0;0;0;0;0;0;630;0;0;0;0;0;0;34;199107;16879701;1154071;104969;0;177;0;0;0;0
  г.Санкт-Петербург;33444536;163243306;370553;11356205;0;0;0;1671264;3421590;21769559;1048396;4267595;1440;3833680;262497406;2672856;10539785;374896;479044207;8912;0;0;80807;0;0;308643588;0;0;2555498;0;20621;637285;0;9282165;5753670;0;726935;476762;0;0;-1685927;0;-13790419;0;0;0;1859;2668769;46932829;0;10536360;0;0;0;1027;0;0;0;0;0;725;52588;0;0;0;0;0;0;0;0;4132396;0;0;0;0;0;0;8213465;2306;2443001;9859779;63706;5490819;1;0;4;0;1626;28;286887;0;0;0;0;0;0;577;0;0;1;20;10483214;0;0;0;0;0;0;6230;3693;-9218;16;0;0;0;0;0;0;0;0;0;0;495113;0;0;0;0;0;0;0;0;0;0;0;18;3;-53;11;42;0;0;0;0;0;0;0;0;0;4;66;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;553;23510;54776649;398817;9990;0;4010;0;0;0;0
  г.Севастополь;106099;1587161;0;4;0;0;0;72;2228;0;0;0;0;0;8238115;53045;98784;0;4885182;0;0;0;0;12074;7773;0;0;0;0;0;0;90379;91922;5623;4802;0;0;0;0;0;0;0;-1920;45;11776;0;0;0;0;0;18707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134372;0;30483;241991;2696;150994;0;0;0;0;0;0;8954;0;0;0;0;0;0;0;0;0;7548;0;0;0;0;0;0;0;0;16052;95;1759;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8;0;0;6433;0;0;0;0;0;0;0
  Еврейская автономная область;36404;460076;0;295819;0;0;0;0;50;-65824;0;0;0;0;3433020;22203;15432;-61;350815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;0;0;4434;0;0;0;0;0;0;0;0;0;0;0;0;0;888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35963;0;0;0;4749;9253;394489;0;23672;134013;1414;0;17819;0;0;0;9016;4608;0;9794;0;0;0;8178;6975;0;0;0;18693;125575;0;0;0;0;0;0;0;8456;1287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1048;-6;0;3291;40;0;2545;0;0;0;0
  Ненецкий автономный округ;33419;2671627;0;1213422;0;0;1005089;8784;0;126;0;0;0;0;4307533;4376;11924;0;-7330806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5779;0;0;0;0;0;0;-23983;0;-48812;0;0;0;0;0;972076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8081;0;0;38;537;2071;2373123;0;10341;33178;154;0;16691;0;0;306;8236;3342;0;2258;0;0;7;1459;956;57941068;87685;17425;45710;-13;0;0;0;0;0;0;0;4437;0;7347;129;486307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42232;671;0;259;0;0;0;0;0;0;0
  Ханты-Мансийский автономный округ - Югра;7405134;37216699;25176053;89313187;0;0;0;555635;2950244;1110225;0;66440;0;580854;88244998;211189;416410;0;278927856;0;0;0;0;0;0;0;16405745;331112;0;8295474;0;0;0;83242;0;0;0;0;0;-113586;-620566;0;2017359;0;0;0;0;0;-2620275;0;714077;0;0;0;0;0;0;0;0;0;0;4480;0;0;0;34;0;0;0;0;0;611377;0;0;5783;37112;95054;15344890;890752;1488222;2122618;5409;0;991766;0;-2;173431;40661;121894;0;164096;0;0;5820;7395;34057;1579786997;301814;4607;736064;524;0;0;0;0;0;0;-4415;246275;44;16;2279;0;50500921;31984819;-47455;0;0;5;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;6;0;93;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;79;0;0;218040;0;14614;60958;1;0;8821;0;0;0;0
  Чукотский автономный округ;1906133;10955912;0;1882590;0;0;0;8456;0;0;0;0;0;0;5516211;4625;80153;0;-8035979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4963;0;0;0;0;0;0;-11971;0;-2191;0;0;0;0;0;0;0;43811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2432;0;0;0;143;1191;279794;0;42784;42341;0;0;16665;0;0;76;724;2788;0;4049;0;0;0;28;123;0;5583;2;27507;5704925;0;0;3231;0;0;0;0;789;0;-3896;3879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9262;0;0;3316;0;0;0;0;0;0;0
  Ямало-Ненецкий автономный округ;5985270;39047909;0;33042564;0;0;0;1186767;2194673;4698687;1306;5159;40;440400;57249057;64395;189180;0;208377655;0;0;0;0;0;0;0;334013;-104594;0;309700;0;0;0;1270;0;0;0;0;0;0;-151937;0;257640;0;0;0;0;0;0;0;7316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113647;0;0;458;14041;31375;12098754;8060471;597002;659469;4585;-11;191561;0;0;1059;8373;9640;0;30385;0;0;1;1523;2313;179773624;448940536;110929821;870271;131123;0;0;0;0;0;0;-694;45423;0;658;1522;26705616;0;11668665;0;0;0;-6486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;174;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;388947;0;0;31253;131;0;0;0;0;0;0
