GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71
Ульяновская область;3 592;49;0;171;0;27 197;113;129;3 196;3 635;808;475;358;186;50;4;14;6;4;2 334;84;1 133;5 339;396;1 266;1 507;3 530;78;73;20 069;39;26;4;1;2;2;11;21;125;3 105;12 093;5 484;6 938;15 497;3 470;2 775;626;1;2;4;8 401;980;2 303;25 371;2 897;17 309;33 782;57;209;134 926;40;530;2;326;10;76;44;106;12 691;4 380;0;21 939
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;35 238;5 401;4;1 812;0;449 661;3 731;448;25 093;42 683;12 880;10 204;9 609;3 687;1 328;113;401;120;188;20 034;9 571;13 059;57 601;8 826;42 135;52 047;80 117;4 012;2 136;301 136;1 514;418;10;1;34;59;938;217;243;17 033;71 880;73 301;120 147;352 964;62 708;71 096;12 223;35;25;411;90 498;169 066;25 204;205 099;56 058;510 025;1 267 625;2 551;6 785;2 932 108;1 865;6 966;7;16;258;1 929;1 950;1 567;103 960;146 399;17;278 235
Курганская область;2 508;141;0;121;0;21 539;56;15;2 832;2 084;478;364;294;94;36;1;33;7;7;1 711;101;1 085;3 485;300;1 018;1 133;3 823;156;62;14 592;50;2;0;0;1;0;0;2;15;2 289;6 626;3 580;4 726;11 662;2 041;2 720;66;22;0;15;5 990;1 425;2 385;16 250;2 204;12 859;24 007;141;244;93 432;65;20;0;0;18;0;0;6;735;8 551;0;11 340
Свердловская область;10 657;3 812;4;583;0;114 699;319;34;456;17 105;5 137;3 546;3 055;1 551;540;64;162;50;93;4 097;1 134;4 257;17 958;2 286;6 560;9 086;16 491;546;325;75 183;175;45;1;1;6;15;6;8;27;90;16 887;24 270;34 219;101 343;22 970;24 720;5 064;5;8;195;14 546;17 652;7 617;24 449;5 135;25 511;138 846;321;826;411 913;275;515;0;16;36;437;59;90;5 746;31 231;17;71 211
Тюменская область;4 778;1 304;0;307;0;62 377;469;32;3 188;3 922;1 560;1 046;1 284;509;215;11;29;9;22;1 637;622;1 457;6 436;909;3 530;4 798;9 920;715;291;31 164;163;39;0;0;4;9;116;36;25;2 196;12 192;8 648;11 178;40 333;7 871;10 173;1 391;1;2;28;5 648;5 201;2 796;28 166;6 561;46 103;114 602;363;651;285 377;167;428;0;0;29;265;533;176;2 791;83 416;0;40 137
Челябинская область;10 070;100;0;496;0;81 091;528;8;8 902;9 309;2 995;2 491;1 681;954;304;21;96;19;26;4 644;680;3 596;13 195;1 579;4 992;6 626;13 208;263;220;59 984;176;21;8;0;16;16;246;33;8;5 987;20 632;22 288;38 970;82 732;17 225;19 006;3 956;5;3;85;27 170;16 353;8 054;63 633;12 224;66 879;153 347;247;927;486 791;214;344;6;0;144;638;187;93;1 073;16 843;0;95 664
Ханты-Мансийский АО - Югра;5 193;15;0;263;0;118 616;1 358;219;7 611;7 365;1 987;2 136;2 566;459;200;12;49;23;29;5 446;4 399;1 892;12 789;2 257;16 697;22 796;23 076;1 523;580;85 440;614;162;1;0;7;13;234;80;28;3 338;6 822;11 712;26 117;99 311;11 016;12 980;1 456;2;9;49;30 683;103 198;2 831;56 311;17 548;228 929;607 358;1 043;2 520;1 198 159;720;4 021;1;0;31;326;556;658;18 025;4 856;0;57 869
Ямало-Hенецкий АО;2 032;29;0;42;0;51 339;1 001;140;2 104;2 898;723;621;729;120;33;4;32;12;11;2 499;2 635;772;3 738;1 495;9 338;7 608;13 599;809;658;34 773;336;149;0;0;0;6;336;58;140;3 133;8 721;2 803;4 937;17 583;1 585;1 497;290;0;3;39;6 461;25 237;1 521;16 290;12 386;129 744;229 465;436;1 617;456 436;424;1 638;0;0;0;263;615;544;75 590;1 502;0;2 014
СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;45 795;3 532;0;2 065;129;474 039;6 190;274;42 308;52 511;13 264;8 439;8 569;3 300;1 344;117;418;98;179;30 840;8 381;17 221;72 854;8 509;29 801;38 189;84 119;2 832;1 840;327 867;1 788;1 354;13;8;39;78;1 457;743;236;35 400;82 344;60 324;92 019;330 211;63 674;74 756;12 127;7;105;195;112 833;96 424;30 727;283 721;54 041;357 051;885 381;1 402;5 554;2 411 530;1 152;26 868;36;495;167;1 592;28 067;13 553;32 766;180 610;0;209 210
Республика Алтай;889;46;0;42;0;7 171;59;17;782;1 047;237;105;145;21;20;5;6;1;8;560;36;208;1 054;124;486;486;1 275;48;59;5 299;35;19;1;0;0;1;0;2;14;471;1 570;664;844;4 140;373;660;360;0;0;3;1 680;231;222;2 219;364;2 417;3 989;17;113;18 871;57;145;1;0;0;21;0;29;231;4 931;0;1 371
Республика Тыва;669;9;0;13;129;5 481;44;0;681;852;90;29;59;10;6;1;13;1;1;507;31;144;502;84;320;438;1 009;31;23;3 228;30;7;0;0;2;0;0;3;0;10 869;1 208;439;308;2 390;282;432;123;1;1;3;1 521;408;193;1 461;463;3 274;7 746;12;77;30 754;22;80;0;0;4;0;0;16;0;111;0;4 013
Республика Хакасия;1 225;31;0;68;0;11 714;94;15;1 580;1 474;367;178;220;56;17;2;20;5;1;779;55;421;1 742;198;591;809;2 149;65;55;8 475;59;16;0;0;0;1;5;12;15;742;2 500;1 638;1 793;6 749;1 060;915;140;1;1;1;2 100;645;467;5 140;995;5 506;21 236;34;198;49 632;39;206;0;0;0;28;6;73;1 112;4 258;0;11 203
Алтайский край;6 450;0;0;341;0;54 841;151;14;6 571;5 629;1 438;843;822;344;156;4;57;15;9;4 998;423;3 379;12 634;1 067;3 488;3 236;8 102;272;170;44 541;101;17;0;0;2;4;16;10;14;5 489;12 683;5 561;10 305;33 447;6 098;9 224;620;0;1;24;27 074;11 567;6 841;61 140;8 257;46 734;76 521;252;741;307 808;98;259;0;0;18;134;15;81;1 587;0;0;37 761
Красноярский край;6 743;2 448;0;366;0;97 318;1 862;88;4 863;7 592;2 602;1 794;1 762;962;313;26;74;19;49;4 129;2 251;2 032;11 344;1 714;6 210;9 027;16 966;527;380;53 404;470;442;2;0;5;18;452;115;72;1 820;12 055;10 811;18 232;58 666;13 955;14 794;1 527;0;1;41;12 267;23 120;2 784;33 802;8 522;75 879;225 970;103;1 421;479 278;261;14 076;3;0;19;216;10 161;2 934;15 734;75 729;0;28 025
Иркутская область;7 525;0;0;299;0;78 851;1 027;36;6 384;8 728;1 964;1 380;1 339;499;251;15;94;16;28;5 704;1 073;2 170;12 655;2 002;6 029;9 049;17 093;415;245;58 578;316;307;6;6;20;22;174;176;36;4 116;12 580;10 025;14 048;49 178;9 779;12 973;1 841;2;2;28;13 493;10 363;2 646;42 718;11 895;66 380;229 257;143;499;463 725;82;3 045;30;335;72;384;1 757;2 185;4 161;0;0;42 479
Кемеровская область - Кузбасс;5 206;589;0;155;0;62 592;204;18;5 081;7 378;1 932;1 169;1 188;419;136;12;28;4;13;3 702;2 420;1 811;7 776;971;3 510;4 533;13 300;315;319;41 061;124;29;0;0;2;8;10;18;13;2 814;11 763;12 084;16 077;49 827;10 778;8 800;828;0;1;31;11 459;24 801;3 503;35 807;7 438;47 836;109 732;250;1 179;333 544;48;166;0;0;11;199;1;12;1 116;26 999;0;8 728
Новосибирская область;8 486;369;0;417;0;76 596;913;47;7 082;11 316;2 557;1 641;1 628;544;268;33;44;22;48;4 452;675;3 300;11 644;1 098;2 972;4 350;11 090;425;226;52 799;256;124;3;1;5;16;265;105;35;3 560;14 071;9 980;18 183;80 797;13 444;17 463;4 989;0;90;28;28 648;16 091;8 026;54 689;8 123;39 233;98 756;153;339;377 271;105;1 320;1;148;26;330;6 116;1 366;1 429;64 321;0;47 500
Омская область;5 587;26;0;235;0;47 975;1 242;24;6 404;5 289;1 163;727;796;280;117;13;46;13;19;3 755;853;2 704;8 455;689;2 751;3 425;6 884;232;150;36 523;119;304;1;1;0;1;408;215;22;3 765;8 816;5 264;6 707;23 713;4 654;5 819;1 056;2;2;33;7 332;3 553;4 370;29 080;4 346;29 378;54 925;170;366;179 293;194;6 420;1;12;0;30;8 998;6 166;3 621;4 147;0;17 452
