GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77
    Ростовская область;15242;48;0;749;0;0;0;0;147722;1530;28;14793;18923;4869;3134;2042;1260;735;86;132;29;90;7496;1524;6039;21677;2159;5475;10439;20745;62;35;99424;399;238;13;2;4;11;73;410;22;11019;29531;32220;49861;112886;19949;38314;14335;6;5;324;16515;8495;7072;59946;9700;40363;173295;40;157;551233;467;6470;109;276;77;696;989;32499;3425;2010;0;8525;0;0;0
    город Севастополь;1055;1;0;75;0;0;0;0;7022;303;0;804;1103;279;113;100;34;12;4;17;5;9;539;231;227;932;127;272;595;752;2;1;5353;50;55;5;0;0;11;66;46;0;293;781;1000;1790;3147;486;583;289;0;0;6;603;882;202;2178;463;1660;7350;2;3;20355;36;1595;1;0;0;190;1326;5662;0;150;0;611;0;0;0
  ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;111414;3659;0;6653;139;7;6;2487;1012669;8351;571;103400;116387;32075;24065;15932;8723;4186;493;855;747;1179;49060;12105;27354;142582;18826;52070;98848;149365;5000;2861;696884;1789;2248;15;16;53;147;1470;692;497;143036;370162;222688;366175;787604;143980;211494;70133;69;328;3945;234414;236845;51617;614483;133236;700414;2428906;4044;10819;6298082;3282;75494;39;1172;505;6679;86172;25582;47588;164375;0;128503;865;14;31
    Республика Башкортостан;14530;113;0;871;61;0;0;0;135663;568;43;14995;13045;3923;2909;2028;1082;506;67;76;41;105;8265;2511;3839;20240;4516;8896;11371;20845;846;673;97226;246;73;2;10;6;19;66;27;24;27295;47012;28574;44889;102963;18888;25706;9294;4;26;338;41764;44536;7442;90099;31518;116983;270412;700;2958;856867;435;1303;11;456;43;696;2683;542;3147;20702;0;10219;524;0;0
    Республика Марий-Эл;2323;0;0;137;0;0;0;76;18701;110;3;1541;2092;505;341;231;114;44;7;15;9;13;1124;50;578;3364;345;1063;1237;3244;51;34;12512;27;6;1;0;1;1;19;2;3;2800;7701;3748;5364;11191;2130;2321;1030;2;5;30;6474;1305;1145;15345;2608;14551;31568;44;125;103836;44;138;6;0;11;39;14;35;146;0;0;2355;0;0;0
    Республика Мордовия;2572;1;0;121;0;0;0;0;26151;100;1;2730;2137;655;382;251;122;58;6;22;8;11;1701;180;799;4176;521;1490;2724;3946;69;60;17786;46;2;0;0;1;2;14;8;1;3391;7120;5017;6065;13457;1961;3680;1047;2;4;47;9267;4284;1642;18914;3797;21063;76406;62;234;170477;86;148;0;0;10;173;11;8;564;13;0;1817;0;0;0
    Республика Татарстан;20142;39;0;1254;0;0;0;0;170262;895;98;17656;20579;6906;5795;3789;2288;1103;139;134;269;288;6720;2470;4024;17512;2172;9089;25089;23900;2055;412;122927;261;273;1;1;12;40;73;7;61;31682;74185;49745;88302;196348;36978;54851;19430;13;87;970;37529;58708;7777;75112;15216;128197;616018;1753;1532;1379850;504;7249;4;170;120;1696;4145;154;17276;4752;0;32412;0;0;0
    Удмуртская Республика;6541;80;0;394;0;0;0;0;52770;305;9;5348;6028;1624;1172;764;443;187;20;42;38;35;2082;778;1427;7226;803;2942;4500;7752;310;115;34930;112;78;1;2;7;3;27;3;4;5220;17846;11731;17754;36139;7896;9345;2999;3;9;81;9550;15043;2665;32184;5795;40126;107286;241;400;301465;245;1091;1;101;58;219;1344;27;361;2451;0;5177;0;0;0
    Чувашская Республика;4294;103;0;224;0;0;0;220;30020;234;3;2413;3630;1041;713;419;249;91;9;26;4;8;2046;128;934;5057;449;1180;1892;4375;72;55;19982;92;43;2;0;3;5;12;48;3;2912;10839;7793;11495;20517;4460;4534;1323;2;2;17;6608;1615;1910;22804;3298;16119;47132;54;200;153062;143;831;2;0;23;75;98;34;19;3432;0;2585;0;0;0
    Кировская область;4909;198;0;223;30;0;1;0;46960;157;7;3673;4751;940;729;389;189;89;6;89;17;5;1766;316;1365;6421;571;1930;2420;9328;194;59;25368;53;19;0;0;0;3;24;1;7;4984;14100;6820;10940;19213;3325;4961;1071;6;5;25;10077;7206;2704;28522;4341;25370;59626;169;229;194116;78;375;0;0;0;108;52;0;1669;19384;0;2525;136;0;1
    Нижегородская область;12215;1558;0;688;14;0;0;0;114518;3029;22;7281;12826;3666;2862;1825;1066;508;81;157;23;93;4526;983;2763;18198;2289;3741;11812;17223;246;195;73047;130;911;1;0;2;5;935;401;22;11316;41089;23925;44428;93272;17245;25256;11017;8;8;351;22184;19731;4844;71098;14578;44680;269760;213;743;661219;330;45941;1;0;13;216;69484;15973;1178;73768;0;13890;34;0;0
    Оренбургская область;5202;1495;0;415;0;0;0;2191;70109;137;27;4340;5710;1745;1163;879;402;211;16;19;14;31;2785;580;1964;9836;1224;4029;5901;9474;209;280;40266;61;11;0;0;0;1;0;0;25;1428;8629;12066;17140;41356;6641;11288;2243;1;3;155;14854;12232;3528;41214;8848;50152;137456;180;1062;349587;102;203;0;0;0;7;0;0;2722;34049;0;10947;0;0;0
    Пензенская область;4010;4;0;208;0;0;0;0;34968;101;5;3833;3362;883;640;400;207;103;15;44;17;12;1723;184;1195;6057;600;1416;3147;5384;69;70;23532;44;9;0;0;2;4;1;35;4;5640;10683;5920;9699;23047;3317;5800;2836;4;6;30;8289;3679;2429;27817;4377;19221;84910;61;240;205753;72;124;0;0;27;199;14;18;66;1370;0;3999;0;0;0
    Пермский край;9222;0;0;666;14;7;5;0;70430;1221;35;5793;9174;2756;1892;1697;731;373;44;54;39;71;3428;1635;1458;10370;1246;4126;7532;10946;490;405;51321;208;425;1;1;7;14;211;10;35;9456;31393;19217;27100;68788;12410;19724;5713;6;22;172;18690;26894;2777;44359;9272;56873;194153;246;1060;509304;255;7028;0;92;20;123;7437;1362;4977;0;0;13901;69;14;30
    Самарская область;13234;19;0;850;16;0;0;0;128019;771;53;21263;19732;4293;3157;1880;1084;533;44;131;245;463;6273;1503;3418;16375;2225;6617;12148;17700;156;250;100000;234;220;2;0;4;36;53;80;53;24377;56279;26082;48443;94162;17154;26112;6731;16;143;1584;21680;27908;6317;72186;16203;90479;308173;132;1110;794004;451;4448;6;0;60;2338;776;7043;965;1765;0;14601;99;0;0
    Саратовская область;7885;6;0;375;4;0;0;0;80084;542;41;8822;8636;2171;1673;956;510;282;29;26;15;33;4299;650;2729;12313;1352;4151;5940;10717;186;200;53803;215;136;0;2;7;12;22;32;41;9305;28174;15850;25628;48218;7910;12949;4028;1;6;124;20001;12066;4751;50613;10124;57754;151464;154;756;434476;487;5540;0;353;114;714;20;57;3890;278;0;6294;3;0;0
    Ульяновская область;4335;43;0;227;0;0;0;0;34014;181;224;3712;4685;967;637;424;236;98;10;20;8;11;2322;137;861;5437;513;1400;3135;4531;47;53;24184;60;42;4;0;1;2;13;38;214;3230;15112;6200;8928;18933;3665;4967;1371;1;2;21;7447;1638;1686;24216;3261;18846;74542;35;170;184066;50;1075;8;0;6;76;94;329;10608;2411;0;7781;0;0;0
