GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155
   Республика Коми;122396454;122096039;3553;1370231;1290005;12900045;383;609;609;6694;3;3982;107807832;107649849;538248921;3468;-27;178649;174560;1047366;69;2;2;8;1;0;0;0;0;242284;241553;1207764;80;10245690;10209549;61740938;1514;2150903;2149578;574;4625;4576;4;2545967;2521852;1086;201713;200799;2106;0;0;0;1982;1734;27;3285;2617;4;1233;1233;2;92251392;91974790;3316;77566132;77605213;3282;1571421;1526312;56;52081;52081;18;2668827;2635574;497;242275;241544;79;9763412;9755959;1473;148316;148713;150;9384;9384;2;218;215;3;13500039;13514231;65;23440271;23395876;5360;0;0;0;6578688;6573862;199;2452192;2457438;33;294144629;7451779;1490358;1300095;260019;57516;1172823;994;199;646;129;613;-543;3;0;368592075;73718417;290072113;58014423;108;15703886;0;0;0;0;376043854;75208775;291372208;58274442;57624;16876709;1868181;373637;333535;66708;50468;256461;2815;0;0;0;2815;198380;2066561;0;0;0;0;294144629;13510348
   Республика Крым;118391404;118707063;13057;8907133;8857500;88575007;1963;1171;1192;13117;10;-102770;81545597;81880648;409379201;12476;627;101536;101547;609285;133;3075;3075;15564;7;10;10;51;2;283590;282906;1414529;143;21924240;21900023;134358725;7688;5079390;5075478;3098;4930;4930;14;5730308;5677836;4408;167991;163884;1936;21;21;1;3636;3636;42;17;17;1;0;0;0;102714123;103156448;12365;77099935;77224126;12164;62700;62146;57;151781;151167;101;5939097;5940168;3030;281996;276158;130;19070089;19399335;7104;99490;100265;145;-10;0;0;0;0;0;155401;151343;15;19107405;18952789;14584;0;0;0;3739708;3331555;49;158658;158658;21;2869793;35936838;7187370;4191450;838288;1209060;5140022;26006;5201;446;89;39;5073;19;0;144845813;28969162;122323781;24464755;360466;4143941;0;0;0;0;180782651;36156532;126515231;25303043;1569526;9283963;3257114;651423;243743;48749;9168;593506;10098;10644;2129;0;7969;20922;3278036;1325;0;1;0;2869793;151343
   Республика Марий-Эл;61052340;60531573;4909;5996455;5998979;59989681;680;2075;2075;22824;9;-11153;40534270;40010988;200079263;4706;0;1227019;1226859;7361100;128;0;0;0;0;0;0;0;0;166319;164320;821601;97;11395098;11379228;71355552;2505;1647796;1637284;815;2235;2235;5;1742251;1736284;1399;239153;238774;501;0;0;0;870;870;21;1812;0;0;6;6;1;54596035;54094425;4652;40070170;39594597;4614;1346788;1346807;148;98596;98696;65;2226679;2225525;752;166132;164132;95;10661845;10638368;2356;26793;26295;49;0;0;0;0;0;0;24560;22257;12;7390303;7369119;5259;0;0;0;703436;704866;71;101602;101602;8;8731236;8584563;1716911;1505288;301056;116351;1299504;0;0;0;0;0;0;0;0;3616185;723238;2641340;528268;6829;188141;0;0;0;0;12200748;2440149;4146628;829324;123180;1487645;1551345;310269;34886;6978;964;302327;166;474;95;0;71;350568;1901913;0;0;0;0;8731236;17668
   Республика Мордовия;70855492;70810911;5991;12815189;12777220;127772939;1092;240;240;2643;6;-28110;39158037;39124736;195623649;5698;9;3696454;3696057;22176347;174;142;142;708;1;0;0;0;0;77776;77776;388880;101;12009440;12007699;80572505;2936;2960281;2960622;1032;42;42;1;3126384;3126443;1766;322769;322595;478;1221;1221;5;510;510;5;580;458;3;0;0;0;62627902;64177217;5611;46744402;48295439;5572;1124856;1124610;154;179791;179791;101;3511400;3511182;979;77208;77208;98;10943493;10942234;2798;47338;47338;102;0;0;0;0;0;0;125830;125830;9;10743112;9151838;6116;0;0;0;2312715;2314158;198;247748;247748;27;13661450;10741849;2148370;891138;178230;278924;1691216;0;0;0;0;0;0;0;0;18114020;3622804;24590669;4918133;10964;-1306293;0;0;0;0;28855869;5771174;25481807;5096363;289888;384923;2206896;441379;126547;25310;4428;411641;320;0;0;0;320;111175;2318071;0;0;0;0;13661450;125187
   Республика Саха (Якутия);85396159;85421448;3848;1931896;1914408;19144077;490;62;72;790;7;20593;62731368;62778200;313891545;3687;-820;77351;77111;462667;81;757;757;3784;2;0;0;0;0;2496925;2484362;12421813;87;14312884;14313526;87030802;1526;3000939;3071327;655;0;0;0;3824173;3850132;1122;378726;378229;669;48;48;2;82;82;3;5565;0;0;2;2;1;76962431;77086748;3518;56192620;56359887;3461;691055;683494;68;-6163;3229;12;5049324;5114042;615;2478416;2465853;85;12196555;12140142;1386;183231;183108;144;136384;136345;1;0;0;0;20878277;20919500;171;17755941;17624258;4121;0;0;0;29832753;29764463;379;2736543;2737423;34;519639799;12335567;2467114;3249305;649862;414456;1402796;5517;1103;1677;335;51;717;4;0;59847998;11969599;21799245;4359848;95747;7514004;0;0;0;0;72183565;14436713;25048550;5009710;510203;8916800;239214500;47842900;104705;20941;744;47821215;41556;0;0;12;41544;2641101;241855601;22841;0;1;0;519639799;20913934
   Республика Северная Осетия-Алания;15037177;14929107;2229;1264055;1266969;12669685;279;7608;7545;82998;11;-29684;10739323;10654566;53275272;1970;-2265;275293;237835;1427011;125;893;893;324;2;0;0;0;0;3350;3350;16751;11;2159025;2153350;13449227;698;562055;543730;318;14707;17579;7;620466;605295;453;8494;8028;123;10;10;1;20;20;1;545;0;0;4;0;0;13220451;13179044;2045;10658336;10624837;2017;143477;141625;75;15902;15902;17;573301;565004;308;3325;3325;10;1829558;1823714;555;4486;4486;15;0;0;0;0;0;0;49368;50484;34;2264882;2203916;2281;0;0;0;479175;475678;92;2832;2843;2;2164320;2825367;565072;1075603;215120;95220;254732;40381;8076;0;0;0;8076;6;0;641045;128209;51112;10222;-1;117988;0;0;0;0;3466412;693281;1126715;225342;95219;372720;3055264;611053;1810948;362190;7648;241215;993;1023;205;189;599;27316;3082580;150621;3293;15;0;2164320;50485
   Республика Татарстан;1253464425;1251623828;78340;42534422;42530805;425308038;6112;36175;36211;398324;63;355122;868963013;867645788;4338228935;75614;-169449;5328525;5329562;31977362;1201;0;0;310;0;0;0;0;0;792618;776026;3880127;375;278750189;278267399;1705634376;42644;52582171;52546458;20883;1449759;1449866;58;56873738;56872477;27257;2149425;2148164;1368;2179;1779;8;3268;3318;60;59097;5001;53;402;402;3;1138898288;1138187539;76135;768342437;768263481;75560;50328344;50304454;1880;2538891;2537697;594;57811371;57959803;19668;765353;752081;358;257098423;256357308;39845;2014074;2013217;534;0;0;0;1042;553;3;7557544;7566086;310;159946827;158482730;76970;0;0;0;50582050;50358485;1090;14749346;14892960;173;587390791;107615567;21523111;31871968;6374391;1561163;13587557;498918;99784;70682;14136;721;84927;52;0;208990043;41798008;111645492;22329099;127702;19341207;0;0;0;0;316605610;63321119;143517460;28703490;1688865;32928764;24169766;4833953;3429075;685815;126331;4021807;149112;187854;37571;1004;110537;3876306;28046072;858155;44205;33;0;587390791;7503229
   Республика Тыва;4292909;4285341;322;90872;91076;910761;32;558;558;6141;2;3173;3281545;3294404;16472119;314;0;4157;3565;21387;5;0;0;0;0;0;0;0;0;20682;20682;103414;12;721985;705737;4234422;96;141108;140760;48;0;0;0;169937;169261;90;79792;79792;36;0;0;0;0;0;0;0;0;0;0;0;0;3707530;3715023;278;2287699;2298675;276;63706;63706;4;21431;21431;3;558921;558202;47;20682;20682;12;675667;672902;85;79424;79424;17;0;0;0;0;0;0;794128;794128;16;1311483;1305637;327;0;0;0;1503193;1503198;37;6577;6577;2;13493942;563971;112796;41442;8289;7429;97078;6498;1300;740;148;740;412;3;0;3288647;657730;253786;50758;6401;600571;0;0;0;0;3852618;770526;295228;59047;13830;697649;21358061;4271612;1000;200;0;4271412;2221;0;0;0;2221;0;21358061;0;0;0;0;13493942;794128
   Удмуртская Республика;176837794;177794348;22067;10131704;10115286;101151868;2236;8885;8885;97738;4;-413203;127991973;128558410;642758273;21394;56166;621547;622529;3789091;354;-195;26;130;1;0;0;0;0;275863;275860;1379303;207;33082983;33106945;201413365;10847;4460991;4460690;4548;29881;29881;26;5115023;5103217;6543;225014;222673;860;477;477;1;3073;3076;43;5192;1135;23;57;47;1;142193330;143288021;21536;103255213;104402865;21393;2718475;2718475;452;336501;336145;215;6175267;6155401;4399;272607;271787;198;29335987;29319694;10212;83124;83114;161;0;0;0;5;5;3;4236327;4241356;136;34955277;34785835;22119;0;0;0;4218169;4219491;344;1733351;1733316;68;125487581;25230356;5046073;4421399;884281;509233;3652559;66325;13265;17661;3532;0;9733;12;0;63360848;12672168;41870587;8374118;2853;4295197;0;0;0;0;88591204;17718241;46291986;9258399;512086;7947756;4000877;800176;89190;17837;5346;776993;10541;51690;10338;0;203;105014;4105891;1239;0;6;0;125487581;4238260
   Республика Хакасия;38700640;38633551;2709;1087002;1073295;10732956;412;1407;1417;15587;9;2588;33300740;33249050;166245092;2588;4;147072;147072;882431;66;0;0;0;0;0;0;0;0;102341;102341;511705;45;2975232;2977423;18018068;1109;984818;984779;481;2975;2975;6;1084250;1082170;764;19322;19259;387;0;0;0;2916;2916;16;68;0;0;4;4;1;32644102;32598062;2522;27048846;26996365;2504;1353440;1353440;47;341487;346499;26;1016742;1016585;460;102271;102271;45;2772502;2774088;1035;8815;8815;33;0;0;0;39;0;0;2019511;2019496;48;6547650;6528217;2969;0;0;0;2478236;2480042;75;408622;408645;21;36318523;4235413;847082;1234959;246993;82304;517785;2415;483;868;174;0;309;5;0;1419184;283837;2274;455;132;283250;0;0;0;0;5654597;1130919;1237233;247448;82436;801035;1649522;329904;10559;2112;539;327253;31;0;0;0;31;1392;1650914;0;0;0;0;36318523;2019588
   Чеченская Республика;42061371;37320723;2865;1608563;1597842;15975372;288;27163;27163;298793;4;526202;36837827;32849254;164232244;2712;-6968;250270;262118;1572707;58;0;0;17747;0;0;0;0;0;9644;9332;46661;5;2082308;1884651;11160524;420;571540;565294;269;0;0;0;726505;683349;371;11792;11565;39;157;0;0;42;42;1;0;0;0;0;0;0;39371901;35437344;2753;36780349;32863241;2733;250869;239317;46;88064;88064;11;510808;515854;277;9580;9269;4;1730950;1720081;326;1519;1519;13;0;0;0;0;0;0;11907;11907;4;3212747;2442452;2791;0;0;0;523773;556449;19;120;120;2;1186524;4984091;996819;2510044;502009;341958;152852;262826;52565;546833;109367;63968;-120770;18;0;384314;76863;0;0;0;76863;0;0;0;0;5368405;1073682;2510044;502009;341958;229715;254187;50838;36990;7398;2330;41110;16189;24590;4918;2330;8941;0;254187;194453;11591;4;0;1186524;11907
   Чувашская Республика;90969108;90965923;10431;3977753;3975147;39751393;1100;2121;2121;23336;7;-10577;63803534;63786747;318933742;10018;0;588835;558315;3349888;173;0;0;0;0;0;0;0;0;105988;105988;529938;117;19984607;19990735;130751224;6072;1935490;1938318;2272;18782;18782;27;2516846;2516440;3383;79678;78355;997;0;0;0;3544;3604;28;3110;790;7;0;0;0;76854599;76957357;10023;54325122;54442789;9967;2135910;2138347;343;183541;183801;163;2464995;2449485;2103;105965;105965;116;17589132;17587027;5772;49934;49944;140;0;0;0;0;0;0;28739;33936;40;16462722;16346180;10916;0;0;0;2269660;2268536;182;58003;55175;17;11775500;14522513;2904501;1757906;351580;96654;2456267;13015;2603;0;0;0;2603;5;0;5733032;1146606;753709;150742;3436;992428;0;0;0;0;20255545;4051107;2511615;502322;100090;3448695;1794721;358944;235804;47161;5263;306520;132;0;0;77;55;96234;1890955;0;0;0;0;11775500;32218
   Алтайский край;223723867;218646187;27047;33544229;33523477;335230697;5566;16006;16005;173258;45;1308307;147215950;143485552;717343111;25165;19;1254094;1252906;7517441;394;0;0;815;0;0;0;4;0;229015;225398;1126987;238;33067057;33052564;218173604;11219;5976712;5980379;4757;731654;731663;45;7086241;7071476;7533;152973;152954;1363;0;0;0;497;498;25;10605;9870;25;-1;1;2;197823239;192985897;26245;155295063;150371060;26084;3108629;3104979;718;2868292;2868798;418;6706075;6770116;4485;225529;221900;227;29550279;29576027;10492;118655;118567;189;445;445;3;1045;719;1;1827023;1825410;321;29423702;29234247;27054;0;0;0;5355417;5201799;987;575491;575491;56;59187304;26493900;5298780;6958884;1391776;550286;3356718;43;9;0;0;1;8;10;0;8893313;1778662;6542303;1308461;1351;468850;0;0;0;0;35387213;7077442;13501187;2700237;551637;3825568;7002555;1400510;207164;41433;5694;1353383;1391;0;0;0;1391;405611;7408166;5;0;1;0;59187304;1807471
   Краснодарский край;975045093;973888594;57280;148520635;148506414;1484821645;8446;78449;78650;864819;75;-168140;608500721;607444791;3037496752;54037;2862;16368188;16372194;98234426;1261;1066;1066;15536;10;3103;3103;28052;2;994343;934888;4674445;697;155902390;155737342;1013840390;31503;41440173;41386943;13672;115719;119271;58;44840696;44776366;19201;1185688;1162919;1754;23953;24052;10;5666;5666;118;32103;7399;26;264;267;8;893486015;894021899;54682;656664475;658058053;54043;46528765;46536921;2870;3885303;3881808;663;46612681;46703685;12809;970337;913113;661;137918302;137028699;29610;894208;883651;529;567;567;5;-93;310;2;13204417;13212417;574;128916736;127220588;56622;0;0;0;59241929;59298029;1475;5476154;5483125;123;531190652;144731727;28946347;24315543;4863110;2747875;21335362;84489;16898;9680;1936;4082;10880;60;0;170568015;34113602;97776388;19555278;31425;14526899;0;0;0;0;315299742;63059949;122091931;24418388;2779300;35862261;25943399;5188680;982548;196510;23421;4968749;374290;24110;4822;597;368871;12902882;38846281;98983;2165;45;0;531190652;13254356
   Красноярский край;633004671;632384148;34005;22478403;22359664;223595819;3857;5311;5344;58787;41;-56887;501678642;501227503;2506143020;32840;-21;1538556;1535028;9212604;610;177;2;1929;1;49;49;263;4;1447438;1403827;7019135;250;84718730;84695798;517570845;15415;19294733;19273255;7273;28021;28286;17;21171033;21120268;10683;909903;906507;2440;3413;3413;3;384;384;12;24981;9209;13;66;84;7;530906765;530484991;32823;391596987;391226587;32578;17689488;17693094;808;392322;390233;239;43702982;43705638;6843;1404181;1389100;245;75521863;75480778;14443;602812;600527;505;78;78;3;240;0;0;9059589;9055858;397;162977623;162731879;34273;0;0;0;68304933;68794343;1208;23815946;23752542;149;695769504;108710708;21742139;45917626;9183522;1779070;10779547;77642;15528;62223;12445;739;2344;36;0;86101117;17220224;1265909;253183;5434;16961607;0;0;0;0;194811825;38962363;47183535;9436705;1784504;27741154;43419302;8683860;962295;192459;137467;8353934;16668;5646;1129;60791;-45252;2820689;46239991;73681;1253;7;0;695769504;8983862
   Приморский край;393151654;392245231;25725;22115009;22053363;220532373;4199;23166;24899;273891;17;43341;301345461;300695297;1503473360;24569;-62;1640913;1673507;10041040;329;356;356;4275;3;0;0;0;0;199577;232227;1161132;129;52529666;52372256;324229255;11265;13095734;13046017;4503;452366;452366;35;14813459;14796378;6677;1057025;1057449;1579;4834;4834;6;435;435;8;7448;7083;11;64;62;3;377367622;376740739;24701;257449332;257093873;24186;57720899;57760005;3975;287967;287356;110;15216017;15120170;4386;193675;226325;127;45961764;45714728;10523;537609;543778;310;8;8;1;367;114;3;7823368;7822579;858;36370365;35804061;25500;0;0;0;27354626;26980754;1319;2201825;2259419;98;270518721;50043591;10008717;10276445;2055290;1399464;6553963;828372;165675;8313;1663;188;163824;20;0;78576577;15715313;26970785;5394157;162966;10158190;0;0;0;0;128620168;25724030;37247230;7449447;1562430;16712153;54668470;10933694;2342332;468467;45011;10420216;249299;1437120;287424;446;-38571;22527395;77195865;17589;582;8;0;270518721;7802576
   Ставропольский край;226668847;226726875;18313;24163203;24137283;241372804;3440;18415;18496;203454;26;-176401;150895090;150860678;754161734;17187;373;1961517;1979511;11877064;308;0;0;380;0;0;0;0;1;240069;240028;1200137;241;41297067;41234489;277428083;8859;7458215;7515308;3656;79158;78331;20;8269306;8246779;5605;167411;154875;782;28;28;1;5325;5622;58;23052;794;8;0;0;0;205927198;206240733;17424;153035938;153443723;17240;4940963;4899111;624;1075568;1097249;241;8062382;8099894;3297;239706;239665;231;38442388;38330835;8215;129406;129409;190;848;848;1;325;0;0;454333;454361;53;28229656;27901016;18444;0;0;0;7743478;7679066;411;2333382;2333780;46;60979144;34236262;6847251;6194808;1238962;508055;5100234;65051;13010;4599;920;3;12087;44;0;8495617;1699124;712252;142450;11999;1544675;0;0;0;0;42731879;8546375;6907060;1381412;520054;6644909;11928487;2385697;230416;46083;12797;2326817;51247;57179;11436;9530;30281;1439353;13367840;163567;9598;6;0;60979144;226096
   Хабаровский край;216909452;216781900;15590;14337228;14381529;143815325;2172;566;566;6223;13;84375;150503362;150421985;752108218;15083;-200;8995255;9008134;54048805;327;60782;60782;303983;4;0;0;0;0;438471;435789;2178946;161;32702846;32582786;197781619;7255;8636713;8626725;3146;20372;20372;16;9845496;9858971;4863;361254;359929;1990;14;14;1;327;327;12;7957;6694;9;0;0;0;193941321;193954733;14791;142060556;142044925;14627;5269540;5275596;635;4007212;4006679;71;11849106;11852416;3070;437163;434452;160;30019576;29996608;6829;410059;413360;215;417;417;1;4219;3347;6;5858250;5878564;283;43284941;43065030;16656;0;0;0;26159159;25616908;821;1539848;1701028;47;199965990;24145108;4829016;7070433;1414086;287483;3127447;114547;22909;43934;8787;0;14122;23;0;4475905;895181;310181;62036;4878;828267;0;0;0;0;28621013;5724197;7380614;1476122;292361;3955714;7053849;1410769;432783;86556;8506;1315707;10591;3385;677;0;9914;2691004;9744853;398228;23296;4;0;199965990;5864351
