"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89"
"91","Республика Крым","2201776","1998194","147412","56170","6587782","935248","270137","227339","0","633141","64331","36133","55458","7326","83","5244","27866","25187","85571","2722","0","2722","1342484","724","147896","572309","248029","0","0","0","508","8651","103","0","363","0","64112","573791","93263","3077","1142284","1049038","16737","526830","2925912","2153282","524091","248540","1606879","1168549","13899","424431","5001646","12301400","3701866","7862492","7247051","4700187","2601467","26969","43","45929","25736","1954584","520615","3226424","763732","1468465","50502","745807","1417214","1348171","44614","24429","2628404","2856064","2474220","27059","6466128","9995148","11221375","1608232","408481","640965","118524","328396","724","132181","0"
"12","Республика Марий-Эл","2358572","2170364","186106","2102","11026965","1761787","1037841","299050","0","31244","0","59474","67167","240023","0","239533","305505","916783","78398","325937","80","325858","293320","60717","80890","169225","1587765","0","0","0","0","1755","0","0","203","203","1754751","915150","1471783","452357","14008","1981","118","440681","1114107","391041","190487","532578","358256","244671","26199","87386","1252851","2849921","985809","1667824","1637410","1222352","826","14355","598777","60424","50","232759","121825","598555","41646","506229","41966","59429","147320","138973","448","7899","561773","758077","395111","6256","2598139","3741899","3419915","687466","178489","223857","38799","108484","0","36937","0"
"13","Республика Мордовия","4794289","4703028","88108","3153","11672254","2647515","1272709","403150","234540","377954","49","50996","121450","24688","0","4039","154490","51127","17014","0","0","0","69675","520677","338561","1004769","2010427","767","0","0","5158","233","75036","0","1182745","0","833073","1329192","90120","130323","1581373","9","185","318781","1101903","963616","136","138151","381138","215753","11238","154147","1648927","3792390","984169","2561842","2039468","1674145","1155","20725","513065","0","0","186164","179159","521630","82381","446297","56239","47534","157762","109802","466","47494","858007","1267494","767493","8491","2572847","4043750","3751464","791367","257819","267194","51100","115574","95","43227","0"
"14","Республика Саха (Якутия)","1840066","945220","810455","84391","2809613","721579","143578","265901","0","80178","59","4676","25431","23942","0","1233","92843","1456","54420","0","0","0","220798","0","30589","631921","548012","77","0","0","78","19377","443552","441555","0","0","284","3201","8538","8027","21989","20658","923","331670","9689115","4479665","27606","5181844","917543","630520","103921","183102","3948951","5586485","1110880","4129670","13814748","5944780","927591","38952","2199571","1563670","1766391","4188257","351650","909681","89378","1257530","227604","181563","859356","749014","79104","31238","1470872","4892718","1366324","6277","9669505","21089460","15530381","3742452","526575","478045","51520","140242","432","123674","0"
"15","Республика Северная Осетия-Алания","643205","491993","9647","141565","1216682","214356","85720","12294","232","218825","6789","19856","36594","631","132","185","5342","4430","11384","940","0","940","16212","594","42968","167667","230087","108","0","0","0","0","206240","0","174","0","124609","28820","3473","396","37159","0","64","45550","866097","587622","250251","28223","549247","483527","23098","42622","727609","1507229","374289","1032714","691766","432421","8715","8540","171437","75","151","143015","116104","365838","56846","291159","35765","75084","58944","44219","423","14302","238241","412574","432339","2247","1987978","3646971","3531576","625261","158878","142694","23678","62097","1580","53848","0"
"16","Республика Татарстан","8889230","8460945","397562","30723","91836167","6120368","1060594","1745091","303606","1142652","10108","311386","478441","93015","0","68383","901711","1642239","175705","4408815","0","4408782","15394120","339556","8384190","2629712","8581650","163637","0","0","593760","233964","11071","20","276588","68117","2552505","5118844","4909006","18483883","4644809","1499083","3042413","5513452","8669241","7336462","58573","1274206","2472101","1657743","68262","746096","33996051","37680307","13295995","15361206","29035237","21852399","403443","95740","7222140","476003","1054344","4631459","1021032","5056678","919208","12953823","435070","1481839","6233685","5411297","533047","289341","6160067","19237675","8465516","295925","12042764","36563526","27124279","6266953","2449626","2040505","260230","872820","296","625082","0"
"17","Республика Тыва","216951","126742","89305","904","165723","34425","6114","334","0","1159","0","4168","1744","785","0","623","12846","2033","3286","0","0","0","449","0","266","93848","2079","0","0","0","0","0","0","0","0","0","2891","0","103","66","0","0","0","5575","558651","312573","169","245908","96315","55183","199","40933","650854","712185","54919","616109","413995","170505","822","2919","0","0","70703","97861","74926","134283","15071","250575","21844","137313","37730","35592","0","2138","135905","508446","197322","305","2609736","4432128","2962665","587178","188068","92641","9029","36969","90","24533","0"
"18","Удмуртская Республика","4085223","3807079","230129","48015","43174710","2485151","389803","1183025","0","319080","2857","99124","480597","54824","0","16063","1386839","132796","139235","0","0","0","354431","24734","484676","848285","17237269","922556","0","0","37569","7892","7954","0","50624","21835","10665134","2890295","2364087","631496","910099","327","875491","1663701","2828348","1635071","464168","729109","899020","398184","15617","485219","2797693","10441443","2672411","6665462","4981511","3315664","26372","44635","667589","29644","368170","961260","306773","1881109","150334","1825331","75916","100479","664510","569360","26403","68747","2055203","4520281","2915236","14809","4245902","11069004","9742736","1885860","468578","633136","122046","294829","22","90332","0"
"19","Республика Хакасия","321018","250628","62025","8365","4907709","500097","82400","118724","0","476707","0","5978","11604","1120","0","352","37503","23908","18612","12","0","12","7145","0","53622","339402","2382650","291664","0","0","125","1882","2034122","2609","0","0","1489","2707","57042","285050","84582","2320","61","618479","1593061","1351421","0","241640","273342","154261","80844","38237","1728172","2280948","522439","1509486","1218390","754240","155972","7804","0","195","253","368810","94892","356687","91840","296046","53479","58024","156947","130981","18115","7851","493957","595414","882586","2780","2917511","4403447","3419589","554104","134524","158299","24944","68502","0","32303","0"
"20","Чеченская Республика","307401","229698","76525","1178","622818","52469","13316","5449","0","35506","1075","13694","43868","36986","0","35115","23757","1772","5486","253","0","253","10962","0","30703","158799","40693","709","0","0","5528","0","0","0","0","0","2530","4394","13161","57340","305","0","0","89065","1053622","572503","396394","84726","221418","176552","6891","37975","3387417","3756068","942560","2648076","1438036","984693","8223","25428","213504","2181","195","152178","298789","383845","59865","376667","38050","109182","347514","31488","41","315985","408772","650263","508501","10768","3112255","9657060","4847867","928892","382561","154730","25225","45637","381","33614","0"
"21","Чувашская Республика","1827666","1751947","66074","9645","20140371","1985630","229912","213056","0","211390","0","166021","604278","121364","0","120312","501856","119636","95807","691","0","691","1139377","303","286223","903183","3227808","320","0","111","3413","13505","0","0","655081","64445","2315959","4145573","1113567","1580345","654340","272","177861","967020","1472796","1323608","1090","148099","595343","279521","104616","211206","3724103","6405901","2694775","2971298","2119013","1526157","11207","50917","261750","130678","192","225678","236308","1061738","95862","958312","45445","52311","183657","105283","38229","40145","1191964","2716363","859411","10458","2827270","6421529","6479097","829677","172214","424542","73846","210091","135","52034","0"
"22","Алтайский край","7742382","7274530","429946","37906","24746921","4991712","510283","1290943","186029","872527","0","360262","101057","18854","0","9330","544412","99241","132926","1284086","997616","286469","778920","868618","1521740","817603","4889412","37763","0","0","971","11529","47786","0","210508","148364","573899","378702","1473255","1412131","2905933","32798","103","721631","4492565","3433703","198866","859996","1000021","658487","25229","316305","4446185","14765296","4852722","8653399","4343667","2668204","140067","23466","136334","33462","0","1204369","437632","1658231","274975","1140807","94077","172646","271505","231756","755","38994","1790725","2795162","1706661","16603","8310562","13618486","12950465","1419188","355287","607443","110017","309987","556","168007","0"
"23","Краснодарский край","21273416","20821744","175457","276215","36075023","11525956","1144861","1687078","1468925","2115835","12197","271549","549028","190271","2295","176821","246066","617357","410750","2520296","0","2520288","1225918","417916","1164052","3468844","5622943","2035462","0","0","27245","205993","110118","169","9623","4951","228516","388162","1962826","37955","864449","176514","6845","2234137","8738425","5346199","1775988","1616238","5395548","2815423","255055","2325070","26895778","113474679","16797084","92752838","40647814","16446850","420086","183981","6898384","373870","350867","22360206","1116021","13207942","5878970","7495561","228944","2435585","3988013","3240019","279142","468852","10194590","17888657","8476711","98286","17881185","36469551","39527970","9048983","3763846","2524743","513550","1285804","1051","618961","0"
"24","Красноярский край","7319156","4740079","2442060","137017","57704225","1958246","490254","453080","103","221986","2","97792","105056","32046","0","30552","2296732","35614","126727","1226482","8","1226474","1558144","158232","431650","2156955","32299236","7054","0","0","549","187748","29351627","1730179","52456","50749","934578","707479","898823","888075","3168693","62678","1619286","8401677","17451885","15352018","234995","1864872","4184357","1071773","527210","2585374","16867295","23345487","8408764","12433245","39483547","21701309","10861529","454307","784855","2197606","3284537","11531161","768934","4090074","577573","3603167","259168","721314","567664","472830","10375","84459","3931194","15813129","7518671","54542","17626173","29874956","27393378","6284860","2219250","1215713","229554","512371","1839","188660","0"
"25","Приморский край","7808291","1258583","1034617","5515091","17647542","2585578","882173","170733","105","246975","27","79644","57079","4175","0","3749","890855","81721","115987","358","30","315","679700","97603","159534","1227192","571984","86623","56622","0","49","7799","23895","0","167710","0","526426","58184","386165","156384","5045922","1852295","2544611","4676049","5719442","3775888","21080","1922475","1461576","1006814","47131","407631","5774720","28022191","7211186","18112892","20815655","3542920","373561","50310","871435","1638878","691634","14268439","673784","1991693","421999","3012259","68292","808181","2953444","2827661","61899","63884","3141959","7168922","3235337","40374","14381296","16009604","16188226","2634384","746676","840475","163488","390423","1276","378577","0"
"26","Ставропольский край","12397667","12272099","79590","45978","13562395","2031523","278605","647670","75092","907273","2055","74267","391416","128341","17343","98106","46644","32459","291663","844","0","844","2887317","327893","398709","861607","1353104","95918","1682","0","8236","3774","24764","0","5646","5428","1138126","934469","341606","198331","220620","0","4056","994128","6308092","4006387","1334499","967206","1844019","1463499","10799","369721","5686144","13109916","4789276","6842882","7625041","4254466","4059","70444","1893562","635","195","2819728","550017","1965242","299612","1135259","72682","154603","455658","295713","5537","154408","2091367","3363565","2031876","29167","7485804","12319334","17617427","1700732","441040","737683","132654","346615","472","258383","0"
"27","Хабаровский край","4347222","389122","1270498","2687602","17507742","1135163","312109","65641","0","68320","0","13288","42884","664","0","590","388912","15914","52349","2009872","0","2009872","281894","277424","262289","897005","2550101","978713","0","124","7325","1230","976157","976157","87650","0","6560","57822","93384","28122","8620517","1508336","7103737","705258","9559879","8011311","580514","968054","1447449","913299","47082","487068","8951228","15099056","6194302","7822049","41810307","33094663","27543790","24794","3067798","373173","819453","7048066","474952","1439569","195218","1801856","65650","910457","198974","152654","9585","36735","2315707","5788962","3778609","24848","14724035","12180245","12356230","2157391","773124","795304","113589","369307","206","111441","0"
"75","Забайкальский край","788412","280008","505124","3280","5492419","339281","115117","31919","0","50498","0","2903","9801","2122","0","1573","34273","184","13297","23","0","0","2414605","460","27779","217849","1853064","1403","0","0","241","2515","1682265","7167","5187","0","396","1396","32310","0","185724","158","1239","306454","2660837","1960245","1931","698661","372386","218677","30344","123365","4657608","4206296","1005317","2764058","22679960","20264009","19227254","16935","0","548","49883","2131635","233885","863575","86084","443800","23248","151963","296221","243018","47187","6016","974486","3355137","1473896","15808","7754104","9225082","8372806","1046426","182575","356164","45645","117577","307","77184","0"
"28","Амурская область","2728414","2331890","395639","885","4127981","1174207","168531","512874","0","29480","0","6513","6914","59","0","0","62975","10009","10139","1053","0","1053","1634111","0","49978","260805","354937","599","0","0","115","1269","0","0","103","0","1511","11496","8658","935","243000","141619","0","261201","3607287","2042727","27638","1536922","356331","143681","22130","190520","5240463","5097278","1441087","3097962","3351036","2152838","749569","15527","399590","93046","51860","813872","239420","574137","85438","411330","20059","105260","2498638","2479575","2790","16273","958033","4913473","1248339","5788","5610832","6576914","6712396","778771","167036","285461","41202","154530","200","3189448","0"
"29","Архангельская область","3416919","488470","2086154","842295","27752296","720896","150944","113250","0","91467","0","14062","27469","801","0","244","2562217","4193699","37953","156","156","0","187687","59797","35503","166453","327908","0","0","0","0","562","10018","0","28981","0","289534","10806","390748","2057","17977073","17845575","127965","656010","2526862","1551719","266155","708988","741362","496297","46552","198513","2652596","4662455","1130225","2992291","6374251","1902269","112436","19812","605683","822278","1031600","2271664","346440","1124409","123476","730704","68104","142351","609360","574744","509","34107","1552026","2028883","941687","5081","7932532","9650916","9385347","1497913","264992","478329","71135","245256","0","49182","0"
"30","Астраханская область","1400349","1101615","12426","286308","3074841","354866","32192","5431","122","15603","0","106562","28535","56143","0","55592","10877","21787","23776","1373","0","1373","31155","0","75275","129986","354994","11286","0","0","130964","0","0","0","15047","0","9827","226","2374","0","1418002","1200632","2260","433480","1547761","1197639","35378","314744","652305","442071","10556","199678","2173333","3531105","867836","2407366","2847002","1123447","333832","44481","369524","339698","0","1191224","192633","669058","110845","435476","19998","78025","119151","101411","1848","15892","616907","1389281","877574","23694","3854728","5194069","5767560","808419","280380","270873","54472","120751","291","71858","0"
"31","Белгородская область","16706387","16589221","61511","55655","22329946","6260360","1013751","1003929","524060","153654","432","135896","84744","27473","0","5026","60411","488850","321889","796","0","796","425942","267351","366542","2070325","6510511","3686981","0","0","9289","61772","17052","3415","13250","0","478756","202273","2929423","430748","174529","199","150733","939041","3064587","1612824","673090","778673","961890","548368","20303","393219","6077253","8633723","4197816","3514385","4894796","3726662","28878","49489","100381","279","110","874913","292832","1123854","140415","1567012","94388","130534","425949","347163","4065","74721","1517855","3564665","2096624","4923","5028574","10876652","8615728","1843963","386398","554667","95279","209599","199","85825","0"
"32","Брянская область","6079470","5909815","166203","3452","14449546","2137832","119213","1029475","51368","189448","165322","38672","296481","27823","0","24764","309248","494273","40496","290","0","290","523141","182","243923","1378781","3229013","0","0","0","6049","269","54460","0","782451","4964","228218","457155","748097","1170172","1786397","99","86640","984582","2038218","957845","482502","597872","519619","356372","14493","148754","2436412","6704287","2247742","3636617","4565680","3849526","8938","35103","2193375","127","0","417728","298299","734460","102963","659804","49352","42883","152764","140336","1043","11385","1112408","1068042","1512477","6203","3474943","5828860","6009169","944695","307227","396407","73838","198235","103","55018","0"
"33","Владимирская область","2180774","1901953","266007","12814","34855543","7308809","3693977","260247","0","174329","0","789391","488248","59863","0","46522","1185995","175530","161257","882","0","882","768835","1881340","1535527","2072115","6885493","827","0","0","167009","38485","96784","103","150601","124434","1778680","1977847","3025290","929018","1449864","12782","318465","2207230","2858226","1623588","535660","698978","892126","496863","136961","258302","2163356","8251467","3087044","4355738","4852714","3762606","22098","53858","177448","3809","1859","830013","254427","986388","200755","939506","52326","158755","244827","144375","31493","68959","2243270","5451919","1328678","11901","4712514","7550885","7606985","1412541","329504","504501","110321","214659","7601","72955","0"
"34","Волгоградская область","5365034","5168333","132247","64454","26112628","2570225","127472","476636","0","65856","167749","387081","73544","8303","0","618","48912","60741","173090","1243753","0","1242210","6493850","38769","1183723","2559072","7277479","1773960","0","0","3083833","7017","857642","0","64062","703","269122","147184","1955000","260943","63772","47264","0","1064460","4614329","2679321","1051656","883352","1162250","794797","53445","314008","4262401","9044842","3177566","4577881","8052991","5320127","55394","48719","2253846","82059","1245","2185137","464423","1823465","126646","1822747","81825","193771","294998","240579","7418","47001","2168464","7866527","2540922","18874","7588801","10670920","13018436","1491316","453651","799526","137945","328489","186","191729","0"
"35","Вологодская область","4496504","2311962","2124183","60359","37845373","1920888","180314","797179","0","115904","0","54886","56031","3255","0","254","2227082","607474","59169","73539","73489","50","10875894","99773","171630","524371","16755291","13039167","0","0","104012","1079279","32414","0","15178","12266","151837","98433","951495","196709","51390","40150","490","2850322","2953578","1838891","400139","714548","874358","465940","25818","382600","4133699","8401389","4396960","3091845","5712099","2777529","97969","20410","1045234","72392","441397","2140582","280199","1197447","101950","2373964","106085","103194","841982","797969","2674","41339","1312134","3009144","1382611","10612","4703688","7019709","7658501","1501779","609507","537102","77623","304291","26","85547","0"
"36","Воронежская область","10976709","10788401","158852","29456","26172104","8636152","563882","1728151","621451","314002","1540","51539","218187","18201","0","10333","143561","132247","233172","0","0","0","2160143","38566","725122","2192636","3097646","24457","0","1960","523500","654","157743","0","225698","137942","1203557","1288127","2473463","22533","2069497","12327","1104973","1152213","6480557","4451545","881934","1147078","1049802","724958","38796","286048","6392366","17953804","9195659","6845644","17138101","14144189","9858915","42143","591403","2091","2592","2547201","442028","1785256","218837","2257938","118546","414223","638999","372341","118437","148221","2789842","10673291","4318413","20879","6973608","14766150","15495205","1998914","727714","980788","209353","381275","289","192647","0"
"37","Ивановская область","842592","747514","93864","1214","10813035","968838","47383","130941","0","22420","104","3301897","1784618","9700","0","4991","395349","23293","70929","0","0","0","359737","117651","416011","200705","939108","19771","0","0","0","5594","5656","0","120987","118771","189667","230480","651796","354195","753","20","111","775784","1958929","958181","388051","612697","562222","300939","29916","231367","1789825","4346125","1849316","2157321","2340272","1648826","765921","28927","134080","5464","0","485439","200543","547844","97834","581399","47447","118810","169722","105535","28452","35735","977368","1521441","839063","3326","3077430","4561603","4766207","781628","230835","351080","55846","213502","204","52653","0"
"38","Иркутская область","5874079","3164788","2695436","13855","33383320","1390540","165366","85219","0","224763","5735","26046","102464","19229","442","17696","2940045","3979957","81297","2615792","0","2615792","4213883","960735","332685","1198487","6883064","241538","0","0","0","1860","5807796","527348","16219","16219","60971","833995","635049","248688","5211389","7365","5193075","1418506","10099919","8495372","45111","1559436","1588107","1019637","54005","514465","9411496","15765069","5783982","8118152","39447742","31818919","21285189","43191","6428342","400897","1290507","5382382","555037","2470264","583580","1721265","98439","386123","676797","592657","10963","73177","2623123","9038129","4874953","28353","14727999","25355993","18140201","2666113","660330","947354","145163","387778","517","177268","0"
"39","Калининградская область","2939607","1844016","23169","1072422","9491896","3004961","876346","230300","64","151805","125814","167505","54213","19735","0","16706","75334","234784","40670","1955","0","1955","235688","151908","210019","482169","988967","2319","0","0","25861","10584","1025","0","3333","0","167588","207723","286879","335413","1746085","1726043","274","802681","1792952","850519","339408","603025","820098","571873","79308","168917","4229790","10086544","2631693","6615247","5790049","3050143","1103790","27628","100173","410999","1940","2017837","309130","1981798","390355","1392102","47369","124692","4169287","4112375","4929","51983","1649150","3549987","1791120","28942","5119764","5918368","6617118","1340512","519615","565322","99040","255490","24","112397","0"
"40","Калужская область","3464423","3299225","156707","8491","32458675","4468848","2397301","447910","0","102509","101847","137071","471137","35970","0","33691","631043","2035749","43390","118664","0","118664","724378","1002354","1571088","3478082","6293733","626595","0","0","204","9811","149188","0","307186","280141","3013488","868198","2168740","2729038","1623949","127392","463400","839399","2116426","894753","594768","626906","784428","435302","37618","311508","3862332","7120612","3822593","2501361","3065313","1911948","42589","55801","233011","206","92756","810450","249953","1002978","151583","1180532","82323","101439","699389","665660","5229","28500","1578283","4774303","1496511","34981","4485998","6125326","5432327","1083443","299032","412815","67488","187141","69","56376","0"
"41","Камчатский край","12606958","315925","138148","12152885","3012277","2101898","67566","114307","0","65883","0","3595","3969","105","0","0","7154","471","10502","0","0","0","2442","0","9709","45657","45497","169","0","0","0","3496","0","0","137","0","123","279","25733","0","15565","15565","0","673695","3614913","2950673","11377","652863","744652","568477","7267","168908","1271218","2667389","966207","1493335","3256905","887348","244","9104","143539","177169","421504","1604265","166619","632497","257461","371611","16328","103418","97813","93934","0","3879","564499","2201990","697193","5881","7269381","5503731","5483653","1059093","279922","230459","31232","98697","0","28108","0"
"42","Кемеровская область - Кузбасс","2568393","2389326","161338","17729","28423231","2082100","632838","164935","0","150666","62","35696","146260","6990","106","3184","151968","123727","54127","1416147","922546","493601","3706747","400954","262580","1198640","13930523","10940260","0","0","465","1001","751059","14","9556","4390","127058","227276","1485445","54928","497843","3619","1211","2363494","8697473","6391785","81754","2223933","1880705","1019509","74334","786862","10355551","15916585","5922969","4755113","13024520","10636389","1208236","36537","199720","4845","3294","1996645","383347","1960396","291198","1897240","46364","482915","572385","460282","24482","87621","2661910","6068914","4056514","21335","9648729","17134185","17493771","2707788","905387","850283","122032","351942","2143","164245","0"
"43","Кировская область","4030698","3325324","699860","5514","23021701","2518441","436650","571521","0","187305","11","29578","492532","334415","100","231924","1991321","195723","167375","0","0","0","2179957","442716","1000206","209342","9108020","986321","0","0","74761","13904","374602","0","1650","1602","147359","2030749","393186","78793","518038","33731","278503","996634","2583255","1705643","346409","531202","706782","402853","54448","249481","2759179","6533072","2060158","3974280","3212333","2073624","26077","18965","145284","7857","0","860533","270319","1288944","82350","588462","54644","57839","402886","378318","7858","16710","1060417","2272140","1083830","7000","4588963","7446754","7919749","1119422","244599","409621","85756","152266","0","66950","0"
