GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140
Пермский край;145200414;145219757;11974;3814493;3804369;38043670;981;557;557;6127;3;21449;1;112038299;112088215;560442261;11743;-3255;0;980979;980418;5881798;248;1690;1690;8450;7;0;0;0;0;473721;473602;2368016;101;21641599;21498138;130708576;5527;5189250;5185245;2424;75552;75448;16;6228875;6221149;3445;323498;322714;892;169;169;2;460;491;17;-7;6;0;126525770;126666678;11483;94988756;95147456;11402;2889465;2892029;307;362104;364052;119;5872435;5873799;2277;474959;471847;100;21555181;21536124;5445;380896;377781;112;0;0;0;23799;3691;3;1228604;1229167;97;29044270;28920281;12508;0;0;0;3147384;3147790;46;125541302;26485160;5297027;4998800;999760;301744;3995523;26811;5362;7250;1450;0;3912;14;0;15135769;3027154;4824745;964949;19049;2043156;0;0;0;0;41620929;8324181;9823545;1964709;320793;6038679;16199808;1428480;35553;1478;3;0;125541305;1237839
Псковская область;14678781;14568668;2183;2327456;2331962;23319615;245;3632;3632;39948;3;68766;0;10061717;10044227;50222255;2108;0;0;19389;20233;121404;56;0;0;0;0;0;0;0;0;13296;13296;66478;19;1766370;1764546;11134662;813;254311;226930;288;585;585;2;418137;390765;453;24535;24468;219;0;0;0;2787;2787;2;16;16;0;13276850;13208121;2092;10191804;10123537;2069;724045;725777;127;153595;153595;82;339765;339170;274;13164;13164;18;1849137;1844744;827;8135;8135;28;0;0;0;0;0;0;173218;169560;97;1929347;1911565;2229;0;0;0;2909;2909;3;5056119;1660128;332025;359025;71802;47309;212914;0;0;0;0;0;0;0;0;405270;81054;346088;69217;1345;10492;0;0;0;0;2065398;413079;705113;141019;48654;223406;335301;51957;4910;0;1;0;5056120;169712
Ростовская область;175711565;175269645;15299;12956948;12929025;129291137;1979;11715;11577;127348;23;26712;6;117802093;117578582;587892201;14458;464028;2;1336980;1347107;8082641;312;0;0;1;0;0;0;0;0;279395;278973;1394499;118;34312308;34248499;217365600;8255;6826401;6763960;2984;154434;154609;40;10826644;10679033;4323;143997;142644;592;638;638;3;1064;1188;24;44971;44971;4;159551789;159424326;14533;110749039;110783607;14363;6770228;6714041;924;740381;750480;255;7196259;7132197;2871;277384;276961;114;33683568;33636452;8097;128197;128090;154;0;0;0;9771;9755;3;6909838;6904114;254;24259752;23985254;14991;0;0;0;448648;445327;30;148651892;22431095;4486220;5767083;1153418;355347;2977455;18612;3722;1740;348;0;3374;9;0;11699375;2339875;1270130;254026;18550;2067299;0;0;0;0;34130470;6826095;7037213;1407444;373897;5044754;3506580;4030771;287638;4007;10;0;148612840;6900770
Рязанская область;57482358;57530907;5531;4258647;4262052;42620529;695;2779;2779;30574;10;-36786;27;41821376;41869219;209346092;5281;2966;0;756102;715686;4294110;135;0;0;0;0;0;0;0;0;22759;22759;113786;41;8203838;8190872;50107696;2335;2309865;2303290;902;9361;9361;12;2451279;2446197;1302;34512;34449;306;0;0;0;1035;1035;9;0;0;0;47179514;47269953;5308;34656100;34764759;5264;1664524;1657110;169;249463;249463;66;2424571;2424318;812;19392;19405;37;8117818;8105881;2355;46975;46973;70;0;0;0;283;256;1;401661;401732;52;10931816;10843720;5643;0;0;0;127604;127368;10;8057497;3594213;718843;864395;172881;84858;461104;526;105;58;12;0;93;2;0;2644003;528801;297476;59496;9044;460261;0;0;0;0;6238216;1247644;1161871;232377;93902;921365;1569985;89008;0;0;0;0;8057498;387436
Самарская область;242797653;242764693;22070;8323089;8380185;83805839;1735;1064;1064;11709;7;1234731;13;185919740;187015751;935333650;21533;91837;1;2610528;2612978;15680329;280;76;76;2309;2;0;0;0;0;215383;214380;1071899;84;36614207;36621869;229986509;9074;7223765;7179540;3405;74347;74347;29;7786992;7761117;4918;685953;684952;691;3928;3928;2;1283;1283;15;4;4;0;205136133;205205371;25259;154384394;155046728;21120;7427046;6800720;511;607942;605639;165;7566914;7551308;3299;214550;213547;77;34324550;34374008;8824;610738;613421;213;0;0;0;9473;8025;3;2119669;2154717;202;40845974;40683475;21930;0;0;0;4588516;4589155;57;77106311;31549409;6309877;7270520;1454102;925701;3930074;216297;43259;7277;1456;201;41602;11;0;43932089;8786416;27633171;5526633;53289;3206494;0;0;0;0;75481498;15096293;34903691;6980735;978990;7136568;11396670;939422;42299;5967;8;0;77106313;1402557
Саратовская область;75642489;75264905;8072;5212494;5075263;50752619;1017;394;394;4328;4;329119;65;53050206;52925901;264629196;7695;-24;0;604695;609506;3657027;171;0;0;0;0;0;0;0;0;121476;119908;599536;50;13026400;12980199;80620303;3986;2941544;2932440;1569;152211;146394;19;3555530;3532594;2203;56241;55825;256;0;0;0;547;399;10;0;0;0;66189779;65942401;7772;48342030;48137476;7716;1251895;1242936;148;182156;182258;96;3002513;3005189;1490;121413;119845;48;13235627;13200637;3949;54102;54016;63;0;0;0;38;38;2;419558;419338;83;10458605;10322288;7999;0;0;0;1084615;1088673;13;9556689;8270681;1654135;1969980;393995;429108;831032;161;32;0;0;0;32;2;0;3543148;708628;242137;48429;3663;656536;0;0;0;0;11813829;2362763;2212117;442424;432771;1487568;2906591;166868;2579;37;4;0;9947917;417583
Сахалинская область;25482822;24776384;1281;1246428;1244404;12444035;213;14;14;154;2;235;1;19985199;19586582;97932854;1247;15;0;125280;124538;747224;17;0;0;52;0;8780;8780;61577;1;33717;33802;169015;18;3438388;3137909;19967376;565;502179;496274;173;52183;51767;2;653546;647041;348;337746;300324;201;0;0;0;0;0;0;0;0;0;20896572;17826643;1207;16624353;13734401;1185;758510;954348;110;494;494;5;766645;767536;170;33953;34038;18;2375761;2033834;563;336859;301995;66;0;0;0;0;0;0;1608535;1612776;37;8069355;7801075;1321;0;0;0;150520;151446;6;28023165;3378998;675800;327328;65466;72507;537827;3692;738;0;0;0;738;3;0;1810404;362081;193655;38731;4082;319268;0;0;0;0;5189402;1037881;520983;104197;76589;857095;606517;6668449;46161;0;2;0;28023167;1610032
Свердловская область;363009381;358770647;29273;10979017;10978181;109781783;2004;13059;13059;143644;16;2145829;11;251783903;254023118;1267122453;28606;1961858;4;21884957;18675627;112075029;627;4633;4611;30688;12;61366;61366;306832;1;471147;471157;2355781;166;58982263;58940759;362443097;15312;11748112;11692882;6597;537537;537696;74;14272026;14199472;8920;710777;708887;1673;71;71;2;5524;5467;48;0;0;0;330784935;326669705;28329;237727514;234425813;28128;14173734;13446077;1185;3208501;3211568;343;13618448;13588052;5984;462043;462053;159;61241429;61191969;15288;318169;309368;388;15412;15412;4;39720;35800;13;4919328;4924715;342;47155272;47085013;29921;0;0;0;2435807;2437186;78;175921848;55112721;11022544;15351605;3070314;1891378;6060852;18309;3662;182;36;14;3612;11;0;109268335;21853669;57822427;11564487;137843;10151339;0;0;0;0;164381056;32876213;73174032;14634801;2029221;16212191;18150742;2116743;43919;1316;16;0;175917612;4868539
Смоленская область;40891273;40843921;5227;2888574;2888002;28880033;641;1312;1312;14430;7;123667;0;28226764;28305756;141636022;4927;0;0;743384;764333;4614023;151;0;0;0;0;0;0;0;0;24777;23164;115818;34;7349514;7314923;45100619;2043;729756;737837;693;169312;169312;17;1533251;1541652;1071;103637;102149;524;0;0;0;381;381;6;0;0;0;37109752;37433620;5142;23612814;23927363;5024;1530262;1665053;266;4059402;3940251;1198;963630;967562;686;22497;20884;33;6840490;6832200;1979;89392;89041;156;0;0;0;3812;3906;6;1701811;1701018;426;4597689;4326995;4745;0;0;0;76831;76831;4;30403386;3591097;718214;524111;104823;59372;554019;17558;3512;1134;227;0;3285;2;0;1580270;316056;210721;42144;1216;272696;0;0;0;0;5171367;1034270;734832;146967;60588;826715;32769968;1508907;691347;66325;85;0;30403390;1700844
Тамбовская область;36879092;35833565;2988;6864070;6859139;68591276;717;-495;639;7029;4;870103;0;19684897;19437549;97187731;2756;6;0;91945;95263;571574;50;0;0;0;0;0;0;0;0;35682;34724;173621;37;6051647;6051997;47997410;1109;3112200;3116137;369;169818;169818;3;3357578;3359520;599;27759;27551;314;6;6;1;1221;1221;10;3;3;0;35639186;34604918;2847;26680411;25641131;2827;524414;524414;38;59759;59759;26;2496131;2500897;409;25465;24508;34;5839667;5841295;1101;12919;12496;50;0;0;0;0;0;0;131272;131272;8;3278030;3264528;3142;0;0;0;13991;13991;5;4398463;2495511;499103;525851;105171;49365;344567;4870;974;0;0;0;974;3;0;9215230;1843045;8582692;1716539;3192;123314;0;0;0;0;11710741;2342148;9108543;1821710;52557;467881;329764;43949;2579;0;1;0;4398464;130799
Тверская область;47501305;47193368;5024;2259211;2256696;22567123;549;461;461;5072;6;199854;1;36365923;36319114;181595473;4865;12;1;893792;893462;5360775;124;20;20;361;1;0;0;0;0;21646;21494;107462;41;6778618;6733922;42325859;2245;839797;817341;785;11131;11131;20;980703;958296;1245;80433;80427;670;18;18;2;116;116;6;0;0;0;41982784;41717779;4676;31011209;30823905;4635;2726021;2718568;176;120220;120951;74;1032356;1002354;734;22211;21328;40;7007684;6967590;2237;63007;63007;83;0;0;0;51;35;1;391212;388218;59;7319558;7284239;5493;0;0;0;374606;374606;15;8651267;4512254;902450;853795;170759;88346;643345;0;0;0;0;0;0;0;0;3743465;748695;2205782;441156;2302;305237;0;0;0;0;8255719;1651145;3059577;611915;90648;948582;643572;1019779;0;0;0;0;8651265;386866
Томская область;76439504;76703695;4322;3594669;3594917;35949144;447;993;993;10918;1;-97394;0;56994875;57143073;285714445;4224;0;0;169266;169360;1016157;68;1278;1278;6394;2;700;700;3498;1;37259;37259;186294;31;14211884;14217228;85559457;1779;1364602;1370161;765;60593;60061;3;1527894;1532935;1127;47083;46982;421;0;0;0;116;116;4;100;102;0;58446161;58706257;4155;42299948;42557484;4125;773381;773753;84;37906;40118;29;755199;753277;671;37234;37234;30;14508731;14509695;1801;34313;35246;57;29;29;1;0;0;0;214388;214501;29;18374972;18376351;4569;0;0;0;1805915;1806425;20;6657107;8937877;1787575;1523078;304614;145826;1337135;37;7;3221;644;644;-1281;1;0;2713158;542631;152182;30436;3733;508462;0;0;0;0;11651035;2330206;1675260;335050;149559;1845597;2408555;351518;356545;20926;5;0;6657109;201487
Тульская область;81523777;81489643;6416;5170627;5169813;51698133;652;177;177;1950;5;-76038;0;57377652;57270126;286364168;6227;0;0;400597;401218;2407310;88;6571;7781;39200;2;0;0;0;0;113925;92398;461984;64;12831534;12825288;97418269;2871;5083936;5060484;1045;224865;224514;15;5705290;5699329;1543;396597;396286;454;0;0;0;302;216;12;1;1;0;79130259;79134121;6122;56770943;56801986;6074;3162537;3164855;230;248068;247327;86;3997270;4332623;1018;113480;91953;64;14450733;14107749;2848;385727;385692;91;0;0;0;-97;0;0;418651;417518;42;9317939;9280080;6614;0;0;0;1241826;985661;31;54436038;12552460;2510486;2382537;476513;191120;1842853;2892;578;2827;565;175;-162;4;0;2569471;513894;53099;10619;1533;501742;0;0;0;0;15121931;3024380;2435636;487132;192653;2344595;5290516;630722;60158;0;3;0;54435813;412800
Тюменская область;149792338;149835970;7236;2769913;2768992;27693021;675;218;218;2389;9;-90820;1;111317709;111278314;556395481;7009;-142;0;411170;411829;2470978;139;9;9;1641;2;1;1;4;1;215154;215154;1075769;46;25794886;25782394;155952236;3118;8734780;8741504;1439;79473;79408;14;9370094;9372132;2180;1558357;1558528;503;0;0;0;436;436;10;131;5;0;129846572;130447894;6896;92572582;93074167;6839;2163416;2163289;105;62296;62285;33;5756522;5870088;1341;214198;214198;44;27234432;27220769;3167;1841703;1841669;102;1143;1146;1;34;34;1;121519;121524;29;32301858;32090297;7404;0;0;0;3994725;3931005;19;47998646;20122986;4024595;4248752;849749;521449;2653397;22292;4458;1577;315;296;3847;8;0;30453372;6090675;10940080;2188015;295639;3607021;0;0;0;0;50576358;10115270;15188832;3037764;817088;6260418;66429639;2477320;75;0;1;0;47981864;94381
Ульяновская область;48583082;47942286;5012;2322918;2314920;23149174;520;289;289;3179;4;520769;1;37402406;37250133;186250866;4835;19;0;560202;558536;3351219;100;153;138;692;3;134;134;669;1;34886;34782;173904;49;5751518;5749545;35889262;2084;1517121;1512932;746;31129;31129;7;1990054;1979884;1173;46772;46770;371;164;164;2;191;191;2;7;7;0;43442459;42786718;4805;29780418;29119678;4774;2264543;2273351;114;120444;115284;55;1273823;1294900;749;34080;33976;44;9937668;9918191;2076;31486;31340;75;0;0;0;0;0;1;194455;194455;29;5646389;5626233;5153;0;0;0;29222;29139;8;5307362;10133297;2026659;2093657;418732;197922;1410005;31240;6248;2500;500;0;5748;5;0;1753570;350714;36993;7399;2278;341037;0;0;0;0;11886867;2377373;2130650;426131;200200;1751042;240059;5582357;461;0;1;0;5307361;193432
Челябинская область;208498435;207702340;20367;7300122;7290758;72907587;1179;4279;4279;47062;16;335210;48;154613955;154174995;770876110;19860;2316;0;2547565;2547190;15283141;415;63040;63040;318448;8;112;112;558;2;229763;229769;1148841;122;37156361;36990147;229171273;9703;5357760;5289043;4063;181278;184379;48;6514916;6430125;5495;248825;249096;1042;110;110;1;3415;3416;30;682;696;1;190051493;189300019;19715;136697257;136316388;19603;7232476;7234058;613;3234685;3238496;252;5051567;5148406;3712;199191;199191;119;36796786;36380559;9537;331722;324950;204;271194;271180;1;819;309;7;1667473;1682069;349;24330721;24256495;20546;0;0;0;872451;1493942;44;65691949;35056871;7011375;6094368;1218874;380751;5411750;42236;8447;36218;7244;1606;-403;14;0;42347956;8469591;12850046;2570009;59694;5839888;0;0;0;0;77404827;15480966;18944414;3788883;440445;11251638;4146212;842815;133872;11166;24;0;65691954;1671717
Забайкальский край;13977910;13968160;1198;787396;786764;7867638;213;51;51;569;4;10225;1;10907140;10846934;54235186;1117;52;0;15974;16038;96232;34;198;262;9777;2;0;0;0;0;203940;203940;1019696;22;1705317;1692705;10187576;353;282163;280150;149;6884;6884;3;346934;344903;267;78014;78465;443;-5;0;0;-720;40;4;0;0;0;12338166;12333780;1040;9378574;9370868;1020;528167;528056;82;8368;8368;5;243172;243130;121;179502;179502;23;1950594;1954067;383;49775;49775;44;0;0;0;3386;3386;4;2041899;2043356;72;2877065;2867726;1475;0;0;0;126006;126006;7;23213663;3377798;675560;517210;103443;5414;566703;2577;515;2;0;0;515;10;0;4862203;972440;11929;2386;9940;960114;0;0;0;0;8240001;1648000;529139;105829;15354;1526817;3934932;5270;5171;54;2;0;23829876;2075261
Ярославская область;72715147;72708798;8724;2128398;2126946;21269459;604;2101;2101;23109;1;109078;1;55615245;55738545;278690551;8564;66;0;224159;224354;1346116;120;553;553;3115;4;129;129;643;2;70335;69006;345029;43;11801173;11758980;71335923;3745;2041745;2033369;1358;124066;124021;26;2790318;2786776;2017;73109;72951;334;92;92;2;7211;7207;17;3;3;1;62545450;62622787;8355;45017295;45135873;8309;2287264;2288002;235;115572;115572;99;2334857;2329818;1239;70292;68963;43;12653365;12617719;3761;66662;66662;102;54;88;1;176;11;1;312312;314165;63;11765405;11668128;8779;0;0;0;527286;527286;12;19253891;18467212;3693439;1794636;358929;425182;2909328;2054;411;0;0;0;411;2;0;2436893;487379;872235;174447;3039;309893;0;0;0;0;20904105;4180818;2666871;533376;428221;3219221;42717915;121461;78124;7576;9;0;19253893;312590
город Москва;4881527366;4825311454;161558;166403576;166424549;1664254210;13129;414211;414211;4556349;69;122119650;54;3364562069;3437756163;17193230198;157669;181274;4;19639308;19767438;118622212;2121;683590;683658;3419031;37;353063;353063;1891412;41;7630205;3574122;18060791;276;949459644;946668673;5745270986;83801;173747827;172202893;29414;50753492;49261910;329;249197389;246203783;41579;28498882;28113076;8522;51050;52106;63;6497;6370;42;-619;236;4;4345228159;4294104467;156555;2867867331;2825354078;154945;350452106;350271502;15247;21155227;21000382;2756;160622474;160595547;27163;7613301;3557206;260;918239200;912687949;83170;21006908;20968488;4566;289446;289446;44;198769;194074;70;248206937;245715708;1909;659315506;654958534;160076;25550841;25528613;1148;97054332;97126416;224;3139195294;1189500296;237900053;329261383;65852270;26474274;145573509;45613245;9122650;4778673;955734;132432;8034484;188;0;31246238862;6249247774;30314612151;6062922432;34797289;151528053;37670894;7534179;190;0;32473410052;6494682006;30643873534;6128774702;61271563;304635741;1513739203;26751106067;7704686;176996;117;0;3138246334;245027760
город Санкт-Петербург;1533026629;1329505316;75123;56881645;56699674;566993987;5089;14103;14103;155128;32;214297549;24;971295689;978511488;4893999124;73616;-119330;0;6384980;6215432;37292435;1056;139559;139559;742037;13;215141;215140;1075700;6;694009;680498;3402476;123;246630354;248326502;1505467922;39177;32510667;32547107;15569;739593;733595;139;36714996;36718295;20861;4138927;4116375;2905;3698;3326;10;739;1024;50;-27;168;0;1386728114;1183233380;73395;1040443178;835599248;72785;67198070;67266964;5727;2719998;2724868;1151;36836135;37270133;14366;692975;679396;117;235616615;236459123;38894;3224837;3217191;1188;374;374;3;52389;52785;23;32572517;32555193;1054;182950809;181973580;74598;0;0;0;17013222;17037411;87;391632879;262561860;52512368;118966294;23793255;4950116;23768997;688541;137707;556921;111384;2091;24232;48;0;1147788689;229557738;813070726;162614143;3136606;63806989;0;0;0;0;1410350549;282070106;932037020;186407398;8086722;87575986;94494329;73187835;302089;9861;42;0;391632878;32206161
Еврейская автономная область;1358620;1357832;171;142275;142037;1420368;33;366;366;4019;2;2;0;933146;933204;4666022;155;0;0;63;63;376;2;0;0;0;0;0;0;0;0;20530;20530;102647;3;215184;214623;1314066;54;45808;45761;21;0;0;0;47778;47731;36;2683;2668;150;0;0;0;28;28;1;0;0;0;1221622;1219064;165;902187;899470;161;65221;65221;20;316;316;1;49526;49670;18;20530;20530;3;182542;182557;51;1299;1299;6;0;0;0;0;0;0;164413;164335;9;165658;164411;301;0;0;0;0;0;0;2299962;193987;38800;49976;9995;8605;20200;0;0;0;0;0;0;0;0;22728;4546;0;0;0;4546;0;0;0;0;216715;43346;49976;9995;8605;24746;32129;0;0;0;0;0;2299963;164336
Ненецкий АО;2759250;2755146;72;30572;30572;305719;12;0;0;0;0;329;0;2013348;2002256;10011280;71;0;0;16191;16191;97146;3;0;0;0;0;0;0;0;0;838;8256;41278;7;665273;665383;3994888;29;12792;12778;11;0;0;0;32699;32405;20;366;366;5;0;0;0;0;0;1;0;0;0;4349034;4345824;65;3700050;3689116;64;0;0;0;0;0;0;12118;12118;10;759;8177;7;635985;636293;32;122;122;3;0;0;0;0;0;0;493373;493373;3;423329;422431;68;0;0;0;1073861;1073861;3;11993391;67386;13478;43048;8609;4812;57;0;0;28871;5774;0;-5774;0;0;786985;157396;2470;494;1717;155185;0;0;0;0;854371;170874;45518;9103;6529;155242;472;88280;41950;0;1;0;11993391;493358
Ханты-Мансийский АО - Югра;291136950;291043914;5390;1194636;1193693;11961517;260;1869;1869;20561;4;-47463;0;240966539;240841140;1204211016;5311;871;0;191165;190431;1142596;107;671;696;3482;3;0;0;0;0;8266354;8263753;41318764;61;31148921;31156245;189594005;1745;9193161;9189824;780;8503;8265;7;9717279;9711425;1322;254841;254554;539;0;0;0;3;3;2;29;27;0;186223745;186281009;4986;141936380;142001377;4949;1059048;1059048;48;102824;102824;17;10055531;10054670;730;4362094;4359493;60;28520904;28516829;1732;186855;186686;146;0;0;0;2642;2642;3;11667266;11665090;26;96116763;95971055;5684;0;0;0;16755961;16755960;39;399833874;16183845;3236767;4161394;832276;478858;1925633;10379;2076;10387;2077;10281;-10282;4;0;18807322;3761464;6582559;1316512;21804;2423148;0;0;0;0;34991167;6998231;10743953;2148788;500662;4348781;2952833;1635630;1226;1872;1;0;399899874;11551950
Чукотский АО;3255104;3251595;94;91304;91304;913047;24;466;466;5125;1;-280;0;2105391;2105404;10527020;90;0;0;139;139;833;2;0;0;0;0;0;0;0;0;100859;100859;504294;7;382998;379438;2321680;35;518962;519045;16;0;0;0;574228;574264;35;323274;323216;233;0;0;0;0;0;0;0;0;0;3777789;3774239;91;2520670;2523217;89;6128;6128;1;0;0;0;97987;97987;11;100859;100859;7;809896;803800;38;242250;242250;29;0;0;0;0;0;0;1901940;1901940;6;679429;679403;277;0;0;0;42908;43336;2;21594228;108265;21653;53826;10765;38651;-27763;0;0;0;0;0;0;0;0;104733;20947;1763;353;1763;18831;0;0;0;0;212998;42600;55589;11118;40414;-8932;50308;0;0;0;0;0;21594229;1901939
Ямало-Hенецкий АО;231404211;231276680;1113;211579;210436;2104355;77;520;520;5715;2;139675;1;184935546;184869942;924349575;1094;-122;0;34164;33884;203308;32;0;0;0;0;0;0;0;0;70993;70532;352659;31;28211215;28191568;169246132;441;17667036;17666757;195;0;0;0;17794526;17794164;311;4691495;4692451;239;0;0;0;233;232;2;0;0;0;160722077;160453164;995;112806747;112755699;987;686428;686428;15;0;0;0;15280933;15281371;195;68820;68359;30;26934933;26716238;434;4943926;4945023;78;0;0;0;0;0;0;4038189;4038189;8;94602067;94614402;1260;0;0;0;21114190;21114190;27;210923440;4710808;942160;2907296;581460;75935;284765;12873;2574;19231;3847;0;-1273;5;0;9365738;1873148;976429;195286;1707;1676155;0;0;0;0;14076546;2815308;3883725;776746;77642;1960920;4367350;146264;0;0;0;0;210923370;4038188
Республика Крым;34695784;34568309;4508;2377506;2358165;23581632;624;161;161;1772;1;81369;0;24535842;24531788;122840790;4341;2795;0;46738;46740;280445;56;571;571;2857;1;0;0;0;0;78931;78856;394278;53;6008146;5987769;36935360;2572;1386832;1376461;1000;431;431;1;1564222;1554125;1409;25519;25293;626;0;0;0;365;365;11;83;83;0;29911746;30000727;4283;22489410;22644312;4222;31371;37049;30;67676;65438;47;1736973;1703787;955;75083;75008;51;5500784;5464764;2487;9883;9781;52;0;0;0;0;0;0;12612;12612;6;6110652;5918737;4966;0;0;0;21194;21194;7;632129;8359529;1671907;1539224;307847;382424;981636;8404;1681;8;2;103;1576;2;0;11319300;2263860;4649004;929800;218294;1115766;0;0;0;0;19678829;3935767;6188228;1237647;600718;2097402;1185766;3273;480;0;1;0;632129;12612
город Севастополь;7067516;7092534;1558;500084;500699;5006994;213;0;0;0;0;-19409;0;5137823;5132017;25660082;1510;0;0;8690;8724;52346;24;0;0;0;0;0;0;0;0;7562;7562;37810;12;1225816;1232623;7519979;933;164332;168394;355;0;0;0;206950;210909;516;7510;7425;154;39;39;2;127;127;2;0;0;0;5701945;5753452;1489;4408465;4441550;1468;14559;14559;14;3165;3165;6;236601;244230;316;7497;7497;12;1029376;1040169;888;2282;2282;9;0;0;0;0;0;0;2183;2183;2;1364747;1355634;1690;0;0;0;3893;3893;2;102960;2212532;442508;65621;13125;10353;419030;123;25;0;0;0;25;0;0;241470;48294;28262;5652;2252;40390;0;0;0;0;2454002;490802;93883;18777;12605;459420;3858806;27832;12706;0;1;0;102959;1823
БАЙКОНУР;179558;179559;17;2043;2041;20410;5;0;0;0;0;0;0;164585;164588;822939;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12931;12931;77583;3;0;0;0;0;0;0;0;0;0;894;935;7;0;0;0;0;0;0;0;0;0;129394;129392;14;86778;86776;14;0;0;0;29345;29345;5;0;0;0;0;0;0;13265;13265;3;6;6;1;0;0;0;0;0;0;0;0;0;51076;51118;21;0;0;0;0;0;0;1353;91262;18252;5619;1124;651;16477;5804;1161;3680;736;0;425;4;0;6373;1275;186;37;100;1138;0;0;0;0;97635;19527;5805;1161;751;17615;0;0;0;0;0;0;1353;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
