"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29"
"Кемеровская область - Кузбасс","7442","4243","3199","3010","0","0","235","22","454594561","39739514","766334710","208864455","720815833","187331642","23069072","128448","528768038","505315859","23452179","10228305","9763550","447342","4540760","2639094","0","0","1901666","1857","0","0"
"Кировская область","6293","3737","2495","2305","0","0","224","9","153569301","17568022","235916883","71213619","228108246","68304969","11825318","35924","162130150","149468235","12661915","2707832","2596498","125111","1755796","786046","0","0","969750","4103","0","0"
"Костромская область","3188","1884","1238","1216","0","0","31","0","64249075","5613912","106536202","34183594","105350418","32994722","19434747","178888","84763283","64046790","20716493","1460803","1181150","262258","697028","351815","0","0","345213","8365","0","0"
"Курганская область","3265","2105","1003","984","0","0","24","0","120427469","5062828","147212099","30092348","145518551","29389726","5212824","86987","121522760","115697724","5825036","2160716","2103225","63242","678846","579717","0","0","99129","115","0","0"
"Курская область","4307","2355","1952","1934","0","0","19","0","193628541","14957567","302397428","75881792","290379360","68985558","3465","0","220966366","220962901","3465","3963711","4104467","69","1169472","1063617","0","0","105855","0","0","0"
"Ленинградская область","7907","2953","4895","3048","0","0","2326","0","1011777543","182881009","1401594281","402937681","1364553717","392811630","19149630","524614","989455871","969912091","19543780","16524759","16744344","227121","9005631","3432745","0","0","5572886","12638","0","0"
"Липецкая область","4895","2708","2173","2127","0","0","88","0","219848032","37599308","394849039","145254060","367591238","121767255","11873356","78838","252995503","240864930","12130573","5117445","4928201","233021","2721880","2178152","0","0","543728","1577","0","0"
"Магаданская область","1129","363","762","481","0","0","438","0","74521817","7244117","117551912","37199611","116931920","36185443","2729062","0","83475542","80746480","2729062","1408547","1355377","49209","1161332","613934","0","0","547398","0","0","0"
"Московская область","36017","15394","20210","20091","1","0","193","1","1738698569","341269870","2910472882","946095893","2628742448","807845658","414739012","9985746","2251899307","1803187632","448711675","44989338","37627226","6209446","15772324","11950830","9","0","3821485","18150","0","0"
"Мурманская область","2835","763","2057","1208","0","0","987","0","273517395","150143287","373891406","210464960","356405313","198117048","5046095","0","162948460","157904367","5044093","3296187","3226579","59022","4426503","3053237","0","0","1373266","34673","0","0"
"Нижегородская область","17036","8895","8022","7162","0","0","936","0","532758678","120932790","968212117","407200739","935020799","395904844","83283378","4133476","575362838","492582970","82779868","11479831","9417300","1494621","9282700","5794236","0","0","3488464","84766","0","0"
"Новгородская область","2907","1650","1229","1190","0","0","49","1","167701320","16159476","255005104","52729976","252640517","56655570","1526253","12943","191650631","189596014","2054617","3347940","3339913","8015","1249851","1049211","0","0","200640","104","0","0"
"Новосибирская область","12477","6537","5773","5745","0","0","45","0","470649439","51722104","758005065","217612300","732126141","206992118","79281311","2873247","575016494","497006631","78009863","11867989","10303080","1317494","4506078","4045097","0","0","460981","20779","0","0"
"Омская область","5563","2579","2951","2950","0","0","3","0","250451914","1173714","374339944","72793770","362502188","66195586","96779","0","264411515","264314736","96779","5107094","5088934","1899","1427363","1414086","0","0","13277","0","0","0"
"Оренбургская область","6107","1184","4877","2570","0","0","2952","0","462596139","81105705","642749652","184246126","625600528","173999973","126131","0","450182585","450056044","126541","9388944","9373167","1949","3788337","1738812","0","0","2049525","0","0","0"
"Орловская область","3238","948","2282","1086","0","0","1245","0","110471666","21308240","157613888","55075856","152925062","51362486","7141","0","101184338","101175537","8801","1886996","1885763","118","1209666","577685","0","0","631981","0","0","0"
"Пензенская область","4678","2931","1709","1703","0","0","7","1","155296147","10707388","226285789","58053963","211458865","50206467","13760028","0","174777290","161137987","13639303","3185107","2984748","268340","1349964","1062594","0","0","287370","0","0","0"
"Пермский край","12876","7322","5456","5011","0","0","316","81","621899783","27160728","943114554","220074337","903551813","185343361","55484","0","714037239","713981755","55484","12357615","12382803","114","4033199","3456387","0","0","576812","0","0","0"
"Псковская область","2743","1313","1414","1305","0","0","156","0","90192370","8788896","121974066","30084304","118278072","24272229","7998850","739","101701844","94005743","7696101","1453483","1295059","142151","836108","399273","0","0","436835","5575","0","0"
"Ростовская область","14705","6742","7871","7766","0","0","181","0","658512229","49132030","1099477245","283923946","1051334944","259637701","42211","0","787684964","787642753","42211","15296523","15162408","844","6673296","4388689","0","0","2284607","0","0","0"
"Рязанская область","6149","2741","3367","2978","0","0","1341","0","202512176","41268960","335781435","111048402","332602323","103872477","40216350","442722","265617313","227730971","37886342","4950722","4488580","483520","2352161","1541039","0","0","811122","13948","0","0"
"Самарская область","14182","7813","6321","6221","0","0","125","0","618955134","87490362","1072889709","346261317","995459533","329580169","124893629","609890","778566185","653814095","124752090","15111401","13660680","1460005","7229496","4926871","0","0","2302625","6145","0","0"
"Саратовская область","7739","4105","3631","3592","0","0","66","0","354032752","8332668","610387645","145406060","585755211","125887577","9807895","0","469167999","459467777","9700222","9042654","8881056","144216","3024158","2492910","0","0","531248","0","0","0"
"Сахалинская область","2535","932","1599","1589","0","1","10","0","961027667","634901605","1064568771","693888085","1076059899","719719293","5739418","0","362078339","356338921","5739418","6219383","6005329","57498","15766647","1226091","0","14517487","23069","0","0","0"
"Свердловская область","18815","6344","12345","11465","0","0","935","0","958758286","67920123","1789588637","507418902","1735749472","452570588","63041912","5040030","1351898532","1282286344","69612188","26546904","25914644","1158238","9695011","7503053","0","0","2191958","15387","0","989"
"Смоленская область","4433","2175","2256","2215","0","0","51","0","201610669","10629346","268090508","60388199","263193417","51425121","9597","0","211609174","211599577","9597","3751979","3755919","192","1482629","1115229","0","0","367400","0","0","0"
"Тамбовская область","3036","1342","1668","1659","0","0","35","0","148125288","33236609","212831130","77570813","199151959","68347143","1585","0","130670537","130668952","1585","2586738","2601468","29","1502482","958386","0","0","544096","0","0","0"
"Тверская область","5991","2907","3035","2416","0","0","636","0","334413653","47524166","483659416","111531111","478543190","105331540","3405999","12544","369970260","366474991","3495269","7264654","7220607","36189","2313452","1564734","0","0","748718","780","0","0"
"Томская область","4214","1776","2387","2301","0","0","111","0","286065794","22385336","405972288","91510002","394540899","85935689","7976438","1469","313687773","308328978","5358795","6477068","6375661","72667","1912213","1176990","0","0","735223","1678","0","0"
"Тульская область","7084","4078","2952","2776","0","0","202","7","209562634","11524849","366713775","103877672","353531398","96750413","26592842","162957","279641770","254034113","25607657","5111125","4618195","476045","2427046","1759853","0","0","667193","3179","0","0"
"Тюменская область","5732","1556","4160","2847","0","0","1411","11","724453358","174047381","961500994","319320521","924074736","296101720","20457592","511961","624916275","607397073","17519202","10703084","10337492","316151","7770457","2299919","0","0","5470538","9465","0","0"
"Ульяновская область","4090","1118","2934","1682","0","0","1281","24","181160712","16281846","276383245","70155588","257710135","66805108","2424","0","190111017","190108593","2424","3039519","3038121","31","2137511","1019551","0","0","1117960","0","0","0"
"Челябинская область","12716","6730","5910","5789","0","0","113","46","513312693","17907756","936141119","279214094","901180932","256806948","33199739","0","673453668","640581878","32871790","13577277","12954269","445325","4910910","4550529","0","0","360381","41285","0","0"
"Забайкальский край","3401","2115","1255","914","0","0","401","0","222584080","23382706","381370605","128745320","363588871","121260631","10199943","981068","252941836","242436303","10505533","4082052","3879461","198712","2666837","2633462","0","0","33375","18838","0","0"
"Ярославская область","5817","2437","3330","3265","0","0","102","19","309823509","38687702","493458020","139185149","486222565","134527500","6607669","9155","342712588","336000472","6712116","6120332","6106122","10750","3366318","2378377","0","0","987941","26","0","0"
"город Москва","84363","29997","52586","48222","27","0","4824","0","4028020741","2230545859","7935012589","5133779045","7529219784","4777548796","6143260663","330612977","9241421864","2738536840","6502885024","138298021","56626456","81424560","108550331","54216945","23171","0","54310215","6629077","0","0"
"город Санкт-Петербург","32571","9680","22192","19778","5","0","3305","0","1767822237","880816855","3340380341","1974875079","3533358844","1839399304","534238484","12731103","1845552073","1325734586","519817487","32104856","27419254","4799259","40235896","21868572","5037","0","18362287","50149","0","0"
"Еврейская автономная область","630","353","277","207","0","0","73","2","102951552","12102060","109120687","16062100","105457276","13864602","422038","29999","88693264","88301225","392039","1337946","1334195","3896","464733","247580","0","0","217153","300","0","0"
"Ненецкий АО","379","142","231","220","0","0","13","0","267802583","1247298","281116982","8948090","277936765","8364143","0","0","269225200","269225200","0","5835782","5835782","0","184011","163147","0","0","20864","0","0","0"
"Ханты-Мансийский АО - Югра","8103","3473","4035","3840","0","0","572","0","2911328743","127077873","3512312792","477408242","3401244805","442378996","63611490","1733758","3014518579","2944732729","69785850","60809677","59438052","1250741","10537919","7081504","0","0","3456415","6586","0","0"
"Чукотский АО","419","186","232","227","0","0","7","0","48345102","1041139","63537416","9348072","57135716","8271853","0","0","48863863","48863863","0","1064005","1062310","0","176380","158437","0","0","17943","0","0","0"
"Ямало-Hенецкий АО","2564","908","1634","1165","0","0","645","0","4129036921","929169837","4741494982","1219258454","4165663850","629776610","18420","0","3525450456","3525432036","18420","65928978","65912864","337","16997106","4191803","0","0","12805303","0","0","0"
"Республика Крым","5392","1940","3402","3347","0","0","108","0","220620742","62504695","307223201","121852461","273068689","114752028","0","0","158156586","158156586","0","1574134","1573605","0","1154844","1024172","0","0","130672","0","0","0"
"город Севастополь","1219","337","878","874","0","0","1","0","16890352","4338896","48410674","16340567","32816750","12782772","0","0","13446679","13446679","0","134221","134171","0","128220","126572","0","0","1648","0","0","0"
