"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29"
"Республика Хакасия","17","0","0","0","0","0","150389136","143946139","122498166","2591633","67806","0","0","0","0","96241","0","9905","807","29","0","429","0","3007","17375447","13562762","236798","1962","0","41226"
"Чеченская Республика","12","0","0","44","4","0","215411153","204618954","175183153","3127654","418550","0","0","232191","0","4526","0","0","262","0","0","0","1","4461","13673163","12483631","246396","0","0","0"
"Чувашская Республика","68","0","0","98","3","0","162468204","159654126","135137904","2914417","254979","0","0","188402","0","38086","0","0","1314","34","0","1315","1","5402","32541265","30215183","387216","3179","0","210903"
"Алтайский край","80","0","0","7","0","0","237399766","225809145","207590314","4398803","341154","0","0","38964","0","164058","0","591","2214","37","0","95","0","8239","47243509","41574661","821922","3692","0","8661"
"Краснодарский край","167","2","0","130","0","1","2838820078","2740150995","2206377982","40915484","8792965","1748471","0","5931961","0","1676885","х","570729","6784","144","0","115","0","45954","300808781","257331902","5032518","24848","0","35088"
"Красноярский край","45","0","0","3395","0","0","1642117194","1571770436","1271264720","25022240","292055","0","0","7569600","0","573110","0","182144","2317","26","0","148","0","11183","29623639","23931980","434775","2377","0","40128"
"Приморский край","77","0","0","236","147","0","856856868","826583314","769912288","13850094","816965","0","0","3080176","0","322183","0","9077","3148","42","0","173","62","9848","129162560","113229513","1362494","2549","0","468531"
"Ставропольский край","91","0","0","134","0","0","448085452","435792388","378884929","8275702","501413","0","0","703547","0","59766","0","0","1498","62","0","1","0","5686","39102959","34577464","685985","3307","0","х"
"Хабаровский край","26","0","0","47","0","0","819414882","807943814","777686961","15315644","566132","0","0","1500639","0","789106","0","200062","564","46","0","1","0","3263","21364990","18338836","367921","3678","0","х"
"Амурская область","14","0","0","76","0","0","908701369","826834065","730590289","9741636","558769","0","0","1631058","4669259","1054785","0","222125","1080","35","0","29","0","8011","70826337","55806471","615951","1596","0","84500"
"Архангельская область","16","0","0","24","14","0","448845265","449612910","419001166","8939372","646369","0","0","69240","0","209414","0","0","1002","3","0","483","0","3948","31709313","25994738","492955","50","0","25943"
"Астраханская область","36","0","0","545","0","0","524409704","534293106","508697358","10029288","171017","0","0","1376803","0","106920","0","29422","794","19","0","179","0","3410","18121984","16423213","326136","1356","0","3073"
"Белгородская область","28","0","0","40","9","0","398321401","389711005","370514848","7899109","285782","0","0","278764","0","62464","0","9","1825","39","0","660","1","9414","73911648","66390892","1307151","5432","0","20976"
"Брянская область","55","0","0","43","1","0","196064617","189151353","144082659","3135581","123891","0","0","861032","0","32426","0","1728","869","3","0","44","0","4471","28968302","25592635","499606","427","0","7384"
"Владимирская область","70","0","0","41","0","0","290649465","279241863","222607112","4642752","555933","0","0","443964","0","146061","0","0","1363","81","0","738","0","4924","28136593","25694369","408431","7018","0","96028"
"Волгоградская область","91","0","0","193","11","0","650518681","646349186","444835060","9104700","507141","0","0","3351382","0","246239","0","126622","447","61","0","46","0","1797","8100368","3617112","45070","3278","0","23638"
"Вологодская область","54","0","0","147","0","0","824032865","820700061","678957987","14647726","1075727","0","0","1579235","0","245192","0","9269","1535","8","0","971","0","5275","30365112","26915048","401172","776","0","134314"
"Воронежская область","93","0","0","332","2","0","604277670","589993502","547302273","10886316","125800","0","0","1854253","0","206305","0","112518","1967","5","0","1157","0","12533","77361184","65532278","1190712","247","0","110643"
"Ивановская область","42","0","0","30","0","0","209208632","204045370","95324653","2056662","71318","0","0","81148","0","12336","0","1009","74","0","0","0","0","229","7311268","6873938","137359","0","0","0"
"Иркутская область","63","0","0","1881","0","0","1221142966","1081766261","965028826","17213898","561895","0","0","3875019","584744","970280","0","255723","1787","14","0","1259","0","4339","57651393","55196606","951770","712","0","143367"
"Калининградская область","140","0","0","10","0","0","314436600","307716207","251869806","5413856","1154474","0","0","101682","0","39727","0","130","2282","26","0","183","0","11307","101715679","88229213","1666179","32781","0","50925"
"Калужская область","42","0","0","1204","0","0","449405665","427491234","230417811","4727523","1411890","0","0","2894206","0","52279","0","4675","865","2","0","336","0","3172","31859994","26219265","480749","778","0","53990"
"Камчатский край","6","0","0","66","1","0","163167825","158794188","145841762","2968745","16146","0","0","477911","0","0","0","0","739","17","0","144","0","2736","28592234","25719232","504651","6288","0","5357"
"Кемеровская область - Кузбасс","70","0","0","165","12","0","657920875","629779511","587853324","12270313","194887","0","0","554344","0","287359","0","5504","1422","75","0","117","0","7733","47192968","42993143","834900","4216","0","18406"
"Кировская область","38","0","0","130","0","0","216688318","213317008","163267990","3467250","40249","0","0","781337","0","120767","0","0","1532","19","0","1078","0","6258","26102711","22986700","368471","2192","0","87128"
"Костромская область","14","0","0","70","0","0","96846587","92591437","71861891","1479811","18101","0","0","218796","0","100501","0","0","555","1","0","8","0","1425","18198473","17758585","350891","х","0","2671"
"Курганская область","39","0","0","49","1","0","135509047","130382344","122968736","2554465","28913","0","0","93817","0","146145","0","0","784","13","0","308","0","2844","14330696","13304471","211739","1074","0","52952"
"Курская область","51","0","0","20","0","0","298729280","283737107","201655357","4126072","144538","0","0","1859055","0","46707","0","0","1287","53","0","0","0","7819","57602930","51145342","1010784","5370","0","0"
"Ленинградская область","28","0","0","247","0","0","1962011321","1900244712","1461940089","28654292","4948841","0","0","6648570","0","974326","0","213161","1410","60","0","107","0","15096","118350610","91002311","1068223","6382","0","282610"
"Липецкая область","159","0","0","46","2","0","325689704","318821467","268408576","5776724","512163","0","0","554099","0","72782","0","9","794","1","0","555","0","2643","36312290","33543845","659194","х","0","39167"
"Магаданская область","12","0","0","1","0","0","182225464","178553958","171900997","3781822","137948","0","0","х","0","0","0","0","301","5","0","1","0","1109","7553219","6717149","133690","541","0","х"
"Московская область","386","0","0","309","0","0","2820526700","2691605378","2097051272","44209113","2308335","0","0","8296490","0","839181","0","891426","6662","96","0","252","0","39057","745391274","680932856","13278586","14031","0","218409"
"Мурманская область","41","0","0","42","2","0","505469025","496338603","223575543","4675895","1891125","0","0","4158445","0","112701","0","70803","608","23","0","294","0","1824","22243626","21432596","369480","1555","0","50457"
"Нижегородская область","86","0","0","355","0","0","781203564","732423006","537054894","11617556","383554","0","0","3688360","0","120242","0","21","3942","20","0","92","0","10589","136647391","125927295","2419218","5271","0","75327"
"Новгородская область","34","0","0","14","0","0","211223240","205246796","165079118","3399414","247838","0","0","417085","0","191122","0","59815","580","30","0","301","0","2452","8275193","6795703","107167","1562","0","26953"
"Новосибирская область","61","0","0","50","0","0","605769001","573342948","498155377","10787625","565716","0","0","862171","0","171236","0","154","1944","70","0","102","0","13957","102135739","88701123","1725607","10692","0","33567"
"Омская область","35","0","0","64","0","0","405092222","360406545","317187042","6722650","36757","0","0","736362","0","129222","0","23601","1465","47","0","4","0","8605","52856898","41745924","438904","440","0","7526"
"Оренбургская область","41","0","0","28","0","0","657949887","646758825","629056646","13648809","162210","0","0","234949","0","134384","0","7431","283","0","0","137","0","461","24326398","25061599","369353","0","0","81106"
"Орловская область","28","0","0","489","0","0","148728555","147634474","101699030","2146521","90435","0","0","933214","0","50940","0","0","394","2","0","23","0","1005","8886305","8442187","159321","328","0","8757"
"Пензенская область","94","0","0","18","12","0","270082146","233954262","220511302","4510038","198684","0","0","380898","0","45977","0","0","368","1","0","0","0","737","19308703","17771619","354279","х","0","0"
"Пермский край","139","0","0","275","7","0","1187858206","1133688494","1046478532","15363511","440851","0","0","5897554","0","242893","0","1344","3543","102","0","895","2","11398","103057026","93829151","1623412","14309","0","67445"
"Псковская область","87","0","0","567","0","0","112550826","105088275","74428523","1494291","251487","0","0","366435","0","48121","0","0","597","41","0","102","0","2167","11107110","10236418","201200","2133","0","2971"
"Ростовская область","174","0","0","43","5","0","954798131","912661212","866382920","18422010","243910","0","0","714278","0","451385","0","271506","10","0","0","0","0","24","37899","41766","736","0","0","0"
"Рязанская область","169","0","0","154","0","0","285464405","281186292","233083011","4992256","298758","0","0","728786","0","108154","0","2","1369","12","0","934","0","3832","46457522","44066109","689249","2511","0","196066"
"Самарская область","117","0","0","79","0","0","886966534","842779846","762058314","16572002","613535","0","0","1100197","0","192030","0","0","6032","84","0","50","0","19451","183530926","169446352","3312428","44295","0","22840"
"Саратовская область","75","0","0","59","0","0","482204883","458247671","432288583","9222464","528216","0","0","96789","0","202323","0","1526","2041","6","0","157","0","8891","51607371","46597182","914312","950","0","15908"
"Сахалинская область","15","0","1","28","3","0","868483711","811683763","419396671","8445660","803119","0","х","107163","0","271070","0","1508","462","1","0","2","0","892","22348520","21796189","415408","х","0","17890"
"Свердловская область","142","0","0","630","0","0","1367289831","1335032056","1248117161","26650989","467079","0","0","1684694","0","534581","0","7","1159","5","0","192","0","4304","142019731","137099170","1981539","525","0","754857"
"Смоленская область","49","0","0","10","0","0","231895092","230869203","210602624","4527790","212489","0","0","201271","0","96374","0","0","693","11","0","0","0","2020","16986963","16614523","264505","881","0","0"
"Тамбовская область","40","0","0","21","4","0","213028396","210896303","162859670","3520974","229603","0","0","789849","0","61668","0","62","871","2","0","78","0","3765","30270660","28179152","409318","533","0","4639"
"Тверская область","54","0","0","239","0","0","413223602","409168290","334891416","7149684","678793","0","0","840117","0","211048","0","18617","1038","20","0","168","0","6386","14020763","9798747","152180","3268","0","40540"
"Томская область","34","0","0","48","1","0","364645387","353636128","333807434","7300444","73988","0","0","360915","0","9680","0","0","508","22","0","227","0","1388","20217146","18947779","345129","4778","0","23959"
"Тульская область","77","0","0","116","14","0","420903564","402524615","345539260","6097132","328502","0","0","1876958","0","72016","0","2885","1526","0","0","34","0","6164","36973678","33438196","614028","0","0","54470"
"Тюменская область","73","0","0","1152","2","0","1123195255","1088768786","791779365","11611160","316045","0","0","11270576","0","347991","0","0","231","1","0","266","0","650","26001184","26354729","477379","х","0","16803"
"Ульяновская область","70","0","0","957","0","0","190397784","188859579","128978598","2746178","460479","0","0","816400","0","88927","0","0","1464","123","0","411","0","6250","36150564","31839081","514737","31511","0","88954"
"Челябинская область","90","0","0","111","0","0","796112770","667198530","609398705","12856541","266328","0","0","1131597","0","247616","0","25466","408","2","0","9","0","580","69728926","66728854","976159","2069","0","20890"
"Забайкальский край","31","0","0","10","0","0","482549477","396926944","370953128","5835451","408347","0","0","1147242","0","988998","0","320670","912","3","0","1","0","4345","19306997","17345698","189134","181","0","х"
"Ярославская область","30","0","0","119","0","0","375843123","365297474","302963650","6129429","364201","0","0","1084129","0","82861","0","0","353","0","0","186","0","714","35266639","33702897","503039","0","0","29772"
"Г.Москва","240","3","0","327","0","0","7097568646","6471837566","3626687420","72948971","3541517","51095","0","64904632","0","1102863","0","932784","18873","142","0","2337","0","135689","7498319421","7115066960","123186793","790518","0","21188194"
"Г.Санкт-Петербург","163","2","0","308","0","0","3075263768","2915345268","1955464673","40339152","6638169","4318","0","15605363","0","179664","0","5414","5959","75","0","140","0","49415","936529126","834750578","12291411","41749","0","149004"
"Г.Севастополь","68","0","0","2","0","0","68858306","65040823","54433561","817426","156245","0","0","2531","0","0","0","0","591","43","0","1","0","1773","23567546","21641415","188478","57159","0","х"
"Еврейская автономная область","14","0","0","29","0","0","156018922","145131596","108885320","2093557","195434","0","0","368449","0","172254","0","1163","138","3","0","13","0","502","2453089","2261462","41779","35","0","3695"
"Ненецкий АО","0","0","0","9","0","0","275546183","265257445","264295107","5814351","0","0","0","18416","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ханты-Мансийский АО - Югра","29","0","0","289","0","0","4950044142","4742837594","4600002816","94853986","218234","0","0","8358003","0","467184","0","33871","2532","8","0","2020","0","24449","106605734","85292639","1347218","340","0","361914"
"Чукотский АО","3","0","0","13","0","0","104061947","78883643","78452079","1593826","4279","0","0","364048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ямало-Ненецкий АО","13","0","0","116","0","0","7861228079","7316693951","5499831630","117717820","15473","0","0","42774794","0","257082","0","6658","9","0","0","15","0","18","3643172","3638979","32842","0","0","39891"
"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"ХХХ-Информация исключена из отчета, т.к. в нем содержатся сведения о налоговой базе и структуре начислений по 1 налогоплательщику. В соответствии со статьей 102 Налогового кодекса Российской Федерации любые сведения о налогоплательщике, полученные налоговыми органами, составляют налоговую тайну и не подлежат разглашению, за исключением случаев, предусмотренных федеральным законом","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
