GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147
Республика Коми;152024856;152010943;5124;1551213;1494123;14941232;517;344;358;3934;4;-106;0;135711615;135758168;678790866;5025;777;0;135846;156426;938560;90;0;0;0;0;0;0;0;0;344581;344108;1720546;106;11307850;11307894;68400631;2125;2575310;2569907;756;6750;6750;9;2967495;2936207;1405;207914;204232;3081;0;0;0;1687;1537;33;12555;9321;7;5241;5241;4;119218892;119293623;4700;103274680;103335290;4660;1800789;1800788;79;63759;63759;40;2627244;2627495;640;344580;344107;105;10957237;10973946;1996;150601;148236;201;0;0;0;3904;2872;4;22669698;22736474;89;28718684;28624663;7853;0;0;0;18352403;18419989;241;3142235;3153153;41;325935179;10237279;2047455;1382255;276453;67189;1703813;36;7;0;0;0;7;1;1;43240398;8648080;23591;4718;205;8643157;0;0;0;0;53477677;10695535;1405846;281171;67394;10346970;1511772;893371;2405143;0;0;0;0;325935179;22724920
Республика Марий-Эл;80716475;73128314;6826;6856880;6854994;68549939;839;3258;3258;35831;8;5125924;0;53837926;51395122;256975641;6602;-2379;0;992618;991466;5948796;191;0;0;0;0;0;0;0;0;262598;256342;1281709;119;11740290;11733340;72192067;3278;1756933;1754578;1020;5445;5445;6;1898876;1891414;1723;37529;37067;674;0;0;0;782;819;27;3917;421;10;1;1;1;72262648;64717704;6418;57979937;50434580;6377;1069872;1069877;173;97710;97724;85;2005646;2007680;974;262425;256169;118;10827482;10829429;3107;23300;21658;68;0;0;0;597;597;1;87593;88732;28;9051134;9009538;7301;0;0;0;637375;641741;94;148624;148624;13;9903475;9953201;1990640;2209545;441909;174956;1373775;17092;3419;14538;2908;51;460;6;4;3226513;645302;1660735;332147;9004;304151;0;0;0;0;13179714;2635942;3870280;774056;183960;1677926;1962316;811752;2774068;9403;0;3;2;9903066;87312
Республика Мордовия;90283948;90196048;8221;12828912;12818965;128189653;1431;7677;7677;84446;8;37896;0;55264491;55248523;276263853;7796;17;0;3394491;3394100;20364600;232;0;0;0;0;0;0;0;0;109729;105041;525208;142;15016552;15002794;100710253;3808;3323911;3319509;1210;19;34;4;3624132;3616718;2079;77422;76838;696;0;0;0;974;1588;11;590;222;5;0;0;0;80346339;80281717;7624;59606948;59689790;7560;2371328;2372344;209;191893;191988;121;3007219;3009886;1094;109636;104478;138;14970709;14852619;3605;58923;59255;134;0;0;0;0;0;0;112209;112223;14;13379610;13278940;8437;0;0;0;3480429;3393567;271;1099722;1085348;46;14453296;10751709;2150343;898248;179649;264378;1706316;11;2;0;0;0;2;1;1;15699474;3139896;22373561;4474713;14486;-1349303;0;0;0;0;26451183;5290239;23271809;4654362;278864;357013;2367000;171423;2538423;0;0;0;0;14453297;112004
Республика Саха (Якутия);108097362;107545319;5098;1948328;1918967;19188633;590;4277;4277;47045;12;174725;0;83058403;82782461;413905044;4900;-89;0;88006;86723;520338;113;973;973;4862;2;0;0;0;0;2703661;2675265;13376328;121;15164637;15097189;90893020;1941;3895191;3917747;813;286238;286753;8;4956221;4963799;1367;410156;412100;980;40;40;2;-40;28;2;1376;189;1;0;0;0;101637422;101458539;4605;80874293;80528431;4560;927482;923202;89;18517;21607;15;3947629;3999316;720;2007322;1977980;119;13688110;13836087;1793;175290;173141;182;0;0;0;-1254;0;0;23935228;23935885;206;22447352;22054302;5599;0;0;0;39522716;39396887;485;3277962;3234720;36;461605328;13909011;2781798;3024515;604903;277891;1899004;0;0;0;0;0;0;0;0;177709648;35541930;39579737;7915947;80870;27545113;0;0;0;0;191618659;38323728;42604252;8520850;358761;29444117;304390074;2523248;306913322;2050;4;1;1;461605329;23905761
Республика Северная Осетия-Алания;19794345;19919865;2885;1465726;1462992;14629919;316;11475;11189;123079;17;19384;0;14775412;14825477;74133875;2602;-102504;0;398728;415235;2491403;159;40;0;9269;0;0;0;0;0;6118;4500;22496;16;2505680;2433078;14956148;832;687504;669534;389;8766;9243;10;713246;709176;556;8944;7796;173;57;57;3;7;7;1;9920;7028;5;0;0;0;16918401;17170115;2670;13735218;14054044;2620;238423;239912;104;12915;12864;33;834383;830670;379;6243;3943;13;2109308;2047181;728;4898;3888;22;0;0;0;0;0;0;82071;81219;62;3183404;3063187;2937;0;0;0;396628;365914;111;37684;70;3;3234188;3051633;610328;1169701;233941;345830;30557;9227;1845;2211;442;0;1403;4;2;751357;150273;1052887;210578;1027;-61332;0;0;0;0;3802990;760601;2222588;444519;346857;-30775;67900;16661;84561;251941;8828;23;10;3234189;73507
Республика Татарстан;1398029613;1398529299;103787;48249111;48271045;482710436;8140;68342;67159;738744;83;-630826;0;962545437;962785111;4813925651;100207;-8812;0;4807938;4838557;29031342;1691;-546;241;1205;1;0;0;0;1;874821;867535;4337664;521;310532500;310330199;1909390407;55906;65950416;65397610;25725;1780372;1985752;98;71582229;71167338;33267;3061502;3073522;1913;1193;645;5;10621;3792;93;204050;92978;98;451;458;5;1267138553;1269894572;100533;860700271;863670581;99800;40873258;40856194;2365;2969409;2942224;786;73871906;73913609;24259;845333;841796;503;284969313;284758650;52137;2912649;2910293;706;-6;-6;1;27139;26780;12;12003365;12025460;430;179987702;177842587;102329;0;0;0;58335987;58049631;1354;28033925;28065393;230;695590801;110638880;22127774;33267428;6653486;2090676;13383612;495678;99136;37900;7580;1327;90229;74;36;468247135;93649430;119534183;23906838;193975;69548617;0;0;0;0;578886015;115777204;152801611;30560324;2284651;82932229;31244748;4266471;35511219;369751;1001;44;22;695590800;11936838
Республика Тыва;4999082;4939471;443;81702;81705;817053;36;37;37;406;2;31199;0;3962621;3939759;19698795;424;0;0;722;722;4330;7;0;0;1056;0;0;0;0;0;97427;97427;487136;22;672199;663394;3980363;110;91157;85846;60;139;139;1;153197;147932;98;73506;73506;52;0;0;0;0;0;0;0;0;0;-20;0;0;4051683;4002192;365;3058822;3017953;361;151384;151384;7;47911;47911;4;142071;140527;57;97427;97427;22;478392;475149;102;71842;71842;24;0;0;0;0;0;0;1187389;1187340;30;1440559;1423146;460;0;0;0;1610527;1596496;42;11318;11318;4;16769359;903759;180751;63733;12745;7859;160147;218;44;0;0;0;44;1;1;4653339;930668;9990;1998;2655;926015;0;0;0;0;5557098;1111419;73723;14743;10514;1086162;389045;0;389045;16676;1104;1;1;16769359;1188458
Удмуртская Республика;223742192;222452651;29272;11513380;11522162;115221622;2837;956;956;10517;15;1189213;0;163159143;163034043;815175720;28398;34279;0;447758;549259;3295548;447;-17;0;10599;0;0;0;0;0;394911;394694;1973473;267;39502252;39470283;241046140;14229;5950898;5946791;5752;75720;73420;37;7501861;7468880;8061;194646;169153;1096;0;0;0;3431;3391;55;8391;6391;48;1;1;1;180698937;179526542;28471;131839583;130723030;28301;3443263;3440596;549;213846;217207;255;6901751;6882040;5446;392468;392225;263;37823427;37787502;13282;85145;83644;211;0;0;0;721;703;5;4231094;4236848;190;42518553;42365029;29432;0;0;0;3627976;3436896;423;2350889;2360917;94;132647746;27999690;5599937;5925361;1185071;587647;3827219;24016;4803;16188;3238;0;1565;9;3;94366651;18873329;66697454;13339491;4073;5529765;0;0;0;0;122366341;24473266;72622815;14524562;591720;9356984;5056652;1781734;6838386;5991;0;2;2;132647750;4201028
Республика Хакасия;48009064;47882235;3667;1182093;1190994;11909935;540;3181;3181;34996;13;59092;0;38288510;38252765;191249641;3530;459;0;141470;140178;841064;90;39;39;283;1;0;0;0;0;160579;160610;803053;69;5435488;5390014;33003974;1454;2641795;2635924;558;1658;1658;5;2738154;2731347;913;18841;18713;559;0;0;0;133;618;15;13932;4396;5;37;37;1;41782739;41672745;3354;32549941;32490175;3316;844409;844409;66;439574;439574;39;2447533;2397238;524;161808;160446;69;5312935;5314392;1371;26511;26511;42;0;0;0;4147;1321;4;3295396;3294059;59;6878438;6852998;4087;0;0;0;3912596;3905594;86;213262;213262;28;49044466;3886872;777375;679886;135979;56312;585084;2615;523;580;116;204;203;6;2;2271390;454278;120079;24016;492;429770;0;0;0;0;6158262;1231653;799965;159995;56804;1014854;3007766;152;3007918;0;0;0;0;49044465;3292562
Чеченская Республика;60727124;50752725;4055;1876008;1868180;18682446;413;78014;58671;645380;9;2128926;0;51511407;43683649;218765068;3797;-120323;0;371635;376877;2261262;111;998;998;224641;2;0;0;0;0;384;384;1919;2;3337606;3229895;16994205;526;886729;859544;302;0;0;0;1542926;1524770;448;14159;4259;52;0;0;0;0;0;0;0;0;0;0;0;0;59706114;49155706;3867;54680918;44196940;3841;331835;374766;66;66349;66536;11;1304164;1329281;354;384;384;2;3266525;3184851;417;16278;3907;19;0;0;0;0;0;0;10735;10735;7;2152933;2683501;3925;0;0;0;1207541;1079047;31;4279;4279;4;609709;5097723;1019546;4689948;937990;51127;30429;344434;68887;3187429;637486;16415;-585014;24;8;589507;117901;91;18;0;117883;0;0;0;0;5687230;1137447;4690039;938008;51127;148312;280443;150;280593;139495;9512;5;2;609709;10735
Чувашская Республика;108310760;108176469;14270;4209521;4206777;42067772;1408;4051;3959;43553;16;24681;0;79335984;79297301;396486502;13704;-145;0;445363;443428;2660570;246;-138;0;1;0;0;0;0;0;139531;139507;697535;150;21052972;21008034;127390600;8135;2563114;2536160;2871;27622;27662;32;3098850;3067757;4177;128310;121561;1386;0;0;0;3437;2744;30;4923;1784;21;0;0;0;90338704;90323177;13659;64923003;64951994;13567;2436016;2442294;439;154334;155625;209;2319595;2335071;2581;139169;139046;144;20291571;20223163;7800;75200;75983;174;0;0;0;0;0;0;22447;22818;54;20188495;20057487;15007;0;0;0;2064270;2063028;258;206134;206134;33;12735613;16308033;3261604;2075027;415006;93492;2753106;0;0;0;0;0;0;0;0;6867179;1373437;348389;69678;3774;1299985;0;0;0;0;23175212;4635041;2423416;484684;97266;4053091;2347676;194781;2542457;10585;181;7;3;12735613;19695
Алтайский край;267087715;249750868;36478;35625375;35556796;355575590;7277;31;11585;127435;38;12807462;0;175469780;171480871;857402525;34007;-504;6;1009009;1006352;6039565;516;301;301;7181;5;24;24;121;1;329562;323663;1618315;289;33218910;33199762;215908176;14688;6480245;6417496;5740;1149805;1151627;87;8625130;8123671;9093;206578;204488;2056;5;5;2;8612;7030;44;46763;22087;46;-2170;0;0;240538737;223623281;35190;195642134;178797837;35003;3647385;3322151;882;1807004;2122706;562;6867250;6839071;5275;327951;321878;274;32080551;32051483;13767;155732;156594;266;31;31;3;10142;1020;7;2678267;2712176;518;30115553;29656621;36583;0;0;0;5988099;5880292;1324;760161;764441;85;68010408;30218425;6043686;8693410;1738683;816759;3488244;2444;489;2534;507;422;-440;12;4;4102841;820566;1187166;237433;4839;578294;0;0;0;0;34321266;6864252;9880576;1976116;821598;4066538;7427038;363568;7790606;0;0;0;0;68010408;2634021
Краснодарский край;1163300613;1163305354;76019;172730517;172647759;1726477354;10792;-1425;28073;308813;112;-60942;0;738989816;738870908;3694604008;71830;17786;0;14001079;13980795;83900067;1674;19433;24472;132582;10;8637;8213;41052;7;1114934;1083851;5419258;844;179759735;179689368;1163211691;40986;48793396;48409004;16288;1762372;1795952;73;56740027;56563606;23087;1359611;1341551;2451;13110;13110;11;10100;10019;173;50563;35862;45;1859;4;13;1053147100;1054953364;72443;780010117;782845635;71548;44249846;44279070;3708;4627882;4549560;863;57742636;58856700;15302;1106619;1076231;815;164288555;162763948;38530;1084299;1093607;736;9382;7211;9;1492;673;7;29708926;29741380;809;149655005;147796158;75229;0;0;0;67804431;67459945;1859;41365713;6683804;169;572617114;136759309;27351860;28330057;5666014;3296811;18389035;153333;30667;16318;3264;4450;22953;64;33;182581027;36516208;98980064;19796014;350410;16369784;0;0;0;0;319340336;63868068;127310121;25462028;3647221;34758819;44187664;18145461;62333125;200777;4517;67;34;572617115;29639062
Красноярский край;800906721;797431518;45979;24860792;24835519;248355015;5084;8483;8445;92897;33;919774;0;647033709;644435002;3222206411;44406;-4016;0;1391625;1405224;8431345;811;732;732;5504;3;0;0;0;0;1827495;1824150;9120755;357;100667641;100687521;616952177;20400;21412843;21379689;8792;91095;90845;39;24180938;24136415;12882;850315;847296;3511;8816;8993;10;296;412;14;59501;49049;43;1173;870;7;611169999;610169992;44124;472742444;471962211;43841;16008334;15984834;1101;560340;588007;298;27920136;27764122;8345;1814258;1813439;353;91388310;91311496;19177;747195;755595;679;8;8;1;6833;3089;10;12338465;12411803;619;223151865;220645660;46660;0;0;0;45289578;44853362;1527;23534008;23496493;186;834086752;70257738;14051550;37302176;7460433;2085639;4505478;42711;8542;8108;1622;48;6872;92;38;95026601;19005321;11457649;2291529;13852;16699940;0;0;0;0;165284339;33056871;48759825;9751962;2099491;21205418;35304719;2800267;38104986;166740;40;9;8;834086751;12265021
Приморский край;431777157;431231992;34730;26924439;26985298;269708319;5425;4144;4149;45632;20;1889476;0;330683641;330914021;1654570818;33255;862;0;1764612;1760005;10560031;426;310;310;22770;4;25;25;124;1;331689;332042;1660211;211;53739499;53876149;336423213;14860;13932010;13868969;5548;248936;258203;48;16429942;16331388;8139;801333;770773;2362;1680;1861;5;398;398;7;18278;13552;17;78;78;3;406435221;406217716;33189;287928334;287460446;32621;55113286;55199403;5295;299221;300359;140;14721607;14885578;5318;324427;324781;206;47494004;47495600;13915;344451;342055;392;3;3;1;721;431;6;10731045;10658154;1243;46004034;45418802;34644;4810;4810;2;30655167;30278264;1827;3513023;3155177;130;273421551;90252880;18050576;45659735;9131945;998197;7920434;885879;177175;25708;5142;90;171943;17;9;133594905;26718980;65296811;13059362;242084;13417534;0;0;0;0;223847785;44769556;110956546;22191307;1240281;21337968;43993636;23235470;67229106;31798;0;6;5;273421547;10641273
Ставропольский край;269592339;269340731;25047;30638342;30582088;305799728;4728;16063;21256;233814;34;150117;0;176886703;176870352;884301845;23541;2208;0;960989;967988;5807928;375;0;0;0;0;0;0;0;0;371635;358792;1793961;331;49396988;49401224;343376168;11782;10196618;10156038;4454;35421;35586;22;11169289;11129490;6941;336391;327562;1128;0;0;0;4436;4385;79;12829;5150;26;0;0;0;241901247;242486160;23506;178274782;178959064;23277;5536860;5570466;814;1221738;1204232;288;11378407;11379873;4136;427033;356700;310;44823865;44777961;11061;238557;237864;269;0;0;0;1110;1161;3;404391;402147;87;39540796;38641955;25321;0;0;0;11943616;11814717;533;3216627;3220944;72;65680448;39704401;7940882;6783172;1356635;543955;6040292;101224;20245;4904;981;98;19166;46;18;9969831;1993968;432719;86544;16969;1890455;0;0;0;0;49674235;9934851;7215893;1443179;560926;7930746;7697410;2338823;10036233;476502;32389;9;4;65680449;402008
Хабаровский край;265289835;265504234;21019;15804835;15766617;157669643;2728;2248;2248;24725;20;8941038;0;182119933;182087819;911547273;20252;63281;0;5472131;5525292;33151755;430;45019;111297;596760;13;0;0;0;0;442841;437177;2185883;203;38366096;38364237;232290408;9611;12942749;12928613;3779;35301;34598;23;14083113;14074749;5777;872164;868512;2878;0;0;0;85;85;12;167858;22103;8;-11231;13;2;239550957;239971274;19979;167479730;168058579;19744;4867374;4855776;898;5621857;5621857;84;14377039;14343607;3638;433050;427387;195;46324494;46214012;9061;454304;453173;294;0;0;0;6541;6324;6;7411841;7588549;398;50255785;49752416;22673;0;0;0;32729486;30875626;1124;3790764;3732335;65;240023853;26907644;5381526;8925903;1785180;464925;3131421;7326;1465;415755;83151;0;-81686;14;6;12167186;2433439;774599;154920;193032;2085487;0;0;0;0;39074830;7814965;9700502;1940100;657957;5216908;5197489;3899394;9096883;1150976;43341;17;7;239975964;7423434
Амурская область;133163036;132489669;8225;6938856;6931077;69310773;1725;138348;138658;1525235;18;260776;0;76427178;76138232;380693180;7655;1260;0;149372;154079;924217;109;71;71;3196;1;0;0;0;0;593660;590725;2953617;77;19820712;19816488;123925688;3126;28433029;28312549;1278;350;350;3;28832879;28699347;1974;2046351;2057091;1556;0;0;0;970;970;10;0;0;0;19;19;6;173497219;173138557;7802;122491498;122901101;7689;3090562;3085605;820;629890;630638;53;27619389;27612278;1196;594013;590643;74;17398442;16651685;2829;1673757;1666941;115;0;0;0;0;0;0;6316067;6306717;226;18570794;18314925;8905;0;0;0;63154222;63177600;885;40178440;39978297;33;143842065;14813072;2962614;4957826;991566;113616;1857432;657483;131497;45290;9058;9063;113376;13;8;162862338;32572468;99196564;19839313;425930;12307225;0;0;0;0;177675410;35535082;104154390;20830879;539546;14164657;213871054;463336;214334390;230558;0;1;1;143842065;6303709
Архангельская область;96214130;94940917;8080;4423237;4422801;44228020;1145;194;194;2137;9;68753;0;57045572;57025414;285129786;7818;4;0;671133;670994;4026061;236;2666;18;105;2;0;0;0;0;682567;683452;3417264;149;25607650;25357080;154189531;3531;6392007;5494800;1134;34658;35838;19;7712341;6762083;2193;221476;218695;2428;0;0;0;2221;2173;35;18068;403;5;251;6;1;81790891;80702472;7524;66190976;65330945;7450;1363647;1363067;101;100943;99525;44;3341572;3361149;1005;666997;668593;145;9967346;9719125;3336;159392;160054;252;0;0;0;2007;14;1;2849763;2844444;119;25169856;25014119;9930;0;0;0;13328835;13380893;358;1150769;1150137;46;115595811;40134681;8026935;3205507;641102;1729272;5656561;9413;1883;9344;1869;13;1;1;1;8203617;1640724;1339208;267842;8475;1364407;0;0;0;0;48338298;9667659;4544715;908944;1737747;7020968;5839873;7236304;13076177;572;0;2;1;115595812;2821674
