GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35
Воронежская область;70 873 205;18 796 871;66 720 154;17 391 670;385 191;191 754;39 380 848;34 520 946;5 316 441;1 684 510;11 949;0;2 361 185;2 070 245;774 740;241 544;840 256;523 605;0;0;1 520 930;1 546 643;620 404;205 889;359 445;74 340;8 065;15 173;7 820;3 343;3 134;4 095;2 282;1 135;7;0
Ивановская область;56 893 014;15 794 826;52 894 921;13 791 197;192 457;90 419;11 672 762;12 676 759;5 002 107;2 191 392;219 397;248 227;681 579;732 565;562 099;219 708;234 798;210 926;0;0;446 783;521 639;460 036;200 254;266 042;38 843;4 705;7 606;7 696;3 058;2 157;2 312;2 558;1 133;73;45
Иркутская область;92 733 728;20 238 856;85 841 602;18 524 491;780 230;79 042;46 186 774;40 695 203;8 155 241;2 045 455;315 645;76 520;2 771 206;2 422 779;1 145 622;284 736;919 131;579 480;0;0;1 852 075;1 843 299;998 082;259 472;366 418;66 802;12 938;18 718;12 775;4 346;6 211;6 230;4 679;1 600;93;23
Калининградская область;160 244 300;20 477 182;148 351 244;18 554 659;940 102;95 294;31 348 694;27 915 406;13 668 853;2 275 922;568 701;30 754;1 880 923;1 641 362;2 049 199;336 586;560 071;459 519;0;0;1 320 857;1 181 770;1 874 005;323 025;445 747;31 178;8 781;11 703;17 914;3 920;4 246;3 717;6 498;1 595;161;21
Калужская область;31 661 898;10 776 420;29 452 443;9 538 538;136 234;33 146;19 476 781;18 808 118;2 789 411;1 358 731;11 110;2 338;1 168 618;1 128 072;348 294;164 799;441 357;314 442;0;0;727 261;813 630;289 589;150 651;150 015;34 301;5 123;10 035;4 460;1 925;2 125;2 673;1 469;602;11;2
Камчатский край;30 481 647;8 465 307;27 102 445;6 992 855;163 711;37 328;9 392 379;11 792 994;3 948 008;1 573 845;430 726;37 073;558 378;679 398;395 004;157 242;186 644;140 759;0;0;371 730;538 637;353 588;147 138;118 676;24 495;2 451;4 054;3 169;1 538;1 390;1 505;1 164;662;72;17
Кемеровская область;62 545 512;8 266 871;57 886 053;7 432 644;292 975;57 200;42 839 487;31 915 718;5 558 102;878 590;240 817;14 490;2 560 604;1 897 458;806 748;124 904;921 570;500 908;0;0;1 639 066;1 396 612;713 889;113 037;246 813;22 668;11 900;18 062;8 942;2 460;4 698;4 879;2 991;829;157;16
Кировская область;60 556 058;15 398 361;56 409 562;13 942 590;260 662;116 513;23 142 587;25 033 874;4 490 609;1 595 954;362 031;20 070;1 388 556;1 480 313;673 091;236 229;507 373;478 583;0;0;881 188;1 001 756;549 488;216 703;284 105;41 267;7 772;15 598;8 532;2 791;3 673;3 710;2 840;814;216;25
Костромская область;31 802 925;15 372 919;30 346 249;13 906 019;382 174;108 018;10 839 018;10 955 607;2 316 884;1 513 878;21 971;7 827;650 340;656 002;339 087;218 202;248 672;205 221;0;0;401 062;450 728;283 658;205 662;143 766;30 506;3 594;6 057;4 173;1 969;1 714;1 555;1 275;512;11;3
Курганская область;17 871 529;7 586 416;17 071 521;7 055 828;161 246;67 156;7 964 055;8 042 148;1 266 750;730 334;326 801;14 029;477 841;464 346;180 056;105 085;184 625;117 794;0;0;293 155;346 127;148 100;92 645;92 357;26 207;2 718;4 635;3 320;1 643;1 271;1 143;1 253;466;72;11
Курская область;21 860 458;13 480 898;20 616 059;12 391 261;125 576;20 038;10 942 401;16 673 739;1 619 608;1 184 706;175 236;2 083;656 543;989 894;242 930;177 394;241 263;261 298;0;0;415 278;728 596;205 914;165 099;107 757;28 634;3 409;7 790;3 599;1 963;1 554;2 095;1 263;591;59;8
Ленинградская область;46 604 476;19 329 316;38 981 694;13 944 823;231 458;142 937;18 465 838;23 465 415;8 767 565;6 450 505;392 064;193 533;1 107 348;1 391 089;440 669;317 759;404 430;342 088;0;0;702 913;1 048 945;340 282;281 820;289 258;73 848;5 953;11 933;6 858;4 896;2 953;3 238;2 272;1 544;112;76
Липецкая область;43 267 552;21 283 797;34 921 957;14 420 087;329 433;42 046;5 778 038;6 110 329;8 886 120;7 191 785;61 694;18 050;345 618;369 984;446 209;359 260;147 026;106 417;0;0;195 667;263 333;355 788;325 260;228 734;63 944;1 750;4 649;5 711;4 253;716;1 299;1 528;1 283;12;12
Магаданская область;6 628 725;3 370 273;6 039 083;3 013 765;59 278;106;4 940 041;4 010 221;688 798;378 799;5 200;0;291 607;238 416;89 527;55 915;109 071;52 913;0;0;182 537;185 560;80 402;52 634;24 139;6 066;942;1 922;683;335;433;542;222;84;5;0
Московская область;248 954 939;62 222 735;234 026 385;55 934 747;1 460 039;282 644;201 476 987;246 770 529;20 647 686;7 161 997;1 325 784;105 353;12 088 657;14 356 679;3 051 674;1 056 208;4 434 986;3 226 298;0;0;7 651 887;11 119 497;2 639 599;990 492;1 110 338;156 573;47 787;88 170;30 093;13 177;23 108;27 192;9 850;5 257;535;59
Мурманская область;36 606 057;4 652 476;34 142 994;4 091 148;180 491;152 092;13 544 263;9 864 697;3 235 860;625 062;41 589;28 598;812 622;589 155;424 465;82 619;301 201;163 144;0;0;511 415;426 045;404 395;76 758;320 314;12 693;4 094;6 543;4 465;1 235;1 987;1 978;1 524;509;20;6
Нижегородская область;115 748 382;28 188 538;108 053 451;26 069 986;792 071;103 425;59 469 799;53 580 503;9 503 188;2 579 525;88 224;3 192;3 568 171;3 209 551;1 425 467;386 442;1 302 273;853 931;0;0;2 330 336;2 356 042;1 206 670;349 088;547 406;94 172;14 887;24 189;15 674;5 668;6 032;5 466;4 783;1 791;49;14
Новгородская область;17 672 065;3 456 431;16 690 045;3 231 231;46 977;8 053;9 107 067;7 842 627;1 275 238;288 931;328 875;8 376;545 777;450 838;186 992;40 904;216 702;135 911;0;0;329 076;314 909;146 687;36 492;98 699;14 438;2 635;4 923;2 762;934;973;1 295;859;303;43;5
Новосибирская область;167 020 954;21 058 998;157 387 586;19 111 635;817 848;145 128;78 381 742;60 382 047;12 921 359;2 314 107;1 112 288;48 789;4 702 799;3 556 425;1 936 700;339 694;1 644 169;924 216;0;0;3 058 628;2 632 209;1 650 039;314 911;741 082;57 308;21 994;28 393;22 651;4 881;9 335;7 572;6 965;1 843;353;34
Омская область;57 423 539;19 526 039;52 858 067;17 737 038;318 140;64 343;30 949 516;27 127 074;4 882 093;1 956 495;557 394;142 074;1 856 973;1 594 176;732 210;272 262;673 255;424 971;0;0;1 183 718;1 169 206;656 114;255 276;186 253;41 759;9 855;15 923;8 485;3 856;4 568;4 528;3 100;1 305;125;23
Оренбургская область;58 182 680;17 258 527;53 382 148;15 280 217;449 509;48 754;16 141 491;16 308 906;5 702 024;2 228 717;365 687;174 277;966 268;955 394;572 644;206 239;367 555;251 283;0;0;565 210;683 169;430 443;169 710;322 617;66 990;6 484;11 084;7 999;4 003;3 323;3 432;2 672;1 319;82;44
Орловская область;18 797 880;7 997 786;17 301 406;7 161 081;223 992;80 687;7 949 324;8 271 169;1 720 251;846 161;235 124;27 053;476 605;478 492;220 903;112 097;190 636;145 254;0;0;285 970;333 245;183 232;104 551;97 131;18 128;2 550;5 261;2 767;1 491;1 057;1 369;938;470;88;31
Пензенская область;36 096 720;20 731 788;33 795 632;19 553 019;355 290;49 871;19 079 353;21 725 135;2 748 757;2 024 599;806 778;143 474;1 144 760;1 254 922;409 278;279 961;409 244;362 007;0;0;735 516;892 901;350 371;251 804;156 960;59 876;5 057;10 482;4 563;2 504;2 139;2 720;1 472;746;118;47
Пермский край;88 487 270;29 172 175;82 699 744;26 993 345;718 959;532 188;35 102 048;56 723 052;6 732 456;2 754 950;264 977;23 294;2 059 098;3 367 730;982 440;404 232;711 841;871 103;0;0;1 347 248;2 496 643;802 630;361 336;442 518;91 291;13 653;27 125;14 760;6 435;5 891;7 709;4 724;2 394;115;43
Псковская область;22 511 946;5 786 990;20 758 841;5 116 206;137 688;23 912;7 763 739;6 602 102;1 990 879;723 988;345 522;105 384;465 824;375 358;243 402;77 386;174 025;115 201;0;0;291 808;260 159;203 223;70 416;107 277;15 602;2 677;4 719;3 292;1 197;1 198;1 257;1 015;437;156;24
Ростовская область;131 562 831;73 124 047;119 045 429;62 964 776;453 873;330 450;59 784 895;95 942 524;14 709 764;11 075 065;1 360 193;0;3 587 129;5 660 750;1 494 117;1 111 056;1 331 836;1 472 770;0;0;2 255 122;4 187 311;1 250 258;977 775;620 714;268 387;16 492;41 057;14 520;9 787;6 838;10 567;4 304;2 840;292;0
Рязанская область;34 569 981;10 367 825;31 929 390;9 497 996;164 545;40 213;19 175 967;16 754 032;2 828 934;946 594;86 412;697;1 150 559;1 000 130;424 215;141 723;440 743;269 732;0;0;709 869;730 369;370 558;131 340;139 511;25 530;5 033;7 630;4 373;1 851;1 928;1 953;1 243;611;23;3
Самарская область;99 734 292;13 640 894;92 928 016;12 469 965;543 047;129 662;56 888 215;42 149 371;7 737 721;1 352 459;191 244;16 989;3 413 293;2 517 488;1 159 086;200 088;1 237 590;601 422;0;0;2 175 703;1 916 066;976 307;181 022;452 333;39 720;15 993;19 605;16 894;4 050;6 158;5 146;5 608;1 565;81;12
Саратовская область;49 485 372;19 033 043;46 327 850;17 310 060;268 485;58 537;30 247 052;28 263 657;3 967 718;2 013 811;101 032;15 838;1 805 170;1 689 330;588 555;297 946;709 623;448 828;0;0;1 095 547;1 240 498;500 706;274 652;229 467;56 775;10 428;15 317;7 756;3 472;4 646;4 293;2 571;1 099;51;15
Сахалинская область;36 255 555;8 054 677;33 692 706;7 328 398;149 233;44 945;26 425 002;20 444 384;3 303 373;928 735;593 427;57 415;1 576 175;1 183 706;462 747;126 895;512 347;262 750;0;0;1 063 827;920 958;403 665;118 768;169 252;25 757;4 224;6 307;3 119;1 069;1 898;1 894;963;374;76;23
Свердловская область;258 689 021;106 665 249;220 865 623;80 031 321;1 706 066;1 049 610;53 102 654;83 610 591;41 843 995;28 255 263;2 105 335;806 147;3 186 163;4 890 312;2 743 932;1 777 482;1 152 438;1 265 143;0;0;2 033 726;3 625 173;2 212 469;1 627 927;1 387 904;295 183;19 680;43 008;36 988;20 217;9 618;13 732;12 160;7 694;411;241
Смоленская область;36 944 611;16 059 072;31 685 397;12 463 344;156 416;66 346;8 827 629;8 378 796;5 829 976;4 061 153;78 773;41 013;527 751;497 879;361 468;252 414;207 123;150 255;0;0;320 627;347 624;277 821;222 277;229 706;58 363;3 106;5 307;5 500;3 322;1 400;1 648;1 841;1 061;49;29
Тамбовская область;17 102 188;7 613 124;16 005 140;7 034 223;51 181;10 023;10 469 695;9 265 058;1 250 326;656 834;184 842;1 798;623 373;543 501;172 575;92 082;245 887;154 429;0;0;377 485;389 073;133 126;77 765;86 296;26 167;3 520;5 641;2 850;1 222;1 536;1 384;1 179;346;50;6
Тверская область;41 495 691;8 327 171;39 102 267;7 518 732;222 704;31 947;22 003 219;19 591 700;2 992 736;899 525;51 864;2 436;1 320 182;1 172 435;448 266;134 373;522 316;336 699;0;0;797 858;835 759;388 378;123 949;186 102;21 108;7 157;9 913;6 205;1 802;3 072;2 723;2 063;571;8;3
Томская область;43 092 559;8 949 015;39 401 046;7 749 836;244 708;71 392;16 260 254;17 915 563;4 667 035;1 298 859;119 498;15 855;967 388;1 065 927;457 415;129 309;339 036;285 293;0;0;628 801;780 629;378 812;117 267;216 122;25 051;5 907;9 715;7 655;2 501;2 882;2 806;2 799;796;50;21
Тульская область;37 519 010;11 143 782;35 322 518;10 036 220;239 835;90 059;24 054 305;22 463 665;2 850 582;1 221 507;964 353;55 215;1 391 009;1 223 347;402 046;155 889;522 785;329 264;0;0;868 224;893 764;329 660;142 349;189 942;30 185;6 540;10 955;5 131;2 126;2 761;3 482;1 701;778;219;36
Тюменская область;88 990 812;36 935 880;72 837 291;23 459 149;366 355;171 094;18 685 975;18 318 320;17 955 309;15 029 352;200 912;35 371;1 118 067;1 086 393;917 517;752 155;407 387;277 365;0;0;710 724;808 579;712 544;705 292;508 222;95 030;6 210;10 068;14 588;7 315;3 043;2 829;4 647;2 142;149;37
Ульяновская область;34 824 143;10 601 075;32 039 686;9 201 485;112 443;4 673;18 518 394;16 095 530;3 027 005;1 417 815;459 198;204 802;941 697;735 817;375 346;135 874;350 501;230 338;0;0;591 198;505 483;308 065;121 961;163 207;28 365;5 345;8 923;5 377;2 393;2 408;2 598;1 904;815;97;40
Челябинская область;107 871 509;27 765 340;100 800 485;25 364 896;741 130;224 546;55 101 883;58 091 485;8 553 871;2 973 998;1 727 381;142 198;3 294 289;3 396 306;1 179 878;419 634;1 189 419;866 047;0;0;2 104 873;2 530 249;1 018 297;382 346;498 941;76 600;17 217;29 865;16 369;6 843;7 200;8 304;5 216;2 724;474;101
Забайкальский край;21 522 353;9 465 277;19 981 973;8 649 647;76 825;38 333;10 689 841;8 523 912;1 697 916;879 411;47 860;13 859;640 727;509 203;251 785;129 766;216 778;125 261;0;0;423 957;383 976;209 846;113 983;99 420;36 273;3 160;5 193;3 018;1 543;1 569;1 796;1 194;580;23;3
Ярославская область;45 617 007;8 404 667;43 068 790;7 662 288;500 849;100 532;19 344 385;18 116 520;3 569 432;932 013;69 921;1 314;1 149 622;1 070 024;497 047;127 876;401 855;294 290;0;0;747 765;775 731;415 283;115 872;223 675;27 139;7 157;9 151;7 367;2 125;3 311;2 505;2 560;741;32;6
город Москва;1 015 367 121;84 882 913;947 602 948;76 629 388;4 965 716;671 807;708 885 893;624 939 796;99 480 188;10 820 556;4 991 312;232 658;42 530 202;37 226 716;13 682 674;1 578 853;14 651 401;7 057 655;342 457;312 259;27 537 462;29 857 560;12 321 101;1 486 076;3 697 943;227 589;104 845;148 837;92 763;16 375;36 444;38 201;23 030;6 300;1 290;140
город Санкт-Петербург;488 357 340;63 499 543;420 740 932;47 193 486;2 333 365;464 379;202 133 719;162 424 591;76 765 593;18 584 171;1 646 107;509 985;12 125 981;9 693 967;5 389 859;1 274 293;4 393 102;2 058 677;0;0;7 732 878;7 635 352;4 498 870;1 198 141;2 380 332;166 392;39 275;51 608;53 702;12 887;13 626;12 103;13 062;4 558;361;100
Еврейская автономная область;4 670 893;1 384 784;5 223 568;1 241 038;30 952;8 076;2 040 837;1 838 555;321 752;151 978;0;0;122 449;110 315;45 503;21 293;43 017;36 610;0;0;79 435;73 703;36 506;19 661;29 889;5 161;490;855;592;224;234;185;182;53;2;1
Ненецкий АО;1 003 099;181 537;936 412;164 088;12 575;0;1 084 428;1 294 662;67 022;27 545;4 524;240;48 540;66 051;8 838;4 097;17 357;16 122;0;0;31 184;49 928;6 590;4 016;6 330;282;316;673;103;51;158;256;35;25;12;1
Ханты-Мансийский АО - Югра;55 135 390;15 972 609;49 779 186;12 239 458;176 969;68 352;32 471 733;37 333 809;6 713 890;3 884 217;457 187;60 319;1 936 191;2 207 629;536 577;242 170;724 081;501 904;0;0;1 211 744;1 704 699;407 480;217 979;320 480;53 450;7 693;16 237;6 244;3 133;3 396;5 479;2 000;1 241;155;37
Чукотский АО;1 074 176;94 273;997 269;73 613;3 840;136;1 246 857;1 487 135;114 977;24 111;6 164;0;49 469;59 246;11 878;1 951;19 417;15 097;0;0;30 053;44 149;8 499;2 218;7 756;292;216;357;99;31;90;85;30;12;3;0
Ямало-Hенецкий АО;21 732 731;14 879 730;17 395 172;9 510 102;28 971;66 343;9 587 636;10 079 463;4 737 768;5 506 512;12 349;5 205;575 095;604 575;241 043;275 666;225 096;146 073;0;0;349 999;458 561;198 979;253 464;108 352;42 594;1 642;4 044;2 341;2 291;707;1 361;725;686;12;12
Республика Крым;19 822 148;8 276 350;17 951 108;7 187 308;67 069;8 991;37 074 482;58 504 168;2 069 584;1 153 343;0;0;1 482 977;2 340 155;206 966;115 333;593 171;882 752;0;0;891 990;1 457 936;160 247;95 826;109 147;34 916;13 442;40 596;3 438;1 646;6 515;18 611;1 399;663;0;0
город Севастополь;7 928 280;2 132 223;7 385 791;1 903 311;3 633;7 038;12 580 819;16 328 546;865 456;272 948;0;0;506 887;650 906;86 167;25 036;195 050;250 050;0;0;311 836;400 867;69 563;20 171;37 585;10 574;4 835;12 377;1 362;621;2 407;6 357;497;298;0;0
