GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35
Новосибирская область;139 026 416;15 551 008;134 738 582;14 271 990;826 425;65 785;67 583 016;44 784 316;10 040 700;1 561 711;516 921;22 916;4 054 663;2 654 835;1 506 086;230 817;1 464 717;690 045;0;0;2 589 946;1 964 790;1 272 317;213 779;621 036;44 317;21 801;24 151;22 005;4 166;9 180;6 573;6 880;1 532;203;26
Омская область;51 280 597;18 326 821;47 916 505;16 733 102;326 768;45 936;28 300 495;21 167 106;3 852 425;1 655 384;429 301;85 762;1 698 027;1 244 270;577 864;235 442;624 064;340 492;0;0;1 073 963;903 774;556 807;217 137;179 969;41 093;9 983;14 683;8 566;3 859;4 688;4 384;3 132;1 368;102;19
Оренбургская область;48 930 697;13 503 477;45 118 380;12 128 286;416 312;42 852;15 165 970;13 806 564;4 625 335;1 657 596;150 725;90 397;907 707;820 378;464 014;157 083;345 345;211 822;0;0;561 826;619 275;385 445;133 516;327 644;57 521;6 415;10 186;7 908;3 590;3 326;3 117;2 667;1 207;57;36
Орловская область;17 574 880;7 198 323;16 506 005;6 510 308;128 711;41 053;7 701 274;6 660 916;1 462 173;734 945;119 043;17 878;461 982;391 926;187 639;97 600;177 909;120 847;0;0;283 734;270 800;150 199;88 407;93 762;19 112;2 545;4 765;2 759;1 387;1 071;1 186;906;411;56;14
Пензенская область;30 236 117;16 939 944;28 481 023;15 537 501;313 063;91 543;15 892 220;17 992 113;2 296 007;1 543 665;882 150;67 995;953 529;1 026 603;342 756;219 614;366 271;291 973;0;0;587 251;734 635;291 154;202 322;133 917;41 231;5 028;10 155;4 580;2 447;2 118;2 588;1 498;683;93;23
Пермский край;86 112 461;22 739 708;80 525 566;20 982 116;706 043;447 418;30 034 645;42 940 674;6 599 955;2 161 249;252 530;78 908;1 786 337;2 556 110;968 709;309 460;639 232;652 574;0;0;1 147 099;1 903 488;813 635;273 229;396 712;79 054;13 328;23 543;14 813;5 921;5 952;6 893;4 939;2 197;84;22
Псковская область;19 707 055;4 923 127;18 466 875;4 376 474;133 410;25 563;7 722 384;5 271 668;1 571 089;606 272;192 999;39 283;463 325;304 568;194 525;72 584;170 689;92 106;0;0;292 641;212 456;157 173;67 560;104 907;12 355;2 708;4 359;3 257;1 133;1 215;1 140;995;423;80;22
Ростовская область;101 405 304;57 798 272;92 525 314;49 185 912;336 451;256 801;53 842 665;77 919 806;11 484 354;9 245 899;776 727;135 151;3 227 718;4 630 490;1 166 138;902 927;1 244 475;1 196 778;0;0;1 984 117;3 434 008;986 705;822 814;469 739;171 074;16 391;37 800;14 223;9 122;6 700;9 749;4 396;2 562;162;6
Рязанская область;29 966 265;9 013 313;27 865 652;8 322 257;226 800;74 519;17 516 161;13 203 995;2 232 352;834 672;36 748;55;1 049 195;790 359;333 890;125 168;402 811;211 518;0;0;646 386;578 821;286 991;117 912;123 697;19 949;5 055;6 946;4 381;1 813;1 961;1 928;1 255;611;9;1
Самарская область;86 346 353;9 961 372;79 859 854;9 239 335;629 126;72 747;50 440 654;30 502 176;7 958 583;956 827;96 645;2 462;3 026 439;1 824 332;1 188 577;141 662;1 119 985;451 107;0;0;1 906 454;1 373 225;1 044 091;122 343;408 923;28 105;15 900;17 053;16 850;3 593;6 159;4 679;5 512;1 414;60;17
Саратовская область;41 700 686;15 069 463;39 524 796;13 607 382;141 301;46 811;27 563 127;21 528 981;3 313 411;1 542 970;30 803;1 577;1 645 036;1 288 646;478 879;225 199;641 350;348 862;0;0;1 003 682;939 828;408 298;202 925;195 750;42 606;10 292;13 941;7 586;3 390;4 626;3 815;2 576;1 119;36;5
Сахалинская область;31 979 348;6 579 522;31 393 300;6 098 161;196 071;22 085;25 158 747;18 065 127;2 928 557;718 011;525 043;8 237;1 504 418;1 051 286;380 753;103 664;504 521;238 413;207;285;999 689;812 588;328 074;95 648;160 795;20 951;4 170;5 952;3 086;978;1 856;1 657;981;319;67;15
