GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158
Орловская область;125102124;125186165;10266;17828039;17804924;178053188;2004;7686;7674;84412;5;1002;67994483;68158151;340791430;9463;0;1733233;1721398;10328389;264;382;382;1919;3;0;0;0;0;126007;126031;630153;82;29802719;29776247;198432754;4825;6769582;6733620;1854;4588;4588;14;7604233;7592146;2775;137300;144497;589;54;54;1;6286;6332;18;11202;8775;5;0;0;0;114016884;114126664;9734;72889889;73035736;9645;4738283;4739768;338;920881;921029;259;7850579;7848017;1720;124090;124113;80;27408769;27351480;4576;103798;111334;130;0;0;0;10;0;0;63295;63363;47;16212370;16206830;10422;0;0;0;4958261;4973338;349;428977;428977;35;32586615;3182;10105513;2021104;2925992;585197;198976;1236931;34889;6978;34839;6968;0;10;7;2;2129556;425912;60647;12130;2431;411351;0;0;0;0;12235069;2447016;2986639;597327;201407;1648282;1771193;354238;13269;2653;3024;348561;4;0;0;0;4;1;1;16068;1787261;42947;0;14;8;32586615;60846
Рязанская область;308690850;308925841;20428;24719041;24722436;247224481;2686;874;874;9609;14;71393;204922091;205084385;1025421913;19409;0;3331106;3378697;20272183;456;12;12;62;2;0;0;0;0;109171;109232;546160;124;60670278;60670451;374614308;9755;13814668;13835437;4196;38161;38161;33;14866946;14888399;6182;157457;156934;946;29;29;1;2862;2862;33;48451;7578;22;0;0;0;259062594;259438010;19678;181711222;182241707;19541;9000292;9029022;686;1179411;1174857;343;17089840;17110994;3864;106495;106556;120;49765425;49672796;9204;118816;118285;199;0;0;0;474;474;5;507491;506703;114;55291541;55171827;20653;0;0;0;5926436;5999180;225;385786;386095;35;60624878;6288;18490929;3698190;3736450;747288;425157;2525745;58;12;58;12;0;0;1;1;57909912;11581982;1524174;304834;57088;11220060;0;0;0;0;76400841;15280172;5260624;1052122;482245;13745805;3056629;611326;5997;1199;5;610122;2975;0;0;0;2975;11;4;546550;3603179;10034;272;2;2;60624878;243342
Смоленская область;244478006;244664482;21517;18399330;18401294;184026202;2660;197;148;1633;4;0;155266698;156036548;780183095;20306;0;5567502;5228756;31372535;483;0;0;0;0;0;0;0;0;100842;99087;495436;114;56950331;56766456;348947485;9236;6475199;6413156;3543;1228007;1227606;46;8196459;8132261;5296;491606;493359;1811;954;949;5;490;455;18;5429;2991;26;0;0;0;222289335;222698899;21390;133282757;133787947;20842;7446219;7435982;1102;25781326;25801765;5158;9292836;9273277;3250;98347;96592;110;46063317;45839562;8517;464122;463981;580;0;0;0;11446;2516;5;6179711;6059780;1482;30149214;30044655;19199;0;0;0;13595998;13578990;4619;144693;144693;22;158156587;7137;17812030;3562408;2954291;590857;249404;2722147;17518;3504;11509;2302;1;1201;23;10;7280976;1456195;539339;107867;8205;1340123;0;0;0;0;25093006;5018603;3493630;698724;257609;4062270;4548747;909750;735879;147176;4279;758295;153701;502231;100446;1622;51633;41;15;8190738;12739485;2624439;160602;251;98;158156587;6057061
Тамбовская область;152323703;151856541;10296;40134391;40141858;401420666;2876;24087;23466;258121;17;2997;69754768;69606644;348026921;9269;0;423020;420987;2525922;201;-11;2;22;1;0;0;0;0;239715;232416;1162078;114;31798099;31560762;239746031;4739;8987047;8906105;2102;628448;628448;5;9947675;9867252;3197;131301;131210;929;0;0;0;1560;1555;24;5185;1560;8;141;152;5;140371459;140360239;9821;99817423;99891172;9752;1626646;1626646;131;444107;440669;112;9504776;9467097;1926;238592;232371;114;28642719;28605086;4408;93461;93461;169;0;0;0;2637;91;1;692053;692060;6;18766841;18398961;10651;0;0;0;7363246;7451808;183;370864;385535;27;26519304;3246;12627863;2525572;2012506;402500;108249;2014823;11158;2232;0;0;0;2232;3;3;12216885;2443378;4063367;812674;2296;1628408;0;0;0;0;24844748;4968950;6075873;1215174;110545;3643231;1617553;323511;278426;55686;24851;242974;9621;11487;2297;2297;5027;6;4;1522574;3140127;20756;0;1;1;26519304;690957
Тверская область;241723493;241642792;19887;14466709;14459649;144572765;2179;17727;17211;189318;18;20533;165476822;165456119;827273815;19303;0;14241021;14238514;85431086;437;62;299;2224;2;0;0;0;0;252621;252557;1262787;120;40850682;40845901;250996058;9381;5612983;5608647;3924;26427;26259;34;6395653;6349854;5895;379749;377697;2188;2;2;1;752;752;21;20371;17878;12;0;0;0;215092561;215102212;18692;161788511;161795028;18540;11084799;11095983;622;871025;870444;303;7629222;7626769;3662;252402;251971;116;33142409;33132661;8933;334808;334750;291;0;0;0;0;0;0;1980344;1984704;158;33857990;33762626;21233;0;0;0;8779598;8783882;341;899909;899909;50;47141647;6501;29432392;5886479;4157071;831414;242194;4812871;4566;913;0;0;0;913;5;2;4409312;881863;217474;43495;7405;830963;0;0;0;0;33841704;6768342;4374545;874909;249599;5643834;5019483;1003897;204476;40896;2985;960016;14;0;0;0;14;1;2;1457309;6476792;1343;0;4;3;47141647;1984498
Тульская область;433420946;431606064;24269;28424284;28413726;284141226;2726;17010;17010;187111;11;12326;291911033;290793172;1453967969;23351;0;3810444;3823385;22940313;514;12006;12091;65132;6;0;0;0;0;562151;561419;2807096;248;87856099;87432115;540406040;12006;16369182;16119100;5296;74148;70311;37;20828956;20553550;7467;1360730;1360192;1577;0;0;0;3642;3642;57;1122768;1106101;24;-1;0;2;400448440;398440587;23218;275299564;273754292;23007;27647716;27690959;837;1146380;1158152;448;23857373;23848447;4950;556028;555197;240;70614429;70108252;11381;1326549;1326558;360;92;92;1;0;0;0;244268;243888;92;68232170;68078909;24811;0;0;0;32173430;32612918;505;2986599;3008797;122;339924905;7701;42303537;8460706;10777492;2155500;1503166;4802040;90;18;0;0;0;18;1;1;9288752;1857750;281116;56223;10505;1791022;0;0;0;0;51592289;10318456;11058608;2211723;1513671;6593062;8979739;1795947;943788;188759;554625;1052563;3378;248;50;987;2341;7;4;2281960;11261699;6435;0;3;3;339924905;238462
Ярославская область;374964290;381387734;32922;12338839;12337199;123371976;2432;12;9;101;5;1475;244786876;252124155;1260618723;32221;6;2036144;2020622;12123679;462;0;0;10;0;0;0;97;0;293880;293876;1469382;207;96375915;95515378;578503327;15459;16430816;16393117;6363;757420;757438;56;19126081;19089932;9280;368082;368278;1150;756;756;7;7140;7140;38;40288;15216;22;0;0;0;316623038;316831374;31758;221460616;222021269;31581;11321779;10983866;857;921264;919005;434;18863159;18873665;5941;293607;293600;207;63570195;63537882;14679;213205;213305;308;0;0;0;41;2;1;1231314;1231217;169;65162966;71377444;33168;0;0;0;7569876;7592620;485;2022164;2017821;65;91348408;10285;62108316;12421661;11102189;2220433;1140966;9060262;121876;24375;4211;842;293;23240;19;9;11772091;2354418;1883598;376719;3246;1974453;0;0;0;0;73880407;14776079;12985787;2597152;1144212;11034715;51944215;10388842;244261;48852;10126;10329864;86064;0;0;0;86064;27;14;605847;52550062;112362;5292;8;5;91348408;1228455
г.Москва;22203368943;22029115311;623341;813677047;813136375;8131385212;48942;1899095;1898314;20881449;177;8321482;14936188374;14775844883;73882135541;605412;18882;97838670;97952477;587714513;7079;1896052;1897264;9394556;81;777939;771175;3887339;123;35221151;33084987;165424935;991;5070114676;5063794298;31339797560;329780;954260825;950518067;133284;187145792;186599550;773;1239768447;1234631252;183712;100040785;98536828;28130;1111689;1109146;413;-18021;13542;109;22955334;16808304;1135;-8439;2350;46;19895706798;19724009178;605104;12680924779;12521762947;598060;1361428453;1361438036;57537;130974139;130742865;13258;1167289868;1166064386;122389;35167709;33029027;958;4439614894;4430912038;316353;80031717;79478127;14703;538629;534760;177;466807;384388;162;1010591039;1004855482;5665;3211614627;3197479999;615508;102806115;102798762;4565;1791134270;1781191087;6650;229896500;229940846;782;13665911540;203132;4459279629;891855923;1159982170;231996435;98123825;561735663;36130837;7226167;11236605;2247321;253790;4725056;717;319;2,25085E+11;45017063427;159408155491;31881631097;140216285;12995216045;3385132;677026;68;52;229547981891;45909596376;160568137661;32113627532;238340110;13557628734;27633997245;5526799447;6524973440;1304994689;11059682;4210745076;28948914;16191900;3238380;131865;25578669;776;360;43004494094;70638491339;8116596;316938;305;172;13665911540;988191358
Республика Карелия;80140609;80044522;6354;3598864;3596647;35966471;701;17;17;191;1;43;62732980;62670928;313357100;6132;0;185714;183558;1101350;106;2334;2334;11729;4;0;0;0;0;248711;242071;1210357;126;10931797;10930773;68590851;3067;1929413;1922173;1283;173781;175200;12;2442822;2421034;2022;133424;131576;1463;0;0;0;179;179;6;11028;3791;7;220;0;0;67662843;67646107;6062;53269471;53276496;6004;1370921;1370681;222;628805;628805;69;2263879;2266259;1162;246950;240311;123;9804012;9784838;2871;79732;79644;197;0;0;0;132;29;1;2433101;2431363;217;19197860;19108433;7166;0;0;0;9057316;8977862;565;567212;611463;21;109362848;2210;12225533;2445108;3833739;766744;435895;1242469;500;100;0;0;0;100;1;1;5785347;1157070;711775;142356;22250;992464;0;0;0;0;18010880;3602178;4545514;909100;458145;2234933;1947373;389474;58103;11621;4178;373675;11;9;2;0;9;1;1;5686993;7634366;0;0;0;0;109362848;2423195
Республика Коми;215225645;215109609;4479;1842504;1802964;18029635;537;1245;1245;13692;6;216;183283446;183211911;916061623;4344;1;543469;538570;3231418;98;80;58;291;2;0;0;0;0;567280;567107;2835535;105;23871462;23874460;143715454;1996;4152183;4149293;739;4530;4588;5;5116025;5112007;1390;221443;220031;2677;0;0;0;2914;2914;29;480;248;1;-3;0;0;144019435;143982566;4156;113443227;113398388;4115;1392982;1393096;79;90326;90274;31;5152141;5160114;628;565171;564998;102;23195653;23196084;1931;179988;179667;198;0;0;0;33;0;0;17032833;17039075;84;59343498;59260823;6725;0;0;0;4926153;4931181;260;3350978;3351786;43;559966066;1937;12027844;2405570;1957814;391566;188852;1825152;6025;1205;1349;270;2;933;15;9;53668339;10733668;10107;2022;135;10731511;0;0;0;0;65696183;13139238;1967921;393588;188987;12556663;2750083;550017;843443;168687;96859;284471;418;0;0;0;418;4;2;212625;2962708;0;0;0;0;559966066;17027620
Архангельская область;179548693;179074300;7715;6080220;6082719;60827187;1131;832;216;2378;2;569;119466491;119107117;595536420;7476;-3;507290;503185;3019110;254;76;1;4;1;0;0;0;0;868912;868830;4344152;171;43550938;43466744;264738327;3580;7859045;7827126;1458;44950;44972;26;9084169;9044688;2601;235404;232794;2006;0;0;0;2007;2007;32;2834;217;2;0;0;0;150641176;150191200;7230;100082236;99922249;7180;856236;809850;125;93091;93091;52;10754236;10826934;1297;864314;862746;165;37856207;37544731;3452;134687;131435;257;0;0;0;425;302;2;10068406;10100795;131;42019097;41827425;9124;0;0;0;22900813;22765377;365;1999250;2055961;56;255049879;2747;45277138;9055427;4204153;840832;1573541;6641054;94514;18903;9099;1820;0;17083;5;3;12117380;2423476;550608;110121;5379;2307976;0;0;0;0;57394518;11478903;4754761;950953;1578920;8949030;5415849;1083168;35269;7054;6198;1069916;647;79;16;0;631;9;7;9307191;14723040;0;0;0;0;255049879;10089250
Вологодская область;451405413;452194195;21838;16202848;16185355;161853553;2181;1251;1251;13758;8;1088;333287366;334175435;1670008534;21316;6;3110762;3122295;18733768;350;39;28;138;2;0;0;0;0;332051;330673;1653365;242;85571176;85524343;519799464;8652;10764379;10700742;4557;-260;0;0;12897303;12811648;6715;346736;337221;1360;125;125;1;367;304;23;82985;10015;13;8;8;1;434789031;435880085;21231;330299760;331574251;21134;7970490;7953438;356;3414741;3414741;216;10804828;10792493;4141;327123;325703;237;81590912;81436859;8148;385842;361487;265;293;293;4;6;6;1;1903754;1901701;169;54232355;53852016;22198;0;0;0;39081243;39096709;472;7563885;7582778;62;764572428;7147;28835412;5767084;3077738;615546;231380;4920158;63847;12769;0;0;0;12769;2;2;338358710;67671741;21132022;4226405;78189;63367147;0;0;0;0;367194122;73438825;24209760;4841951;309569;68287305;7593538;1518708;11139;2227;21455;1495026;3781;0;0;0;3781;6;4;5035515;12629053;0;0;0;0;764572428;1848568
Калининградская область;281601934;281948797;11667;39703444;39670812;396708117;1939;24541;29896;328851;27;1455;169805937;170282876;851414454;10982;0;1213978;1213605;7281627;325;1617;1617;9080;6;0;0;0;0;151230;151196;755981;110;62193979;62149362;404791792;5552;7704746;7659967;2166;2023;2176;5;8164345;8106993;3300;795518;805212;818;1027;1027;4;697;653;23;23147;9570;18;0;0;0;222552950;222044160;11025;144385580;144062857;10816;8377184;8397060;1363;3855303;3854650;585;9882977;9814067;1971;133706;131426;104;55039665;55060509;5183;691207;530023;322;0;0;0;5552;504;9;5454716;5428480;517;83227141;82934538;11358;0;0;0;28755554;27578849;789;905876;905876;44;233044641;3701;44236557;8847313;7252279;1450456;365236;7031621;167129;33426;14153;2831;145;30450;22;13;207354355;41470871;44174657;8834932;9693;32626246;0;0;0;0;251590912;50318184;51426936;10285388;374929;39657867;276305937;55261186;227065535;45413107;2280;9845799;3882;12493;2499;1;1382;8;4;32938193;309244130;646498;0;2;2;233044641;5428504
Ленинградская область;619620800;619580643;27303;26380349;26383341;263833408;2338;616;616;6773;15;1323;442781996;442998805;2214985314;26546;0;3781427;3758530;22551178;476;198;237;8425;3;0;0;0;0;2345413;2337220;11686101;315;125282139;125171134;810572400;14021;17487073;17378970;6286;23290;23392;30;19047106;18928991;8965;10007490;9995763;3514;3280;3280;6;1825;1863;43;38769;6686;42;-2;0;1;611870685;612279095;26408;397023028;397723582;26141;52608332;52603287;1680;3797474;3798272;543;47883847;47783406;5751;2339754;2330932;302;100078339;99890453;13237;8156262;8154900;689;215;215;1;1125;481;5;8483207;8508621;572;154611373;154023545;29048;0;0;0;145300292;145178950;886;6515248;6443068;115;808918883;8893;70843050;14168610;10910921;2182184;883349;11103077;57113;11423;3396;679;258;10486;21;11;35745904;7149181;4121663;824333;10250;6314598;0;0;0;0;106588954;21317791;15032584;3006517;893599;17417675;20952122;4190424;1060065;212014;425564;3552846;8153;5843;1169;690;6294;29;11;86525663;107477785;109276;5194;21;11;808918883;8478950
Мурманская область;138221424;138121843;5991;7975261;7970865;79708657;1469;0;0;0;0;8;95999988;96001799;480008994;5532;0;474286;474077;2844460;142;2399;2399;11994;4;0;0;0;0;417199;401332;2006660;72;25768204;25726596;163079286;2546;6680830;6657857;1113;286206;285298;10;7586924;7547125;1766;1921547;1918387;2137;0;0;0;1921;1921;28;35943;35580;3;0;0;0;199496254;200673537;5590;161908451;163075700;5561;5907616;5909117;180;127801;127801;62;5825697;5823686;959;409006;395282;70;22903744;22939916;2402;2414669;2406397;208;0;0;0;0;0;0;7365772;6969495;87;27300057;27305432;7633;0;0;0;93969688;94859428;343;13332629;13352729;39;834155447;2198;22376684;4475334;2414693;482939;467182;3525213;54814;10963;2311;462;435;10066;3;3;3867171;773435;12500;2500;9227;761708;0;0;0;0;26243855;5248769;2427193;485439;476409;4286921;21363557;4272711;337843;67568;12608;4192535;485032;5766;1153;672;483207;4;3;35000076;56363633;0;0;0;0;834155447;6933391
Новгородская область;110368289;110410256;7701;8865015;8863741;88637410;843;172;172;1891;8;7255;72929723;72999001;365007955;7421;0;932119;945297;5671782;220;75;75;8397;2;0;0;0;0;209289;209557;1047786;93;24355662;24367128;150723960;3656;2299459;2275956;1596;268756;290952;13;3069045;3018494;2564;328675;328715;599;0;0;0;853;853;21;51867;29728;9;-51;0;0;104183572;104265402;7347;75450092;75572009;7293;5930033;5924346;371;457379;454995;179;3093197;3092514;1486;206163;206432;91;18736314;18704843;3486;310395;310264;157;0;0;0;411;411;1;1063870;1065297;90;16444163;16359872;7792;0;0;0;10894788;10878079;217;943992;943992;21;200761346;2385;9466324;1893267;1545496;309098;366137;1218032;2006;401;87;17;142;242;3;1;3782392;756480;1218857;243771;56601;456108;0;0;0;0;13248716;2649747;2764353;552869;422738;1674140;1133812;226764;45260;9052;537;217175;467;0;0;0;467;9;3;239449;1373261;661;0;3;2;200761346;1020575
