"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89"
"35","Вологодская область","2186282","1072673","1080940","32669","17905386","905219","84916","368127","0","55737","0","13727","26267","1583","0","147","1015951","298988","27341","30496","30480","16","5103493","48169","79271","243110","8040719","6262852","0","0","50334","544651","15923","0","5398","4026","69065","47957","443737","101074","25206","19581","197","1328276","1406307","871134","172339","362834","492821","233860","11981","246980","1967503","4007480","2168153","1420663","2613025","1176897","47430","8313","443117","26836","211307","1055086","142899","553972","41534","1121106","53135","44703","467263","444338","1180","21745","602406","1438034","634163","3079","2417939","3514249","3777825","743756","298313","267749","41415","148546","14","38548","0"
"36","Воронежская область","4985898","4895563","75405","14930","12478206","4222281","235065","819483","328651","132529","658","21792","95410","9327","0","5741","65959","58027","111020","0","0","0","1056246","18697","345716","1058314","1452910","11130","0","981","247973","250","76005","0","105006","63724","543190","641985","1219130","10620","861882","7009","419084","552513","3044381","2056660","406003","581719","489562","342874","17873","128815","2886587","8306294","4278138","3145379","7370776","5901197","3976524","16243","257438","739","1151","1245943","221746","776273","95367","1018096","57974","196922","253574","129554","58798","65222","1193436","4266654","1973958","7778","3445455","7409092","7432306","968759","340976","464194","96577","179046","179","82946","0"
"37","Ивановская область","396849","354536","41693","620","5045056","446959","22121","62437","0","10401","55","1575923","745271","4001","0","2094","176131","10554","30851","0","0","0","170925","57885","195361","94903","461505","10169","0","0","0","2610","3199","0","58532","57617","146782","109580","278790","173626","294","10","9","355259","973757","483826","176697","313234","268440","145353","14752","108335","757441","1957758","871150","935982","668942","438836","43573","13435","55543","1917","0","126145","102044","249086","45780","268292","21825","67451","78937","49821","13321","15795","429604","694558","381237","1201","1560371","2311364","2291359","382606","109258","164069","26116","95918","99","23088","0"
"38","Иркутская область","2882415","1527661","1348564","6190","15959024","644255","71472","40651","0","100662","2539","11551","46287","9045","208","8416","1388383","1953129","36949","1359187","0","1359187","1957797","448001","157534","572907","3295242","119101","0","0","0","923","2791612","245235","10647","10647","29098","413253","298185","133559","2528899","2858","2521920","572562","4715100","3916152","21854","777094","757874","496020","24119","237735","4426594","7377432","2788751","3740716","16963285","13521069","9109423","17488","2478696","164435","598481","2404454","274846","1137305","264760","780952","46592","179782","334669","297934","5067","31668","1166274","4155746","2394051","11848","7403149","12521769","8770916","1322230","320856","443807","65775","172815","269","72906","0"
"39","Калининградская область","1290570","805304","10420","474846","4531029","1455392","447649","103658","50","74547","64560","77016","25648","8586","0","7489","35118","112707","16809","0","0","0","112500","78143","90734","216196","482415","919","0","0","13081","6817","587","0","1578","0","78206","107116","131151","180722","808135","798132","189","375328","842944","403121","148417","291405","392445","279142","38495","74808","1891100","4691938","1191476","3123920","2644196","1348522","451249","10170","43236","191362","1356","947008","155948","871251","172803","606648","21958","48141","2114158","2089500","2139","22519","733048","1607979","798620","11458","2588712","2926845","3214300","616548","225279","255105","44608","111661","1","42128","0"
"40","Калужская область","1603018","1527103","72328","3587","15379244","2149850","1176532","209118","0","49781","49551","58099","221555","17640","0","16751","288925","995049","18625","49405","0","49405","323021","459991","762356","1613406","2970594","308655","0","0","4620","3152","72556","0","159689","145935","1441001","432563","1040088","1166741","885828","64494","229577","385175","1036772","460571","273630","302571","371841","214433","16932","140476","1766573","3342363","1823364","1097111","1442020","874490","20758","19830","99651","99","44043","394389","128999","449806","70381","553990","37215","48913","364969","349868","2484","12617","714586","2281153","646570","17934","2218858","3114320","2615624","546526","166014","200952","30291","86259","60","23302","0"
"41","Камчатский край","4854792","155383","69438","4629971","1026217","587523","31716","60629","0","30325","0","1753","1746","50","0","0","3327","176","4496","0","0","0","1157","0","4085","19187","21414","83","0","0","0","1460","0","0","50","0","68","135","11541","0","4912","4912","0","334322","1763234","1419760","8153","335321","354071","275004","3630","75437","541383","1222243","460898","669495","1464383","394873","99","3508","58142","54956","194097","736561","83896","274258","113980","170166","8028","51263","57815","56135","0","1680","255264","1065142","352782","1908","3695757","2684014","2668728","522167","136253","102045","15290","45154","0","9041","0"
"42","Кемеровская область - Кузбасс","1212207","1132211","71253","8743","14008106","1032702","316035","77907","0","69820","62","15207","68410","3368","50","1453","69725","46787","27754","764808","494125","270683","1836317","196363","126881","588849","6852032","5463978","0","0","222","465","370091","1","4939","2375","62589","122641","727864","30292","241187","1975","1025","1124448","4305922","3150873","38452","1116597","932130","504884","36083","391163","5158899","7892888","3190812","2145440","6320501","5177420","614782","15195","81013","1302","1730","945094","194955","917727","137743","882841","22463","231134","280667","228874","11412","40381","1242289","3037167","1870303","9481","4774708","8665857","8687334","1368475","455188","405389","55387","165052","923","73879","0"
"43","Кировская область","1833805","1493693","337476","2636","10833624","1207454","203000","277613","0","88192","0","9967","233011","158739","100","107451","950396","98853","71371","0","0","0","1055478","203681","491647","97659","4155178","465045","0","0","35584","7325","196811","0","460","413","64976","974757","188363","38194","255055","13704","135596","490653","1316388","853800","169804","292784","332876","190744","25308","116824","1255881","2967497","951544","1794297","1491280","955558","12274","8005","59204","2132","4042","390168","139380","586292","39453","262956","26131","29025","194078","183160","3481","7437","476189","1091226","509729","3068","2220164","3673199","3844143","541784","110585","195976","40721","68078","0","25391","0"
"44","Костромская область","618309","394736","210950","12623","4188396","253703","67024","61838","0","54488","0","35428","102544","42366","0","41435","597108","46387","47639","0","0","0","194491","74524","77615","95829","637634","5665","0","0","156619","25757","7464","7464","189","90","4574","64837","225253","351295","76444","72075","0","1206237","698964","291538","172854","234572","169895","117793","4514","47588","638274","1430318","449855","812891","832237","465534","1366","4588","0","2721","17280","265996","80706","238724","45014","274637","14570","47116","6584407","6581531","50","2826","208838","387721","342207","1243","1194585","1820437","1539714","313504","67053","105383","17350","47881","79","15799","0"
