"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29"
"Ставропольский край","103","0","0","149","0","0","476057836","462487287","397173115","8679024","494180","0","0","818772","0","58422","0","0","1342","67","0","4","0","5756","61046051","54959211","1085291","8079","0","2380"
"Хабаровский край","26","0","0","53","0","0","1044376129","892274622","859276742","14976279","466839","0","0","2143912","0","982926","0","746883","582","50","0","1","0","3433","25992869","21159558","417725","5511","0","Х"
"Забайкальский край","32","0","0","13","0","0","567006508","512268298","478951323","6220262","377156","0","0","3058539","0","1094283","0","380972","945","6","0","1","0","4698","19934080","17545596","228729","725","0","Х"
"Амурская область","14","0","0","103","0","0","1146694006","1001573658","868914003","10140430","757776","0","0","2476503","6258658","1337806","0","1016561","1116","36","0","33","0","8995","62500812","52445352","536251","1887","0","132884"
"Архангельская область","17","0","0","34","14","0","477939279","471397259","441763703","9415534","627085","0","0","84099","0","219168","0","0","1005","3","0","490","0","3764","35243781","31686585","600440","41","0","32388"
"Астраханская область","33","0","0","472","0","0","507081202","509048090","480902813","9380757","172511","0","0","1514983","0","103888","0","22619","825","22","0","180","0","3036","23793094","21926402","431802","3050","0","5569"
"Белгородская область","31","0","0","22","0","0","409711697","400963878","363522325","7797931","650890","0","0","221669","0","63040","0","6","1787","44","0","693","0","9527","78932143","71375056","1406794","5495","0","35856"
"Брянская область","72","0","0","41","0","0","199941600","194768504","148833477","3236687","121946","0","0","845728","0","37188","0","1246","831","4","0","47","0","3972","37740970","33559593","639623","229","0","12385"
"Владимирская область","75","0","0","47","0","0","363802819","351664644","238248873","4953168","512414","0","0","549157","0","150008","0","0","1425","95","0","791","0","5536","39142641","34378253","583947","9651","0","92804"
"Волгоградская область","95","0","0","195","7","0","703600594","678495318","414243984","8769459","531750","0","0","4609537","0","239966","0","119109","417","59","0","58","0","1960","7840413","4347954","61215","3779","0","21688"
"Вологодская область","52","0","0","104","0","0","868612230","858732108","668295177","14388387","905974","0","0","1679427","0","260520","0","8783","1599","6","0","998","0","5528","35200437","30408015","451366","1129","0","155732"
"Воронежская область","107","0","0","259","2","0","649912985","629909956","562615071","11316076","151459","0","0","1649765","0","205236","0","0","2188","5","0","1386","0","13200","107080937","88096186","1604689","428","0","163654"
"Ивановская область","43","0","0","34","0","0","213596349","209736819","98901180","2125254","94451","0","0","115655","0","12321","0","781","65","0","0","0","0","208","16060293","15547508","310963","0","0","0"
"Иркутская область","59","0","0","2027","0","0","1767835140","1493751490","1345176663","17971299","628792","0","0","5300074","7060086","1041878","0","297693","1852","16","0","1293","0","4537","78418561","72901260","1272151","2646","0","178961"
"Калининградская область","138","0","0","9","0","0","352639825","325699467","262223982","5585819","1357631","0","0","143717","0","49827","0","6863","2297","28","0","140","0","11111","101859140","89976481","1720380","32561","0","40455"
"Калужская область","47","0","0","1250","0","0","464929391","448957976","243056340","5032316","1595409","0","0","2956353","0","54756","0","15748","877","2","0","380","0","3320","34473286","28776402","511555","828","0","72450"
"Камчатский край","6","0","0","74","1","0","163903686","163757595","147338629","2975056","19072","0","0","550988","0","0","0","0","731","15","0","259","0","2474","38573414","35273039","695848","5364","0","120633"
"Кемеровская область - Кузбасс","72","0","0","175","11","0","826743142","809037912","627928489","13091103","230395","0","0","627722","0","312290","0","3534","1456","75","0","197","0","7844","87015640","77951744","1514280","6685","0","34970"
"Кировская область","33","0","0","118","0","0","228595987","219573857","165605259","3511731","40305","0","0","946762","0","122598","0","0","1474","16","0","1096","0","6144","30925342","26074257","425976","2493","0","92061"
"Костромская область","13","0","0","67","0","0","111283178","107044221","80797646","1674859","19050","0","0","184318","0","102685","0","0","540","2","0","13","0","1384","19734288","18128080","358333","1697","0","2370"
"Курганская область","40","0","0","52","1","0","145549632","138702154","130158434","2686471","27454","0","0","147533","0","148465","0","0","777","14","0","47","0","2685","14863402","13645102","260449","1185","0","8556"
"Курская область","48","0","0","179","0","0","322683292","308732532","213517294","4340049","142777","0","0","2092789","0","52099","0","74","1273","55","0","2","0","7676","62352349","53488391","1055967","7275","0","993"
"Ленинградская область","31","0","0","238","0","0","2102740351","1998068591","1504881300","30540419","4707711","0","0","6431342","0","983007","0","181122","1444","2","0","163","0","16348","145859621","110477028","1455195","356","0","193619"
"Липецкая область","183","0","0","45","0","0","356458193","349138000","278220426","5983384","613446","0","0","509790","0","77841","0","327","802","3","0","518","0","2595","37986699","34955359","691048","335","0","34638"
"Магаданская область","15","0","0","6","0","0","217999959","187489247","181051936","3980058","126593","0","0","18044","0","0","0","0","307","4","0","3","0","1144","16947688","16368145","327324","512","0","2277"
"Московская область","408","0","0","309","0","0","3254654650","3054301277","2304583971","48585386","2711636","0","0","10025053","0","927705","0","987096","6525","98","0","289","0","37393","866960120","788485194","15145520","16321","0","533316"
"Мурманская область","40","0","0","47","0","0","500610402","467427600","240693903","5030097","822599","0","0","4196012","0","138162","0","125545","618","24","0","20","0","1854","31267860","30370408","571377","2313","0","25938"
"Нижегородская область","93","0","0","375","1","0","843680235","808663951","594075363","12861662","426675","0","0","3634469","0","117944","0","0","3811","19","0","90","0","10180","169081008","157443823","2963017","7204","0","140931"
"Новгородская область","30","0","0","17","0","0","224506368","215929408","171516448","3535342","345382","0","0","412761","0","194753","0","64726","782","32","0","325","0","3306","16225957","13064688","202109","1831","0","57425"
"Новосибирская область","63","0","0","60","0","0","1228144314","1201776931","547719310","11851408","599746","0","0","1049055","0","195881","0","1311","2024","73","0","142","0","15277","226668699","192583536","3727976","15830","0","77360"
"Омская область","36","0","0","73","0","0","437246210","411312121","362425775","7652571","36945","0","0","940143","0","143465","0","23698","1561","51","0","16","0","8248","56625372","46962602","541879","922","0","15190"
"Оренбургская область","46","0","0","40","0","0","706645346","677244185","649909751","14086386","197379","0","0","409018","0","136445","0","5807","321","0","0","171","0","591","24790292","25193463","366853","0","0","125937"
"Орловская область","28","0","0","536","0","0","162653791","155719830","97425058","2037444","92468","0","0","973998","0","51695","0","126","475","2","0","393","0","1274","33522227","32277366","451126","806","0","192757"
"Пензенская область","126","0","0","17","0","0","287586838","277735486","259688518","5349760","187062","0","0","400095","0","48601","0","0","311","1","0","0","0","685","26500393","24476799","488611","Х","0","0"
"Пермский край","136","0","0","430","0","0","1239525491","1189023952","1019405844","15754583","448219","0","0","9561905","0","260954","0","637","3621","94","0","1137","0","12592","133812415","120955377","2206159","20289","0","109534"
"Псковская область","37","0","0","552","0","0","128437348","114061561","77657703","1553144","290253","0","0","452154","0","56510","0","0","605","45","0","104","0","2100","16436376","14912373","289876","3702","0","5756"
"Ростовская область","156","0","0","48","3","0","1053248296","1018970140","900019706","19276539","346010","0","0","1173755","0","449589","0","37411","8","0","0","0","0","10","29311","28121","532","0","0","0"
"Рязанская область","181","0","0","166","0","0","311486785","301978729","232381346","5006142","289065","0","0","834290","0","109662","0","0","1346","9","0","915","0","3737","46111637","46892377","703900","1902","0","202504"
"Самарская область","123","0","0","85","0","0","1085018094","983797815","896941645","19523083","706759","0","0","1079448","0","207620","0","0","4253","80","0","67","0","19359","217411822","203385525","3960138","49192","0","35598"
"Саратовская область","86","0","0","108","0","0","527242594","497018566","448141316","9592190","762742","0","0","431407","0","202372","0","52","2066","6","0","191","0","8906","85078425","75226210","1482059","1362","0","30690"
"Сахалинская область","15","0","1","34","4","0","892482836","863673647","414994050","8582152","760558","0","Х","874097","0","263086","0","1840","462","1","0","1","0","888","41380889","40811263","495346","Х","0","Х"
"Свердловская область","131","0","0","657","2","0","1433034488","1390479622","1288541929","27534821","456098","0","0","2003133","0","560836","0","3621","1301","4","0","152","0","4233","152431878","142546904","2259006","718","0","584123"
"Смоленская область","64","0","0","18","0","0","232433656","230927618","210563086","4511012","222284","0","0","212469","0","97966","0","0","737","11","0","0","0","2120","21129021","20849895","411930","1292","0","0"
"Тамбовская область","35","0","0","20","5","0","225873424","218141421","173014044","3710852","217688","0","0","673584","0","66420","0","4","824","2","0","79","0","3587","30017343","27816594","499338","371","0","5936"
"Тверская область","61","0","0","209","0","0","446998257","431186265","337270972","7187950","624201","0","0","894835","0","224736","0","13128","1030","36","0","129","0","5174","12313664","9374624","155129","2432","0","28762"
"Томская область","39","0","0","54","1","0","364014507","354347638","327966588","7190642","85308","0","0","496669","0","10401","0","0","575","23","0","191","0","1623","26134562","25166649","469249","3220","0","23669"
"Тульская область","82","0","0","168","14","0","461574938","434153530","360616540","6497821","381367","0","0","2139150","0","73252","0","2378","1513","0","0","29","0","6122","45498360","40904671","780594","0","0","36362"
"Тюменская область","66","0","0","1047","0","0","1141735848","1110441087","565253981","11886790","356207","0","0","11531460","0","352692","0","45","223","1","0","260","0","622","27420215","26679078","510710","Х","0","17517"
"Ульяновская область","78","0","0","305","0","0","219429872","212101873","154029703","3298396","463075","0","0","547276","0","89157","0","0","1339","56","0","409","0","6144","25684893","21774638","407756","5988","0","18828"
"Челябинская область","93","0","0","134","0","0","735988143","711680150","659234822","13583639","293662","0","0","1353626","0","263824","0","19872","396","2","0","8","0","581","73551972","71012704","1039295","1879","0","26364"
"Ярославская область","33","0","0","133","0","0","389230177","372115486","308736790","6109287","344154","0","0","1248969","0","90641","0","35","367","0","0","16","0","750","43424376","40850266","785475","0","0","37944"
"г.Москва","302","3","0","351","0","0","8067552045","7573881227","4025151842","78826376","4228536","46143","0","78295458","0","1486003","0","2257900","20002","154","0","1799","0","195001","8367599202","7722728149","134427106","1057642","0","18298270"
"г.Санкт-Петербург","185","1","0","213","0","0","3278733653","3131296246","2135334460","44370023","7043872","Х","0","16135766","0","176422","0","4272","7600","72","0","4453","0","59269","1545456735","1352163486","14578393","166119","0","5534005"
"г.Севастополь","62","0","0","1","0","0","89375018","75944237","60996446","1096653","260436","0","0","Х","0","4493","0","0","699","45","0","1","0","2634","52220962","48822179","498553","149707","0","Х"
"Еврейская автономная область","14","0","0","28","0","0","155688963","160875224","117840002","2267441","165487","0","0","351284","0","194919","0","3037","152","3","0","11","0","561","3106411","2866427","47905","130","0","9185"
"Ненецкий АО","0","0","0","9","0","0","276450755","270869794","269879630","5937352","0","0","0","18682","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ханты-Мансийский АО - Югра","32","0","0","259","0","0","5349296836","5042082724","4952509778","105215308","194306","0","0","4640650","0","466664","0","13278","2542","7","0","1929","0","24750","159163389","132471702","1817830","282","0","717445"
"Чукотский АО","3","0","0","14","0","0","132816771","108091688","107745296","1948866","3296","0","0","752045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ямало-Ненецкий АО","13","0","0","96","0","0","7946519148","7753439251","5379815401","116247327","15720","0","0","54198726","0","103","0","0","8","0","0","16","0","14","6203249","6203141","34376","0","0","89733"
