GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31
Чувашская Республика;65231741;65666922;11075;93957;92400;1349;3439;409;4;54253307;54698441;10480;38;32;1;307525;306839;130;11558106;11544411;11802;5776970;21048269;3788686;3513021;632345;149540;3006801;1864510;67478;5776970;306049
Алтайский край;147388681;146452921;27410;123914;124989;2107;17614;14408;21;132576626;131855868;26101;143;35;4;3192632;3191444;621;15932067;15723598;28018;55073630;28488501;5127927;8890625;1600317;784528;2743082;6337132;412339;55073630;3161436
Краснодарский край;690995929;687669785;55878;1445897;1415452;3577;16977;3345;31;619327769;616321420;52725;5251;3064;5;39903865;39907006;909;87557827;87117192;56877;440865041;253205763;45577037;158618036;28551246;3945015;13080776;37329599;11006304;440865041;39732725
Красноярский край;453921576;453629017;39361;1039261;1033580;3420;95167;37804;24;340540052;340672349;37299;41613;19977;11;38220375;38271395;718;122381622;121907081;40520;637431522;136555216;24579937;41791201;7522419;2536616;14520902;16102571;2126426;637431522;38220090
Приморский край;245239838;243882436;26995;484525;483546;2368;16314;5523;27;233674017;231992730;25624;6084;3249;12;9469342;9502363;876;21055445;21345781;27695;189672803;120275029;21649508;50975493;9175594;711731;11762183;15774181;6799077;189672803;9496057
Ставропольский край;177347160;177535590;19135;75297;165288;1049;25953;1833;19;156726086;157141156;17808;16254;7218;4;4223165;4228402;131;23019215;22956446;19472;48309949;35746786;6434427;8530038;1535404;472314;4426709;6667546;1913235;48309949;4222376
Хабаровский край;181055506;177247111;16515;319867;320622;2785;98724;23126;5;161376812;157946572;15525;59315;32931;7;8694773;8688055;357;26621266;26157767;18286;119539742;34483842;6207097;13564774;2441664;1328688;2436745;6173249;2415715;119539742;8702825
Амурская область;56935208;56766797;6138;110880;108968;1350;-45;0;0;64722598;64657243;5713;-39;0;0;5337544;5307325;194;11133221;11019271;6964;66724889;143310539;25795898;91833454;16530019;1057884;8207995;117090304;3096;66724889;5307324
Архангельская область;67876412;68031618;6952;206332;201127;2311;489;0;0;55954348;56177712;6353;190;0;0;3783034;3778597;171;14556944;14441895;8797;56010365;75796175;13643312;4301253;774224;3610874;9258214;7740247;3905528;56010365;3767494
Астраханская область;52596915;52565599;4710;230045;229905;517;2160;628;2;32063819;32095901;4303;75;0;1;9265739;9270683;396;19442153;19378491;4719;136224861;12009648;2161737;1590552;286299;70940;1804498;944983;2688394;136224861;9272594
Белгородская область;237756728;233476904;26246;378255;365011;2239;66437;37483;17;210954351;206701437;25575;18641;11179;8;9302239;9304534;335;32393704;32311376;26595;145029170;31854988;5733900;10547449;1898543;115678;3719679;72684966;844860;145029170;9298553
Брянская область;78349011;78302042;10615;221569;216769;1348;19039;16777;18;67745542;67862747;9919;370;189;6;656299;641723;470;14696356;14570963;11080;14165253;16345988;2942275;4210264;757851;218923;1965501;748285;326440;14165252;641785
Владимирская область;118098690;118222721;14183;566523;795308;1760;13558;6023;29;100326478;100341897;13472;2801;486;11;876149;873645;425;19369594;19578690;15381;34520359;20327505;3658956;5800218;1044042;180002;2434912;7169998;1493184;34520359;871531
Волгоградская область;221283409;221101027;19584;333716;334893;2912;24994;2108;25;189456564;189563669;18099;10229;784;7;22463639;22466825;294;27505762;27228730;21570;180161762;61392936;11050733;32308197;5815472;1170904;4064357;5503911;3980829;180161760;22455672
Вологодская область;189768317;186494778;18482;225133;234811;1480;23781;11610;10;158254965;155199714;17672;3108;981;3;30383935;27503747;329;18121814;18032628;19278;226403911;987675106;177781525;952664978;171479701;318839;5982985;4692243;1335204;226403911;27493011
Воронежская область;287212272;277799090;37278;409430;411724;2191;11350;1981;24;266103240;256831735;35795;320;307;6;2917007;2916922;330;25792446;25589690;37855;48196616;73447695;13220586;16558149;2980469;370651;9869466;5525074;1185047;48196616;2875214
Ивановская область;68148063;68200200;16216;88881;66495;729;14111;921;10;63068447;63094303;15333;8559;402;5;383365;383294;194;5697967;5668976;16351;6876096;24436447;4398564;5724182;1030356;298877;3069331;2049557;237474;6876096;424227
Иркутская область;305456742;304216255;24386;1027442;1023123;3550;12629;4349;10;237646045;236702945;22309;4070;1558;6;11991096;11973608;929;72570395;72355408;25990;219264607;64632038;11633767;24022738;4324095;755069;6554603;2963649;189642;219264608;11920213
Калининградская область;143458288;143347204;9799;198250;197058;970;7221;7061;11;91864955;91883289;8986;1613;1676;6;1562900;1560506;437;54316361;54204337;10023;88372084;51648771;9296778;31100127;5598020;234352;3464406;19330706;2732878;88116295;1565200
Калужская область;212439439;212214905;13743;893860;1513614;1284;92076;13695;26;185341261;185182994;12869;53209;3613;4;6068802;6043471;282;28277763;28834540;14103;67964693;64258044;11566445;32683737;5883073;404849;5278523;3759557;1151762;67964693;5997247
Камчатский край;24317432;24317709;2140;53331;53739;210;1988;1301;1;21662563;21698523;1872;0;0;0;2271289;2273024;53;4037342;4004687;2144;34278308;24530079;4415414;21770526;3918695;355102;141617;405257;2207751;34278308;2272919
Кемеровская область;357632799;356983445;20402;324197;326799;1704;227397;22570;30;295303035;295523523;18792;213639;10431;15;51589286;50961470;321;52587266;52459226;20910;540746536;85308241;15355484;39322287;7078014;1193132;7084338;13075009;88282;540746536;51312185
Кировская область;61683856;62188546;12216;269340;261598;3415;2805;2015;10;53331229;53923096;11543;305;159;3;738492;722599;227;10416889;10276933;15126;13549359;60758433;10936521;49425492;8896588;482026;1557907;3819496;248631;13549359;719271
Костромская область;40017576;39561129;5370;125430;121617;932;2023;479;8;33898924;33514059;4961;919;336;6;1339863;1340310;189;5984358;5900234;6044;12908900;433416647;78014997;115066956;20712052;704463;56598482;1641261;733;12908900;1337266
Курганская область;36027124;36266542;5032;33757;31530;690;427;96;1;31424772;31553893;4664;299;0;0;235258;236448;108;5078681;5177367;5354;4287968;8166065;1469890;1808098;325457;82431;1062002;485475;3673;4287968;236262
Курская область;97949717;97690968;11632;50332;49943;882;1296;714;7;90958925;90776232;10907;137;25;3;1135440;1148235;127;13350227;13262765;11615;26806909;34317888;6177222;7012471;1262246;439299;4475677;2932903;12398;26806909;1141999
Ленинградская область;286548001;285425105;16764;2532032;2524291;3503;103089;65100;23;232659374;232029267;15763;3052;2745;6;34533936;34536955;664;63059674;62569037;18901;340403482;70321794;12657921;13859200;2494658;766170;9397093;10739219;59399095;340403482;34585137
Липецкая область;135734540;134909610;12616;424994;419711;1041;214;125;5;118490969;118319849;11946;-2;2;1;25650762;25924379;105;11053058;10851176;12984;226501577;22746832;4094430;12893148;2320769;135379;1638282;6807377;237179;226501577;25905108
Магаданская область;24062045;24017432;1471;77912;77546;466;98;0;0;24033032;23987156;1367;270;270;1;7615690;7629173;151;3918148;3910144;1670;82379881;5785418;1041371;286310;51538;57983;931850;346630;189581;82379881;7640516
Московская область;2108600157;2100689076;126697;9962531;10919012;9695;929145;521334;292;1904167564;1898018470;121231;285980;89284;58;12572280;12684601;2457;243461551;242999790;127588;334812812;752862388;135515250;221274813;39829474;13928217;81757559;81733337;28507473;341167256;11986717
Мурманская область;41245169;41444507;6094;407390;404289;2220;0;0;0;32685739;32702107;5670;0;0;0;4652103;4651074;86;8637735;8827590;7849;48782423;19131382;3443650;3656208;658117;395607;2389926;40598513;6390434;48782423;4649790
Нижегородская область;590051424;587804948;59819;1520728;1541947;3424;1030937;12343;65;518296880;517349244;57298;871070;916;10;35948093;35942922;1061;67261581;66573251;61137;306388840;155776055;28039690;49065996;8831884;2778541;16429265;37133345;62375165;306336271;35663364
Новгородская область;56102207;56156493;6292;264859;270212;712;27019;13926;3;48762101;48816488;5876;28217;17006;2;5893077;5894250;151;7537106;7548256;6491;66801371;13378445;2408121;1719113;309443;244372;1854306;729951;148143;66801371;5883710
Новосибирская область;375102880;377441788;66916;676465;622626;2296;176636;76249;95;334495225;336843374;64914;81213;40544;34;10108411;10415421;855;44412544;43984607;66351;145543574;331169278;59610471;139426211;25096724;1954971;32558776;53501375;3436807;144588666;10234671
Омская область;145924743;146463505;22378;176250;176170;1459;12230;483;12;120959265;121444030;21315;10334;74;3;2757999;2795055;498;26104012;26183432;22902;33706418;41697563;7505563;20531755;3695719;341194;3468650;6491594;1564848;33706418;2786009
Оренбургская область;178470034;178645682;15649;277258;275920;1284;14367;2075;22;124254181;124585923;14267;6488;1256;6;7643417;7644366;346;52755689;52619679;16222;84769325;104991365;18898460;84290180;15172238;422070;3304152;2346890;725421;84769325;7639198
Орловская область;48498525;48750163;8226;230934;224630;651;7354;827;7;45586388;45835783;7618;4216;1;1;120300;123425;124;5875250;5901106;8375;9151077;10716195;1928917;3650042;657007;193545;1078365;1056720;228217;9151077;119988
Пензенская область;86508109;86762489;12628;84877;82207;1099;6073;2536;23;77969278;78307047;12013;999;638;2;254218;233204;132;11447247;11408171;13125;9934842;20319138;3657447;5624913;1012486;162162;2482799;1790514;286358;9934842;231607
Пермский край;335695951;335610612;40829;775699;801417;3353;26651;4200;23;264638280;264733416;38736;15001;874;3;27349632;27411796;531;63694102;63430144;42915;348790159;104819041;18867423;39257634;7066376;853263;10947784;36677740;2038121;348790159;27394541
Псковская область;38621172;38549552;7394;186364;186340;881;6376;1758;15;34028118;33993310;7005;233;94;3;1486318;1470500;378;4421022;4392623;7619;13222876;8502394;1530435;3691528;664476;160906;705053;468334;99668;13222876;1467542
Ростовская область;407301924;405975511;45976;306974;294642;2331;72966;45562;58;373540196;372435326;43208;10981;3702;19;17027122;17009509;1260;49128436;48864056;45840;431241628;102796511;18503368;26890880;4840357;1288894;12374117;8614770;9533409;431077978;16976157
Рязанская область;125113360;125273178;16770;87393;87407;1152;8796;3237;17;106478153;106533280;15881;1475;719;5;1618886;1810430;201;19873715;19787352;17301;24276473;37882306;6818811;10998128;1979666;306767;4532378;3500283;249303;24276473;1794454
Самарская область;582839184;574786104;68857;1293401;1296754;2345;84692;25044;60;489695535;481796317;66140;3188;1832;10;13742547;13689546;842;91758174;91621707;68281;196650496;249677304;44941921;71188309;12813899;3447232;28680790;24924285;1863717;196650496;13665347
Саратовская область;173222303;173120560;24224;224002;221583;927;5488;2350;28;147479515;147305484;23037;1034;108;7;2586375;2572408;385;28425248;28331909;24241;46069493;38507786;6931404;10101287;1818232;539513;4573659;20574042;333298;46069493;2562594
Сахалинская область;55181667;54996361;3955;1853015;1847222;754;2517;538;6;53930285;53657664;3586;0;0;0;1950065;1866103;94;16911510;16869090;4256;55144358;10939899;1969182;1666238;299923;283836;1385423;1325195;2975110;55144358;1866101
Свердловская область;818149155;812057207;89751;2143046;2135734;5557;464094;215912;152;713203456;707081764;86094;356645;175397;37;44092157;43908850;1655;94208463;94176726;92457;422999038;510089962;91816196;292081271;52574628;5232989;34008579;68827536;3902395;422999036;43710602
Смоленская область;84492012;84674164;14716;266122;265379;1885;44895;40453;37;78598758;78926031;14317;27074;34919;22;6428314;6398716;1882;8210191;8098849;13877;75719126;27283588;4911048;4510602;811906;159387;3939755;17899891;4024199;75719126;6360380
Тамбовская область;70572670;69625807;8784;138915;117750;1114;38976;4329;4;67614975;66622213;8319;5503;3043;2;394889;398460;35;6432106;6339791;9332;11950486;17354773;3123861;10209183;1837656;180848;1105357;1344358;6964;11950486;374074
Тверская область;110060593;107646919;15736;185090;182487;2599;26370;5215;12;97992395;95521426;14578;14685;3344;5;969698;970698;249;13135776;13176211;17653;16736193;17984622;3237226;5417281;975108;237402;2024716;4083349;3908776;16736193;933408
Томская область;187597374;186009493;14381;121296;120685;1522;15231;6644;5;138446832;137863590;13656;512;347;1;1404607;1428358;130;49397547;48927051;15273;17652125;26577622;4783971;4730106;851419;323857;3608695;3948054;634595;17652125;1421260
Тульская область;169182069;168478939;19967;378088;410819;1577;31411;26641;32;154778841;154169827;19008;4537;3517;7;11446634;11439626;281;21562615;21499516;20750;149992430;29335693;5280423;9685679;1743422;802390;2734611;5505836;1592891;149992430;11360738
Тюменская область;368112765;366289468;21826;4949210;4937268;1522;18427;169;4;306839150;305463270;20670;6462;0;0;23676545;23676501;104;76047055;75380025;22329;192053463;155606527;28009176;28491704;5128509;1980937;20899730;9639562;4552719;192053463;23659735
Ульяновская область;99434442;98821187;15742;169498;166726;1388;1282;509;13;91111940;90493438;15008;28;10;1;1052022;1027746;181;11503877;11461949;16334;34698264;29929573;5387325;9717164;1749087;667987;2970251;3330537;10803884;34698264;1018815
Челябинская область;508134714;510829634;61631;1668158;1810495;3162;153131;15656;109;440466216;443501688;59131;86550;3410;23;26316846;26046963;1507;57455329;57533762;62309;231501551;369998578;66599743;240859087;43354633;1183799;22061311;15260457;2079598;231757989;25960888
Забайкальский край;31430523;31335578;3562;99525;100150;1183;839;986;4;28270035;28218064;3115;733;877;1;2530496;2555878;203;6215511;6160654;4321;29605114;23016864;4143034;1865890;335857;46893;3760284;17412691;5921;29597453;2521670
Ярославская область;161799470;162272267;29096;269754;266360;1293;6206;2500;23;139720035;140348915;27727;1314;1068;9;2294856;2290753;329;25584699;25472891;29434;43944108;76088045;13695850;33633290;6053991;784568;6857291;100924775;589717;43944108;2283895
город Москва;10836170974;10778876863;544681;75449799;80841284;29543;3882758;1882777;1128;9576163027;9511103436;525982;2421108;981129;262;692072453;691469764;8329;1351742843;1367052624;539760;8269398406;67051991230;12069358425;43709371112;7867686801;111644976;4090026648;5682388417;91769678857;8269398406;689121047
город Санкт-Петербург;3214472124;3211408572;257439;9364099;9758109;10866;168023;102162;268;2887647342;2887288956;250199;-2557;13572;58;92957005;92828442;4238;380023970;377613078;256213;1052686702;3862351669;695223349;1716004179;308880753;25056401;361286195;6949432776;102403046;1052686702;92170839
Еврейская автономная область;6937106;5067474;511;5199;5411;535;919;640;1;6552501;4684837;447;0;0;0;506968;508001;30;490406;487621;979;7421388;633829;114086;136224;24519;17751;71816;123140;0;7421388;515820
Ненецкий АО;5740187;5765438;243;4975;2542;18;0;0;0;6875937;6907819;225;0;0;0;2127700;2132664;12;955126;942826;229;36992515;2047810;368605;149527;26914;23767;317924;1937333;291416;36992515;2131747
Ханты-Мансийский АО - Югра;719747803;718675297;17782;836378;837235;1886;6692;2951;4;433908122;431979602;16368;2740;1124;3;46044496;46027019;82;245270034;245297035;18966;1150557852;125030283;22505449;37194589;6695027;2924013;12886409;8086840;6242217;1150557852;46023564
Чукотский АО;5141647;5117905;301;131065;128085;770;0;0;0;5294960;5287323;284;0;0;0;2365978;2317452;28;1298400;1283467;903;39399185;1183663;213058;274967;49493;53901;109664;327043;4080;39399185;2316095
Ямало-Hенецкий АО;494297504;492994829;3757;2033836;2034962;815;0;0;0;325983712;319878231;3328;0;0;0;5633100;4738521;22;212274874;211828633;4245;176306741;59676014;10741682;15399149;2771850;675195;7294637;8742813;144802;176306741;5090689
Республика Крым;81515192;81289123;14130;101664;125059;2671;-5;10;1;71645784;71532553;13329;0;0;0;116539;115791;35;12453894;12393763;16247;1686920;53613718;9650473;25702297;4626418;853234;4170821;3047800;1141;1686920;115634
город Севастополь;16001047;16026893;5041;26604;26189;733;1800;1882;3;13139471;13159141;4829;0;0;0;3153;2970;11;3015744;3000161;5689;317578;7182307;1292814;685641;123417;48951;1120446;6661130;68508;317578;2818
БАЙКОНУР;375969;440138;76;798;798;79;0;0;0;229654;256962;55;0;0;0;0;0;0;148812;184191;151;7713;227360;40926;160566;28902;20716;-8692;4031;0;7713;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
