GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188
Омская область;1598030;14065989;1;1959205;0;0;0;24555;25321;19625;2;995;0;2491;28216344;338377;295248;-4;28516324;0;0;0;0;27481;46642877;62441;0;35640095;306031;0;9164712;5775945;0;0;-94861;0;0;794598;0;0;0;0;0;0;0;1059803;0;0;0;0;0;0;0;0;0;3990;0;0;0;0;0;0;0;0;0;227860;0;0;0;28999;18885;4618894;65710;230410;1299303;5066;0;624510;0;0;0;148192;12371;0;156528;0;0;0;249026;9896;1945161;1101;163;7881;260;0;0;0;0;0;0;0;50927;3211;80;262;0;0;0;0;0;18;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;1926;3;-417;0;0;-159;0;68;0;0;0;0;0;0;-1;-140;10;0;0;1;0;0;0;0;0;28;0;6;0;0;0;0;-1;0;0;1656;0;2640;20839;2;1588;0;513;1224;565;255;0;0;144;2650;5956;69210;0;0;0;0;4;0;0;0;0;0
Оренбургская область;4324376;27090313;0;5452805;0;0;0;37066;60475;619947;2;38467;0;55818;27745355;141228;439035;13;79931711;21964;0;0;0;0;1098815;-532;0;1704441;-13;0;170354;914601;-76;0;0;4992;0;431;0;0;0;0;0;0;0;746029;0;0;0;0;0;4045;0;0;0;560;0;0;10528;0;0;0;0;0;0;193615;0;0;0;54288;0;9607130;1128237;333599;877916;6076;0;734725;0;0;0;204429;3;0;230798;0;0;0;277531;0;220044052;15305703;941665;69210;1303300;0;0;294;0;0;0;0;85351;1092;0;190;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;31;2;22;0;0;8;0;0;249;0;0;0;0;0;2;63;20;0;0;0;0;0;0;0;0;17;0;5;0;8;0;0;4;0;0;35932;0;1466;27645;0;1127;0;193;450;3272;204;0;0;52;1510;42;846;35114;0;0;0;527;0;0;0;5;0
Орловская область;442306;3811224;0;838401;0;0;0;4997;2118;57417;64909;612;0;310;9682869;90480;77303;0;5209568;95;0;0;0;0;0;0;0;0;0;0;17470;35190;83;0;0;0;0;0;0;0;0;0;0;0;0;424160;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;86542;0;0;0;27149;9933;1719299;74149;107273;786795;3964;0;248135;0;0;0;178056;36538;0;80375;0;0;0;148325;20045;0;0;0;23436;395;0;0;0;0;0;0;0;17016;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;3;1;1;0;0;5;0;0;5;2;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;12420;12182;28;287;0;6;258;905;71;0;0;0;0;253;451;-19;0;0;0;11;0;0;0;0;0
Пензенская область;591356;5262645;0;909083;0;0;0;538;68530;16287;0;5126;0;0;15222499;303435;184662;10;12659881;32699;0;0;0;0;0;0;0;0;0;956786;1108970;3652726;121882;-24549;0;0;0;0;0;0;0;0;0;0;0;387263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;460047;0;0;0;69162;58955;3334338;168068;185629;1383414;5565;0;398977;0;0;0;224778;69732;0;138236;0;0;0;138791;45886;791790;0;0;15859;18335;0;0;0;0;0;0;0;16605;736;0;0;0;0;0;0;0;1;0;0;0;0;50;0;0;0;2;0;0;0;0;1;0;35865;5;248;0;0;3;0;0;2;4;0;0;0;0;57;3;7;0;0;0;0;0;0;0;0;25;0;9;0;1;0;0;1;0;0;682;0;37125;21302;35;815;0;20;60;409;51;0;0;328;1765;1425;136;0;55203;0;0;0;0;0;0;0;0
Пермский край;8337831;53854697;0;6793368;0;0;0;52242;235230;475555;520;46011;0;2002;46266684;358534;1149755;4010;72031137;0;0;0;0;0;16669307;-73536;0;19818486;448303;0;34413;7270381;0;0;-495198;0;0;-48818;0;0;0;0;0;-21799709;0;1288876;0;0;0;0;0;0;0;0;0;-2;0;0;0;0;0;0;0;0;0;775403;0;0;15;111321;102805;9921955;1984220;433553;2492614;7613;1;2733693;3350;0;0;181414;144927;0;448205;0;0;78;221121;58565;170117005;312653;0;99410;591533;0;0;0;0;0;0;0;55723;1473;9;193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1549;0;0;12;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7674;0;10939;22745;0;1693;0;605;1627;1575;214;0;0;1064;100;612;1865;177;0;1;0;-299;0;0;0;0;2
Псковская область;267757;2910527;0;530671;0;0;0;771;12283;11872;0;146;0;291;9122931;41185;148189;-4;4213967;0;0;0;0;0;0;0;0;0;0;0;10342;0;27;0;0;0;0;0;0;0;0;0;0;0;0;756953;0;0;0;0;0;6107;0;0;0;8400;0;0;0;0;0;0;0;0;0;84442;0;0;145;17861;18769;1514512;109645;117980;677332;1625;0;131601;0;0;46;67541;49292;0;34271;0;0;211;151433;42058;0;0;0;19036;1165;0;0;0;0;0;0;0;12254;1435;0;803;0;0;0;0;0;-1;0;0;9;0;0;0;0;0;13;0;0;0;0;0;17;8;0;-15;0;0;6;0;0;216;6;0;0;0;0;0;128;6;1;0;0;0;0;0;0;0;6;0;1;0;-2;0;0;13;0;0;4;0;29985;4714;0;342;0;475;4766;729;4;0;0;245;36;128;518;278;0;0;0;0;0;0;0;0;0
Ростовская область;4237775;35047007;0;5687138;0;0;0;75454;277139;292659;6;1219;0;291;61386894;725608;1213492;-1;21360773;-247;0;0;5;32056378;0;-2;0;-325;450;128627;4897603;1;1522;0;0;-169754;0;-382216;51;250;0;0;0;-1920956;0;2856700;0;0;0;0;0;0;0;0;0;3251;0;0;0;0;0;0;0;0;0;733024;0;0;0;115791;63834;14008955;2184842;528806;3370242;109456;0;4019786;0;0;0;486007;293951;0;1043933;0;0;0;935067;217106;-4;307987;10019;128533;55508;8;0;462028;0;0;0;0;40676;742;771;1131;0;0;0;0;0;6;0;0;48;0;0;0;0;0;25;0;0;0;0;0;0;741;7;338;0;0;5;0;0;4;2;0;0;6;0;10;13;3;0;0;0;0;0;0;0;0;49;0;6;0;13;0;0;2;0;0;4546;0;6187389;34817;0;2104;0;513;2279;5082;192;0;0;1180;1085;1145;2170;0;0;0;0;0;0;0;0;0;0
Рязанская область;1155587;9888558;4;1549455;0;0;0;3870;21201;3876;487;4837;0;503;17649250;211493;439327;-19;31660884;0;0;0;0;0;40244687;457609;0;25513460;76995;0;1483994;0;3118;0;0;0;0;1562166;0;0;0;0;0;0;0;729727;0;0;0;953;0;0;0;0;295;112;1;0;0;0;0;0;0;0;0;557803;0;0;0;97828;84667;3883855;903338;182231;970770;535;35;717334;0;0;0;193926;95481;0;132612;0;0;0;245381;56323;0;0;0;64837;5519;0;0;3469;0;0;0;0;23204;124;21;0;0;0;0;0;0;30;0;0;6;0;0;0;0;0;27;0;0;0;0;18;0;-93;-4;-16;0;0;0;0;302;0;0;3;0;0;0;-3;0;279;0;0;1;0;0;0;0;0;27;0;9;0;-117;0;0;31;0;0;3254;0;87371;34972;0;1284;0;250;1007;4016;12;0;0;593;1795;81;592;0;0;-40;0;-5;0;0;0;0;0
Самарская область;7637605;49593302;0;5150607;0;0;0;10061;253817;616650;1519;93409;0;33986;58858411;202568;877620;4445;142904723;0;0;0;0;54;36941564;1327148;695521;24951414;232120;102310;7962870;759560;16804;3;-994463;0;0;181134;0;0;0;0;0;0;0;2378683;-397;0;0;0;0;7883;0;0;0;8736;0;3488;70353;0;0;0;0;0;0;949051;1391341;0;0;207361;57490;15422949;131427;711373;3570491;10136;0;1341225;1937964;0;0;359324;111332;0;173423;225852;0;0;423288;52977;169332722;0;0;54521;10485;0;0;0;0;0;0;0;67140;1158;0;276;0;0;0;0;0;5453;7;0;-644;0;0;0;0;0;275;0;0;0;0;0;0;24;470;14731;0;0;383;0;0;-7;0;18;0;4;0;1119;451;0;0;0;7;2;0;0;0;0;411;36;0;0;1;2;0;0;0;0;16532;0;34911958;59867;0;2014;0;1806;4282;3105;146;0;0;132;205;158;1030;738;234;76;3;-5;295;0;6;3;0
Саратовская область;1620961;14722379;0;5393100;0;0;0;45694;45929;81403;1335;52684;0;469;31475965;251353;334567;1826;42565166;0;0;0;0;23618137;11712602;77;0;7499443;0;0;568172;0;808;0;0;5;0;-12418;0;0;0;0;0;0;0;606073;0;0;0;0;0;0;0;0;8;0;0;162;0;0;0;0;0;0;0;534477;0;0;0;59161;180744;7498241;1084071;426605;2232656;8827;0;263268;0;0;0;147302;239237;0;83886;0;0;0;431155;243904;13612943;585839;151094;58914;119;0;0;1;0;0;0;0;14503;1209;0;576;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1870;3;87;0;0;2;0;71;0;0;0;0;0;0;12;28;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;0;2;0;0;31645;0;13023;11688;3;1466;0;178;4754;623;30;0;0;36;5272;9693;1260;33;0;53484;0;249;0;0;12;0;191
Сахалинская область;1593501;11057126;0;630490;0;0;169811044;333206;79748;452595;0;0;0;0;30013181;190616;411847;0;-6634377;0;0;0;0;0;193696;0;0;71;0;0;231901;0;0;0;0;-260119;0;-65065;0;0;0;0;0;0;0;13915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144778;0;0;0;0;0;4664671;2342067;239495;680942;1767;0;274876;0;0;0;18;0;0;70378;0;0;0;0;0;13945012;7014;4440;127226;217633;0;0;291682;0;0;0;0;16504;2132;410057;243;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;41;26;36;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20200;2006;0;4137;0;583;0;200;6177;100;2;0;0;16;95;1;105;50251;0;8;0;0;0;0;0;0;0
Свердловская область;9363199;63353858;2792694;19530144;0;0;0;136087;1234396;314165;8077945;488810;0;327014;99551403;560186;5433129;78228;93620059;0;0;0;0;12190;0;0;0;0;0;0;5691023;0;130;0;0;-1377405;0;0;0;0;0;-80;0;0;0;12625304;428;0;0;0;0;0;0;0;0;9464;0;0;0;0;0;0;0;0;0;2270041;0;0;0;12359;18141;19151814;1741908;483607;2284081;13207;0;4596503;0;0;0;26539;7021;0;915355;0;0;0;10092;8174;0;0;0;190223;2431018;0;0;0;0;0;0;0;92248;4499;579;130;0;0;0;0;0;1003;0;0;0;0;0;0;0;0;21;0;0;0;0;4;0;986;23;25;0;0;564;0;0;0;0;0;0;0;0;7;-29;1;2;0;2;0;0;0;0;0;60;0;0;0;20;0;0;0;0;0;5338;0;53026;73642;0;3400;0;1527;4844;5055;315;0;0;1131;974;486;1616;5354;0;514;0;612;0;0;0;0;0
Смоленская область;924570;7573589;0;2174454;0;-331;0;22596;20390;47908;288;1628;0;0;14532125;90973;297081;-11;425679;-15;0;0;0;0;0;0;0;0;0;0;692291;0;5427;0;0;0;0;0;0;0;0;0;0;0;0;15837253;0;0;0;0;0;108534;523;0;11793;16771;0;0;0;1584;0;0;0;0;0;105226;0;0;0;30468;49490;3311578;603465;169387;721297;5040;0;202637;0;0;0;90736;114350;0;59170;0;0;0;90415;48273;0;0;0;39140;8;0;0;0;0;0;0;0;27216;4225;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;23;0;2;0;1;0;0;1;0;0;36;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;2;0;5;0;0;0;0;0;0;0;31;0;24739;16066;0;71;0;438;4069;30;95;0;0;46;40;454;818;-1;0;0;0;0;0;0;0;0;0
Тамбовская область;395582;3890891;0;965380;0;0;0;3007;4541;31702;0;8;0;0;11798381;137678;251036;0;4416588;71300;0;0;0;4596;0;0;0;0;0;0;340065;45184;17;0;0;0;0;0;0;0;0;0;0;0;0;352518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;284402;0;0;0;54225;25864;2960512;104588;185768;951414;1358;0;651736;0;0;0;234347;40237;0;156094;0;0;0;288770;31679;0;0;0;13387;1307;0;0;0;0;0;0;0;37334;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-17;0;0;0;0;0;0;0;0;0;0;0;0;14;0;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;5814;0;374;0;50;321;2865;157;0;0;44;795;212;586;0;0;1;0;0;0;0;0;0;0
Тверская область;1099820;10013859;0;3568186;0;0;0;30718;38817;99043;0;1066;0;69;20371640;170341;358372;0;18158179;0;0;0;0;280;0;2234;0;0;373532;149585;1395079;214872;196;3258;0;-9159;0;-6537;0;0;0;379;0;0;0;478221;0;0;0;0;0;0;0;0;0;5997;0;0;0;0;0;0;0;0;0;239382;0;0;0;81163;81162;5863360;780553;190948;1157835;3205;0;599632;0;0;0;378475;230648;0;193611;0;0;0;376005;83985;0;0;0;38355;632;0;0;0;0;0;0;0;62143;5775;0;9;0;0;0;0;0;1486;0;0;9;0;0;7;0;0;5;0;0;0;0;0;0;52;8;230;0;0;124;0;0;311;12;0;0;0;0;12;74;21;0;0;0;0;0;0;0;0;10;0;26;0;2;0;0;9;0;0;73;0;1342928;20968;0;388;0;319;964;878;47;0;0;53;10;420;427;-10621;0;0;0;0;0;0;0;0;0
Томская область;1640792;10553057;0;4309466;0;0;0;3835;48864;23361;0;342;-14;0;21866755;123455;297880;0;59074940;0;0;0;0;0;500370;1749;0;152;0;203626;3059628;341908;0;0;0;2227;0;852088;0;0;0;0;0;0;0;237490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;337734;0;0;0;34441;10208;5724596;413930;200804;925691;5919;0;1148371;0;0;324;135710;16310;0;129857;0;0;0;70587;8822;107169676;3340147;1971560;25694;184;0;0;0;0;0;0;0;40782;4502;0;577;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;27;0;848;16;206;6;0;5025;0;0;0;0;0;0;0;0;39;0;114;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;43070;0;26;12776;0;405;0;138;8257;1217;64;0;0;0;1297;879;1483;65005;0;0;0;0;0;0;0;0;0
Тульская область;2666030;21526998;2;1046041;0;0;0;55731;220398;877100;42;1;0;0;26007473;219847;543399;0;-688157;192028;-1104;0;1243;0;0;-12;120667;0;0;0;7740098;7531290;9583;0;-549755;0;0;0;0;0;0;0;0;0;0;871433;0;0;0;0;0;984;0;0;69;972;0;0;0;0;0;0;0;0;0;372196;0;0;0;39918;88414;5266402;286400;232497;1271709;5702;7;813110;0;0;65;208479;243069;0;270535;0;0;0;357612;85619;0;0;0;209887;17421;0;0;0;0;0;0;0;84001;1194;0;0;0;0;0;0;0;2;0;0;0;0;1;32;0;0;616;1;0;0;0;0;0;106;4;296;0;0;1442;0;0;7;18;0;6;0;0;2;55;0;0;0;0;0;0;0;0;0;61;0;17;0;35;0;0;-5;0;0;106;0;476383;68061;0;2135;0;870;2816;-899;19;0;0;128;570;20;735;0;0;0;0;0;0;0;0;0;0
Тюменская область;10060323;64681904;0;3405492;0;0;0;57908;258236;46183;22;70689;0;83771;35580569;158961;826501;0;76702758;20842;0;0;0;0;1606907;-13038616;0;2869524;61316;54680;271116;1154520;0;0;-1541424;-29128;0;-48390;0;0;0;0;0;-2071956;0;316707;0;0;0;0;0;0;0;0;0;5568;0;0;0;0;0;0;0;0;0;486436;0;0;0;37960;0;10621995;586842;362768;1551909;3683;0;693667;0;0;74;112465;0;0;177330;0;0;0;156664;0;132764503;0;0;86426;1887;0;0;0;0;0;0;0;27844;2281;2;571;0;0;0;0;0;4;0;0;0;0;8;0;0;0;1;0;0;0;0;112;0;30;0;16;0;0;1;0;0;4;0;0;0;0;0;0;4;15;0;0;2;0;0;0;0;0;115;0;7;0;4;0;0;0;0;0;32142;0;10704;43135;0;1420;0;494;2199;690;92;0;0;49;0;117;133;0;0;0;0;0;0;0;0;0;0
Ульяновская область;819669;9256547;0;411306;0;0;0;32788;75620;45012;8594;398;1932;0;15659608;119574;170562;0;12870871;0;0;0;0;0;0;2477;106864;0;0;0;9970015;7315840;23;0;0;-23697;0;23127;0;0;0;0;0;0;0;433905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259814;0;0;0;19360;29463;3078618;197486;168274;1033972;41280;0;461404;0;0;0;76433;59394;0;124695;0;0;0;115847;59314;6323231;0;0;11485;16605;0;0;0;0;0;0;0;27041;501;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;-5;0;0;393;0;2;0;0;0;0;39;0;0;0;0;0;0;0;0;0;17;0;1;0;1;0;0;5;0;0;2963;0;11220330;30684;0;2007;22;81;3044;4162;74;0;0;88;85;948;362;20852;850;0;0;0;0;0;0;0;0
Челябинская область;6138622;45641579;155;3395924;0;0;0;91203;126958;-58194;119;119466;-6465;347771;70264850;898858;1430875;7947;63223168;378;0;0;0;0;0;0;0;0;0;555963;97622;727185;353;0;0;0;0;0;0;0;0;0;0;0;0;13375311;0;0;0;0;0;0;0;0;0;19493;0;0;0;0;0;0;0;0;0;386017;442384;0;0;112531;76971;11914807;137181;621899;2901003;10409;840;1343000;1712850;0;0;257248;136149;0;145311;123036;0;0;301034;49980;0;0;0;237976;2415092;0;0;0;0;0;0;0;69010;3512;2;249;0;0;0;0;0;7;3;0;-84;0;4;0;3;0;5;0;0;0;0;0;0;-432;28;1028;0;0;18;-190;0;105;15;3;1;0;-13;26;43;15;1;0;1;0;0;0;0;0;-76388;547;49;0;2;7;0;14;0;0;5586;0;4144149;115994;0;1540;0;1336;1958;1872;96;0;0;256;1855;970;787;179;0;3;0;0;0;0;0;0;0
Забайкальский край;474428;7501468;0;2526412;0;0;0;17872;8155;26899;0;0;0;0;20279649;171745;85812;0;93873;0;0;0;0;0;0;0;0;0;0;0;69677;2624;0;0;0;-2130;0;0;0;0;0;0;0;0;0;18453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202296;0;0;1;20839;55085;4799770;19;101931;572063;2457;0;160708;0;0;31;62046;114623;0;59134;0;0;15;68615;58551;0;0;0;58190;2828626;0;0;547029;0;0;0;0;33168;8244;3;4;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;14;0;0;0;0;0;24;0;76;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;13869;5;0;5477;0;1786;2134;0;1187;1260;52;0;0;280;2445;649;677;-55;0;0;0;0;0;0;0;0;0
Ярославская область;1756783;15700193;0;1362912;0;0;0;100121;31612;213091;0;72;-35754;12750;23876363;279272;429324;-3;27433731;0;0;0;0;3231080;28171901;78283;0;27269708;15435;0;5537202;8559517;683;0;0;0;0;-11371;0;0;0;0;0;0;0;641571;0;0;0;0;0;0;71;0;0;2022;0;0;0;0;0;0;0;0;0;407076;0;0;0;59053;52307;4552735;999388;225061;1207059;5773;0;788108;0;0;0;321561;156171;0;155158;0;0;0;195296;28833;0;0;0;36196;1009;0;0;0;0;0;0;0;10459;4785;0;137;0;0;0;0;0;9;0;0;102;0;0;0;0;0;337;0;0;0;0;119;3;-45;7;134;0;0;29;0;0;837;2;0;0;0;0;27;168;29;1;0;0;0;0;0;0;0;332;0;121;0;1;0;0;102;0;0;68;0;2242809;19684;0;489;0;335;597;1030;58;0;0;52;1211;360;616;0;0;0;0;48;0;0;0;0;0
город Москва;180343983;746862002;59433290;100368214;0;0;0;12429705;38401602;155069856;1435650;43034809;1310212;33716312;927788863;2714972;46859183;1778250;1046611925;7;0;0;10864;210753;26000295;-5111123;553546;14216357;18989;41329;1117975;1801788;9382;565601;-724975;-9050369;57571841;2941492;0;0;0;24665;299;-162031317;0;79451666;0;0;0;2725;0;36004;241683;0;2095;596451;56838;0;0;0;0;0;0;9777359;20788271;0;0;0;0;3;0;141838516;15654;4621120;23258186;381913;17515303;94;0;0;0;491;24;693355;0;0;0;0;0;0;0;0;0;-643;2420;362475;0;0;0;0;0;0;19745;5;3704;411;0;0;0;0;0;672;0;0;0;0;0;0;0;0;11;0;0;0;0;1;0;23604;247;8112;9;1033;0;0;0;0;0;13;2;250;0;304;1131;828;56;205;0;0;0;0;0;4;0;0;0;2594;0;0;0;0;0;0;2550;144182;12316583;383119;-2418;5000;0;45936;591681;19832;20;0;0;4785;5;33058;2972;738;6000;10;503;1;0;0;0;0;0
город Санкт-Петербург;37727612;160377001;1575154;23430935;0;0;0;1511463;3357560;19899641;671604;5219115;31224;2987919;246481642;1757919;8686692;209313;402928120;0;0;0;51230;264224099;0;0;2527385;-567;5100;933534;9246116;5719027;484382;390972;0;-1978220;0;-5774018;0;0;0;2884;492409;-82129390;0;10496321;0;51003;0;4;0;0;0;0;1240;112900;481;0;0;0;0;0;0;0;3807381;0;0;0;0;0;0;31595089;9638;1983064;9741988;66761;5419225;0;0;0;11;0;11;301995;0;0;0;0;0;0;0;0;0;1;27;14101010;0;0;0;0;0;0;4790;5319;6850;13;0;0;0;0;0;0;0;0;0;149547;0;0;0;0;0;0;0;0;0;1;0;90;5;49;30;91;0;0;0;0;0;15;9;0;0;4;192;20;0;101;0;0;0;0;0;11;0;0;0;6;0;0;0;0;0;0;533;13839;38864149;276460;723;5088;6229;3372;16130;7579;118;0;0;147;26211;9581;807;-304904;14186;4;2188;0;0;0;0;0;0
Еврейская автономная область;5511;539356;0;401803;0;0;0;0;107;106957;0;0;0;0;3262443;24479;16191;-103;-197672;0;0;0;0;0;0;0;0;0;0;0;92;0;8955;0;0;0;0;0;0;0;0;0;0;0;0;914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47325;0;0;0;5411;7634;1541825;0;22824;129696;1596;0;18356;0;0;0;8214;5152;0;10050;0;0;0;8778;7812;0;0;0;12558;77682;0;0;3;0;0;0;0;7833;1674;0;16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;1106;6;0;900;0;4;0;0;2;7354;8;0;0;132;255;7299;106;0;0;44;0;0;0;0;0;0;0
Ненецкий АО;30471;3864080;0;3792075;0;0;2836562;91783;4090;4661;0;0;0;0;4023927;2401;8888;0;-7601033;31;0;0;0;0;0;0;0;0;0;0;9774;0;0;0;0;-13858;0;748;0;0;0;0;0;-1679445;0;2703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8026;0;0;13;618;1963;5790368;0;10907;31685;162;0;15096;0;0;288;6496;2734;0;2043;0;0;7;2007;1017;97946348;110195;17674;40655;13;0;0;0;0;0;1943002;0;5320;93;7112;248;746353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40091;574;121;129;0;2;0;0;5;0;0;0;0;55;0;60;101;0;0;0;0;0;0;0;0;0;0
Ханты-Мансийский АО - Югра;14539890;78953346;9615440;48253939;0;0;0;495842;4177763;1622578;0;43890;0;578254;85993928;248165;424465;-26;378987211;0;0;0;0;1;16145627;-158260;0;8110353;0;1;68856;200;0;0;-116143;-1164382;0;858094;0;0;0;0;0;-17377634;0;523933;0;0;0;0;0;0;0;0;0;3464;0;0;41;0;0;0;0;0;0;710944;0;0;4556;37453;91619;61548509;4610209;1376678;2061871;6881;1;809637;0;2;171222;66794;158411;0;148731;0;0;5296;6995;39077;2579091108;496409;11430;707447;679;0;0;0;0;0;0;4415;240534;73;14;2521;0;32352636;42379784;1519421;0;12;0;0;783;0;29;0;0;0;0;0;0;0;0;6;0;0;6;2767;-33;0;0;0;0;0;500;0;0;1;0;0;0;1037;59;0;0;0;0;0;0;0;1;0;150;0;-5;0;0;1974;0;0;179790;0;8780;23580;5;3241;-10560;25;17776;7859;109;0;0;728;10;280;300;-821;425;9;0;0;0;0;0;0;0
Чукотский АО;902433;5260200;0;376590;0;0;0;40371;-44;3133049;0;0;0;0;4848585;6253;184174;0;-5389600;0;0;0;0;0;0;0;0;0;0;0;4668;0;0;0;0;-10065;0;-5086;0;0;0;0;0;0;0;4552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2100;0;0;0;135;1218;1259686;0;22225;22759;0;0;15199;0;0;43;791;2505;0;2462;0;0;0;30;81;0;5561;0;2348;4211936;0;0;1;0;0;0;0;1235;391;-13530;6359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8208;0;0;574;0;28;0;0;3856;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
Ямало-Hенецкий АО;19764207;102176027;0;36671121;0;0;0;44956;1518872;5849812;1448;5759;0;668850;51902511;126505;227429;0;292073661;0;0;0;0;0;342050;1106857;0;386751;0;0;936;0;0;0;0;-266217;0;271834;0;0;0;0;0;0;0;109134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104916;0;0;342;12097;25324;37396977;35050053;603777;548600;4286;27;178564;0;0;2913;7354;9438;0;27392;0;0;0;1494;1723;262963685;584903600;125966546;578383;88576;0;0;0;0;0;0;0;33518;8;622;1593;64286;0;20157797;0;0;6051;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;9;0;43;1;0;4;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;361050;0;0;33841;0;267;0;75;1493;465;16;0;0;240;735;38;358;0;0;0;0;1;0;0;0;0;0
Республика Крым;1071618;8381747;0;-1;0;0;0;42015;3925;29390;0;101943;0;101994;25736606;140907;489463;0;18938870;0;0;0;0;2934736;0;0;0;0;0;978157;1343742;2772229;2184;17263;0;-112;0;0;55167;220;0;0;0;0;0;207498;0;0;0;1115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2170800;-12;130738;836298;11717;132;342038;0;0;0;132191;9672;0;99827;0;0;0;165867;3423;122374;6089;45952;194599;66486;0;0;0;0;0;0;0;89313;429;4475;348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2925;0;150;9548;0;1121;0;378;6926;5651;88;0;0;428;31;301;138;0;0;0;0;0;0;0;0;0;0
