GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147
Республика Коми;152123064;152167557;5106;1512771;1493953;14939528;518;344;358;3934;4;-9277;0;135917894;135967154;679835793;5005;787;0;135965;156548;939290;92;0;0;0;0;0;0;0;0;345256;344783;1723919;110;11288478;11288589;68276982;2121;2540215;2535334;746;6750;6750;9;2925479;2902514;1395;206826;203313;3079;0;0;0;1672;1522;33;12654;9421;9;5241;5241;4;119140802;119234392;4695;103252927;103330307;4654;1800894;1800894;80;63759;63759;41;2590590;2590941;633;345255;344782;109;10938968;10955469;1990;148407;148238;201;0;0;0;4569;3536;8;22722444;22728449;90;28901491;28840163;7835;0;0;0;18413250;18413094;246;3147226;3147453;41;325939252;10170509;2034102;1376789;275360;67189;1691553;1049;209;6;1;4;204;3;0;43235706;8647141;23591;4718;205;8642218;0;0;0;0;53406215;10681243;1400380;280078;67394;10333771;1515948;980324;2496272;0;0;0;0;325939251;22716897
Республика Марий-Эл;79495278;72022758;6762;6854083;6852200;68522343;834;3258;3258;35831;8;5115997;0;52743135;50397919;251990227;6542;-2379;0;992799;991486;5948918;192;0;0;0;0;0;0;0;0;261638;255382;1276912;118;11664593;11664276;71779632;3246;1725167;1723877;1009;5445;5445;6;1861670;1855033;1707;37222;36763;670;0;0;0;782;819;27;3825;330;7;0;0;0;71075203;63635440;6369;56883521;49440541;6331;1069449;1070037;173;97710;97724;85;1993698;1996294;967;261465;255209;117;10751384;10753901;3073;21699;21145;65;0;0;0;597;597;1;87566;88731;28;9014437;8984694;7243;0;0;0;639776;644755;98;148624;148624;13;9872616;9759707;1951942;2193284;438658;174241;1339043;17092;3419;14538;2908;51;460;6;0;3225990;645197;1660735;332147;9003;304047;0;0;0;0;12985697;2597139;3854019;770805;183244;1643090;1955405;811752;2767157;1463;0;1;0;9871875;88082
Республика Мордовия;90198926;90148320;8147;12822758;12814067;128140685;1422;7694;7694;84636;9;9191;0;55224011;55212142;276062236;7730;-35;0;3393805;3393700;20362199;228;0;0;0;0;0;0;0;0;109224;104543;522718;142;14994561;14983108;100559206;3776;3321599;3317645;1207;19;34;4;3619909;3613074;2070;75210;74626;692;0;0;0;974;1588;11;563;191;4;0;0;0;80351556;80283347;7571;59697749;59764540;7509;2372362;2373268;210;191795;191988;121;3007734;3008344;1087;109044;103893;136;14946859;13904782;3588;58924;59256;134;0;0;0;0;0;0;112259;112259;15;13297903;13237829;8358;0;0;0;3485286;3399256;276;1074683;1063605;45;14405445;10976354;2195274;914457;182890;262044;1750340;0;0;0;0;0;0;0;0;15692704;3138543;22373563;4474713;23297;-1359467;0;0;0;0;26669058;5333817;23288020;4657603;285341;390873;2250356;139762;2390118;0;0;0;0;14405446;112054
Республика Саха (Якутия);107806728;107345500;5044;1930190;1921073;19209695;582;4017;4017;44186;12;69496;0;82901602;82644071;413224987;4852;-89;0;88588;87304;523829;116;973;973;4862;2;0;0;0;0;2676892;2656268;13281341;121;15172403;15085098;91857827;1929;3924646;3896824;807;286238;286754;8;4963626;4929465;1355;413470;411316;968;40;40;2;-40;28;2;1375;189;1;0;0;0;101526548;101292201;4574;80769298;80413807;4524;943674;939395;88;18376;21466;14;4005976;4003911;723;1980447;1958876;118;13640745;13782110;1788;168773;173379;183;0;0;0;0;0;0;23950222;23931967;205;22210105;21986973;5532;0;0;0;39471614;39364121;492;3224507;3231764;36;461331470;13541192;2708237;3122448;624488;264477;1819272;648;130;72181;14436;648;-14954;2;0;177968109;35593622;39670319;7934063;80870;27578689;0;0;0;0;191509301;38301859;42792767;8558551;345347;29397961;304407912;2523248;306931160;0;0;0;0;461373446;23901951
Республика Северная Осетия-Алания;19727571;19713449;2828;1464289;1461722;14617209;311;11327;11040;121449;17;60514;0;14702012;14677887;73395934;2554;-84798;0;400077;413805;2469728;152;40;0;9269;0;0;0;0;0;9088;4500;22496;16;2511144;2437108;14979160;819;620319;602972;366;5577;6054;9;652837;649169;535;8599;7539;168;57;57;3;7;7;1;3243;350;2;0;0;0;16983685;17091756;2637;13890595;14067187;2589;235964;237453;103;12915;12864;33;803972;801922;365;9213;3943;13;2050485;1987158;726;4898;3888;22;0;0;0;0;0;0;81206;80620;61;3032313;2920565;2862;0;0;0;373941;343151;120;37913;70;2;3294451;2964484;592898;1168718;233744;345816;13338;9227;1845;2211;442;0;1403;4;0;751487;150298;1052759;210552;899;-61153;0;0;0;0;3715971;743196;2221477;444296;346715;-47815;67900;16661;84561;252872;8828;24;0;3294451;72853
Республика Татарстан;1395911289;1396823651;103012;48049631;48078217;480776142;8086;68329;67146;738604;82;-943658;0;961683104;961973092;4809865600;99496;-2010;0;4864426;4895310;29371856;1688;12262;12262;61307;12;0;0;0;0;872645;865437;4327183;514;310259063;310111650;1907233061;55575;65510861;64948919;25525;1780721;1985712;96;71046697;70628706;33022;3049789;3065428;1907;1184;636;5;3351;3741;92;187914;78199;78;477;484;8;1266473409;1268987875;99874;860274710;863005180;99144;40744675;40719877;2362;2950383;2922970;785;73716115;73718123;24099;843324;839875;499;285037462;284873343;51861;2907737;2905326;705;205;205;2;25818;25460;9;12020394;12029316;431;178573352;177134903;101542;0;0;0;58619553;58156543;1403;28036835;28089041;231;689556638;109085961;21817192;33210652;6642131;2120826;13054235;437074;87415;41342;8268;1308;77839;65;0;465135026;93027008;119535773;23907155;196485;68923368;0;0;0;0;574220987;114844200;152746425;30549286;2317311;81977603;31790329;3930736;35721065;413235;1002;47;0;689556638;11491220
Республика Тыва;4967127;4912927;437;79629;79632;796317;35;1838;1838;20215;3;30882;0;3950288;3932048;19661542;420;0;0;659;659;3950;5;0;0;1056;0;0;0;0;0;90333;90333;451666;21;664352;655341;3932048;108;87191;81880;54;139;139;1;149168;143903;92;73506;73506;52;0;0;0;0;0;0;0;0;0;-20;0;0;4044999;4002308;361;3062405;3024568;357;151384;151384;7;47911;47911;4;142695;141084;52;90333;90333;21;478388;475145;102;71842;71842;24;0;0;0;0;0;0;1184864;1184815;31;1414911;1399494;454;0;0;0;1607833;1597040;42;11318;11318;4;16770442;518058;103613;65964;13192;3821;86600;218;44;0;0;0;44;1;0;4648851;929770;9990;1998;2655;925117;0;0;0;0;5166909;1033383;75954;15190;6476;1011717;389045;0;389045;16676;104;1;0;16770442;1184933
Удмуртская Республика;222030207;221517455;29167;11508074;11501619;115016205;2826;956;956;10517;15;482173;0;162253031;162163654;810831139;28301;-1382;0;445113;546614;3289582;446;-17;0;10614;0;0;0;0;0;394951;394734;1973674;263;39481643;39454693;240938999;14198;5919288;5921988;5711;73951;72847;36;7467231;7442422;8020;188560;163389;1061;0;0;0;3431;3391;55;4810;2938;38;121;130;1;179150071;178713779;28393;130287284;129893968;28217;3448110;3445443;551;209578;212939;253;6883078;6872012;5430;392111;391868;257;37844895;37813914;13258;85121;83620;211;0;0;0;2;2;4;4237525;4238865;189;42349992;42241925;29280;0;0;0;3572738;3454854;439;2351453;2361481;94;132118502;28277741;5655546;7030939;1406186;395114;3854246;24016;4803;16188;3238;0;1565;9;0;94347910;18869581;66695248;13339049;4018;5526514;0;0;0;0;122625651;24525127;73726187;14745235;399132;9380760;5047819;1781209;6829028;5991;0;1;0;132118505;4169137
Республика Хакасия;47938835;47828458;3654;1173433;1184848;11848085;540;3654;3654;40196;15;59096;0;38243776;38209914;191036361;3518;459;0;141470;140178;841064;90;39;39;283;1;0;0;0;0;160579;160610;803053;69;5442640;5393496;33021874;1447;2618220;2627975;555;2374;2374;7;2713690;2722606;906;18807;18680;548;0;0;0;133;618;15;13932;4396;5;37;37;2;41712412;41615995;3340;32486507;32428530;3304;844483;844483;66;442815;442815;39;2440653;2401830;520;161808;160446;69;5309668;5311413;1362;26478;26478;41;0;0;0;4147;1321;4;3295396;3294059;59;6870700;6848187;4065;0;0;0;3904735;3897728;81;213262;213262;28;48992685;3870825;774166;678893;135780;56312;582074;2615;523;580;116;204;203;6;0;2271390;454278;120079;24016;492;429770;0;0;0;0;6142215;1228444;798972;159796;56804;1011844;2993563;152;2993715;0;0;0;0;48992684;3291754
Чеченская Республика;53267805;49493701;3885;1836658;1837782;18378467;395;77884;58488;643380;8;829675;0;44668588;41716218;208867531;3637;-120323;0;371486;376728;2255945;106;997;997;224641;2;0;0;0;0;568;568;2838;3;4089700;3600305;21603490;511;856439;851345;297;0;0;0;1513003;1497457;440;14732;4831;53;0;0;0;0;0;0;0;0;0;0;0;0;52194657;47749803;3695;46454206;42119312;3668;342555;353032;64;66349;66536;11;1288215;1313247;346;568;568;3;3983708;3890627;404;15549;3178;18;4262;4262;1;0;0;0;10373;10373;6;2293285;2830023;3762;0;0;0;1287746;1078120;34;23287;23287;5;601075;4771777;954356;4570004;914001;44870;-4515;344491;68898;3187429;637486;16415;-585003;24;0;587006;117401;91;18;0;117383;0;0;0;0;5358783;1071757;4570095;914019;44870;112868;280443;150;280593;139495;9512;5;0;655710;10373
Чувашская Республика;108026013;107900900;14197;4208392;4205649;42056473;1401;4378;4287;47152;17;25354;0;79061516;79032997;395164987;13634;-145;0;476527;474591;2847556;250;-138;0;0;0;0;0;0;0;139332;139308;696547;149;21041746;20995613;127157010;8110;2522984;2508892;2850;27545;27585;31;3068915;3038765;4146;126055;118692;1363;0;0;0;3383;2687;30;2460;936;14;0;0;0;90290270;90245262;13612;64869909;64867045;13515;2433463;2441694;438;155627;154964;206;2340893;2356095;2579;138756;138634;143;20275768;20210804;7762;76012;76003;172;0;0;0;-11;0;0;22482;22817;54;19987502;19894869;14912;0;0;0;2103087;2100530;261;206134;206134;33;12487015;16331894;3266375;1880173;376034;98236;2792105;95;19;54;11;0;8;1;0;6862159;1372433;350238;70049;3774;1298610;0;0;0;0;23194053;4638808;2230411;446083;102010;4090715;2246232;194781;2441013;11785;258;8;0;12487013;19695
Алтайский край;262006399;249335122;36504;35627177;35554161;355548800;7261;342;11895;130848;42;8470708;0;174875827;171216626;856085064;34051;-505;0;948000;945356;5673589;503;301;301;6682;5;24;24;121;1;320412;315657;1578284;284;33161063;33143985;215506671;14615;6444108;6381141;5692;1153420;1155243;87;8601155;8099635;9027;205152;203112;2053;5;5;2;8614;7032;45;29965;7092;41;-37;8;5;235758251;223430390;35272;190822547;178548870;35086;3661856;3331817;881;1951013;2266715;557;6822721;6815974;5240;318693;313764;268;32012435;31982564;13708;157457;158327;264;1029;1029;5;10168;1046;8;2715209;2718169;522;29826282;29462192;36584;0;0;0;6134396;6034842;1369;763802;768082;85;68545879;29797200;5959442;8486662;1697333;812896;3449213;2445;489;2534;507;422;-440;14;0;4096622;819323;1187664;237532;4838;576953;0;0;0;0;33893822;6778765;9674326;1934865;817734;4026166;7337559;363563;7701122;0;0;0;0;68545879;2688063
Краснодарский край;1161910976;1161404966;75550;172629455;172555114;1725551249;10730;25816;35352;388890;115;127738;0;737789076;737491563;3687803320;71397;16277;0;13993066;13971122;83860238;1670;2506;2887;24656;9;8637;8213;41052;7;1112052;1081746;5408733;841;179786937;179551767;1163547455;40760;48511726;48142660;16185;1762552;1795809;70;56421528;56259256;22928;1345214;1338052;2402;13110;13110;11;10070;9990;170;23923;9359;39;1861;6;7;1052568120;1053573033;72077;780141591;781599846;71194;44131688;44171809;3689;4606276;4547490;855;57649258;58779816;15228;1104458;1074116;811;163807557;162264714;38317;1094837;1093706;733;9512;7341;10;1421;602;6;29684418;29752599;803;148928173;147341858;74703;0;0;0;67739409;67720053;1895;41399322;6678030;169;571436030;135607362;27121472;27789810;5557963;3307195;18256314;174802;34960;17342;3468;4529;26963;67;0;183971618;36794325;100133607;20026723;368824;16398778;0;0;0;0;319578980;63915797;127923417;25584686;3676019;34655092;44357315;18142444;62499759;224776;4517;65;0;572071943;29654347
Красноярский край;799637728;796442955;45552;24820870;24795675;247956417;5049;8338;8338;91733;32;649744;0;646385361;643796076;3219040058;44008;-1316;0;1395277;1412562;8475362;813;732;732;5497;2;0;0;0;0;1825434;1822089;9110455;355;100620660;100636374;616590745;20284;21197737;21156282;8712;91521;91169;40;23916843;23867916;12770;849928;846977;3472;8816;8993;10;296;412;14;51332;41694;28;-2257;1095;12;610283598;609412199;43793;472146376;471469897;43513;16001609;16000050;1096;570265;597930;299;27803264;27637350;8292;1813303;1812484;351;91210398;91139808;19039;754330;755253;679;274;274;3;6771;3049;9;12315199;12389965;616;222846081;220552207;46188;0;0;0;45317043;44982162;1564;23511854;23507423;187;835390729;70278768;14055754;37280800;7456160;2088435;4511159;46985;9397;8115;1623;48;7726;98;0;95036910;19007382;11451075;2290215;13897;16703270;0;0;0;0;165315678;33063136;48731875;9746375;2102332;21214429;30892746;2729160;33621906;180523;40;14;0;835390730;12244364
Приморский край;430794341;430670375;34547;26936786;26965318;269658854;5405;3138;3142;34559;25;1449845;0;330364738;330663274;1653199134;33092;862;0;1776116;1771509;10628913;432;1056;1056;26552;5;25;25;124;1;324621;324973;1624868;210;53583118;53256541;332264738;14802;13853567;13794268;5500;249286;258553;49;16342001;16249576;8083;798074;768082;2345;1680;1861;5;398;398;7;17053;12337;12;78;78;3;405628552;405783509;33041;287509741;287316888;32473;54968957;55105900;5271;296911;298049;142;14656907;14829574;5293;317359;317712;205;47323044;47362151;13843;555284;552889;391;3;3;1;397;106;3;11207074;11140051;1233;45664986;45127335;34478;0;0;0;30986060;30609275;1810;3245916;2888071;126;275169737;95209472;19041893;45732911;9146580;984136;8911177;885879;177175;25708;5142;90;171943;17;0;133178235;26635646;65296702;13059341;242083;13334222;0;0;0;0;228387707;45677539;111029613;22205921;1226219;22245399;44451166;22993933;67445099;13848;0;5;0;275169736;11084698
Ставропольский край;269515653;269157388;24864;30581948;30524923;305249226;4705;15844;21036;231399;29;224937;0;176787710;176756286;883781430;23378;2207;0;968529;975518;5853110;379;0;0;0;0;0;0;0;0;369269;357094;1785470;328;49409519;49393581;343204493;11720;10187960;10150755;4435;66315;66479;26;11155690;11118103;6910;336113;327375;1125;0;0;0;4435;4384;79;12932;5139;24;0;0;0;241972402;242336739;23391;178372087;178864890;23163;5583490;5580204;810;1204138;1201735;285;11326335;11329434;4122;423045;353380;306;44824692;44769174;11000;238616;237922;268;0;0;0;1205;1161;3;402856;400612;87;39249010;38469566;25120;0;0;0;11870296;11740485;541;3216628;3220944;72;65490716;37385478;7477096;6779502;1355901;536376;5584819;101226;20245;4904;981;98;19166;46;0;9946596;1989320;434507;86901;16970;1885449;0;0;0;0;47332074;9466416;7214009;1442802;553346;7470268;9210881;2341003;11551884;476502;32389;9;0;65490717;395194
Хабаровский край;265469011;265465676;20789;15768429;15730280;157306400;2710;2248;2248;24724;20;9222853;0;182198343;182168202;911945678;20032;63280;0;5466689;5519867;33119197;424;45020;111298;596760;13;0;0;0;0;442025;436806;2184024;202;38318542;38333907;232019606;9531;12902040;12888549;3739;35301;34598;23;14036091;14028621;5726;871251;867522;2846;0;0;0;119;119;13;22058;21887;7;0;1;2;239866220;239959555;19780;167914975;168128727;19548;4859852;4846309;894;5621044;5621044;83;14341617;14307609;3601;432235;427016;194;46244860;46174570;8998;454363;453233;293;0;0;0;6251;6034;5;7266741;7446680;393;50030647;49739769;22427;0;0;0;30897137;30757163;1123;3790766;3732337;65;237546238;26914143;5382830;9271123;1854226;448136;3080468;7326;1465;415755;83151;0;-81686;14;0;12167203;2433440;776796;155359;193032;2085049;0;0;0;0;39081346;7816270;10047919;2009585;641168;5165517;5023054;3899394;8922448;1150976;43341;17;0;237584187;7427085
Амурская область;131302163;130667377;8175;6874888;6871511;68715122;1714;138348;138658;1525235;18;256596;1;75577693;75299228;376499571;7612;1298;0;148514;154111;924405;111;71;71;3196;1;0;0;0;0;592538;589603;2948010;77;19789235;19787203;123684129;3105;27520663;27418384;1260;350;350;3;27923051;27807849;1954;2065064;2056900;1544;0;0;0;970;970;10;0;0;0;19;19;6;171778979;171419100;7761;121408600;121812396;7648;3050537;3047981;811;628700;629449;50;27494488;27487665;1183;592892;589522;74;16929977;16185118;2821;1673804;1666988;117;0;0;0;0;0;0;6308523;6299172;223;18491036;18249363;8849;0;0;0;63206384;63219928;889;40206207;40005968;35;143200375;14712163;2942432;4820975;964196;113421;1864815;657483;131497;45290;9058;9063;113376;13;0;162875397;32575079;99196564;19839313;425920;12309846;0;0;0;0;177587560;35517511;104017539;20803509;539341;14174661;213878154;354845;214232999;0;0;0;0;143290022;6299210
Архангельская область;95980917;94717318;8026;4416221;4415780;44157852;1135;194;194;2137;9;57236;0;57060224;57045084;285228172;7764;6;0;613495;613355;3680227;238;2666;18;105;2;0;0;0;0;682131;683013;3415068;147;25568637;25317688;153932915;3495;6251728;5354516;1103;36763;37943;20;7582028;6625831;2167;203160;202504;2394;0;0;0;2200;2151;34;18053;388;4;251;6;1;81601912;80507322;7494;66064993;65196526;7422;1366777;1368261;100;100943;99525;44;3310763;3330357;990;666692;668285;143;9933271;9685236;3310;158455;159116;248;0;0;0;1993;0;0;2836733;2833449;119;25066909;24928113;9848;0;0;0;13278461;13328802;362;1151914;1151282;45;110748097;38854398;7770878;3153114;630624;1730425;5409829;9418;1884;9344;1869;13;2;2;0;8209892;1641979;1339208;267842;8473;1365664;0;0;0;0;47064290;9412857;4492322;898466;1738898;6775493;5825164;6597944;12423108;572;0;2;0;115014932;2810138
