GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125
Краснодарский край;1122014684;1113077950;78592;141546582;141167537;1411770935;9863;56580;56397;620376;119;201936876;193201544;1077413641;21804;543640676;544560974;2725304569;54701;3333164;3270272;21441018;524;8504545;8504545;51041683;1281;11451;11451;57744;16;6056;6056;30324;4;889114;865945;4458711;801;176254219;175927233;1163501685;40431;36052623;35855571;14991;4256242;4247441;139;45937659;45343108;20364;1718904;1608561;3474;13956;13316;287;1150;1140;76;16819;16424;166;33105;11912;52;378;240;6;1014084911;1006038620;74989;758460636;754043745;74066;41007939;40719686;3516;4761103;4883770;774;43975100;42378495;13878;869509;851435;758;161679077;161746746;38248;1364507;1344925;835;3846;3846;3;54917;53424;20;54166428;54123126;1006;133596401;133263756;79349;8608885;8462213;197;675768908;147237079;29447413;23711004;4742198;4162000;20543215;384928102;76985618;142593167;28518629;4317551;44149438;23792725;18819931;675768945;53990465
Красноярский край;724732680;723888933;49910;22202698;22086585;200577380;5247;12011;11939;131328;43;145296200;145267249;808068204;14942;437614234;437615926;2215741855;34524;293749;303737;1991164;299;1074657;1074657;6447944;681;0;0;0;5;0;0;0;2;1550316;1529733;7926170;355;97040368;96505086;636285200;20499;17920494;17692941;8118;535710;539272;52;23427723;23121529;11310;1329395;1254644;4083;1158;1131;19;1200;1200;13;1110;704;26;44931;25703;38;2144;2003;8;565790283;564976640;47923;438144445;439112986;47602;14626872;14569701;1103;295891;301570;288;21411552;21319114;7650;1523302;1508955;344;88637929;87665240;19236;1112657;1099153;725;0;0;1;48866;45027;63;24319836;24270707;925;205143610;204259564;51571;22811148;22835352;181;1037798264;93925849;18785166;28902432;5780485;3469366;9535315;197785791;39557153;35804942;7160988;3480158;28916007;23503330;2699377;1037701725;24155206
Приморский край;413625687;408129622;36479;25522738;25173959;251739261;5450;238;2694;29622;22;88712541;84353050;468627116;10304;233099500;233185165;1165926828;25317;769872;685885;4496354;158;1390841;1390841;8345014;330;5248;5248;26550;11;0;0;0;0;323521;342037;1776043;219;48484777;47734331;317064273;14713;11675096;11321461;5241;547832;556971;63;14578090;14138358;7292;934520;851809;2777;2081;2043;27;9419;7961;16;655;333;15;22823;2785;30;173;153;1;391713189;386930399;35122;276201606;272937061;34476;54982113;54524111;5420;204424;200854;132;13570784;13250335;4969;310188;327247;218;45885258;45143456;13742;578208;576439;425;7;7;2;23292;19881;48;16076306;16089490;1252;45788035;44467513;37162;1921235;1900832;120;323490732;89187072;17837410;49868695;9973739;1136062;6727609;197080392;39416076;83091550;16618310;1388017;21409749;34580109;15060191;328523050;16041727
Ставропольский край;276371195;272432327;25809;29947626;29745077;297450774;4629;19567;19567;215233;41;52981944;50371741;279842997;7018;131634444;131634444;658172214;17764;425960;375215;2459740;110;2179467;2179467;13076801;342;0;0;0;2;0;0;0;0;285016;276293;1429882;305;49866754;49003080;339009220;11922;8183107;8017030;4047;45211;42384;39;9030380;8827407;6017;337665;288109;1335;2463;892;23;161;88;4;3396;3369;75;13318;4845;31;32;32;1;245190730;242143285;24356;182517754;180832550;24095;5261355;5085276;790;1100708;1087374;285;8781344;8901143;3694;247193;235098;272;47043620;45766748;11203;238756;235096;260;0;0;0;1969;499;6;960517;965862;110;38113403;36948287;26507;1694788;1586837;69;70615058;55851006;11170197;8801895;1760377;726821;8682999;65835471;13167090;9008189;1801635;734641;10630814;7210415;1989872;70615056;953412
Хабаровский край;274054740;270849155;22119;14084358;13560650;135606157;2759;2521;2486;27336;17;52693044;50979000;283216321;6580;137597301;137597301;687986992;15371;2193458;1598720;10480500;153;6130161;6130161;36780971;342;124741;124741;641053;22;0;0;0;0;554781;567355;2937560;201;44599204;43754946;272242492;9841;14671870;14814976;3461;21907;21907;28;16192897;16188379;5119;394985;376372;3316;302;299;7;51;51;4;874;874;16;51275;32306;10;11293;11293;4;251803254;249011374;21053;186323293;183754472;20811;6304993;6239844;934;500022;500361;82;16624668;16644637;3316;551437;564371;198;41335915;41143516;9363;162563;163808;333;0;0;0;17940;14597;10;11078710;11085747;452;43641933;42954244;24360;5599503;5439466;70;210181574;30296959;6059390;11427198;2285440;789690;2984260;141146094;28229219;91930445;18386090;1171911;8671218;9963619;3608664;214352452;11664716
Амурская область;106270457;105536279;8564;7335765;7177994;71785104;1859;130062;130664;1437296;29;19084281;18545281;103359762;2412;43236009;43236009;216186549;5762;-16429;39457;258643;31;127978;127978;767871;109;1785;1785;9123;6;0;0;0;0;464622;463240;2415851;68;17845537;17773272;111855352;3074;17969438;17956878;1172;-59;567;6;18253928;18235487;1808;842906;836669;1755;107;76;3;0;0;1;929;929;11;0;0;0;14021;80;0;137854376;136942615;8111;92767665;92288611;7962;2689923;2685164;854;182300;181859;54;28546020;28167585;1104;464295;463213;68;12461488;12412852;2819;773750;773496;137;3;3;3;2840;2840;2;6733994;6729947;259;15529005;15420794;9516;20917556;20805861;35;93901499;14906870;2981378;5336935;1067390;928557;985431;164346587;32869322;64319979;12863998;1521829;18483495;131818031;0;100245965;7408681
Архангельская область;113665595;113452111;8851;5226674;5180110;51801081;1272;3537;3537;38906;13;17171376;17124533;95136299;2619;40774230;40774230;203871150;6161;244400;232807;1526165;80;437218;437218;2623304;176;191;191;1328;10;0;0;0;0;386636;389396;1986323;174;40179240;40201617;249060889;3650;6947935;6837845;1086;95190;95093;27;9241886;9108260;2011;384375;370037;2815;189;189;11;11;11;2;2417;2417;31;15641;1551;7;77;77;4;87599917;87471144;8250;66769151;66682650;8177;1344377;1341390;97;114244;113893;60;7218214;7219490;951;371131;374990;166;11509846;11466355;3545;266641;265916;269;0;0;0;875;510;5;3965910;3892610;201;32235706;31988822;11330;1076102;1076287;41;111333507;100082940;20016591;4148289;829657;6747513;12439421;107394486;21478899;4317971;863593;6751703;13863603;6030710;8208283;112251757;3853291
Астраханская область;65401823;64821904;6112;1268868;1265235;12652353;856;6089;1884;20721;31;17347686;16887280;93818208;1767;37663382;37663382;188317321;4104;135886;138625;915973;67;337701;337701;2027686;165;1461;1461;8172;8;13;13;67;1;120307;119923;620322;33;6629732;6542074;40657416;2419;1664882;1649256;830;15515;13028;7;1896683;1870312;1610;178246;173270;585;1066;439;35;587;461;22;564;613;23;5631;731;3;0;0;7;43078342;42809519;5675;34131461;33948547;5595;572792;559867;252;82933;76544;64;1460620;1486725;749;120273;119890;32;6540147;6454389;2275;168910;162643;105;18;18;1;2817;111;1;9979588;9972617;430;24635806;24273325;6097;1013177;1013177;19;272054118;11919656;2383932;1968902;393781;90587;1899564;17001116;3400224;2839976;567997;105133;2727094;2304041;12359338;276161557;10117201
Белгородская область;362830718;354293104;35122;73665080;72751941;727525385;4558;3665;4872;53602;29;63838096;56154111;311967013;9531;152856210;152856210;764605412;24527;182199;172114;1137573;145;1655570;1655570;9925062;363;6999;6999;41816;15;0;0;0;0;585373;582623;3006088;315;53322427;52851191;409404537;14435;16560073;16335718;5407;99380;108726;105;17474057;17255413;7143;495687;466593;2778;508;503;14;25;25;3;18249;19884;62;64467;44012;45;3;3;1;332772623;324768858;34389;256412430;248722354;34145;11326461;11312182;2011;1178285;1161188;626;16729418;16617557;5011;583762;580273;309;46255955;45977302;13721;400933;399240;585;0;0;0;3400;108;6;1180758;1180432;326;52246303;51580196;35901;1988473;1978967;128;213618808;17668776;3533757;2861314;572266;169385;2792106;48015436;9603084;5594097;1118823;179420;8304841;53383236;1676906;214210330;1185081
Брянская область;130557113;129440072;13684;15760737;15723029;157230302;1950;1232;1051;11564;10;21754771;21127962;117377574;3821;62433711;62429999;312150001;9468;658625;508651;3334494;83;1468830;1468830;8812975;227;845;845;4224;8;0;0;0;0;211394;204857;1059488;137;20930439;20561403;139607566;6099;6900343;6781546;1906;184516;184265;57;7317765;7401608;2992;289043;236579;1556;243;243;9;52;52;5;974;974;18;3255;1447;19;17306;7808;1;117499770;116573339;13029;82316895;81693915;12871;4865415;4963573;655;3485796;3458782;1136;6691458;6565255;1751;209759;203184;131;19727524;19487721;5805;204456;202314;270;0;0;1;464;133;4;1092883;1059294;529;20046749;19729175;14303;2581610;2582412;42;24785342;21006978;4201395;2060051;412008;299494;3489893;26119983;5223995;2401450;480288;300055;4443652;809258;364611;25915213;1042288
Владимирская область;187150854;186392476;18891;21058827;20781783;207814733;2048;2279;2279;25068;15;35892185;35605493;197808431;5264;96676069;96676069;483382121;13359;312471;431174;2826614;123;811413;811413;4868490;330;0;0;0;1;0;0;0;0;230562;222422;1147014;222;28567118;28366246;179829776;9237;2867058;2764464;3080;132806;128578;170;3466942;3362544;4551;1291389;1275593;1899;2339;2290;43;61;61;3;718;710;37;17715;5868;44;0;0;3;159801924;159110892;18145;109300704;109059179;17991;17885454;17842405;935;340192;337649;358;3368095;3326909;2838;231499;222085;216;27471334;27122218;8813;1203567;1202270;349;0;0;1;8523;2162;16;475880;458778;424;31273559;31104444;20272;355087;354120;46;47925355;19604393;3920863;5195189;1039034;240289;2641540;25264078;5052801;5439054;1087808;246455;3718538;8951364;1187077;47925356;434541
