GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35
Кемеровская область - Кузбасс;71 003 468;10 586 872;65 513 120;9 466 664;350 435;101 882;46 909 311;39 536 307;6 199 645;1 103 894;243 415;6 300;2 804 878;2 349 015;990 466;161 925;1 023 885;646 540;0;0;1 780 897;1 723 001;792 635;150 791;270 734;28 677;10 914;18 916;8 486;2 414;4 206;4 463;2 585;709;140;16
Кировская область;68 793 384;19 774 730;64 593 883;18 056 024;221 003;112 074;23 345 468;30 409 929;5 049 889;1 906 714;369 216;13 734;1 400 701;1 795 823;756 592;283 287;538 353;606 162;0;0;862 361;1 189 419;622 520;261 017;330 900;53 482;7 503;16 096;8 268;2 813;3 510;3 426;2 634;736;171;28
Костромская область;35 793 686;17 300 420;33 666 969;15 923 276;511 361;57 852;12 193 942;14 524 052;2 653 249;1 726 876;73 452;0;731 608;867 044;388 829;249 393;279 708;276 974;0;0;451 909;589 927;328 356;233 129;162 528;39 248;3 508;6 350;4 114;1 933;1 648;1 467;1 288;476;21;3
Курганская область;19 869 775;8 913 378;18 447 224;8 105 688;275 759;51 218;8 774 389;8 836 857;1 576 546;840 311;176 757;11 157;526 494;513 690;229 179;122 860;212 429;149 816;0;0;314 018;364 016;191 751;109 464;90 358;27 460;2 652;4 994;3 265;1 576;1 210;1 081;1 189;364;51;16
Курская область;24 633 745;15 974 635;22 907 891;14 667 841;199 648;23 073;11 835 157;18 188 657;1 841 989;1 362 153;196 632;5 096;710 106;1 079 520;276 291;203 562;260 693;314 538;0;0;449 406;764 988;230 933;185 642;122 659;40 968;3 310;7 895;3 380;1 882;1 531;2 015;1 152;497;64;18
Ленинградская область;56 999 244;32 190 080;48 856 112;21 765 818;197 360;161 490;19 780 804;31 447 206;9 681 515;10 674 172;373 883;128 163;1 185 188;1 862 295;488 794;536 418;460 549;491 941;0;0;723 022;1 364 572;365 455;489 765;356 685;100 235;5 827;13 705;7 166;5 438;2 939;3 293;2 393;1 352;115;95
Липецкая область;44 854 489;20 256 711;40 571 305;17 370 777;316 890;76 721;8 727 906;12 396 623;5 037 517;3 186 893;55 817;1 894;523 168;739 383;593 703;358 387;191 550;196 184;391;1 741;332 006;541 520;503 300;330 140;206 166;55 110;1 952;5 973;5 271;3 800;665;1 392;1 346;1 067;20;13
Магаданская область;7 543 263;3 905 650;7 027 032;3 505 866;17 712;1 722;5 314 220;5 065 062;672 004;422 350;61 335;0;314 713;296 698;90 314;61 345;117 748;69 413;0;0;197 137;227 618;79 492;57 422;31 058;8 416;902;1 981;670;346;409;483;212;92;5;0
Московская область;307 321 344;83 183 986;286 295 506;74 550 022;1 848 897;435 495;231 829 975;330 162 552;25 601 060;9 521 271;1 379 844;80 495;13 909 446;19 763 580;3 793 705;1 410 154;5 144 595;4 716 664;0;0;8 763 776;15 072 036;3 324 034;1 323 586;1 271 699;198 164;48 640;109 042;30 593;14 729;23 541;30 431;9 406;5 026;555;69
Мурманская область;39 384 015;5 529 365;36 365 255;4 842 535;171 422;79 610;15 732 715;12 165 846;3 530 829;688 611;61 679;5 864;939 538;724 298;459 882;92 657;351 308;213 682;0;0;588 233;511 717;393 332;86 748;214 763;15 666;3 979;7 122;4 246;1 202;1 888;1 942;1 414;443;31;6
Нижегородская область;135 160 461;33 951 970;126 984 744;31 400 021;872 865;152 989;70 218 781;71 985 415;10 552 880;2 965 775;109 604;12 132;4 213 124;4 312 540;1 582 933;443 045;1 553 564;1 193 809;0;0;2 659 949;3 094 252;1 357 316;392 671;639 234;113 241;14 840;27 927;15 585;5 849;5 783;5 383;4 462;1 607;47;12
Новгородская область;19 336 407;4 758 580;18 231 022;4 283 657;84 124;21 305;9 770 942;10 089 545;1 390 732;510 780;291 268;1 644;585 421;584 007;202 633;71 959;234 536;184 031;0;32;350 609;399 863;167 125;64 638;107 201;17 860;2 643;5 427;2 833;1 028;1 020;2 207;800;284;22;1
Новосибирская область;201 049 398;30 112 455;189 928 061;27 287 033;2 205 462;144 793;88 030 712;82 485 206;15 391 778;3 368 447;1 256 780;37 200;5 281 794;4 874 548;2 308 351;499 608;1 908 057;1 328 273;0;0;3 372 944;3 547 010;1 954 604;456 459;873 045;89 427;21 271;33 145;22 301;5 131;8 382;7 232;6 194;1 595;397;56
Омская область;68 966 677;23 099 328;64 020 269;21 456 546;325 022;46 446;33 612 139;34 651 015;5 516 580;2 132 866;372 234;46 438;2 016 727;2 056 887;827 486;313 086;770 361;607 731;0;0;1 246 365;1 449 159;725 909;285 074;248 726;63 152;9 769;17 241;8 391;3 793;4 518;4 499;2 914;1 178;135;26
Оренбургская область;65 763 221;23 029 027;60 115 095;19 962 358;654 040;56 372;17 826 209;20 037 103;6 243 117;2 791 799;388 255;60 792;1 065 301;1 173 042;628 406;275 335;437 841;341 296;0;0;627 431;830 702;484 222;235 088;361 943;90 947;6 547;12 433;7 769;4 367;3 278;3 569;2 532;1 326;70;45
Орловская область;21 839 997;9 597 858;20 820 297;9 189 417;197 922;46 940;9 674 578;10 919 048;1 844 243;958 854;252 931;18 920;579 159;632 092;238 884;134 822;224 211;188 771;0;0;354 946;443 087;194 716;123 690;117 094;25 451;2 522;5 716;2 701;1 537;1 054;1 276;823;413;92;20
Пензенская область;43 705 885;24 959 675;40 751 840;23 000 894;328 494;57 256;21 199 006;27 866 515;3 326 887;2 155 029;936 685;92 925;1 271 940;1 615 781;493 122;309 267;448 650;464 124;0;0;823 292;1 151 666;414 378;285 138;188 699;59 087;4 993;11 427;4 531;2 568;2 041;2 651;1 367;653;122;38
Пермский край;102 814 762;37 492 046;96 332 641;34 639 865;773 772;404 759;40 392 314;70 771 656;7 814 287;3 265 218;240 545;28 614;2 351 329;4 180 669;1 137 023;480 031;830 381;1 138 214;0;0;1 520 949;3 042 312;933 196;436 298;547 899;136 920;13 409;29 830;15 072;6 397;5 695;7 324;4 595;2 170;137;46
Псковская область;26 509 657;6 387 206;24 509 980;5 599 784;140 934;8 882;9 754 615;9 656 598;2 249 960;859 619;630 934;86 752;585 277;536 487;272 138;94 099;207 376;158 019;0;0;373 874;378 312;218 328;87 880;130 592;15 181;2 711;5 238;3 352;1 226;1 185;1 135;996;364;159;46
Ростовская область;152 182 669;95 837 370;137 557 400;82 880 558;516 299;386 837;68 412 993;119 179 649;17 034 907;13 652 485;1 138 643;0;4 103 312;7 055 693;1 732 109;1 371 205;1 526 960;1 941 124;0;0;2 579 165;5 114 396;1 468 657;1 202 122;687 372;338 922;16 524;46 134;14 715;10 329;6 688;10 441;4 068;2 441;294;0
Рязанская область;37 880 828;13 987 216;35 347 646;12 603 234;132 936;143 844;21 830 460;22 090 278;2 871 971;1 323 588;143 256;9 231;1 309 754;1 315 746;430 777;198 187;503 322;370 472;0;0;806 430;945 388;367 169;184 998;158 788;28 472;5 044;8 860;4 306;1 843;1 930;1 969;1 184;591;36;4
Самарская область;119 335 516;17 458 641;111 346 925;15 889 777;869 414;101 718;65 498 744;56 910 107;9 201 794;1 660 307;97 052;366;3 929 927;3 408 790;1 380 258;248 992;1 461 027;867 158;0;0;2 468 862;2 541 647;1 176 137;224 508;523 421;52 755;16 078;23 546;16 742;4 192;5 927;5 046;5 126;1 458;39;2
Саратовская область;59 575 381;24 222 520;55 959 654;22 190 609;257 097;105 469;34 067 593;37 672 912;4 427 761;2 189 571;203 091;26 392;2 033 984;2 243 463;661 956;324 887;802 995;612 075;0;0;1 230 988;1 630 995;558 087;285 207;269 808;86 950;10 415;17 422;7 929;3 560;4 519;4 193;2 397;931;72;16
Сахалинская область;42 155 811;11 856 413;38 611 663;11 007 370;271 821;63 087;28 865 035;24 314 638;4 086 232;1 126 590;315 397;43 437;1 730 818;1 428 156;569 089;160 335;590 178;344 978;0;0;1 140 637;1 083 180;505 456;147 270;184 442;37 492;4 288;6 876;3 142;1 155;1 986;1 921;1 017;347;67;33
Свердловская область;306 534 677;146 968 033;261 096 439;109 429 752;1 874 450;1 242 387;57 717 980;103 075 237;49 014 910;37 586 961;1 602 746;613 659;3 463 081;6 088 349;3 198 359;2 378 131;1 297 374;1 683 482;0;0;2 165 704;4 404 866;2 575 442;2 182 733;1 583 729;382 975;18 624;48 191;37 043;22 413;8 901;13 611;11 393;7 433;392;298
Смоленская область;40 743 398;19 560 690;35 838 567;14 918 276;204 964;51 995;10 408 758;11 730 231;5 718 622;4 761 395;157 752;46 232;623 089;692 314;359 448;306 652;244 705;202 707;0;0;378 389;489 602;266 730;270 110;260 019;67 261;3 049;5 918;5 497;3 402;1 291;1 605;1 772;958;78;50
Тамбовская область;22 647 985;9 557 548;21 088 412;8 760 845;61 008;25 172;12 200 068;13 027 833;1 708 214;824 994;206 062;3 330;725 918;765 188;246 730;119 575;276 340;226 797;0;0;449 578;538 391;200 296;96 473;94 823;30 380;3 472;6 418;2 886;1 339;1 483;1 360;1 119;367;65;6
Тверская область;45 368 729;10 465 355;42 856 870;9 563 926;226 962;88 450;24 598 667;26 350 953;3 327 349;1 018 136;23 876;7;1 475 466;1 579 611;498 146;151 897;577 094;458 123;0;0;898 381;1 121 087;419 682;139 983;212 671;31 344;7 220;11 122;6 076;1 873;3 067;2 660;1 901;553;7;1
Томская область;50 984 807;11 452 732;46 767 082;10 020 512;161 238;90 273;18 041 612;23 027 578;5 139 814;1 612 166;85 186;18 646;1 072 747;1 377 581;502 412;161 098;390 861;383 431;0;0;681 672;992 854;406 680;146 998;265 372;34 557;5 834;10 648;7 730;2 561;2 780;2 807;2 695;695;67;23
Тульская область;43 770 691;14 184 715;40 769 267;12 882 724;198 354;99 404;26 008 830;30 249 678;3 564 834;1 359 501;1 027 362;50 002;1 501 856;1 622 653;497 403;187 389;564 357;453 387;0;0;937 499;1 169 265;412 399;172 578;215 909;39 129;6 521;12 760;5 044;2 220;2 634;3 470;1 545;742;204;27
Тюменская область;109 431 525;51 868 921;88 548 681;31 788 832;308 892;261 330;20 702 854;22 104 186;20 838 226;20 363 002;150 152;143 699;1 241 511;1 311 371;805 594;1 014 505;455 714;361 914;0;0;785 801;953 771;467 482;946 036;400 378;131 719;3 749;11 031;10 523;8 438;2 056;2 568;5 665;2 088;73;89
Ульяновская область;40 528 525;12 677 260;36 940 428;11 087 471;161 048;9 607;21 957 446;22 343 700;3 733 872;1 557 979;307 962;69 739;1 029 794;954 255;452 484;174 009;392 731;311 714;0;0;637 053;642 559;375 948;159 036;175 475;31 320;5 486;9 799;5 162;2 114;2 438;2 460;1 773;570;78;31
Челябинская область;117 245 967;35 601 995;114 262 642;31 979 847;876 200;236 601;61 775 912;74 495 832;9 590 622;3 661 664;1 204 568;93 423;3 687 542;4 363 244;1 355 959;522 227;1 373 776;1 175 457;0;0;2 313 757;3 187 787;1 125 427;480 009;562 094;97 915;16 808;34 457;15 977;7 229;6 752;8 428;4 795;2 644;488;85
Забайкальский край;25 871 932;11 233 283;24 562 163;10 349 359;56 052;19 057;12 306 522;10 113 628;1 909 833;1 038 703;54 368;9 279;740 868;602 601;284 523;154 060;245 429;172 303;0;0;495 108;430 382;235 508;133 268;119 926;44 073;3 194;5 578;3 039;1 568;1 577;1 858;1 187;560;33;3
Ярославская область;53 168 954;10 498 528;49 889 117;9 520 823;618 475;178 627;23 207 629;23 974 230;4 122 811;997 140;52 075;5 383;1 372 685;1 419 804;585 854;138 511;506 361;387 969;0;0;866 325;1 031 839;494 362;123 229;243 137;34 301;7 210;10 398;7 287;2 123;3 107;2 386;2 326;608;63;13
город Москва;1 280 325 816;125 159 235;1 190 367 982;111 558 850;6 798 708;1 253 557;1 769 580 029;829 623 650;115 965 594;15 128 140;4 862 688;390 607;52 168 436;49 516 428;17 276 538;2 194 473;18 280 887;10 151 978;364 264;364 014;33 523 303;39 000 411;15 580 464;2 061 668;4 543 246;317 124;105 739;183 746;93 466;18 583;33 380;38 501;20 579;5 937;1 441;174
город Санкт-Петербург;643 341 594;106 717 778;550 341 259;78 034 907;3 092 496;774 556;226 553 592;228 956 873;104 414 114;30 246 137;1 209 404;298 998;13 670 971;13 625 630;7 336 984;2 104 320;5 008 520;3 105 952;0;0;8 623 297;10 433 212;6 054 419;1 945 068;3 014 577;263 257;38 137;66 715;57 128;16 686;12 490;12 269;12 431;4 674;326;110
Еврейская автономная область;4 663 116;1 583 389;4 416 793;1 449 988;40 048;6 153;2 188 222;2 119 586;316 392;146 536;0;0;131 291;127 006;44 946;21 507;47 675;42 116;0;0;83 621;85 932;35 973;17 187;26 379;7 736;471;891;580;244;225;183;192;51;1;2
Ненецкий АО;1 312 051;217 267;1 242 087;189 318;9 589;3 442;1 258 762;1 447 165;72 656;25 354;15 535;40;49 322;73 265;9 351;3 559;18 249;22 136;0;0;31 074;51 127;5 323;3 182;10 004;789;266;581;97;45;137;194;32;18;11;1
Ханты-Мансийский АО - Югра;65 158 990;22 239 953;58 458 939;16 344 163;171 313;124 162;34 698 073;43 778 070;8 196 958;5 972 775;374 018;53 518;2 060 936;2 583 657;583 474;343 344;793 158;654 839;0;0;1 284 413;1 931 394;419 354;302 331;407 004;82 239;7 707;17 513;6 395;3 452;3 448;5 329;1 914;1 142;114;47
Чукотский АО;1 264 081;112 915;1 272 066;93 767;15 813;2 139;1 353 382;1 357 747;67 134;17 903;7 822;0;65 141;67 539;7 382;2 067;26 228;19 669;0;0;38 912;47 869;4 833;2 052;10 791;218;235;391;104;33;104;106;32;14;4;0
Ямало-Hенецкий АО;26 228 480;18 225 680;21 367 847;11 837 409;54 765;147 485;10 100 042;10 144 804;5 350 224;6 469 952;14 392;17 966;606 002;607 296;271 871;324 926;243 891;166 408;0;0;362 733;441 306;219 679;300 550;137 012;48 677;1 556;4 397;2 361;2 603;645;1 328;672;641;21;17
Республика Крым;24 051 044;10 520 904;21 811 071;9 378 644;68 408;9 209;42 989 615;73 301 226;2 541 929;1 288 071;0;0;1 720 628;2 933 682;254 988;128 546;698 277;1 142 409;0;0;1 031 187;1 793 593;202 079;104 956;126 686;47 435;13 711;44 040;3 485;1 761;6 696;18 931;1 419;645;0;0
город Севастополь;9 675 992;2 741 561;8 924 545;2 576 492;19 490;10 456;15 370 546;21 885 195;1 160 948;334 809;31 748;0;614 638;873 795;115 218;31 762;239 660;328 304;0;0;375 008;545 482;94 680;27 449;48 713;12 767;4 838;12 887;1 401;653;2 395;5 892;505;264;39;0
