"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195"
"Республика Коми","181902513","181867211","4401","1028896","1028896","20578397","1026","38387","38387","806124","62","21982","21982","314030","8","0","0","0","0","0","0","0","0","2434796","2432738","24327379","452","2452","1599","17592","6","1","140502500","140473538","702369462","3237","0","0","0","0","0","308146","308106","1848633","60","949","949","18976","1","0","0","0","0","273093","273095","1365476","87","31861695","31870472","192954510","1973","3678255","3943574","620","1625","1625","4","5431048","5418880","1303","171490","171229","1733","0","0","0","772","751","25","475","475","4","1783","196","2","0","0","1","135790506","135759042","3519","97940096","98205833","3289","1292093","1287439","50","153477","153472","34","4878088","4607023","500","272981","272983","86","31104669","31090613","1677","149102","141679","133","0","0","0","-652","0","0","603150","606188","29","49418279","49409738","5764","0","0","0","0","0","0","3701252","3703606","237","3291269","3292297","68","70709807","0","13621996","2724399","1512668","302535","86238","2335626","0","0","0","0","0","0","0","0","50840511","10168104","3399017","679803","384","9487917","0","0","0","0","0","0","0","0","0","0","64462507","12892503","4911685","982338","86622","11823543","1916324","383266","17532","3506","10279","369481","34048","6810","0","0","0","6810","2","0","581052","2497376","0","0","0","0","70709807","604673"
"Республика Крым","236713005","235607206","16975","1891699","1891699","37825430","2069","32554","32554","683639","80","212549","212549","3036407","55","0","0","0","0","0","0","0","0","16946485","16941239","169412388","2532","2406","2406","26462","9","880","152214578","151535348","757678847","14027","0","0","0","0","0","417948","419570","2518649","172","0","0","0","0","0","0","0","0","966101","965645","4828223","143","49669825","49340910","307404556","9445","13512720","13441146","4205","398","398","3","14358803","14264394","6004","147505","134827","2142","26","26","1","1537","1537","36","147","141","9","772","754","4","13","13","2","197584211","197425225","14869","138148127","138365009","14196","128045","127502","51","331366","333378","164","15351451","15245429","4032","958440","958118","141","42631099","42361718","8524","33321","31510","186","60","60","3","0","0","0","995133","981665","72","44116821","43184395","18558","0","0","0","0","0","0","5819939","5769651","80","1371011","1511922","166","8061147","0","69125516","13825107","9188557","1837709","2496795","9490603","57230","11446","27324","5465","4833","1148","11","0","58295718","11659144","29951415","5990282","369235","5299627","0","0","0","0","0","0","0","0","0","0","127421234","25484251","39139972","7827991","2866030","14790230","6430520","1286104","739806","147962","70642","1067500","111941","22388","6183","1237","2","21149","14","0","47978","6478498","28921","83","3","0","8061147","980630"
"Республика Марий-Эл","102028639","101828183","5953","760172","760172","15204335","716","12442","12442","261277","36","61028","61028","871822","30","0","0","0","0","0","0","0","0","10119507","10109096","101076484","864","887","887","9752","3","11","60153701","60105089","300516173","4953","0","0","0","0","0","886120","881290","5287742","106","0","0","0","0","0","0","0","0","263970","263679","1318396","87","24123807","23993471","164107909","3376","5139390","5133470","1200","0","0","0","5646799","5640823","2045","50661","50498","388","1034","1034","3","512","355","18","8039","8039","4","9282","8840","16","90","90","3","85873141","85712575","5256","53470574","53456315","5040","2028472","2024683","167","202576","203053","111","5731752","5715582","1050","265967","263673","87","24169001","24044214","3116","4533","5054","53","0","0","0","0","0","1","17254","17111","14","17432699","17392545","6188","0","0","0","0","0","0","1218126","1217819","67","95170","95165","58","12909919","0","22966292","4593258","3439060","687809","489423","3416026","0","0","0","0","0","0","0","0","9896202","1979241","5750310","1150062","40289","788890","0","0","0","0","0","0","0","0","0","0","32862494","6572499","9189370","1837871","529712","4204916","535438","107087","90768","18153","8536","80398","781","156","5947","1189","0","-1033","3","0","623248","1158686","10547","0","1","0","12909919","13814"
"Республика Мордовия","138439814","138395819","8880","3291029","3291029","65820250","2665","62480","62480","1311402","91","135755","135755","1939362","32","0","0","0","0","0","0","0","0","24544539","24546441","245463915","1061","9395","9440","103838","12","0","73788141","73735303","368676545","5801","0","0","0","0","0","4766152","4771699","28630192","206","1511","1511","13016","4","0","0","0","0","167807","167807","840623","116","25496592","25498169","166294704","3949","5880988","5855886","1465","8","8","3","6177925","6177696","2446","63688","57813","403","0","0","0","590","398","8","1604","1604","5","8725","3014","10","0","0","0","123072962","122991359","6871","86104713","86128445","6553","4587398","4586932","200","769381","769356","160","6869958","6864812","1240","167534","167534","110","24535100","24436812","3480","49101","47690","109","0","0","0","0","0","0","48328","52952","16","23739640","23754026","8987","0","0","0","0","0","0","8173527","8166516","117","1972839","1972839","98","23954279","0","19206867","3841372","1619934","323986","196446","3320940","3272","654","0","0","0","654","1","0","2795985","559198","301619","60323","315","498560","0","0","0","0","0","0","0","0","0","0","22002852","4400570","1921553","384309","196761","3819500","4611118","922223","137276","27456","1593","893174","4543","909","0","0","0","909","8","0","213517","4824635","43061","0","2","0","23954279","41180"
"Республика Саха (Якутия)","208609101","208322816","7416","2300503","2300503","46014863","2174","171359","171359","3598536","196","135020","135020","1928857","53","10162","10162","155336","2","0","0","0","0","3867826","3867089","38670886","898","33646","33543","368968","40","466","157964033","157697225","788476119","4755","0","0","0","0","0","181522","164057","984314","127","1070","1070","5351","1","7192","7192","102743","1","2369773","2347796","11738980","107","24088226","24047560","148803238","2764","15437355","15523013","1063","133314","133316","2","17486070","17547979","1921","797988","792178","474","0","0","0","227","227","1","2230","2197","8","44140","12108","1","-53","0","1","187392132","187299661","5332","136060423","136110131","4992","714612","707131","88","3351091","3351091","30","24317761","24216061","932","2351958","2330911","97","20289020","20279498","2225","308288","305490","125","2","2","1","2952","2952","1","52475059","52438918","123","66968476","66587633","7523","0","0","0","0","0","0","97303251","97119663","423","8628349","8584176","161","638918065","0","32890545","6578109","10478212","2095642","1365744","3116723","0","0","0","0","0","0","0","0","115851108","23170222","1069322","213865","154979","22801378","0","0","0","0","0","0","0","0","0","0","148741653","29748331","11547534","2309507","1520723","25918101","5003177","1000635","90334","18068","55663","926904","1193410","238682","368","74","54230","184378","14","0","785399","5788576","539","0","1","0","638918065","52408081"
"Республика Северная Осетия - Алания","35231303","35054836","3283","330428","330428","6608496","346","40273","40273","845737","35","12791","12791","182730","8","6074","6074","92846","2","0","0","0","0","3714087","3708733","37026413","552","39252","30694","337637","21","0","22976638","22873039","114352884","2599","0","0","0","0","0","316643","346919","2081515","101","7359","7359","56876","2","102","102","511","2","55484","55325","276623","27","5675780","5619985","36772627","1144","1972590","1916489","652","266","86","2","2068012","2034733","897","10969","10889","113","0","0","0","1420","1420","4","0","0","0","587","2412","8","169","169","2","30365396","30356111","2755","21686698","21676441","2678","1119841","1132905","78","139131","140048","46","1713327","1715587","594","61108","61014","25","5649570","5633653","944","415","415","14","0","0","0","0","0","0","17441","17403","21","5972390","5820097","3291","0","0","0","0","0","0","1104099","1108774","91","123873","123298","33","4463583","0","10322833","2064568","1945402","389079","325488","1350001","3330","666","2715","543","0","123","3","0","326992","65398","68534","13707","76","51615","0","0","0","0","0","0","0","0","0","0","10649825","2129966","2013936","402786","325564","1401616","1293238","258647","136827","27365","81302","149980","134666","26933","25066","5013","0","21920","8","0","7584","1300822","13621","0","9","0","4463583","17402"
"Республика Татарстан","2355179472","2352880383","91217","5318095","5318095","106361979","5295","107538","107538","2258297","216","548516","548516","7835939","161","2109","2109","32237","5","0","0","0","0","73930514","73825035","738253942","7065","29544","29197","321164","90","9914","1622665365","1621413017","8107064489","82060","12","0","0","0","0","6138378","6122820","36736669","1639","4072","4072","74086","6","0","0","0","0","1185558","1184209","5921043","356","509500813","509121702","3129632568","52941","124630800","124216912","32071","2152040","2152402","32","135742485","135198937","41717","4048568","4048252","1134","910846","910846","3","6804","6765","42","53032","52988","58","180090","84657","74","-126","6","2","2070365812","2067459570","85175","1425508382","1425901545","83281","38149637","38010283","2503","5523521","5544691","998","127863086","125696439","27994","1178591","1177188","346","469274141","468334726","49432","2963347","2898777","473","2791","2791","5","59525","59506","4","12551584","12550825","250","386354324","384707222","89909","0","0","0","0","0","0","109792022","107572274","995","31842054","32735917","875","802729726","0","232822107","46564422","58897860","11779570","3811603","30973249","137454","27491","83612","16722","101","10668","11","0","698956917","139791382","440138388","88027677","301380","51462325","0","0","0","0","0","0","0","0","0","0","931779024","186355804","499036248","99807247","4112983","82435574","59973038","11994608","9093891","1818777","245312","9930519","432474","86495","65667","13133","580","72782","37","0","17357011","77330049","64539","89","13","0","802729726","12500441"
"Республика Тыва","8274282","8134021","680","127959","127959","2560951","166","24111","24111","506336","29","547","547","7811","2","0","0","0","0","0","0","0","0","226510","226395","2263950","93","0","0","0","0","0","6248756","6070794","30353790","466","0","0","0","0","0","-203069","3309","19854","13","7309","7309","43853","1","0","0","0","0","131827","131827","659133","16","1414812","1235273","7448887","175","262455","268298","88","2140","2007","3","302717","313694","175","7769","7769","28","0","0","0","1","1","1","0","0","0","0","0","0","113","113","1","6516280","6461839","462","4609184","4685462","453","164857","164857","3","4209","4209","2","204972","225891","63","131827","131827","16","1393796","1242233","132","7345","7345","14","76","0","0","0","0","0","1228237","1228237","15","2224844","2165746","680","0","0","0","0","0","0","1699833","1711811","25","65008","64944","10","21271794","0","3563481","712695","435869","87174","196420","429101","8976","1795","0","0","0","1795","1","0","327121","65424","9","2","120","65302","0","0","0","0","0","0","0","0","0","0","3890602","778119","435878","87176","196540","494403","588006","117601","0","0","0","117601","1348","270","0","0","0","270","2","0","0","588006","0","0","0","0","21271794","1228237"
"Удмуртская Республика","417526119","416335099","29520","7948223","7948223","158964438","6729","283029","283029","5948896","361","394777","394777","5639840","124","5666","5666","86606","6","0","0","0","0","18822641","18821610","188196738","2714","28915","28915","318064","19","0","263253937","262096668","1310434911","21689","34","0","0","0","0","1061122","1060597","6363579","411","48","48","243","2","0","0","0","0","541995","542001","2710081","193","100195148","100176317","614947069","14230","21193900","21185735","6536","32954","32954","20","24990368","24974111","9339","334388","329436","712","0","0","0","1507","1490","40","6636","6636","16","3395","2299","18","0","0","0","314432398","314408798","24562","206899283","207255551","23603","5459595","5466042","613","738673","732533","277","24391100","24423380","5779","538136","538142","185","76322073","75909787","12962","80367","80368","156","27","27","1","1355","1355","3","5034718","5034534","109","104025582","102889266","29671","0","0","0","0","0","0","5554797","5589365","328","3470932","3461798","256","156734204","0","73486600","14697319","10946293","2189258","1246751","11261310","492769","98554","7754","1551","0","97003","23","0","49879624","9975927","13862387","2772477","5708","7197742","0","0","0","0","0","0","0","0","0","0","123366224","24673246","24808680","4961735","1252459","18459052","23765717","4753142","368320","73663","6926","4672553","95562","19112","0","0","0","19112","6","0","1105619","24871336","0","0","0","0","156734204","5033312"
"Республика Хакасия","66676314","66496070","3943","644774","644774","12895563","647","3147","3147","66081","14","21159","21159","302278","7","0","0","0","0","0","0","0","0","2750714","2729834","27298348","703","10319","3099","34084","17","0","55009765","54874648","274373749","3119","0","0","0","0","0","137420","125874","755244","94","0","0","0","0","0","0","0","0","98391","98395","491976","45","6164197","6164743","41062434","1591","1679619","1676650","654","2571","2571","6","1837526","1831496","1202","45215","14007","386","0","0","0","62","66","8","303","303","2","5644","5644","4","8","8","2","56369751","56291023","3298","46010814","45953766","3168","2370074","2371255","62","269676","267576","38","1461976","1457339","533","97353","97207","45","6157107","6141174","1465","3844","3799","61","0","0","0","1595","1595","2","16311703","16311538","66","11907534","11844256","4158","0","0","0","0","0","0","17842177","17911627","80","292776","291482","36","115205750","0","9466034","1893206","1358359","271671","136540","1484995","1042","208","0","0","0","208","5","0","5429204","1085841","31523","6305","11026","1068510","0","0","0","0","0","0","0","0","0","0","14895238","2979047","1389882","277976","147566","2553505","1951491","390299","21645","4329","11273","374697","779","156","629","126","63","-33","6","0","0","1951491","0","0","0","0","115205750","12739559"
"Чеченская Республика","169376009","155959019","8861","4549542","4549542","90992447","3732","132607","132607","2784754","149","148042","148042","2114886","48","0","0","0","0","0","0","0","0","5822149","5813188","58063332","558","100074","100206","1102269","16","6","124623442","114583316","573067568","4642","0","0","0","0","0","1388481","1368014","8147093","134","1428","1428","28554","1","0","0","0","0","7249","7249","36245","2","26484130","23263834","144325358","2418","5758350","5629490","931","0","0","0","6119498","5992646","1366","90878","89977","55","0","0","0","0","0","0","0","0","0","3485","3485","9","356","356","5","157962930","143963219","6193","129868802","116923979","5742","3487123","3503723","127","180797","181517","72","9204664","9445622","827","7247","7247","1","14570027","13835966","1807","615511","81339","11","54","54","3","0","0","0","3733","3708","10","14476239","15090382","8917","0","0","0","0","0","0","2901364","2919594","16","437926","438939","22","2512806","0","29071960","5814393","11452096","2290421","269879","3254093","160681","32136","117283","23457","12906","-4227","17","0","1205411","241082","3002","600","185","240297","0","0","0","0","0","0","0","0","0","0","30277371","6055475","11455098","2291021","270064","3494390","2202332","440468","610596","122120","5235","313113","100120","20024","1413","283","0","19741","11","0","1145955","3348287","127578","0","8","0","2512806","3443"
"Чувашская Республика","231330493","231557207","13094","1448958","1448958","28979153","1394","8662","8662","181892","25","90731","90731","1296151","45","52","52","800","2","0","0","0","0","8015234","8079880","80798930","1492","410","320","3518","10","0","150069526","149933451","768927868","11186","0","0","0","0","0","874774","874331","5245988","204","0","0","0","0","0","0","0","0","264577","262310","1311548","129","59650757","59995483","364337324","7685","10305865","10262652","3261","16681","16694","7","10906812","10863030","5041","87810","87317","640","0","0","0","4263","4263","18","4506","4544","11","26155","17482","12","0","0","0","185891453","186279216","11805","115606808","115731438","11456","3592347","3596249","425","376013","378790","253","11316199","11304711","2831","257637","257312","125","54696871","54966372","7181","45828","44593","97","0","0","0","63","63","1","47316","47316","30","49138014","48968643","13249","0","0","0","0","0","0","3578337","3580760","167","521606","523058","159","18314841","0","32052615","6410522","5581766","1116354","345084","4949084","0","0","0","0","0","0","0","0","6613645","1322728","391467","78294","5346","1239088","0","0","0","0","0","0","0","0","0","0","38666260","7733250","5973233","1194648","350430","6188172","2020759","404150","561605","112321","2896","288933","0","0","0","0","0","0","0","0","494783","2515542","0","0","0","0","18314841","40176"
