GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49
Республика Тыва;9 365 994;11 641 790;8 583 063;10 186 956;4 841;3 230;3 974 368;6 949 248;906 985;1 530 065;187 904;328 401;110 564;206 151;62 719;105 795;0;0;125 185;222 649;92 171;193 816;42 601;22 284;117;101;50 558;86 113;24 007;43 031;0;0;755;3 144;730;841;353;939;247;232;0;0;379;2 018;408;569;0;1;5;8
Республика Хакасия;37 068 816;36 111 917;32 398 930;30 395 798;57 323;42 336;13 035 813;33 444 300;4 995 762;5 794 440;535 283;1 328 646;407 372;451 396;168 707;463 435;0;0;366 576;865 211;336 526;402 500;166 114;87 470;578;2 206;259 773;679 080;320 123;401 915;6 125;6 969;1 851;7 855;2 213;1 845;774;2 233;617;479;26;7;974;4 975;1 332;1 210;10;6;19;17
Алтайский край;164 736 551;67 079 883;151 474 161;60 970 024;576 804;149 577;58 059 918;114 423 933;14 514 710;6 686 972;3 506 193;6 890 625;2 207 526;1 013 521;1 130 737;1 971 319;0;0;2 375 456;4 919 128;1 971 351;936 978;539 745;160 848;32 774;17 347;3 642;0;162;0;1 517;0;8 932;31 049;9 524;5 096;3 656;7 965;2 262;1 304;3;0;2;0;1;0;21;29;87;34
Красноярский край;228 596 137;115 924 917;211 493 451;104 349 802;532 636;280 460;115 837 711;191 632 150;19 302 727;11 836 764;6 993 898;11 111 663;2 928 427;1 769 458;2 269 874;2 979 438;0;120;4 724 023;8 132 024;2 557 802;1 626 521;859 302;291 395;23 059;23 850;58 397;79 361;12 944;3 500;397 194;39 182;15 663;43 640;12 943;7 713;6 709;11 985;3 461;2 298;883;85;73;101;50;28;72;65;116;80
Иркутская область;197 856 566;97 602 496;180 519 467;87 012 901;405 945;170 964;84 103 964;141 921 122;19 386 436;10 996 034;5 051 581;8 499 821;2 629 371;1 553 660;1 643 928;2 418 351;0;0;3 406 839;6 080 240;2 348 087;1 448 642;679 817;216 430;33 339;12 058;39 921;28 339;297 228;97 185;28 472;6 269;12 002;37 317;11 700;7 373;5 491;11 304;3 518;2 567;60;13;39;52;414;140;24;26;97;49
Кемеровская область - Кузбасс;128 371 615;45 191 961;117 780 967;40 406 636;357 386;81 148;82 998 814;117 058 313;11 492 034;4 901 209;4 795 287;7 498 296;1 707 861;719 083;1 712 809;2 540 293;0;0;3 082 479;4 958 002;1 497 017;655 923;485 015;118 710;30 934;4 494;220 496;74 538;35 431;12 825;25 207;10 328;10 026;31 834;7 285;3 414;3 620;8 081;1 825;931;149;18;176;155;72;28;27;20;60;22
Новосибирская область;390 717 308;129 351 298;362 174 440;116 788 005;1 328 691;373 658;162 437 489;274 036 627;32 644 908;13 220 752;9 903 147;16 399 657;4 878 675;1 983 847;3 212 454;4 129 565;0;0;6 691 693;12 270 139;4 256 224;1 826 624;1 493 761;313 602;66 933;13 674;0;0;60 916;0;116 809;28 138;19 817;56 894;21 204;8 413;7 404;13 913;5 102;2 368;417;33;0;0;79;0;86;76;200;72
Омская область;96 303 270;61 056 395;87 173 224;53 766 342;486 670;123 225;70 278 196;193 705 062;9 398 396;7 446 935;3 247 768;6 595 439;1 268 039;894 497;1 127 252;2 091 286;0;0;2 120 516;4 504 153;1 124 063;817 732;323 171;148 257;24 538;11 369;1 014 899;4 972 790;147 803;184 369;98 368;30 102;9 234;28 858;6 732;3 829;3 783;5 626;1 983;736;231;26;749;5 590;212;332;38;43;59;26
Томская область;111 799 661;42 353 928;101 970 567;36 353 187;262 343;199 838;28 975 389;60 641 080;12 308 759;6 141 814;1 753 058;3 640 505;1 275 859;635 686;596 221;1 030 929;0;176;1 156 836;2 609 400;1 058 795;582 232;512 785;111 861;18 572;8 438;601;6 286;507 932;272 640;9 908;6 076;5 179;15 317;7 651;3 638;2 342;4 131;2 162;1 030;59;15;1;11;4 734;2 314;12;21;38;21
Республика Бурятия;57 305 235;27 103 658;52 515 314;24 066 727;222 931;162 354;29 967 421;85 646 104;5 123 507;3 121 062;1 296 991;2 630 168;736 634;423 053;427 861;851 750;0;41;869 130;1 779 935;655 940;394 365;183 820;57 738;5 870;923;513 849;2 507 062;39 023;43 064;6 989;856;4 781;13 202;3 927;2 076;2 363;4 394;1 383;691;57;9;419;2 080;94;104;8;27;32;11
Республика Саха (Якутия);113 675 346;75 844 996;99 560 935;64 666 111;321 610;75 884;54 858 968;98 826 436;15 730 127;11 443 996;1 663 995;2 713 302;1 307 751;872 001;407 322;970 668;0;0;1 256 597;1 742 634;1 076 948;745 016;568 148;286 378;19 123;1 623;1 648 194;3 100 315;952 948;766 283;139 635;32 210;4 668;16 559;5 925;4 870;2 108;4 490;1 827;1 278;506;120;2 111;10 193;3 566;3 251;15;19;68;44
Приморский край;209 274 472;94 336 529;190 405 311;82 546 619;498 841;109 240;109 239 640;174 448 259;20 965 763;11 990 423;6 479 299;10 401 258;3 138 208;1 822 497;2 043 239;2 489 761;0;0;4 435 113;7 909 652;2 884 489;1 734 167;618 585;162 880;39 801;5 255;131 278;107 055;48 737;1 734;14 751;9;14 366;33 607;10 952;5 110;6 207;9 745;2 755;1 646;35;2;114;253;37;3;35;49;120;67
Хабаровский край;158 695 124;47 518 249;145 709 451;42 215 081;661 564;204 573;57 721 191;111 566 300;14 005 139;5 574 800;3 470 820;6 684 915;2 052 053;807 079;1 076 775;1 699 136;0;0;2 394 030;4 985 835;1 799 918;755 338;591 979;102 589;52 633;3 715;40 328;34 648;72 222;30 291;12 538;9 640;8 172;19 176;8 103;3 126;3 530;4 462;2 004;1 004;30;7;61;76;152;38;30;34;101;27
Амурская область;61 534 040;34 963 047;56 648 660;30 952 442;226 294;38 939;33 368 872;55 334 673;5 724 371;4 121 004;1 780 522;3 098 210;826 953;594 299;554 551;720 914;0;0;1 225 971;2 377 492;741 509;560 932;214 175;68 381;8 756;3 700;244 658;191 124;34 590;26 376;46 447;2 830;3 318;10 818;3 191;2 206;1 311;3 418;827;701;88;13;157;259;93;49;14;14;28;15
Камчатский край;58 981 194;34 405 860;52 142 679;28 253 713;120 821;55 863;15 135 041;27 372 752;7 642 579;6 231 308;871 584;1 598 275;784 298;637 161;278 146;397 768;0;0;593 439;1 200 507;690 938;606 905;215 087;64 709;4 036;4 574;41 864;39 460;342 005;293 385;15 875;3 002;2 212;5 736;3 161;2 041;1 214;2 079;1 000;758;54;10;53;106;2 015;1 203;4;12;16;17
Магаданская область;15 336 180;12 173 198;13 951 941;10 482 877;17 219;12 100;9 834 277;16 316 053;1 591 313;1 786 477;576 143;979 927;225 145;268 473;202 220;210 983;0;0;373 923;768 944;200 640;258 243;56 267;23 103;61;1 351;16 738;11 914;15 853;5 330;1 491;0;865;2 640;657;428;373;747;132;96;6;0;12;11;26;5;2;9;6;11
Сахалинская область;89 829 899;30 398 238;82 477 820;27 452 392;233 983;46 762;43 858 031;57 354 724;8 449 802;3 204 584;2 625 999;3 317 227;1 217 421;468 683;833 088;816 869;0;0;1 792 911;2 500 357;1 061 583;429 428;354 873;86 958;11 590;1 097;39 526;47 298;52 887;8 092;103 404;4 286;3 825;9 201;3 357;1 568;1 671;2 737;785;546;156;18;20;40;183;46;19;22;52;18
Забайкальский край;49 079 803;30 210 281;44 837 376;26 682 971;55 606;66 234;30 847 519;62 690 356;4 716 354;3 576 992;1 533 710;2 258 771;693 755;496 083;455 635;643 305;0;0;1 078 075;1 615 502;628 269;454 280;176 654;87 283;3 111;110;354 063;1 467 857;21 820;39 771;39 650;5 289;3 301;11 060;2 751;1 618;1 538;3 913;897;557;76;9;206;1 492;43;48;20;13;36;22
Еврейская автономная область;9 354 325;3 899 496;8 512 651;3 503 695;26 748;7 410;3 633 508;5 603 082;893 378;409 609;217 371;334 687;132 524;59 082;62 560;94 633;0;0;154 811;240 054;117 936;54 179;36 955;11 204;1 906;645;1 854;4 776;2 175;1 915;0;10;423;1 208;531;269;192;288;152;70;0;1;6;10;14;5;1;2;4;1
Чукотский автономный округ;3 394 001;780 207;3 138 129;586 595;5 091;3 690;5 986 965;10 072 430;354 117;198 195;81 179;124 745;22 315;7 119;32 900;52 440;0;0;48 278;72 305;12 644;4 179;25 006;5 106;28;0;283 990;484 307;25 814;9 239;42;0;318;672;120;50;126;110;28;9;4;0;186;507;76;36;5;5;3;0
Донецкая Народная Республика;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х
Луганская Народная Республика;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х
Запорожская область;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х
Херсонская область;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х
