G1;G2;G3;;;
Республика Тыва;27 171 286 761,70;3 306 600 412,00;;;
Республика Хакасия;60 944 404 160,80;7 585 029 392,00;;;
Алтайский край;194 268 815 081,04;23 620 645 442,00;;;
Красноярский край;534 339 431 693,17;67 007 971 838,00;;;
Иркутская область;374 930 081 136,31;46 657 835 704,00;;;
Кемеровская область;368 698 840 637,29;45 845 840 059,00;;;
Новосибирская область;439 289 113 171,59;51 964 500 529,00;;;
Омская область;226 276 780 037,62;25 719 714 958,00;;;
Томская область;168 976 076 320,33;20 943 110 834,00;;;
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;1 581 926 493 143,74;209 831 685 422,00;;;
Республика Бурятия;94 613 948 588,42;11 821 240 059,00;;;
Республика Саха (Якутия);284 097 870 831,58;36 403 037 747,00;;;
Приморский край;282 422 220 942,99;35 966 643 401,00;;;
Хабаровский край;256 101 209 567,44;40 625 801 126,00;;;
Амурская область;126 984 903 835,88;15 981 534 840,00;;;
Камчатский край;110 434 199 541,61;14 243 201 762,00;;;
Магаданская область;66 706 357 878,54;8 519 486 282,00;;;
Сахалинская область;181 601 977 875,74;23 561 588 865,00;;;
Забайкальский край;126 249 967 210,47;15 940 152 025,00;;;
Еврейская автономная область;19 340 444 529,62;2 466 819 093,00;;;
Чукотский АО;33 373 392 341,45;4 302 180 222,00;;;
