"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67"
"Ивановская область","3 780","","0","0","197","0","25 811","164","1","2 389","3 202","1 059","913","469","41","8","4","12","1 014","56","553","4 066","617","663","2 090","3 967","77","94","17 115","65","19","4","0","2","12","1","0","1","1 850","7 122","6 008","11 145","19 465","4 017","0","1","14","6 072","543","909","10 339","2 415","6 226","39 826","52","300","111 936","69","357","1","0","8","580","1","0","1","0","0","3 268",""
"Иркутская область","10 035","","X","X","X","0","97 485","1 617","89","5 335","9 164","2 667","2 489","1 938","141","116","27","69","5 376","1 573","1 157","13 592","2 777","5 215","15 814","22 498","555","781","67 303","417","269","5","3","19","31","140","302","40","3 257","12 653","14 297","26 248","71 822","16 123","4","4","64","13 062","15 858","1 441","41 306","15 679","56 841","485 045","199","2 429","757 581","111","2 757","17","142","78","733","753","3 627","4 806","X","X","X",""
"Калининградская область","6 304","","0","0","91","0","40 078","554","29","2 546","5 481","1 639","1 354","625","53","24","6","32","1 287","818","1 264","4 896","910","735","7 574","5 929","10","22","29 190","170","87","11","2","1","4","14","41","8","693","12 227","10 601","19 638","35 400","8 948","2","2","89","5 424","21 705","2 447","23 264","7 051","10 176","254 692","7","77","403 409","497","2 699","31","1 157","17","171","1 137","5 870","285","0","0","2 784",""
"Калужская область","4 435","","0","0","712","0","45 447","79","4","3 343","4 804","1 697","1 365","690","50","50","2","49","1 122","477","664","6 483","749","985","6 515","6 181","72","80","28 994","10","8","1","1","0","3","0","0","4","2 221","11 709","13 466","21 086","36 727","7 357","6","10","169","4 952","8 595","572","13 947","2 719","7 135","123 499","59","254","246 814","27","246","4","1 040","0","179","0","0","315","0","0","17 921",""
"Камчатский край","1 639","","0","0","30","0","16 223","6 772","64","529","1 608","400","235","335","13","6","5","6","536","352","189","1 867","379","951","1 741","4 234","406","474","9 139","675","89","1","1","1","22","29","68","37","425","3 581","1 881","2 677","14 791","2 682","1","3","15","3 007","8 808","355","9 178","3 169","13 677","46 516","289","1 968","108 082","674","3 747","7","1 217","10","809","6 609","12 432","8 215","0","0","2 802",""
"Кемеровская область - Кузбасс","7 009","","0","0","512","0","78 185","314","23","4 795","7 894","2 821","2 310","1 535","71","70","10","43","3 145","2 432","878","8 918","1 474","2 588","8 192","18 836","329","602","47 103","154","55","1","0","9","15","15","28","20","2 746","13 092","20 978","33 219","71 938","11 545","4","2","118","9 675","29 363","1 806","41 816","11 778","36 211","238 952","228","1 979","511 697","67","201","1","0","41","439","7","92","678","0","0","27 290",""
"Кировская область","5 158","","0","0","223","0","47 621","140","9","3 410","4 994","1 226","1 075","536","36","79","7","9","1 606","196","841","6 164","795","1 555","3 818","9 736","306","141","26 311","73","16","0","0","1","4","0","3","9","4 950","15 720","10 051","17 034","28 599","4 866","6","2","32","9 991","4 609","1 719","28 563","6 172","21 954","115 776","264","551","265 177","134","354","0","0","10","186","0","91","381","0","0","37 237",""
"Костромская область","2 722","","0","0","78","0","23 263","133","13","2 100","2 631","735","603","309","14","41","10","9","1 125","168","482","3 388","512","800","2 098","4 342","183","125","15 011","54","33","0","0","4","2","1","5","5","2 376","8 885","5 420","8 790","15 432","1 666","5","3","26","5 464","3 787","993","15 771","4 107","11 152","64 487","158","452","146 698","105","1 510","0","0","46","164","1","91","13 818","0","0","7 156",""
"Курганская область","2 541","","0","0","90","0","27 858","97","10","2 457","2 538","598","494","341","26","29","4","11","1 457","235","708","3 858","392","915","2 077","4 142","194","110","16 113","71","4","0","0","2","0","1","2","10","1 911","7 731","3 782","5 778","12 191","2 552","1","1","18","5 738","1 923","1 469","18 282","3 180","12 709","59 374","102","304","134 088","95","82","0","0","18","0","1","12","441","0","0","10 752",""
"Курская область","3 869","","X","X","X","0","47 191","53","7","5 020","4 603","1 343","940","521","52","45","3","4","2 683","457","811","5 783","799","1 595","4 918","6 141","17","46","29 525","23","11","0","0","0","5","0","0","7","5 803","15 890","10 912","15 104","29 930","7 572","3","1","9","16 634","10 919","1 646","27 529","6 178","22 268","139 273","14","217","302 099","82","475","0","0","0","463","0","0","440","X","X","X",""
