GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43
  Республика Тыва;5 450 544;5 348 512;4 725 539;4 635 821;5 854;24 898;2 109 808;2 781 253;778 394;705 120;36 413;36 360;44 095;41 789;14 158;15 274;0;0;22 256;21 086;33 088;28 561;31 091;31 596;373;279;90 119;130 431;11;0;502;1 188;614;535;210;250;186;104;1;0;239;806;278;342
  Удмуртская Республика;86 091 264;33 358 905;77 806 387;28 753 658;649 156;158 552;24 640 059;65 048 412;9 790 839;4 820 874;1 179 793;2 280 467;1 013 092;520 687;397 489;706 874;0;0;782 297;1 574 686;850 884;482 590;394 482;77 283;20 486;7 918;298 584;1 563 604;61 234;28 507;5 680;16 559;8 589;5 002;2 356;4 156;2 503;1 445;251;88;244;961;1 403;548
  Республика Хакасия;19 759 893;15 786 620;17 843 581;13 442 856;153 896;44 352;7 462 541;11 014 156;2 205 303;2 388 079;305 106;396 980;177 954;176 002;106 605;149 494;0;0;198 501;247 367;137 401;157 209;107 959;39 037;1 632;362;142 630;261 573;1 955;844;1 801;5 104;2 191;1 384;769;1 237;685;304;24;6;850;3 095;1 134;872
  Чеченская Республика;4 969 377;3 426 161;4 382 744;2 667 695;3 985;55 735;10 280 388;30 374 271;700 044;737 851;121 817;321 354;37 244;40 493;31 875;133 824;0;-56;89 943;187 587;27 700;35 006;29 395;12 436;154;81;496 297;1 491 811;5 311;0;1 058;3 172;677;504;334;845;284;163;17;0;699;2 195;314;313
  Чувашская Республика;58 151 398;22 696 866;53 869 716;20 780 721;256 728;118 634;18 919 947;31 197 290;4 825 732;2 207 996;1 084 975;1 752 250;648 230;292 529;407 494;563 013;0;49;677 483;1 189 245;524 896;258 532;281 185;73 601;12 475;1 868;50 480;118 073;1 042;38;4 490;15 981;5 436;3 021;1 763;3 492;1 500;691;9;1;87;1 038;430;331
  Алтайский край;96 456 846;27 259 738;89 239 875;24 729 012;420 958;136 565;35 023 766;51 153 541;8 359 530;2 684 483;2 100 539;3 060 352;1 244 742;398 255;722 615;916 736;0;0;1 377 979;2 143 852;1 107 417;369 940;357 981;66 843;21 589;5 005;0;2 114;2 586;2;9 368;19 449;9 621;3 722;3 890;3 709;2 519;781;14;1;0;6;1;4
  Краснодарский край;202 538 283;119 813 575;188 287 167;107 672 685;1 237 450;705 994;138 422 296;323 730 491;18 978 976;12 992 477;7 687 553;17 818 861;2 600 264;1 717 526;2 749 621;4 626 446;0;0;4 937 156;13 199 715;2 252 995;1 546 238;866 656;353 891;52 768;44 280;618 374;1 593 584;0;0;30 374;108 693;17 173;11 706;13 313;29 851;4 838;2 864;0;0;1 746;9 486;1 044;1 141
  Красноярский край;126 188 415;39 847 514;115 815 822;35 642 862;509 346;155 067;72 430 533;84 797 956;11 482 905;4 539 949;3 942 145;4 169 871;1 478 967;502 690;1 344 315;1 158 523;0;0;2 597 777;3 012 283;1 237 613;441 745;582 596;149 206;20 338;3 305;401 518;649 085;212 569;23 416;15 596;28 997;12 495;5 039;6 679;6 800;3 756;1 376;772;82;795;2 263;626;426
  Приморский край;115 347 513;47 285 779;106 543 444;41 999 685;242 619;118 587;71 248 413;84 010 003;10 315 853;5 650 785;2 398 968;2 953 270;1 504 370;833 481;905 648;1 002 334;0;0;1 494 117;1 944 583;1 336 664;791 141;417 932;106 035;20 167;11 071;1 877 016;2 073 544;5 664;1 080;14 426;23 324;10 177;3 826;6 337;6 123;3 091;944;36;6;5 854;11 533;245;81
  Ставропольский край;75 055 714;61 353 634;68 138 018;53 874 050;163 441;63 185;33 925 936;71 135 971;7 554 324;7 921 389;1 952 786;3 989 280;973 337;848 051;712 140;1 151 478;0;0;1 240 647;2 837 801;853 303;765 280;280 146;162 887;12 313;4 311;82 092;252 367;23 770;26 749;9 040;31 423;7 255;5 883;3 890;8 497;2 258;1 318;75;28;263;1 252;411;571
  Хабаровский край;88 997 296;20 763 645;82 919 178;18 312 904;515 389;195 684;38 407 003;51 064 429;7 676 681;2 500 912;2 199 291;2 921 426;1 071 239;320 720;712 432;768 336;0;0;1 486 206;2 153 925;909 124;299 353;388 693;53 485;31 234;1 373;115 492;156 701;4 703;23 775;8 469;14 514;7 913;2 395;3 622;3 197;2 225;608;29;16;304;858;366;159
  Забайкальский край;29 753 987;17 092 206;27 617 623;15 695 123;71 457;43 669;15 314 161;16 446 660;2 441 472;1 639 533;870 055;879 259;378 354;211 675;281 954;239 633;0;0;586 503;639 691;304 311;174 162;128 792;70 873;4 429;4 163;45 353;99 173;10 378;476;3 087;6 907;2 869;1 607;1 474;2 069;1 053;522;44;3;73;380;21;55
  Амурская область;42 648 186;18 997 258;39 006 023;16 742 518;183 328;27 265;18 473 979;27 147 133;3 964 754;2 359 806;1 031 430;1 439 746;554 653;303 373;322 939;354 843;0;0;709 147;1 084 567;492 608;275 637;170 506;57 662;4 989;1 784;76 840;175 224;13 576;1 131;3 260;8 295;3 350;1 850;1 353;1 927;944;477;57;12;152;571;114;139
  Архангельская область;51 515 502;17 945 643;46 993 953;15 867 330;1 920 101;74 077;28 899 140;39 325 268;4 813 839;2 197 733;1 190 778;1 620 992;596 410;268 229;405 834;600 420;0;0;784 944;1 020 114;486 715;236 848;259 810;58 400;26 062;2 767;543 095;721 588;16 236;4 315;5 703;15 407;4 838;2 021;2 556;3 772;1 444;488;159;18;2 712;9 390;469;219
  Астраханская область;23 529 908;16 814 446;21 603 115;15 598 903;123 239;102 088;14 101 514;19 019 246;2 315 231;1 975 920;811 475;969 442;326 304;273 216;300 654;349 485;0;0;510 821;723 685;289 907;252 407;95 635;45 582;12 152;6 715;34 620;62 109;4 377;744;3 537;9 089;2 854;1 961;1 396;2 130;823;415;49;13;90;267;127;98
  Белгородская область;51 850 785;24 432 526;47 985 380;22 241 159;511 282;216 012;25 008 673;33 815 359;4 422 871;2 438 829;1 453 721;2 024 090;623 919;356 212;540 603;611 962;0;0;913 117;1 411 749;525 763;319 939;236 255;76 901;29 102;12 774;43 049;0;3 499;890;5 281;15 648;4 577;3 611;2 131;3 218;1 159;918;30;8;24;0;101;45
  Брянская область;35 228 182;15 885 742;32 447 399;13 785 626;106 202;12 157;18 062 610;31 179 688;3 134 707;2 169 258;1 030 860;1 796 529;442 839;307 018;386 461;530 115;0;0;644 399;1 265 594;394 493;294 057;124 963;22 417;4 055;1 362;52 415;74 153;0;0;3 552;13 182;3 249;1 720;1 283;2 839;913;440;0;0;85;299;85;79
  Владимирская область;54 490 301;21 791 670;50 579 402;19 658 997;328 830;76 792;30 928 330;46 142 313;4 575 683;2 270 467;1 686 568;2 555 080;637 141;297 496;626 337;763 513;0;0;1 060 190;1 791 239;534 880;272 111;248 331;57 048;6 180;2 238;169 067;201 142;10 101;2 311;6 991;16 314;5 708;2 639;2 760;3 177;1 663;569;120;18;434;1 038;294;216
  Волгоградская область;61 056 622;26 965 694;54 898 414;23 498 651;438 860;104 279;39 394 419;61 185 240;6 531 516;3 587 672;2 182 293;3 425 233;865 341;462 444;814 682;1 058 599;0;0;1 367 614;2 366 632;760 891;430 638;245 162;62 446;23 333;3 190;180 754;214 996;30 887;4 817;9 634;25 352;7 362;3 641;3 919;5 139;2 212;811;154;43;305;1 244;358;292
  Вологодская область;68 666 634;21 135 447;63 813 677;19 205 025;284 910;185 844;21 438 201;30 007 366;5 604 827;2 014 904;1 240 872;1 731 121;772 845;282 287;426 481;577 659;0;0;814 390;1 153 142;637 478;245 491;324 679;74 102;17 771;20 332;45 420;68 147;0;0;6 215;13 790;8 074;3 026;2 952;3 196;2 412;949;0;0;132;447;150;109
  Воронежская область;92 925 813;34 389 794;87 367 037;30 914 702;700 455;358 758;52 022 480;72 441 809;7 569 961;3 632 867;3 006 360;4 288 386;1 095 291;515 774;1 032 644;1 147 354;0;0;1 973 716;3 141 024;928 272;462 493;423 760;112 839;45 323;17 443;114 991;57 633;484;39;7 779;21 668;7 823;3 754;2 670;4 479;1 859;969;8;4;146;216;99;34
  Ивановская область;78 796 614;30 523 213;72 850 161;25 949 528;357 298;129 133;14 499 522;26 137 771;6 981 832;4 550 943;837 045;1 493 324;792 258;406 141;290 786;428 773;0;0;546 258;1 064 559;658 490;372 792;361 933;67 673;19 417;9 016;32 791;37 938;34 561;139 201;4 245;9 765;7 152;3 400;1 787;2 474;1 975;977;112;94;106;221;560;238
  Иркутская область;121 840 775;36 223 511;111 926 307;32 551 398;446 652;184 712;60 962 559;70 955 984;11 343 788;3 921 637;3 656 115;4 221 455;1 534 699;552 754;1 176 762;1 121 856;0;0;2 478 973;3 099 678;1 353 354;508 997;457 940;96 648;22 895;11 747;1 754;3 473;27 240;6 966;12 800;25 866;12 283;5 327;5 870;7 640;4 208;1 797;132;21;17;33;374;138
  Калининградская область;192 789 708;36 703 925;191 836 098;33 108 211;1 612 949;155 882;42 825 764;50 163 523;17 526 211;4 049 933;2 546 442;2 979 283;2 625 047;606 420;707 046;837 962;0;0;1 839 397;2 145 708;2 432 032;578 347;485 857;62 196;88 270;10 311;23 019;28 915;0;0;7 973;16 291;14 795;4 181;3 251;4 065;4 383;1 309;0;0;16;85;10;9
  Калужская область;40 857 450;19 895 310;38 036 398;17 527 792;232 840;122 964;23 814 203;35 224 055;3 650 889;2 486 682;1 355 676;1 996 522;413 723;271 411;472 033;572 726;0;0;883 644;1 423 792;330 488;234 842;212 397;72 165;7 165;2 417;73 186;115 744;47;105;5 014;13 049;4 182;2 065;1 984;2 992;1 208;510;1;1;135;528;331;243
  Камчатский край;32 998 288;14 818 519;28 202 014;11 918 440;227 597;71 041;10 467 558;17 583 702;5 044 672;2 966 163;368 788;570 419;398 196;216 251;139 462;191 148;0;0;229 327;378 962;337 524;196 423;146 244;43 180;12 113;866;259 220;464 169;19 556;5 119;2 330;4 525;3 088;1 538;1 324;1 389;1 142;507;65;23;657;2 057;1 854;956
  Кемеровская область - Кузбасс;77 414 618;16 497 092;71 184 711;14 815 075;600 794;58 862;51 308 656;59 559 725;6 973 511;1 786 283;2 841 808;3 256 791;966 693;239 176;1 037 774;911 823;0;0;1 804 035;2 344 950;829 065;216 033;333 096;54 661;37 472;3 599;234 266;290 442;27 537;919;10 560;22 543;7 788;2 645;3 840;4 641;2 136;624;179;14;432;1 200;277;152
  Кировская область;72 211 348;25 109 018;67 217 218;22 296 374;321 252;168 320;25 295 184;39 257 995;5 495 416;2 841 997;1 479 725;2 219 964;810 780;406 406;549 569;753 967;0;0;930 155;1 465 685;682 315;374 724;329 399;66 544;22 557;8 300;37 848;92 534;40 544;3 623;7 044;16 733;7 543;2 792;3 217;3 472;2 243;601;273;33;45;447;56;75
  Костромская область;41 240 977;20 669 250;38 422 866;18 526 505;414 153;173 655;13 668 476;20 747 558;3 318 170;2 237 075;789 017;1 177 560;458 991;289 915;279 013;369 731;0;0;510 004;807 826;388 160;263 905;177 564;56 240;28 910;7 096;31 144;51 298;15 931;5 318;3 235;7 178;3 809;1 946;1 482;1 660;1 082;434;36;5;88;443;196;205
  Курганская область;21 679 040;10 700 112;20 151 535;10 020 376;154 429;25 548;9 515 191;11 603 828;1 889 885;1 015 846;565 108;650 637;271 855;140 958;221 322;209 854;0;0;343 786;440 820;239 239;127 925;86 161;32 487;4 738;1 219;5 810;28 578;14 413;3 420;2 427;5 652;2 881;1 468;1 020;1 030;933;318;52;25;11;36;46;45
  Курская область;26 523 391;19 618 942;24 588 787;17 749 665;187 197;33 898;13 890 982;26 852 991;2 219 323;2 043 541;796 496;1 464 440;311 633;265 110;293 379;433 892;0;0;503 116;1 030 575;269 792;236 142;117 034;53 864;19 787;1 297;36 963;120 323;26 389;3 527;3 121;9 812;3 101;2 024;1 306;2 191;924;442;105;13;139;658;111;154
  Ленинградская область;81 381 977;71 500 295;66 830 526;45 860 710;387 329;197 001;22 482 279;51 715 915;15 879 532;26 064 794;1 263 852;2 875 179;807 427;1 301 659;472 225;828 408;0;0;791 596;2 046 996;630 634;1 199 316;453 955;184 304;7 597;2 323;85 022;173 050;47 448;50 986;6 119;19 477;8 719;8 220;2 958;3 604;2 682;1 774;174;94;135;678;5 761;6 138
  Липецкая область;45 493 564;21 407 256;40 872 706;18 147 240;293 555;326 795;10 907 896;21 655 090;4 991 414;3 255 271;614 505;1 199 490;578 314;326 851;224 874;345 791;0;5;389 631;852 289;489 585;296 075;205 894;59 970;17 222;14 571;38 734;89 642;10 143;7 594;2 254;8 475;4 917;3 276;794;1 930;1 287;930;34;28;91;389;580;589
  Магаданская область;8 452 238;5 622 315;7 734 864;4 938 292;45 128;6 253;6 775 479;7 973 599;814 972;707 305;396 807;134 656;107 625;99 785;136 070;97 620;0;0;260 736;371 721;96 642;94 352;32 549;50 868;6 762;105;6 772;9 292;77;0;1 011;2 097;701;290;464;315;313;40;2;0;14;18;36;9
  Московская область;362 097 861;120 426 526;333 823 002;106 329 799;1 877 472;532 413;277 752 129;495 329 266;32 807 795;14 806 937;16 663 016;29 629 989;4 841 780;2 195 710;5 939 527;7 430 494;1 423;5 463;10 722 665;22 187 241;4 277 580;2 069 599;1 418 485;270 711;67 846;34 571;12;12 900;150 563;14 293;50 290;138 421;31 373;15 633;22 610;32 648;8 973;4 487;776;84;2;45;362;92
  Мурманская область;40 543 908;7 393 308;36 325 979;6 196 622;173 393;75 440;20 554 381;26 354 403;5 447 907;1 232 510;235 226;353 609;302 426;71 923;101 342;175 773;0;0;133 903;177 875;196 686;54 930;278 788;38 969;3 570;264;998 038;1 208 817;17 973;1 471;3 976;8 619;3 741;1 092;1 814;1 992;1 123;294;41;4;1 953;5 251;1 137;633
  Нижегородская область;143 815 220;48 574 341;133 780 331;43 921 009;1 250 567;243 983;72 345 548;100 878 068;12 103 050;5 075 309;4 340 731;6 041 553;1 814 915;760 826;1 573 949;1 777 261;0;0;2 766 781;4 264 142;1 554 013;695 082;650 972;130 227;68 294;19 105;0;2 281;11 965;279;14 583;33 026;15 093;6 093;5 554;6 072;4 138;1 445;42;3;0;1;0;0
  Новгородская область;22 181 996;6 520 315;20 792 254;6 169 048;79 659;49 867;10 330 432;13 787 055;1 751 209;793 082;564 199;763 059;243 705;88 600;214 758;260 204;0;41;349 441;502 783;199 310;78 557;114 310;24 836;3 219;1 121;14 381;29 497;10 923;898;2 441;6 248;2 670;1 076;812;1 267;667;257;29;5;22;168;90;52
  Новосибирская область;230 029 616;47 278 093;214 597 440;45 432 917;1 087 581;183 862;101 473 977;130 129 382;19 000 782;4 927 429;6 088 426;7 699 175;2 849 495;730 082;2 083 307;2 089 068;0;0;4 005 057;5 607 689;2 356 075;666 976;966 095;124 268;61 079;6 235;0;0;114 286;9 034;20 696;40 951;21 797;5 872;7 944;8 365;5 783;1 464;587;41;0;0;0;0
  Омская область;68 285 729;30 700 150;62 317 735;27 419 635;410 410;132 250;36 683 419;51 897 635;6 290 594;3 362 812;1 822 656;2 530 464;844 069;456 811;655 523;773 840;0;0;1 167 133;1 756 620;752 400;418 547;222 711;72 999;35 684;8 754;378 348;540 692;42 730;10 161;8 974;18 587;7 369;3 661;3 839;4 315;2 287;812;286;26;604;1 377;285;124
  Оренбургская область;68 638 907;32 254 698;62 126 698;28 108 245;382 421;107 949;18 682 930;30 180 963;7 357 649;4 408 298;1 088 334;1 703 226;728 666;419 345;399 300;498 310;0;0;689 513;1 203 889;578 648;364 256;365 128;111 433;6 601;4 436;32 126;69 431;38 878;17 722;5 850;14 189;7 310;4 805;2 873;3 525;2 141;1 299;87;56;87;387;4 722;3 425
  Орловская область;24 918 052;12 798 032;23 035 290;11 053 597;265 711;44 700;11 280 835;17 085 295;2 228 115;1 735 958;658 283;964 307;298 766;234 399;234 002;290 706;0;0;424 197;673 657;247 590;221 565;125 944;28 181;7 484;4 133;18 057;19 675;41 184;2 153;2 508;7 020;2 465;1 487;1 040;1 516;661;311;180;14;51;294;131;107
  Пензенская область;48 735 591;30 647 868;45 152 640;27 708 419;258 211;156 852;22 013 641;40 187 286;4 183 304;3 080 731;1 270 984;2 204 421;606 501;415 783;442 871;645 183;0;0;828 114;1 559 237;531 996;364 423;194 370;85 049;24 329;5 817;49 835;122 542;84 274;16 332;4 786;13 592;4 393;2 618;1 996;3 078;1 284;571;192;27;148;642;92;108
  Пермский край;142 890 431;65 358 609;132 554 334;59 381 035;743 400;433 263;50 764 177;98 127 764;11 895 026;7 740 430;2 457 167;4 868 138;1 483 972;810 562;844 458;1 522 562;0;0;1 612 709;3 345 573;1 202 551;690 991;741 222;250 247;20 814;8 518;588 484;972 478;47 082;8 654;12 501;34 838;14 571;7 198;4 770;7 707;3 576;1 940;241;49;1 148;3 848;1 195;922
  Псковская область;31 313 269;8 433 759;29 042 362;7 292 967;183 197;91 630;10 450 020;14 383 151;2 682 386;1 219 495;599 789;793 723;326 943;142 643;215 676;240 688;0;0;384 112;553 035;264 819;133 706;160 926;20 356;11 305;945;27 213;11 130;57 415;12 018;2 534;6 197;3 127;1 143;1 049;1 088;821;259;269;36;56;71;370;107
  Ростовская область;160 059 653;109 199 915;141 172 914;90 805 125;788 631;457 693;72 174 700;161 931 339;20 730 994;19 255 778;3 968 340;8 807 165;1 963 524;1 767 950;1 477 093;2 472 404;0;0;2 491 140;6 334 944;1 683 430;1 598 346;690 882;330 812;30 230;12 856;362 024;780 339;130 116;0;15 794;53 237;14 566;11 038;6 295;12 141;3 923;2 396;508;0;722;3 383;8 639;7 969
  Рязанская область;42 556 805;17 540 528;39 481 462;15 739 656;257 940;41 279;27 041 161;35 697 356;3 554 072;2 032 929;1 491 706;1 979 889;484 687;249 225;495 667;526 733;0;0;995 739;1 453 015;416 770;232 728;179 074;34 558;13 701;708;129 955;149 751;11 919;1 023;4 928;10 881;4 104;1 895;1 715;2 436;1 041;511;69;5;184;489;170;91
  Самарская область;132 335 773;27 806 662;122 671 260;24 882 145;596 369;198 926;72 040 383;90 957 667;11 024 002;3 012 196;4 301 135;5 443 525;1 637 283;449 656;1 576 147;1 437 723;0;0;2 724 988;4 005 802;1 441 375;406 487;541 396;88 719;45 942;12 791;21 288;7 914;6 021;1 581;15 885;30 506;15 955;4 682;5 525;5 881;4 544;1 406;75;12;45;25;49;12
  Саратовская область;62 007 348;29 735 446;57 440 958;26 617 417;198 915;130 527;37 789 606;54 568 729;5 358 380;3 207 553;2 063 792;2 982 821;760 081;449 105;779 570;903 044;0;0;1 284 225;2 079 837;658 169;411 343;263 162;86 978;6 356;8 216;203 475;265 460;24 179;4 617;10 122;21 345;7 499;3 626;4 334;4 776;2 142;788;89;22;456;1 224;411;168
  Сахалинская область;47 917 565;16 093 780;45 007 982;14 434 605;299 833;59 154;30 797 264;32 543 423;4 222 058;1 784 927;1 806 837;1 711 417;585 039;251 534;615 302;442 026;0;0;1 191 534;1 269 351;508 223;231 382;243 389;49 156;6 826;4 499;36 449;168 279;71 595;2 264;4 102;7 874;3 103;1 259;1 885;2 049;971;379;172;23;60;209;216;52
  Свердловская область;341 772 316;215 032 715;287 916 981;156 567 086;1 765 780;1 526 335;58 458 286;131 666 228;59 124 428;58 973 208;3 447 421;7 593 938;3 842 196;3 673 618;1 252 579;2 217 962;0;0;2 194 841;5 375 972;3 172 921;3 413 745;1 677 010;489 103;36 430;24 953;60 077;176 155;129 876;166 354;16 770;52 139;36 128;24 772;7 754;12 821;10 554;6 651;483;293;96;714;25 572;17 819
  Смоленская область;46 717 277;25 494 329;40 856 089;19 730 733;222 140;136 536;10 965 313;17 185 392;6 927 697;5 869 807;611 755;961 295;444 148;384 545;221 411;279 743;0;0;390 328;681 596;333 462;348 725;283 609;79 072;6 560;3 278;44 524;62 215;13 064;9 156;2 772;6 765;5 475;3 647;1 140;1 656;1 608;1 020;93;34;74;221;2 923;2 006
  Тамбовская область;26 017 799;12 152 827;24 103 219;10 918 527;55 471;71 665;14 418 803;19 409 997;2 201 781;1 216 231;845 426;1 100 976;312 265;167 159;323 417;329 680;0;0;522 009;771 296;265 556;147 865;108 358;31 746;1 916;4 975;19 703;40 186;22 001;287;3 332;8 327;2 774;1 432;1 384;1 903;989;339;83;6;103;273;64;55
  Тверская область;53 232 788;15 682 832;50 197 085;13 939 724;252 906;88 691;27 368 016;38 292 682;4 327 911;1 851 876;1 585 542;2 237 333;628 659;267 241;602 643;647 593;0;0;982 905;1 591 906;534 878;250 847;241 838;37 954;15 829;6 312;56 655;55 356;2 181;869;6 707;13 342;5 843;1 838;2 701;2 798;1 672;424;9;3;130;212;85;31
  Томская область;65 153 986;18 566 501;58 734 388;15 943 213;171 275;89 534;20 504 892;32 850 369;7 586 752;2 685 510;1 202 298;1 870 890;764 650;272 239;417 315;519 036;0;0;775 851;1 350 398;639 019;248 727;311 541;54 074;6 968;10 125;37 040;59 513;6 800;3 265;5 591;12 068;7 551;2 655;2 500;2 852;2 488;639;68;21;146;507;4 388;1 720
  Тульская область;46 604 816;18 896 518;42 988 265;17 067 514;304 743;130 434;31 648 184;49 821 239;4 182 602;1 951 067;1 608 351;2 290 005;532 241;264 560;571 496;706 703;0;0;1 036 865;1 582 567;436 759;240 327;233 262;60 697;24 451;2 703;290 236;542 868;144 275;2 025;6 297;15 074;4 650;2 235;2 430;3 284;1 308;562;340;23;661;1 659;363;165
