GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172
Республика Адыгея;127604;1537654;0;386660;0;146;17;426;0;0;0;3516753;40085;58312;0;2701240;0;0;0;0;8909;0;-11301;0;0;0;617567;435383;4296745;4250;0;0;0;0;0;150;0;0;0;0;0;27737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38568;0;0;0;21866;6416;998806;79157;50637;338490;2211;0;69688;0;0;0;65256;22149;0;38758;0;0;0;118172;44950;0;101901;6741;24579;13700;0;0;0;0;1;0;0;4364;102;0;18;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;10;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;357;0;0;6475;0;171;0;25;22;583;0;0;0;0;36;0;0;2;0;0;0;0;0;0;0
Республика Башкортостан;6078698;37592977;0;6692489;0;16673;1042038;194024;0;134727;44087;47136993;352659;529109;0;44563435;16154;19;0;0;0;37317052;-9468333;0;16131937;26005;165688;5753616;7172874;722;0;0;-2550684;-855;0;435098;0;0;0;0;0;1086911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;676698;0;0;0;134254;129389;11487618;593986;761859;2606051;8063;0;865431;0;0;0;353354;333348;0;231290;0;0;0;648785;175378;97230626;18559;0;91439;714250;0;0;0;0;0;0;0;99016;3248;0;63;0;39;0;0;414;0;0;-1;0;0;7;0;0;0;0;0;0;2730;137;1;0;20;0;0;2504;244;0;0;0;112;1167;0;0;0;5;0;0;0;0;0;-13;0;55;0;17;0;0;682;0;0;10856;29;793941;18636;1;1165;0;0;3216;1099;0;0;0;93;61;113;1796;23;0;3;0;0;0;0;0
Республика Бурятия;516108;4996737;0;281944;0;2431;1325;0;0;0;0;11875749;257476;47973;0;1080101;0;0;0;0;0;0;0;0;0;0;0;47599;1;0;0;0;0;-109;0;0;0;0;0;0;0;54518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99774;0;0;0;30614;14557;3174006;0;93440;576251;1075;0;418253;0;0;14;58613;33779;0;155329;0;0;-5;191693;32828;0;0;0;18013;1039822;0;0;92949;0;0;0;0;29127;979;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5970;2;0;2372;2;264;0;0;79;115;0;0;0;4;72;4;368;0;0;0;0;0;0;0;0
Республика Алтай;159103;833681;0;6996;1;453;13258;3934;0;415;0;2205590;14269;24976;0;2192887;0;0;0;0;0;0;0;0;0;0;0;0;0;630;0;0;0;0;0;0;0;0;0;0;0;5827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22558;0;0;0;24239;0;298276;3269;20638;114862;22;0;47718;0;0;0;61626;0;0;6163;0;0;0;35919;0;0;0;0;3610;70919;0;0;0;0;0;0;0;2072;2062;0;1;0;4;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;27;0;0;0;0;0;8;0;0;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;2;0;0;300;0;10;8407;220;94;0;0;337;541;0;0;0;8;2;172;74;0;0;0;0;0;0;0;0
Республика Дагестан;248500;3570372;0;842958;0;999;1;0;0;0;0;11607450;39307;59286;0;5692375;0;0;673;0;-3;0;27072;0;1160;0;177032;54637;2514800;0;0;0;0;-3506;0;0;1329;27429;0;0;0;220910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34820;105748;0;6;62858;265;3031852;264571;83337;1731159;5705;0;235463;434507;0;2752;81145;4613;0;204698;413833;1;127;123095;279;846943;51482;12676;18631;3435;0;0;0;0;0;0;0;5748;0;73;884;0;56;0;0;362;7;1;2;0;0;0;13;0;0;0;0;0;134;67;0;0;730;47;145;763;0;0;0;0;1;262;0;1;0;0;0;0;0;0;0;1;0;6;4;6;0;0;26;0;0;1667;0;0;16161;0;264;0;0;13;3781;0;0;0;813;0;16;15;0;0;2212;0;0;-114;0;0
Республика Ингушетия;31340;354177;0;14242;0;0;0;0;0;0;0;1966552;4451;2198;0;391964;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28189;0;0;111;9030;64;457849;4808;5878;136919;190;0;42977;0;0;1817;11361;2;0;40640;0;0;20;27571;77;261009;0;0;3364;0;0;0;0;0;0;0;0;4218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;39;0;93;0;0;0;0;0;0;1;-7;0;0;0;0;0;0;0;0;-9;0;0;0;0;0;0;0;0;0;354;0;0;5343;0;711;0;0;44;1550;0;0;0;2;0;0;155;0;0;0;0;0;0;0;0
Кабардино-Балкарская Республика;97261;1747312;0;57147;0;0;686;0;0;0;0;4739050;24597;14000;0;2940100;73098;0;0;0;0;0;0;0;0;0;250859;475355;3379812;14504;4077;0;0;0;0;0;0;0;0;0;0;24407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36411;0;0;0;20665;11536;1692032;31034;26675;313682;6720;0;157104;0;0;0;65985;23387;0;60252;0;0;0;34794;18269;3534;0;0;7264;707;0;0;0;0;0;24;0;21736;261;0;0;0;25;0;0;54;0;1;0;0;0;0;0;0;0;0;0;0;-3009;-19;0;0;405;0;0;575;-4427;0;0;0;-56;727;39;202;0;7;0;0;0;0;0;-6;0;-18;0;-5;0;0;-511;0;0;0;0;0;6691;2;-100;0;0;87;619;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
Республика Калмыкия;19025;1061132;0;340895;0;0;23;0;0;-1;0;1808051;16348;14095;0;1860776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4480;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35568;0;0;0;7897;1899;667208;55922;26933;173059;1946;0;92901;0;0;0;24424;8283;0;78439;0;0;0;99306;8697;816067;36810;0;291;0;0;0;0;0;0;0;0;1492;0;466;5;0;-71;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;154;0;0;0;0;0;29;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;2;0;0;13861;0;0;6829;0;67;0;0;46;2223;0;0;0;128;437;395;30;0;0;24;0;0;0;0;2
Карачаево-Черкесская Республика;143474;1567828;0;40799;0;0;40;0;0;0;0;3010041;18082;16428;0;2624282;0;0;0;0;2866;0;0;101858;0;0;0;39884;0;816;0;0;0;0;0;0;0;0;0;0;0;80590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39497;0;0;0;30417;8114;852439;1615;31560;233402;592;0;77681;0;0;0;17920;5136;0;106671;0;0;0;61372;14197;0;0;0;6219;60731;0;0;0;0;0;0;0;5917;136;0;0;0;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;77;0;964974;10714;62;75;0;0;64;1373;0;0;0;224;10;0;30;2;0;0;0;0;0;0;0
Республика Карелия;239221;3254033;0;1134359;0;65324;7071;6283;0;0;256;10707638;95836;73404;0;4084798;0;0;0;0;0;0;0;0;0;0;0;13842;286853;0;0;0;0;-344;0;-803;0;0;0;0;0;17729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75248;0;0;0;7955;26063;2164563;16735;142923;613740;1440;0;179474;0;0;0;74159;58643;0;26418;0;0;0;54089;35384;0;0;0;167073;706762;0;0;0;0;0;0;0;1271;3378;43726;350;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;12;0;1;51;0;0;94;0;0;110;-5;0;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;6;0;0;4908;3;30515;4816;9;1163;0;0;275;36406;0;0;0;543;426;882;333;591;0;0;0;0;0;0;0
Республика Коми;1175622;9306252;0;13559850;0;149097;13521;431783;0;1764;0;21833910;153623;127689;0;11358955;0;0;0;0;0;4458687;-366899;0;4844854;0;0;316283;1796577;0;0;0;0;-47958;0;-319492;0;0;0;0;0;23247;0;0;0;0;0;0;0;0;0;375;0;0;0;0;0;341571;0;0;0;24562;35265;6756802;11759372;304873;856296;1841;0;188144;0;0;1;19272;21280;0;56094;0;0;-16;18471;9408;85527962;1016251;593867;80874;174062;0;0;382643;0;0;0;0;15850;3362;0;80;0;1;0;0;10;0;0;0;0;0;-7;0;0;0;0;-41;-78;0;24;0;0;3;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;39153;0;0;7149;8;869;0;0;340;883;0;0;0;438;229;466;713;0;0;166;0;0;10;54;0
Республика Марий-Эл;664637;5004385;0;529960;0;1089;1564;1000;0;1;0;7221237;64298;122612;0;7644353;1153;0;0;0;0;0;438;0;0;0;0;167040;7661;14;0;0;0;0;0;-10696;0;0;0;0;0;91867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57130;0;0;0;27144;23117;1434357;198299;85706;549388;1575;0;60231;0;0;0;12870;24284;0;27145;0;0;0;19538;10079;0;0;0;14748;3;0;0;0;0;0;0;0;11907;947;0;58;0;6;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;74;114;0;0;1;0;0;154;11;0;0;0;0;101;0;0;0;1;0;0;0;0;0;2;0;13;0;6;0;0;6;0;0;52;0;10800;8411;0;274;0;0;493;174;0;0;0;50;400;199;274;108;0;0;0;0;0;0;0
Республика Мордовия;342424;3043749;0;274210;0;0;29675;0;0;1305;0;8743238;41440;46343;0;8561749;1126;0;0;0;0;0;0;0;0;0;0;2614998;10667593;0;0;0;0;0;0;0;0;0;0;0;0;41693;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;62503;0;0;0;26794;24251;2118623;223041;136251;573937;2083;0;357492;0;0;0;74456;60404;0;37333;0;0;0;82972;17737;0;0;0;9889;23582;0;0;0;0;0;0;0;14249;152;0;0;0;1;0;0;-234;0;0;0;0;0;-1242;0;0;0;0;0;0;3;-1587;0;0;9;0;0;59;-242;0;0;0;-45;-35;-15;1;0;1;0;0;0;0;0;0;0;-22;0;0;0;0;-41;0;0;302;1;51341;14692;1;488;0;0;845;271;0;0;0;1;742;0;220;5;0;0;0;0;0;0;0
Республика Саха (Якутия);4394511;27553193;0;4112653;0;3789;36718;0;169315;3435;0;32534130;208587;101871;0;-3367025;0;0;0;0;0;270881;72596;0;34386;0;0;36285;598443;0;0;0;0;-380545;0;-229596;0;0;0;0;0;73200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151566;0;0;169;23855;121842;13675916;20988;323628;641739;1043;0;88957;0;0;871;56688;294209;0;65822;0;0;360;63535;55192;64989775;131706;58736;310382;3158614;0;16740395;681965;0;0;0;0;38786;7240;-9;4714;0;-5;0;0;17;0;0;0;0;0;0;-3;0;0;0;0;0;9;10;0;0;0;0;0;3;0;0;0;0;44;80;-1;0;0;1;0;0;0;0;0;0;0;-13;0;0;0;0;-3;0;0;143471;0;0;10315;11;352;0;0;65;562;0;0;0;-30;301;28;290;0;0;208;0;0;0;0;1
Республика Северная Осетия-Алания;108151;1423584;0;209773;0;-45969;2551;0;0;0;0;5704691;52053;30145;0;1948558;127517;0;0;6;4668;0;2;0;3;0;819978;320420;5658484;711;0;0;0;0;0;0;0;0;0;0;0;61794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75440;0;0;0;16636;11639;759566;192679;23265;345257;8969;0;101496;0;0;19072;10372;41344;0;49364;0;0;13;77480;23134;2;0;0;14405;742;0;0;0;0;0;0;0;27022;54;0;0;0;11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;26;18;0;0;169;0;0;4;36;0;0;3;4;9;1;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;-5;6006;0;105;0;0;780;431;0;0;0;1;0;1;45;0;0;0;0;0;253;0;0
Республика Татарстан;7259540;48385003;4748779;32868245;0;166215;4314429;209378;856;456970;50900;64373203;356860;1629398;0;69319168;42310;13639;0;0;1718;4674236;-14011239;444081;11028967;3561;10101;7499324;20254915;0;3463;0;-2189548;-552149;0;8158168;0;0;0;0;0;2802054;-71;0;0;7774;0;0;0;-120;0;16624;36;0;0;0;0;984279;0;0;0;158708;390856;21640907;279814;1180577;3746465;17995;0;3819196;0;0;0;1189621;2130762;0;499921;0;0;0;394797;248311;227477707;0;0;76878;11915;0;0;0;0;0;0;0;28504;448;18;540;0;395;0;0;137;0;0;-5;0;-2;24;0;0;0;0;-5;-13;45;679;1;0;94;0;0;774;503;0;0;0;52;354;0;0;0;7;0;1;0;0;0;0;0;10;0;69;0;0;227;0;0;23243;2;24056476;104285;49;7506;0;328;8580;6355;23;0;0;893;1230;1254;1989;120;3;0;0;0;5;0;0
Республика Тыва;57329;593066;0;9938;0;0;0;0;0;0;0;3162686;21170;7027;0;553282;0;0;0;0;0;0;0;0;0;0;0;0;114860;0;0;0;0;0;0;0;0;0;0;0;0;7058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36760;0;0;-1;21584;12550;467787;0;26990;113870;213;0;46676;0;0;15;7858;4914;0;39576;0;0;-43;14152;7441;0;0;0;4324;199972;0;0;44719;0;0;0;0;4614;316;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2445;0;0;2521;0;35;0;0;214;326;0;0;0;0;29;16;190;0;0;-240;0;0;1;0;0
Удмуртская Республика;2775205;19991576;0;1408814;0;852;63494;2057;2;17830;0;20614805;200174;369716;0;31792736;8010;0;0;0;0;0;0;396328;0;0;0;358113;5656867;0;0;0;0;-87716;0;-1432;0;0;0;0;0;161332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;272696;0;0;0;56983;1276;4229954;673434;234842;910014;2223;0;616319;0;0;0;86717;2131;0;125539;0;0;0;144351;411;73383439;0;0;28069;89;0;0;0;0;0;0;0;16292;2403;0;0;0;2;0;0;1;0;0;0;0;0;-5;0;0;0;0;3;0;0;6;0;0;93;0;0;104;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;-9;0;0;8543;0;77925;55415;0;2157;0;100;406;458;0;0;0;235;546;349;2184;0;11;797;0;0;0;0;0
Республика Хакасия;348010;5450859;0;25122;0;31939;1735;23629;0;230;0;6929750;158351;77626;0;1332492;0;0;0;0;0;0;0;0;0;0;0;1593486;0;1713;0;0;0;0;0;0;0;0;0;0;0;204747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108595;0;0;3;12059;2399;2579614;93;34368;286826;462;0;322963;0;0;166;24399;4994;0;130012;0;0;71;48645;5423;0;0;0;12059;504291;0;0;598399;0;0;0;0;13110;1170;0;140;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;23;9;0;0;4;0;0;4;1;0;0;0;0;31;0;0;0;0;0;0;0;0;0;-2;0;5;0;4;0;0;33;0;0;524;0;16;1766;0;511;0;0;194;429;0;0;0;173;928;0;273;0;0;65;0;0;0;0;0
Чеченская Республика;91887;800943;0;45912;0;0;3;0;0;3;0;8109445;20322;160987;0;340733;0;0;0;12;0;0;0;227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19889;0;0;0;12694;-12960;2107417;81512;44483;449591;5;0;99162;0;0;3721;24057;2770;0;45855;0;0;0;60242;10715;725515;1710;0;5557;12;0;0;0;0;0;0;0;8244;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;36;254;0;0;105;0;9;589;2;0;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;5;0;0;947;0;0;12256;0;502;0;0;5;245;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0
Чувашская Республика;737560;7139936;0;498584;0;8790;101478;19902;0;1681;0;11510337;107530;86471;0;13100683;0;12532;0;0;0;0;0;0;0;0;0;1281611;737347;0;0;0;0;0;0;-6692;0;0;0;0;0;134646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146427;0;0;0;30128;8220;2565582;236977;159517;767609;3978;0;437416;0;0;0;43263;21502;0;79598;0;0;0;146371;17102;0;0;0;17955;30;0;0;0;0;0;0;0;5562;148;0;39;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;196;0;0;0;0;1;63;0;0;0;0;0;0;0;0;0;-1;0;6;0;-1;0;0;7;0;0;88;0;178625;13968;0;1979;6612;3;1158;496;364;0;0;197;1566;2349;1067;28;0;304;0;0;1;0;4
Алтайский край;1227197;11364317;0;765687;0;5178;48617;36528;13;38;0;21416484;343900;179134;0;18692427;642;0;0;0;0;-1097;714;0;2;0;14843;4364872;3176817;81340;0;0;0;-2786;0;-832;0;0;0;0;0;2733440;0;0;0;0;0;0;0;0;0;357;0;0;0;0;0;755358;0;0;0;123053;20065;4492747;144981;346919;1794901;32815;0;1185017;0;0;0;258275;53449;0;343540;0;0;0;487505;36486;0;0;0;17264;366250;0;0;0;0;0;0;0;28986;2818;2;3193;0;13;0;0;11;0;0;-5;0;0;0;0;0;0;0;0;0;52;-21;0;0;113;0;0;103;0;0;0;0;10;337;0;0;0;5;0;0;0;0;0;-16;0;-1;0;25;0;0;8;0;0;1659;0;218381;13983;32;538;0;0;703;1369;0;0;0;887;340;0;350;5;0;0;0;0;0;0;0
Краснодарский край;6860160;50157169;0;5655706;0;1439043;365260;827527;890760;155757;0;75649617;1015240;3129342;2727751;63040409;767;0;0;0;36755274;0;65929;0;10873;0;4017794;2601849;1014689;16448;9607;0;0;-921;0;1010993;3135;2856;0;0;0;4324206;0;0;0;0;0;0;0;0;0;264;0;0;0;0;0;1209553;0;0;0;562496;347512;27112359;6431668;992246;5812642;411360;0;2964238;0;0;0;954411;793102;0;1175705;0;0;0;1520763;553819;5552971;1703719;177855;104240;73141;0;0;0;0;0;0;0;215530;911;2990;107;0;103;0;0;386;0;0;0;0;0;7;0;0;0;0;-3;-157;300;199;56;0;173;0;0;19;31;0;0;0;30;775;-1;63;0;8;0;0;0;0;0;-36;0;-8;0;282;0;0;-6;0;0;8248;1242;665635;51196;15;1841;20;0;5964;19650;17;0;0;1250;3194;2761;2646;570;-5;196;0;0;544;0;2
Красноярский край;10164105;53500076;0;26667859;0;95268;38468;1260522;0;6608;7485;60418842;559546;485411;0;81965942;-4456;0;0;0;0;9750547;-8387;0;11486868;0;0;498493;1991117;576;2796;0;0;-1141422;0;432453;0;0;0;0;0;368406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;674010;0;0;842;79653;64796;20618195;3;529618;2133354;4032;0;979299;0;0;1955;172475;67267;0;250299;0;0;823;332127;75483;156856406;247941;67040;396972;20225916;0;0;635541;0;0;0;0;115580;30193;-32;1745;0;46;0;0;70;0;0;2;0;0;0;0;0;0;0;4;0;91;74;1;0;70;0;0;432;11;0;-12;0;7;0;19;0;0;4;0;0;0;0;0;-5;0;10;0;-1;0;0;46;0;0;185717;0;9518;34260;10;3225;0;0;3504;3884;2;0;0;1057;2985;1924;1568;172;0;45;0;0;0;4;13
Приморский край;2555022;18660049;0;1613259;0;63590;65818;195519;0;35590;0;38881099;449333;659207;0;9393133;0;0;0;0;0;6;0;744777;0;0;2;1653704;2604034;2213;1;0;0;0;0;-148658;0;0;0;0;0;335694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;525725;0;0;126;61172;26717;8183069;1749045;311754;1827225;108687;0;2082040;0;0;2744;135081;94197;0;312609;0;0;727;59724;27152;0;0;0;64130;198090;0;0;128100;0;0;0;0;15361;12591;473888;618;0;49;0;0;9;0;0;-1;0;0;0;3;0;0;0;0;0;262;179;1;0;161;0;6;6;62;-2;0;0;17;204;1;3;0;-1;0;0;0;0;0;-7;0;-5;0;2;0;0;3;0;0;2340;0;1369496;20963;0;2435;7816;125;3990;2623;4;0;0;377;10;790;889;241;8;218;0;0;197;17;30
Ставропольский край;1356925;12939535;0;3235665;0;4053;71102;20929;0;2871;0;25897437;408746;208689;0;25383518;15829;0;0;2092;17135;0;-6161943;0;15;0;1645700;868041;6413095;935;0;0;0;0;0;0;0;0;0;0;0;924768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;371825;4;0;0;166179;58941;6286452;1646952;276701;1593996;17977;0;1071398;0;0;0;295906;236609;0;470645;2;0;0;735749;213185;6054581;198414;5068;23732;39170;0;0;0;0;0;0;0;14580;50;0;65;0;-42;0;0;26;0;0;0;0;0;-11;0;0;0;0;0;0;-65;-2;1;0;-17;0;0;20;11;0;0;0;5;115;-11;0;0;4;0;0;0;0;0;0;0;3;0;8;0;0;79;0;0;15528;0;9150;33213;20;2428;5215;75;6306;9264;47;0;0;231;1010;258;1130;265;0;-5;0;0;0;4;0
Хабаровский край;1653302;15118489;0;1149993;0;19184;66394;465334;0;321;0;33860103;335521;181219;0;17601588;0;0;0;46;0;11685893;594;0;11011854;0;0;3851421;2042435;13896;0;0;0;-33735;0;1486137;0;0;0;0;0;123320;0;0;0;0;0;0;0;0;154;0;0;0;0;0;0;438692;0;0;21;51970;70528;9939893;2121141;335668;1397069;1647;0;806760;0;0;16492;157655;89388;0;179816;0;0;105;65879;19163;0;0;0;58991;2936978;0;0;157034;0;0;0;0;20017;15310;200300;27441;0;1;0;0;2;0;0;0;0;0;80;0;0;0;0;2;-30;10;9;2;0;134;0;151;0;5;0;0;0;7;190;0;53;0;0;0;-1;0;0;0;0;0;53;0;0;0;0;10;0;0;29453;-64;0;9131;0;517;0;0;150;1690;0;0;0;455;0;345;1658;301;3;2;0;0;0;0;0
Амурская область;603982;8559992;0;1342295;0;2519;4094;0;837;250722;0;15979955;241734;64612;0;-19960853;1;0;0;0;0;0;0;0;0;0;0;10607;0;529;0;0;0;0;0;0;0;0;0;0;0;42239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;264249;0;0;8;38859;18477;7622646;0;190575;815130;446;0;400299;0;0;28696;152540;43250;0;175521;0;0;83;101343;13302;0;0;0;66436;2559844;0;0;67762;0;0;0;0;10838;7988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;2;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11600;0;420;4579;0;1361;0;0;3700;513;0;0;0;921;775;240;272;0;0;0;0;0;0;0;0
Архангельская область;1145347;9985623;0;598152;0;-11533;81205;81919;0;6;0;23246326;281635;269045;0;14081424;0;0;0;0;0;0;0;0;0;0;0;65847;3897550;0;0;0;0;-169143;0;-121061;0;0;0;0;0;144898;0;0;0;0;0;0;0;0;0;567;0;0;0;0;0;155673;0;0;0;20368;25804;4557641;2182417;228625;978550;1433;0;448559;0;0;0;60450;74345;0;72230;0;0;0;91097;54820;0;0;0;32382;29264;0;2311930;0;0;0;0;0;8476;7464;63064;204;0;-14;0;0;5;0;0;0;0;0;1;0;0;0;0;4;-40;-11;-14;0;0;-21;0;0;18;7;0;0;0;-6;0;2;0;0;4;0;0;0;0;0;-4;0;0;0;-34;0;0;145;0;0;3489;0;0;9563;15;445;0;14;181;513;0;0;0;773;927;606;627;45;0;625;0;0;0;0;0
Астраханская область;4291780;5105193;0;5933021;0;103797;4275;29886;1;20862;0;11715604;124406;90120;0;7472720;1093;0;0;0;0;9118990;-208494;0;4280812;0;0;3157;474;0;0;0;0;0;0;-34575;0;0;0;0;0;107142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158076;0;0;0;22799;8539;3245589;1878271;127053;746209;4247;0;198980;0;0;0;247443;80636;0;74303;0;0;0;129126;31770;18034769;15865133;22998447;8333;5167;0;0;0;0;0;0;0;445;1;3045;1785;0;11;0;0;12;0;0;4;0;0;0;0;0;0;0;0;0;25;99;0;0;9;0;0;87;314;0;0;0;0;46;0;0;0;11;0;1;0;0;0;-4;0;0;0;3;0;0;26;0;0;34508;23752;0;8551;12;924;5633;0;72;1307;0;0;0;426;0;0;195;49;0;0;0;0;0;0;0
Белгородская область;2940384;20779578;0;3582911;0;19367;13005;106138;0;14612;0;22179437;202526;308628;0;17460463;9;0;0;0;32025;0;-3054;0;5;0;0;123449;4348590;193;0;0;0;0;0;0;0;0;0;0;0;548330;0;0;0;0;0;0;0;0;0;133;0;0;0;0;0;290509;0;0;0;103926;154793;7732608;28690;363563;1321800;4508;0;2601270;0;0;0;258536;323290;0;376527;0;0;0;283582;136161;0;0;0;177510;820681;0;0;0;0;0;0;0;49275;426;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133;3;0;0;65;0;0;1;4;0;-2;0;11;58;0;3;0;3;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;61;0;149630;22951;-2;1387;0;230;2237;1123;0;0;0;497;4351;548;931;2;0;41;0;0;7;0;0
Брянская область;486340;4691386;0;982164;0;7950;567;104;0;0;0;12017687;147026;262569;0;8993927;0;0;0;0;579496;0;0;0;0;0;0;565706;796100;95433;0;0;0;0;0;0;0;0;0;61;0;3820973;0;0;0;0;0;0;0;149600;8;12074;66;0;0;0;0;126651;0;0;0;31376;42368;2771432;61468;147565;767886;6254;0;547805;0;0;0;94188;125001;0;156175;0;0;0;145761;131479;0;0;0;8247;13217;0;0;0;0;0;0;0;19342;456;0;0;0;4;0;0;3;0;0;0;0;0;-1;-7;0;0;0;7;0;0;1;0;0;2;0;0;21;4;0;0;0;3;4;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;2;0;0;114;0;2469910;52974;1;1157;0;0;814;1806;160;0;0;1183;631;214;497;57;0;644;0;0;0;0;0
Владимирская область;1522191;10859554;0;585164;0;330924;321490;510774;71;825;0;18650566;206983;769392;0;21331736;0;0;0;0;0;0;0;0;0;0;0;267855;1475956;49999;0;0;0;0;0;0;0;0;0;0;0;361882;0;0;0;0;0;0;0;0;0;6728;78;0;0;0;0;149644;0;0;0;47974;69927;3663711;311137;194923;1382848;2379;0;1024152;0;0;0;271920;501560;0;237465;0;0;0;365236;234695;0;0;0;85341;6180;0;0;0;0;0;0;0;34199;1139;0;0;0;-2;0;0;-13;0;0;0;0;0;-6;0;0;0;0;-2;0;-256;-49;0;0;-41;0;0;648;36;0;0;0;28;141;21;0;0;0;0;0;0;0;0;-1;0;16;0;0;0;0;-36;0;0;74;0;33075;6561;4;384;0;0;2812;443;0;0;0;842;5;0;278;20;0;0;0;0;-1;0;0
