"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29"
"Г.Севастополь","68","0","0","9","0","0","10377388","57996318","47812505","713445","150004","0","0","6071","0","2947","0","0","501","38","0","0","0","1546","21098818","19966956","175098","49632","0","0"
"Еврейская автономная область","14","0","0","33","2","0","10023503","122514077","97022253","1790915","195608","0","0","25262","0","420","0","1367","145","3","0","14","0","507","2610446","2464052","45561","69","0","3302"
"Ненецкий АО","0","0","0","8","0","0","855893","272629572","271616119","5975555","0","0","0","18925","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ханты-Мансийский АО - Югра","33","0","0","309","0","0","235239816","4745781322","4576492159","98168875","238616","0","0","5045742","0","466974","0","43386","3562","20","0","66","0","17809","122697181","113008680","1604648","5267","0","107854"
"Чукотский АО","3","0","0","13","0","0","419922","62383136","62055553","1289640","4443","0","0","113933","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ямало-Ненецкий АО","11","0","0","101","0","0","1827439568","7347610400","5550941598","118587568","11100","0","0","41859325","0","7498","0","15583","10","0","0","15","0","29","3695225","3644294","36055","0","0","35787"
"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"ХХХ-Информация исключена из отчета, т.к. в нем содержатся сведения о налоговой базе и структуре начислений по 1 налогоплательщику. В соответствии со статьей 102 Налогового кодекса Российской Федерации любые сведения о налогоплательщике, полученные налоговыми органами, составляют налоговую тайну и не подлежат разглашению, за исключением случаев, предусмотренных федеральным законом","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
