"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57"
"Московская область","762031874","334917826","691463688","292595612","2689343","762132","554602868","1445515791","77995920","43429076","33509302","86794872","11752795","6570684","10428097","18525698","0","3417","23081090","68259541","10748164","6271065","2371193","627868","135872","46766","494265","221713","152194","33757","282852","29713","53434","218212","33285","19002","23257","49537","8683","5229","535","45","210","144","412","106","384","404","581","182","3","5","0","4","83","68","0","85"
"Мурманская область","29736420","6697642","26000580","5294379","78316","12066","111493868","179723401","4157836","1415265","1363612","2286563","263924","79997","510253","1041590","0","0","853360","1245269","189092","67091","195235","29352","470","152","5382294","8551172","315356","116683","0","0","6333","13636","1978","577","2153","2441","778","174","0","0","4032","9989","961","304","34","46","13","х","0","х","0","0","0","26","0","0"
"Нижегородская область","300962406","125320805","277657622","114623042","1034502","496494","138385220","246831488","26212688","12916812","8138068","14805995","3954914","1945152","2824318","3910965","0","0","5313751","10894880","3453709","1795601","1202291","345382","56948","40516","277500","167065","43153","13288","0","0","14691","52278","15197","7629","5409","12299","3697","2007","0","0","142","223","87","25","66","74","224","65","0","0","0","0","0","0","0","0"
"Новгородская область","51321595","16414609","47996042","14748962","114829","57303","18459227","38118820","4040482","1791339","1074915","2240992","595646","260854","385071","648555","0","-32","689817","1592450","480122","237621","258094","48153","7322","2232","42100","43630","11948","8116","20077","832","2346","9001","2818","1383","795","2018","609","359","35","8","35","68","83","39","8","6","34","4","0","0","0","0","0","0","0","0"
"Новосибирская область","437759983","146259491","406405701","132437420","1181737","276981","184360080","346809380","36630994","14932387","11248385","20771540","5463231","2275733","3641826","5052259","0","0","7605695","15697989","4788817","2121425","1703674","315954","63411","13384","х","76012","100817","934","128478","8225","19659","61950","20798","8851","7314","14836","4988","2490","254","25","х","30","96","5","96","93","296","81","0","0","0","0","0","0","0","0"
"Омская область","108188136","65797318","98440725","58398885","285546","138150","78784375","220501180","10466400","7484443","3606851","8010495","1422220","948107","1234218","2448395","0","0","2372634","5561766","1253357","868050","375963","147616","14249","11852","1151600","5206460","148800","161739","83291","20898","9197","30724","6636","3893","3695","6196","1941","721","243","20","760","5317","208","280","27","52","64","34","0","0","0","0","0","0","0","0"
"Оренбургская область","109682002","79770534","98364092","69044255","317679","296038","30190943","81340880","13181799","11417612","1747611","4756264","1358334","1150506","609812","1296366","0","0","1137800","3459929","1154905","1017876","502216","247507","20248","11319","79982","126875","574848","529171","23551","14932","5723","22739","7004","6148","2986","7294","1985","1820","50","15","58","170","4678","4034","10","18","52","32","0","0","0","0","0","0","0","0"
"Орловская область","42843766","27339441","39909371","23677610","144762","56308","19905957","43476479","3805513","3686339","1153275","2541524","543983","539112","431401","726749","0","0","721875","1814774","459127","513289","200133","47188","7799","3817","60295","22104","37142","14517","51644","4359","2547","11675","2321","1692","1093","3386","556","431","145","9","36","38","63","16","12","9","26","12","0","0","0","0","0","0","0","0"
"Пензенская область","94297657","70329765","88150024","62163066","307354","142347","41415107","124344735","8443553","8348758","2454878","6910932","1289450","1244510","832415","1875282","0","0","1622438","5035622","1175327","1199189","287821","105774","19141","4917","79744","511670","364","14799","77973","20128","4960","24608","4332","3348","2004","6603","1133","774","121","27","36","187","2","15","23","36","67","59","х","х","0","0","25","28","0","0"
"Пермский край","216205294","96510855","200683485","86268094","706377","534348","98574912","240407132","19298703","10515464","5093577","11086937","2712489","1412955","1661004","3432724","0","0","3432544","7654067","2352723","1280164","944229","280386","27997","29466","894296","3320134","197636","158418","68534","3438","13236","44781","13003","6701","5049","10894","3363","2061","202","10","1506","10683","832","666","49","54","148","37","0","0","0","0","0","0","0","0"
