GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69
Республика Коми;3 173;48;0;0;37 267;645;7;3 484;3 164;621;460;385;77;44;6;51;10;9;2 712;877;1 077;4 760;886;4 123;4 476;7 407;618;262;26 582;381;91;0;0;3;6;69;55;7;3 777;10 893;4 432;7 309;18 363;1 730;2 952;374;5;6;19;11 130;15 892;1 670;16 442;6 317;57 194;121 373;107;421;278 740;106;1 060;0;0;26;91;1 611;1 078;462;3 608;0
Архангельская область;3 455;6;0;0;30 460;1 327;4;2 521;3 179;800;505;288;148;49;0;55;9;7;2 089;241;1 108;6 140;589;1 482;3 586;6 825;522;227;22 008;437;243;14;3;2;1;396;229;4;2 527;8 530;5 621;7 602;12 396;2 783;2 459;0;3;2;24;8 714;3 600;2 102;28 121;4 468;21 298;95 573;333;620;193 068;390;2 764;43;56;24;42;17 929;8 914;1 587;31;0
Вологодская область;4 724;126;0;0;41 539;313;4;3 398;4 349;1 210;761;424;277;114;7;100;4;4;1 627;470;1 098;6 536;702;1 912;3 696;7 502;536;141;26 304;203;44;2;0;1;6;15;16;4;6 370;16 043;8 789;11 954;19 616;5 185;5 447;794;9;1;13;7 228;6 743;2 270;29 162;5 296;25 670;99 714;444;600;237 564;119;963;4;0;11;334;157;584;1 600;18 565;0
Калининградская область;5 790;6;0;0;33 341;285;7;2 721;3 926;1 374;1 113;665;702;317;28;12;16;19;1 103;599;1 641;3 973;654;826;7 950;4 408;13;11;27 225;117;67;6;3;2;2;25;58;7;563;6 444;7 178;15 850;37 235;8 451;15 320;4 352;0;5;26;3 273;14 472;3 015;17 816;5 051;11 511;257 102;9;36;379 360;336;2 247;25;1 196;24;59;2 944;14 847;171;4 554;0
Ленинградская область;4 180;540;0;0;50 972;454;9;4 105;6 093;1 740;1 294;936;498;260;52;34;5;22;1 959;594;1 060;6 386;860;1 722;5 392;9 143;178;123;34 354;162;59;3;0;2;5;174;8;8;5 833;23 512;13 267;21 616;50 855;9 345;16 323;5 363;3;3;71;12 379;11 869;2 065;31 261;6 399;26 290;128 620;177;499;341 665;285;3 477;16;0;25;435;604;762;1 221;19 052;0
Мурманская область;2 112;18;0;0;23 126;728;5;2 296;3 162;623;403;324;115;50;4;34;3;10;1 095;337;475;2 934;481;1 096;4 458;2 962;311;361;17 590;372;109;3;1;0;3;51;119;5;1 718;5 179;2 249;3 331;8 159;1 065;1 962;408;0;0;9;3 130;2 421;407;6 284;1 716;5 105;19 707;114;668;60 647;56;349;6;17;0;174;23 633;8 792;864;2 509;0
Новгородская область;2 408;34;0;0;20 798;135;6;2 722;1 888;472;280;183;105;44;1;16;1;8;802;369;713;1 811;259;372;1 234;2 283;101;34;12 277;100;17;1;0;2;1;1;4;6;4 423;10 221;4 470;4 974;8 826;1 592;1 905;30;1;0;24;5 433;8 453;2 281;10 300;4 087;6 816;80 957;91;161;144 789;167;508;8;0;30;55;1;104;64;714;0
Псковская область;2 451;66;0;0;21 183;131;12;2 685;2 518;528;324;261;127;86;9;90;4;7;1 047;260;738;3 371;394;700;2 117;2 438;111;56;15 666;82;21;1;0;1;2;3;4;12;2 883;7 130;4 074;5 389;15 909;2 669;6 242;1 728;6;2;12;5 401;4 357;1 370;14 838;2 947;9 648;62 489;84;193;138 257;75;293;9;0;10;37;2;13;51;1 890;0
город Санкт-Петербург;26 805;42;2;0;222 514;2 253;195;16 782;44 047;16 045;12 880;8 940;8 203;3 318;287;44;20;161;7 225;4 774;5 569;26 161;3 807;5 491;23 593;16 183;370;399;182 387;381;342;31;15;4;32;615;484;160;30 593;161 399;115 554;200 001;498 384;103 445;187 505;44 866;2;6;461;43 922;78 702;10 741;118 635;25 309;64 495;530 116;339;1 657;1 868 922;693;49 226;83;11 434;81;3 169;44 592;104 633;29 355;4 950;15
Ненецкий АО;162;84;0;0;2 632;121;2;86;109;21;24;23;3;1;0;0;2;0;62;30;30;125;24;249;87;832;134;89;1 055;51;27;0;0;0;0;4;2;2;71;189;88;153;227;1;32;0;0;0;0;247;389;32;360;122;2 535;1 611;9;34;5 029;4;105;0;0;0;0;72;9;41;1 826;0
СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;14 123;89;1;399;130 081;264;78;20 101;17 339;3 823;2 372;2 549;907;565;77;92;29;30;8 229;611;5 117;18 871;1 726;7 191;13 575;9 587;35;46;104 797;114;28;3;1;6;12;22;11;66;11 370;26 781;19 462;32 464;98 105;11 588;26 484;9 026;1;5;28;19 090;6 719;4 584;53 165;8 398;63 915;245 512;16;128;592 143;148;467;2;131;38;395;21;78;2 315;1 125;9
Республика Дагестан;2 525;17;0;0;18 106;92;8;3 219;2 296;656;252;465;48;55;4;8;4;0;1 211;83;738;2 098;259;1 045;1 213;994;3;3;14 347;19;16;1;0;0;0;9;7;4;2 120;2 687;3 677;2 698;15 687;728;2 853;421;0;1;0;2 619;790;819;4 579;1 105;8 927;19 271;2;5;66 578;48;316;1;0;0;0;13;53;94;526;0
Республика Ингушетия;416;0;0;14;2 771;2;1;627;445;91;39;75;12;2;0;8;0;0;98;1;95;190;29;159;227;279;0;0;2 136;0;0;0;0;0;0;0;0;1;249;373;143;236;1 007;63;42;0;0;0;0;130;7;37;160;45;459;1 100;0;0;4 135;0;0;0;0;0;0;0;0;3;0;0
Кабардино-Балкарская Республика;969;50;0;385;8 901;2;25;1 093;1 088;319;180;229;30;34;6;7;2;16;554;19;392;1 107;151;376;550;620;8;3;6 213;1;0;0;0;0;0;0;0;25;530;1 474;1 531;2 027;8 735;528;2 130;577;0;0;5;726;102;149;1 330;296;1 193;4 891;2;4;22 983;1;0;0;0;0;0;0;0;403;292;1
Карачаево-Черкесская Республика;892;4;0;0;8 036;7;0;1 321;1 090;181;186;206;25;43;11;7;1;1;568;42;253;1 007;82;407;875;707;9;13;6 420;6;0;0;0;0;0;0;1;0;750;1 721;762;2 166;8 883;264;2 819;1 450;0;0;1;1 065;323;210;1 890;279;2 525;13 997;3;29;35 643;2;0;0;0;0;0;0;22;0;14;0
Республика Северная Осетия-Алания;1 209;0;1;0;8 126;1;0;1 511;1 215;308;150;183;22;8;6;2;0;1;553;37;417;1 213;124;438;528;772;5;3;6 977;1;0;0;0;0;0;0;0;0;816;2 067;1 175;1 558;6 057;349;299;886;0;0;1;950;255;339;2 381;414;2 595;7 031;2;12;26 500;1;0;0;0;0;0;0;0;0;0;8
Чеченская Республика;1 159;0;0;0;10 053;3;3;1 625;1 534;154;276;207;53;8;1;0;0;0;941;50;230;924;84;583;1 441;382;0;1;8 308;0;0;0;0;0;0;1;0;3;1 019;2 270;577;3 291;5 768;456;472;55;0;0;0;1 889;724;238;1 829;310;3 731;19 470;0;2;41 740;0;0;0;0;0;0;0;0;20;0;0
Ставропольский край;6 953;18;0;0;74 088;157;41;10 705;9 671;2 114;1 289;1 184;717;415;49;60;22;12;4 304;379;2 992;12 332;997;4 183;8 741;5 833;10;23;60 396;87;12;2;1;6;12;12;3;33;5 886;16 189;11 597;20 488;51 968;9 200;17 869;5 637;1;4;21;11 711;4 518;2 792;40 996;5 949;44 485;179 752;7;76;394 564;96;151;1;131;38;395;8;3;1 795;293;0
ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;46 826;42;0;18;398 729;7 510;156;54 819;60 776;16 355;10 066;7 622;3 558;2 062;263;716;125;183;23 259;4 524;19 151;65 533;6 627;19 016;30 005;43 350;282;306;324 649;3 374;1 018;48;26;65;147;1 533;734;154;46 030;128 769;111 380;159 182;403 944;61 336;128 485;39 196;27;17;444;62 233;42 436;24 470;210 303;41 468;201 862;637 568;227;1 299;2 066 041;3 686;33 851;156;4 022;877;9 278;21 842;71 202;13 555;1 581;0
Республика Адыгея;1 213;3;0;0;9 572;10;4;1 450;1 437;464;280;217;87;46;10;36;1;1;656;28;379;1 274;177;549;749;1 378;12;26;7 734;8;1;0;0;1;0;0;0;4;1 282;3 717;3 262;4 350;10 851;1 730;2 723;1 314;1;0;1;1 685;363;454;4 398;1 399;6 571;18 891;14;122;57 458;9;4;0;0;17;0;0;0;500;46;0
Республика Калмыкия;855;7;0;18;5 620;35;8;1 371;743;175;58;48;11;7;0;18;1;0;447;9;251;840;48;245;191;420;4;0;4 512;27;6;0;0;0;0;1;0;8;1 155;1 813;1 286;972;2 213;204;246;0;2;0;0;2 141;178;405;2 631;293;3 072;3 721;4;0;20 326;42;94;0;0;0;0;3;0;39;32;0
Республика Крым;4 076;3;0;0;35 588;314;15;5 445;4 966;1 098;562;523;161;124;18;82;8;14;2 610;419;2 146;5 888;679;1 541;2 049;3 426;7;6;29 267;74;75;9;1;6;32;28;76;15;2 208;4 112;5 229;9 227;19 338;2 621;6 478;1 825;2;0;14;6 082;1 978;2 280;17 558;3 035;11 318;27 922;7;23;112 741;73;1 013;8;200;32;1 150;770;2 854;2 143;55;0
Краснодарский край;16 396;3;0;0;148 329;1 225;44;20 527;22 863;7 070;4 603;3 686;1 770;1 049;153;248;52;87;8 179;1 459;6 214;21 763;2 384;6 686;12 456;16 372;105;145;121 482;427;251;12;14;39;73;185;173;43;18 348;60 618;52 036;71 429;207 894;29 581;67 718;24 141;13;8;212;23 378;18 772;7 391;74 248;18 397;85 337;316 746;95;680;958 658;521;17 210;68;2 279;641;5 845;5 298;39 235;7 373;485;0
Астраханская область;2 486;9;0;0;19 316;3 936;2;2 899;3 332;746;404;358;137;52;6;89;9;5;1 399;475;757;2 648;254;819;1 065;2 034;10;10;15 771;2 076;348;6;6;4;14;953;175;1;3 061;9 920;5 488;6 605;17 383;2 411;3 710;995;4;2;12;4 540;4 809;926;9 793;1 570;9 466;22 070;6;57;98 673;2 252;7 377;9;911;19;758;11 711;10 178;414;0;0
Волгоградская область;7 005;9;0;0;59 043;671;64;7 525;8 503;2 002;1 235;726;313;151;10;88;18;12;3 216;640;2 912;11 345;1 125;3 810;4 336;7 780;65;47;46 218;271;73;3;2;2;9;195;90;64;7 951;19 111;12 579;19 806;37 589;5 623;10 615;1 411;3;4;30;9 574;7 691;5 521;41 617;8 138;46 879;92 980;36;95;295 039;226;1 520;1;162;15;460;995;2 346;1 399;855;0
Ростовская область;13 808;8;0;0;115 277;1 157;19;14 740;17 935;4 559;2 816;1 972;1 042;614;66;132;31;51;6 225;1 330;6 199;20 812;1 856;5 112;8 601;11 358;78;72;94 827;449;207;14;3;11;11;149;194;19;11 707;28 725;30 544;45 040;105 768;18 519;36 206;9 510;2;3;166;14 255;7 996;7 229;57 825;8 256;37 568;148 111;64;322;504 497;525;4 585;69;470;150;932;2 452;11 623;1 687;108;0
город Севастополь;987;0;0;0;5 984;162;0;862;997;241;108;92;37;19;0;23;5;13;527;164;293;963;104;254;558;582;1;0;4 838;42;57;4;0;2;8;22;26;0;318;753;956;1 753;2 908;647;789;0;0;0;9;578;649;264;2 233;380;1 651;7 127;1;0;18 649;38;2 048;1;0;3;133;613;4 966;0;0;0
ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;97 963;4 254;0;2 331;850 814;5 893;505;99 092;109 986;29 911;21 643;15 140;8 820;4 047;408;932;160;229;46 114;11 167;26 564;128 750;15 147;47 612;78 970;111 427;5 715;2 777;645 465;1 852;1 556;23;16;66;153;1 445;447;500;143 086;357 325;211 397;359 057;777 845;177 567;244 399;58 026;64;46;699;220 040;226 625;49 777;558 355;113 368;637 363;1 992 701;4 651;10 367;5 669 656;3 504;53 982;45;3 158;620;7 281;71 157;8 333;57 311;213 253;0
Республика Башкортостан;12 988;343;0;0;111 508;436;25;15 004;12 538;3 583;2 505;1 880;997;422;52;86;4;26;6 523;1 907;3 205;16 902;4 057;7 386;8 510;15 732;790;385;86 505;205;54;4;3;6;18;47;37;25;27 563;46 625;26 185;39 576;93 478;18 505;23 908;7 212;4;2;83;32 819;35 812;6 123;76 323;30 489;98 336;208 603;664;1 470;740 078;416;961;6;104;34;651;802;522;3 223;31 342;0
Республика Марий-Эл;2 249;0;0;0;15 498;70;2;1 546;1 924;511;330;220;121;57;3;14;4;3;1 108;47;523;3 277;290;945;1 080;2 163;60;47;12 332;53;8;0;0;1;1;3;2;2;2 903;7 111;3 860;5 587;11 050;2 031;3 409;459;1;1;5;6 300;1 045;1 059;15 093;2 208;12 862;28 461;58;192;98 460;63;107;0;0;11;39;11;17;5;0;0
Республика Мордовия;2 473;1;0;9;20 970;31;2;2 734;2 131;594;347;267;124;42;5;21;7;3;1 707;200;595;2 903;301;986;2 284;2 934;88;53;16 510;21;2;0;0;1;1;6;0;2;3 584;7 354;4 859;5 651;13 192;2 602;3 234;673;1;5;9;9 229;4 673;1 202;13 116;2 310;13 730;40 216;70;190;127 148;54;148;0;0;14;108;6;0;734;70;0
Республика Татарстан;17 115;38;0;0;146 646;750;64;17 977;19 536;6 509;5 172;3 601;2 319;1 100;137;178;23;57;6 581;2 424;3 646;15 805;1 653;8 784;20 999;18 485;2 116;506;116 799;306;197;0;1;23;46;111;77;64;33 010;76 180;47 727;102 873;200 683;62 875;70 879;19 068;14;7;178;40 881;59 965;6 796;67 573;11 896;123 888;530 945;1 760;2 064;1 263 002;668;5 422;0;192;170;1 979;1 643;2 397;16 671;4 783;0
Удмуртская Республика;5 780;121;0;0;42 119;205;4;5 215;5 593;1 510;1 066;716;429;176;15;41;31;16;2 174;776;1 421;6 621;650;2 585;3 516;5 601;402;107;33 095;103;46;1;0;2;3;19;20;4;5 198;16 925;11 072;16 407;35 858;8 051;10 804;2 303;2;4;57;9 123;13 760;2 759;29 892;4 996;35 870;89 959;341;363;280 743;232;680;1;0;14;220;175;250;361;3 547;0
Чувашская Республика;4 163;109;0;0;25 138;153;4;2 521;3 634;996;652;415;272;95;7;24;3;1;2 095;140;1 040;5 042;391;1 231;1 724;3 883;102;71;20 235;90;40;4;0;3;4;10;2;4;2 991;10 948;7 363;10 525;21 381;5 373;5 983;1 070;2;0;2;6 957;1 921;2 176;22 992;2 991;16 707;45 782;77;243;153 143;160;1 023;6;0;23;71;47;27;123;2 939;0
Кировская область;4 489;203;0;0;35 787;84;7;3 374;4 448;823;646;334;217;95;10;88;12;7;1 609;332;1 322;5 812;443;1 848;1 954;6 935;268;80;24 441;64;13;0;0;0;4;4;0;7;4 541;13 115;6 207;10 077;17 417;3 485;5 050;1 670;3;1;21;8 851;7 601;2 458;24 494;3 407;23 175;52 800;230;291;182 281;87;252;0;0;0;177;3;0;1 618;15 533;0
Нижегородская область;10 155;2 262;0;0;101 832;2 019;24;7 160;12 716;3 654;2 827;1 830;1 133;527;52;187;9;34;4 613;1 100;2 352;15 214;1 637;3 114;7 876;10 902;215;129;66 101;166;658;1;0;0;5;999;25;21;11 324;40 798;23 821;43 034;94 923;19 306;31 141;6 069;16;3;84;19 996;18 539;4 071;58 540;10 274;38 017;197 374;174;599;560 272;364;32 659;7;0;0;186;63 394;292;4 084;87 605;0
Оренбургская область;3 361;1 059;0;2 149;61 263;87;67;3 653;5 137;1 614;1 028;809;404;202;24;26;7;7;2 867;593;1 960;8 970;874;3 870;4 444;7 048;298;209;36 573;54;10;0;1;0;0;1;3;65;1 200;8 010;11 640;15 408;39 898;6 868;12 294;2 244;0;1;37;13 811;11 862;3 429;37 043;6 907;44 522;110 712;262;702;310 913;89;157;0;7;0;0;0;9;8 172;56 893;0
Пензенская область;3 601;2;0;0;27 404;55;6;4 003;3 247;845;570;363;220;119;19;46;9;8;1 838;215;1 159;5 586;507;1 334;2 822;4 668;91;59;22 552;39;3;0;0;2;5;6;0;6;6 153;10 277;5 563;9 159;20 867;3 756;6 485;3 830;2;3;35;8 313;4 146;2 281;26 324;3 664;18 223;77 765;93;211;192 775;59;51;0;0;22;219;31;0;67;970;0
Пермский край;9 170;0;0;0;63 559;738;24;5 937;9 010;2 617;1 732;1 696;698;329;27;69;18;20;3 378;1 393;1 693;10 099;1 184;4 320;7 041;10 061;559;375;50 748;181;141;1;2;7;7;149;194;24;10 007;31 127;18 427;24 701;66 935;11 923;18 872;3 675;9;9;42;18 206;25 884;3 408;44 421;8 961;58 042;178 860;292;788;488 741;195;1 571;0;143;23;115;4 058;3 024;2 604;0;0
Самарская область;11 129;60;0;173;106 035;739;48;17 537;17 891;3 523;2 681;1 691;1 049;505;30;78;16;27;5 445;1 390;3 707;14 811;1 508;5 791;9 513;11 591;435;403;86 138;322;234;10;5;11;47;29;66;48;21 068;48 801;22 325;42 996;96 671;19 138;31 975;4 669;9;7;95;19 493;29 325;6 720;65 015;11 257;80 020;245 917;384;1 677;704 963;599;5 104;14;1 985;157;2 819;652;1 137;1 535;4 793;0
Саратовская область;7 519;0;0;0;65 464;413;102;9 158;8 328;2 248;1 522;937;619;302;20;56;13;15;4 151;552;2 965;12 718;1 212;4 194;5 235;8 787;213;272;51 543;203;122;1;3;9;10;33;17;102;10 163;27 211;16 471;24 119;49 061;9 870;16 494;3 728;1;3;44;19 576;11 028;5 189;53 859;10 943;56 476;134 301;186;1 357;415 166;476;5 238;10;401;148;621;280;573;5 945;0;0
Ульяновская область;3 771;56;0;0;27 591;113;126;3 273;3 853;884;565;381;218;76;7;18;4;5;2 025;98;976;4 990;440;1 224;1 972;2 637;78;81;21 893;45;28;1;1;1;2;28;4;126;3 381;12 843;5 877;8 944;16 431;3 784;3 871;1 356;0;0;7;6 485;1 064;2 106;23 670;3 065;17 495;51 006;60;220;151 971;42;609;1;326;4;76;55;85;12 169;4 778;0
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;40 466;4 860;0;107;454 847;4 001;328;25 328;47 513;14 461;11 755;10 511;4 916;2 056;204;389;101;202;18 998;9 813;11 932;58 494;8 942;39 147;61 802;76 055;4 280;2 511;319 580;1 757;487;12;0;36;72;1 129;190;326;21 588;111 227;82 532;145 792;406 486;77 232;103 110;22 345;13;22;442;83 044;165 952;17 835;202 210;54 658;464 937;1 538 676;2 692;8 207;3 258 445;1 939;8 221;9;0;286;2 734;3 328;1 594;138 441;137 341;39
Курганская область;2 401;115;0;107;21 473;60;13;2 780;2 249;508;337;252;102;53;4;27;3;7;1 441;61;876;2 807;254;851;1 508;2 654;153;88;14 856;51;3;0;0;1;0;0;1;13;2 262;6 945;3 829;5 545;13 788;2 104;4 204;756;1;1;21;5 034;940;1 747;12 934;2 014;11 619;37 362;134;426;109 220;68;25;0;0;18;0;0;4;673;7 005;0
