GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155
   Республика Коми;80445347;80382037;2385;910292;841555;8415556;258;566;566;6224;2;8154;70993468;71017040;355090846;2340;-6;89755;89231;535385;50;2;2;8;1;0;0;0;0;169930;169376;846874;54;6645436;6639144;40163104;1013;1439439;1434429;390;3770;3770;2;1626633;1619740;739;121434;119625;1427;0;0;0;1251;1002;19;1911;994;2;1116;1116;1;61848642;61854001;2232;52567110;52591759;2212;1115714;1115714;38;27753;27753;11;1561559;1556681;338;169921;169367;53;6299643;6285769;989;102677;102693;101;4256;4256;1;508;171;2;9706417;9712560;42;14876645;14816706;3608;0;0;0;5871585;5873553;137;1548352;1553601;21;173468263;5267602;1053518;1409696;281941;31303;740274;381;76;33;7;0;69;2;0;318337245;63667451;290062433;58012486;83;5654882;0;0;0;0;323604847;64720969;291472129;58294427;31386;6395156;1168663;233735;249831;49967;32006;151762;2815;0;0;0;2815;137975;1306638;0;0;0;0;173468263;9712115
   Республика Крым;77165821;77364760;8670;5726679;5670283;56703116;1312;657;678;7450;6;-245702;53259636;53360706;266948225;8295;627;59877;59897;359374;95;2374;2374;12058;6;10;10;51;2;203261;202577;1012892;90;14347348;14303261;87847263;5038;3360493;3357435;2053;8891;8891;13;3812441;3760441;2922;101403;99453;1283;0;0;0;2507;2507;28;17;17;1;0;0;0;66573739;66850099;8215;49696220;49862076;8090;117286;116475;41;91998;91738;69;4034189;4031739;1954;202302;201742;82;12358359;12472962;4660;68601;68573;102;-10;0;0;0;0;0;95853;92243;10;12299653;12208319;9668;0;0;0;1665508;1650145;45;128258;128258;12;1836763;21592244;4318450;2666640;533328;606367;3178755;22553;4510;884;176;32;4302;15;0;84374317;16874861;69765255;13953049;263422;2658390;0;0;0;0;105966561;21193311;72431895;14486377;869789;5837145;2241522;448306;110083;22016;5552;420738;11003;4512;902;0;10101;19562;2261084;0;0;0;0;1836762;92243
   Республика Марий-Эл;40603994;39812450;3296;3930739;3910119;39101169;453;1679;1679;18473;7;13186;27744980;27111667;135558440;3162;0;715054;714893;4289346;90;0;0;0;0;0;0;0;0;111410;108451;542254;63;6784264;6711354;41519228;1642;1230767;1182830;538;2227;2227;4;1302674;1253998;922;119011;119037;330;0;0;0;465;465;14;983;0;0;6;6;1;36728692;35985045;3121;27793767;27174763;3093;915748;915759;100;64696;64761;43;1430076;1386909;496;111405;108446;62;6393236;6315140;1550;19758;19259;31;0;0;0;0;0;0;31065;30982;10;4380449;4332154;3535;0;0;0;410538;411013;46;83562;83562;5;5608974;5770126;1154023;1016198;203239;81270;869514;1846;369;225;45;0;324;1;0;2494315;498863;1854092;370819;4020;124024;0;0;0;0;8264441;1652886;2870290;574058;85290;993538;1001016;200203;27019;5403;604;194196;0;0;0;0;0;200347;1201363;0;0;0;0;5608975;30530
   Республика Мордовия;47239875;46553916;4004;8845678;8527704;85277776;734;237;237;2612;4;-33452;26284676;25949876;129750656;3802;9;2394536;2394010;14364064;123;0;0;0;0;0;0;0;0;51700;51700;258502;67;7601343;7547971;52673595;1912;1933681;1931758;680;42;42;1;2095074;2081681;1150;299769;299513;328;601;601;3;480;480;3;476;383;1;0;0;1;42635610;42069400;3750;32018622;31529283;3723;925821;901488;104;111462;111461;63;2043236;2042334;640;51373;51322;66;7461146;7406551;1849;27670;27500;71;0;0;0;0;0;0;74877;74927;7;6240789;6126218;4088;0;0;0;1407786;1413999;142;208000;208000;17;7519885;7908189;1581636;1638195;327641;187984;1066011;0;0;0;0;0;0;0;0;9327684;1865536;16901712;3380342;7729;-1522535;0;0;0;0;17235873;3447172;18539907;3707983;195713;-456524;1815935;363185;123482;24696;4149;334340;224;0;0;0;224;73777;1889712;0;0;0;0;7519885;74369
   Республика Саха (Якутия);54659463;54632785;2522;1183725;1173426;11734247;313;-44;17;190;4;19987;41730619;41786214;208923306;2412;69;51291;50943;305661;60;757;757;3784;2;0;0;0;0;1110235;1096337;5481685;60;8648269;8650665;52882336;985;1481988;1481151;420;0;0;0;1914590;1873318;723;271768;271624;467;17;17;1;20;20;1;5565;0;0;0;0;0;47653688;47632235;2327;36277537;36302777;2286;386634;380944;46;2660;2660;10;2172666;2199629;424;1091900;1078003;58;7581924;7528104;905;141529;141407;97;0;0;0;0;0;0;11887407;11888928;110;12447382;12443171;2721;0;0;0;17057086;17024403;263;1855169;1856542;22;334494298;9326061;1865213;2325297;465057;342591;1057565;4830;966;30;6;30;930;2;0;40886401;8177282;13700450;2740089;67043;5370150;0;0;0;0;50212462;10042495;16025747;3205146;409634;6427715;154341701;30868341;96006;19201;468;30848672;13343;0;0;5;13338;1776111;156117812;0;0;0;0;334494300;11883272
   Республика Северная Осетия-Алания;10362589;10120331;1451;844334;847203;8472039;181;7118;7055;77600;8;-67470;7448310;7210272;36057666;1285;-2493;177969;146737;880425;81;65;65;25337;1;0;0;0;0;2432;2432;12160;6;1467640;1455414;9169333;453;455812;419479;195;12960;15832;4;484861;451191;277;4222;3743;84;0;0;0;0;0;0;-986;0;0;4;0;0;8913527;8893295;1333;7002068;7018457;1315;85637;85478;51;12487;12487;13;441528;407090;204;2432;2432;6;1373890;1365784;369;1468;1468;10;0;0;0;0;0;0;42307;42593;23;1659830;1448550;1485;0;0;0;241230;247835;63;5665;5676;2;1470932;1887225;377444;180660;36133;37859;303452;23390;4678;0;0;0;4678;3;0;309505;61901;19466;3893;-9;58017;0;0;0;0;2196730;439345;200126;40026;37850;361469;1283690;256738;694654;138931;7451;110356;201;844;169;0;32;23275;1306965;114744;1964;10;0;1470931;42593
   Республика Татарстан;790306637;786741662;52070;28280991;28252988;282529875;4067;22911;22948;252425;44;117827;550960663;548478186;2742390107;50282;-732;3449684;3445027;20670160;818;0;0;0;0;0;0;0;0;544393;526103;2630509;254;168363750;167630794;1031693540;27726;35721557;35508461;13816;889200;889305;41;38567109;38335490;18040;1509479;1506924;913;1249;849;6;1888;1938;39;50923;2990;28;360;361;3;721290938;718681285;50586;488762106;487414433;50198;30844559;30838095;1224;1792371;1534320;382;34444363;34629486;12611;528493;509844;239;163454121;162290181;26398;1469262;1469147;367;0;0;0;566;214;1;5594257;5587405;212;96324565;95241273;51124;0;0;0;31245206;31212941;781;10688372;10668078;118;353123660;78891519;15778305;24822848;4964567;1205120;9608618;276149;55228;5491;1098;342;53788;37;0;137782785;27556559;79437038;15887412;87974;11581173;0;0;0;0;216674304;43334864;104259886;20851979;1293094;21189791;16661653;3332331;2575215;515044;106503;2710784;71837;10699;2140;108;69589;2593396;19255049;758110;42624;23;0;353123660;5531446
   Республика Тыва;3255615;3214459;211;59710;59914;599145;21;0;0;0;0;133;2502154;2487324;12432124;206;0;3563;3563;21380;4;0;0;0;0;0;0;0;0;14492;14492;72462;8;563167;542998;3258474;62;93927;87698;33;0;0;0;112396;106139;62;55957;55957;22;0;0;0;0;0;0;0;0;0;0;0;0;2824205;2856169;184;1588915;1632747;182;26060;26060;3;15612;15612;2;549944;544699;36;14492;14492;8;573115;566492;55;56068;56068;11;0;0;0;0;0;0;551206;551206;11;1081017;1064070;210;0;0;0;1143796;1199971;26;6577;6577;2;7492638;377575;75512;29353;5870;6163;63479;207;41;207;41;207;-207;1;0;2125206;425041;587;117;379;424545;0;0;0;0;2502781;500553;29940;5987;6542;488024;20081121;4016224;1000;200;0;4016024;2221;0;0;0;2221;0;20081121;0;0;0;0;7492638;551207
   Удмуртская Республика;115926088;116325744;14714;6581395;6575375;65752588;1491;3610;3610;39713;4;-401206;83304572;83343697;416650613;14253;35678;381588;380990;2317499;238;-216;0;832;0;0;0;0;0;178882;174908;874546;138;22620297;22570761;136873752;7136;2736787;2725702;3002;12044;12044;19;3292672;3273526;4327;142227;138065;567;477;477;1;1906;1909;27;1345;527;10;244;247;2;91718948;92405334;14342;67021479;67714200;14251;1681286;1682191;294;162820;158753;140;4476578;4438587;2854;176199;172164;133;18181956;18186760;6804;51985;51923;101;0;0;0;0;0;2;2671488;2676523;91;23948369;23656195;14735;0;0;0;2238832;2241874;224;1183410;1183375;45;76411960;18159853;3631974;3281862;656372;657545;2318057;12296;2459;9682;1936;0;523;5;0;39601187;7920234;24949745;4989949;1882;2928403;0;0;0;0;57761040;11552208;28231607;5646321;659427;5246460;2726423;545285;41161;8232;3553;533500;10242;0;0;0;10242;49591;2776014;13497;0;6;0;76411959;2675915
   Республика Хакасия;24845315;24781068;1801;685986;683557;6835524;276;932;1405;15452;8;2795;21584607;21523614;107618028;1723;0;95912;95912;575473;47;0;0;0;0;0;0;0;0;61717;61717;308582;34;1715619;1718690;10392819;708;610397;610130;327;2429;2058;4;697745;695400;504;13002;12987;258;0;0;0;151;151;9;68;0;0;0;0;1;20996357;20943070;1677;17319029;17257414;1667;919972;919972;31;285817;291024;16;627439;627349;299;61681;61681;34;1775521;1778702;693;6930;6930;22;0;0;0;39;0;0;1191628;1191613;31;4111188;4099206;1981;0;0;0;1462445;1428336;52;199504;199527;15;24221514;2842762;568551;794776;158955;45647;363949;1382;276;0;0;0;276;2;0;940593;188119;724;145;89;187885;0;0;0;0;3783355;756670;795500;159100;45736;551834;970227;194045;7519;1504;312;192229;0;0;0;0;0;1258;971485;0;0;0;0;24221515;1191613
   Чеченская Республика;28452738;25159514;1896;1160636;1147758;11477576;195;13346;13346;146809;2;603212;24563571;22099710;110507927;1793;2016;148596;160751;964504;42;0;0;1359;0;0;0;0;0;9184;8873;44365;2;1458393;1269751;7550457;272;385340;377487;170;0;0;0;493784;452313;238;5730;5504;26;157;0;0;42;42;1;0;0;0;0;0;0;26391035;23938416;1819;24751598;22302646;1803;147861;135956;27;57184;57184;8;369169;380057;184;9184;8873;2;1053620;1054706;213;993;993;9;0;0;0;0;0;0;5975;5975;2;2383919;1555418;1843;0;0;0;324307;333368;11;52;52;1;628112;2951586;590318;1507467;301493;299553;-10728;217395;43479;219744;43949;28955;-29425;13;0;7822;1564;0;0;0;1564;0;0;0;0;2959408;591882;1507467;301493;299553;-9164;280156;56031;13747;2749;153904;-100622;39118;1347;269;153904;-115055;0;280156;97274;5975;2;0;628111;5975
   Чувашская Республика;58791676;58637317;6968;2637636;2635166;26351661;738;1654;1654;18197;4;26812;41042590;40933910;204669551;6681;0;348955;317764;1906576;117;0;0;0;0;0;0;0;0;79620;79597;397985;81;12887963;12881809;78303140;3961;1256992;1255105;1487;15126;15139;18;1766449;1761927;2236;47529;45737;654;0;0;0;2000;2075;17;4066;93;2;0;0;0;49688768;49618578;6690;35229088;35186289;6649;1345291;1345627;223;126212;126114;107;1577309;1562833;1355;79597;79574;80;11302417;11289275;3800;28854;28864;90;3;3;1;0;0;0;28845;28936;27;10780283;10693730;7290;0;0;0;1637440;1641481;127;44797;41970;12;7657045;10539447;2107891;1220661;244134;64250;1799507;3276;655;0;0;0;655;2;0;4346000;869200;585838;117168;1687;750345;0;0;0;0;14885447;2977091;1806499;361302;65937;2549852;1056793;211360;91760;18353;1863;191144;2723;9419;1884;0;839;79207;1136000;550;0;1;0;7657043;27514
   Алтайский край;142526507;139028363;18168;22613377;22572897;225723330;3693;19177;19213;208539;37;1186191;92755685;90580819;452931062;16891;12;734875;729221;4377221;280;0;0;560;0;0;0;4;0;162402;154518;772589;159;20557301;20475658;135891767;7400;3760383;3742784;3099;465658;478048;32;4497999;4482007;4945;105913;105716;931;0;0;0;270;270;16;22854;6932;12;3;3;1;125796598;122536064;17632;99824042;96599554;17517;1907474;1900877;459;1194493;1190885;280;4716227;4779544;3000;159981;152084;154;17910077;17828895;6914;82344;82270;127;291;291;2;-24;0;0;1282173;1286512;227;18870384;18653016;18194;0;0;0;3275050;3316834;652;405882;405920;39;39557679;18432079;3686415;5065421;1013085;391291;2282039;38;8;0;0;0;8;7;0;1707903;341582;452720;90544;1441;249597;0;0;0;0;20139982;4027997;5518141;1103629;392732;2531636;5100261;1020051;1193553;238711;1037075;-255735;978;0;0;0;978;235435;5335696;0;0;0;0;39557682;1268577
   Краснодарский край;632851562;631597697;37970;100077875;100038347;998280184;5638;53482;53708;590446;50;-408063;390951273;389609067;1948393531;35820;2698;10028942;10027272;60178778;836;5554;5554;29089;9;14366;14366;89162;4;602767;592667;2963342;447;101714151;101484063;661159995;20722;27710626;27656762;9039;74282;77698;39;30007949;29968189;12654;861659;839419;1171;10209;10308;7;3987;3987;85;29207;5156;18;136;140;9;579745486;579747961;36322;425715088;426566808;35894;31131793;31120270;1887;2558777;2554098;433;30574787;30684121;8468;591324;581225;429;88506674;87584474;19621;626487;616486;355;5330;5330;5;-57;207;1;8574632;8572128;384;85146465;83854098;37506;0;0;0;39684277;39683768;1004;3786648;3794900;81;356875659;94401462;18880298;17428641;3485732;1970207;13424359;25690;5138;6334;1267;2740;1131;37;0;123996035;24799207;75073939;15014787;22278;9762142;0;0;0;0;218397497;43679505;92502580;18500519;1992485;23186501;20266538;4053308;633418;126685;17917;3908706;358599;7553;1511;293;356795;8717157;28983695;57772;1693;25;0;356875602;8541593
   Красноярский край;420436782;418925761;22618;14950574;14859093;148590942;2565;3311;3413;37539;26;-57233;335457186;334123017;1670672546;21862;-85;914468;909141;5454842;400;177;2;246;1;24;24;137;3;1052097;1019031;5095150;166;53683132;53650861;328844527;10021;13036106;13000929;4833;18642;18642;12;14410481;14333210;7098;671991;668722;1629;2350;2350;2;138;138;8;5871;1024;6;11;29;4;343276286;341684265;21821;259005046;257395555;21655;10807752;10892884;536;277813;275163;157;22857871;22796815;4540;1015225;1009450;164;48893803;48893199;9608;427949;426181;334;215;215;4;305;0;0;5987864;6062855;269;107325424;107094917;22791;0;0;0;34609190;35221132;842;16234177;16170791;99;479328175;55996717;11199346;28340033;5668010;1308359;4222977;61406;12281;62171;12434;189;-342;26;0;75410571;15082113;791753;158350;3465;14920298;0;0;0;0;131407288;26281459;29131786;5826360;1311824;19143275;33789856;6757971;767637;153528;102894;6501549;5122;1185;237;58795;-53910;2200812;35990668;26125;2306;5;0;479328175;6008291
   Приморский край;259637674;258973214;17084;14557254;14469685;144457771;2792;12969;14688;161574;11;69178;201640719;201273410;1006451991;16332;-62;933772;966223;5797343;212;348;348;10704;2;0;0;0;0;128684;160823;804119;86;32312776;32169857;199372355;7323;8362543;8284089;2934;268314;268390;24;9545466;9525257;4327;484542;483538;1055;3512;3512;4;51;51;6;3650;3112;5;56;54;2;249908623;249286946;16383;172813070;172468314;16051;37168798;37198636;2587;186595;186015;71;10979847;10855686;2863;123538;155677;85;28250233;28031371;6927;394747;396426;207;8;8;1;596;40;1;5052719;5053855;566;24322888;23975858;16935;0;0;0;18688780;18822940;885;1643451;1674008;62;172292325;31712359;6342473;7396699;1479339;993247;3869887;613624;122725;4466;893;187;121645;12;0;60904260;12180852;24410436;4882087;110840;7187925;0;0;0;0;92616619;18523325;31807135;6361426;1104087;11057812;50654913;10130981;1185537;237108;26880;9866993;134985;699789;139958;307;-5280;13427710;64082623;19835;582;6;0;172292326;5033752
   Ставропольский край;150921499;150514528;12214;16570486;16371037;163710341;2297;6891;10879;119671;18;-87723;99367795;99226706;496124837;11444;373;1414548;1417532;8505190;203;0;41;541;1;0;0;0;0;158033;157837;789185;161;27738259;27614009;190638647;5831;5144046;5167605;2437;70329;70329;15;5752840;5709924;3739;110150;110887;531;28;28;1;2635;3162;39;843;524;5;0;0;0;138152860;138075627;11586;102407847;102514354;11464;2982503;2947969;397;756207;769548;153;5431034;5423731;2212;158581;158385;153;26323162;26168239;5414;92679;92551;131;848;848;1;231;0;0;432029;432037;39;18146008;17801888;12304;0;0;0;5674629;5658753;283;1444917;1445450;33;41209240;22826956;4565391;4038295;807659;497834;3259898;52508;10502;3762;752;3;9747;30;0;5145071;1029015;437150;87429;10584;931002;0;0;0;0;27972027;5594406;4475445;895088;508418;4190900;9895529;1979105;141645;28329;7836;1942940;24806;36828;7366;6138;11302;1318596;11214125;131089;6697;5;0;41209240;207410
   Хабаровский край;141435004;141267640;10353;9287144;9307468;93074685;1438;538;538;5910;9;96093;99963944;99882391;499365741;10028;19;4825783;4838768;29032613;213;60707;60707;303536;3;0;0;0;0;306377;303705;1518522;105;20540558;20410073;124177571;4731;5443904;5439766;2108;14571;14571;10;6414195;6430667;3213;429064;205069;1328;0;0;0;94;94;6;4646;4129;6;0;0;1;126174340;125868043;9840;92717753;92433201;9721;2982752;2988697;410;2688776;2688776;49;7350920;7350005;1986;305948;303276;103;20025479;19998056;4515;102194;105547;144;417;417;1;3138;2664;5;3635951;3665490;186;28710796;28393032;11061;0;0;0;16885770;16423382;558;999061;1034698;33;129854301;15664996;3132999;4466308;893262;200910;2038827;2012;402;43934;8787;0;-8385;4;0;2620672;524134;254515;50902;3342;469890;0;0;0;0;18285668;3657133;4720823;944164;204252;2508717;4300050;860010;158844;31769;7212;821029;5013;762;152;0;4861;2017113;6317163;398170;23296;3;0;129842879;3653327
