"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57"
"Астраханская область","40 637 908","30 218 253","35 886 677","26 460 360","162 358","56 291","27 261 716","91 682 656","5 144 109","3 992 783","1 556 788","3 888 755","723 218","554 987","584 150","1 284 793","0","0","972 638","2 603 842","670 941","522 306","124 591","74 096","12 326","3 378","78 889","1 595 973","47 327","40 258","15 686","816","3 462","15 971","2 564","2 235","1 500","4 010","741","544","53","7","47","578","63","59","0","0","0","0","0","0","0","0"
"Белгородская область","93 877 972","59 689 579","87 206 673","53 571 654","230 862","148 713","41 203 599","108 011 264","8 332 823","6 511 094","2 385 785","6 416 003","1 148 329","961 111","909 325","1 840 884","0","0","1 476 460","4 575 097","998 177","895 470","389 011","134 805","7 175","4 343","86 103","61 196","330 610","12 906","10 022","2 240","5 241","28 932","4 511","4 819","2 219","9 956","1 050","1 549","40","8","47","123","138","46","0","0","0","0","0","0","0","0"
"Брянская область","63 896 604","35 566 010","58 179 011","30 850 564","123 864","109 366","31 881 482","94 918 756","6 022 532","4 963 880","1 858 303","5 645 501","899 432","741 555","745 907","1 687 961","0","118","1 112 392","3 957 422","802 920","719 609","224 431","45 765","7 813","3 508","54 219","47 774","2 172","1 123","X","X","3 270","20 595","2 917","2 076","1 238","5 823","599","560","X","X","26","46","11","4","0","0","0","0","0","0","0","0"
"Владимирская область","101 593 903","48 562 471","92 924 870","42 760 751","234 879","89 526","55 693 532","129 800 301","9 801 290","5 882 941","3 084 817","7 507 347","1 398 369","845 484","1 177 673","2 151 284","0","0","1 907 132","5 115 007","1 246 502","806 455","396 014","85 357","10 420","7 280","256 756","270 168","66 579","34 812","3 640","X","6 899","25 177","5 412","3 192","2 831","7 264","1 401","911","5","X","462","726","224","98","0","0","0","0","0","0","0","0"
"Волгоградская область","100 252 447","48 520 284","91 400 414","41 801 496","296 005","65 652","69 760 065","166 032 168","10 457 966","6 844 929","4 182 432","9 916 204","1 436 111","972 633","1 606 598","3 185 909","0","0","2 575 834","6 730 295","1 288 164","933 824","368 229","78 740","18 305","6 361","3 172","9 792","121 373","53 376","34 995","889","8 904","40 848","6 251","3 886","3 659","10 935","1 677","988","122","12","8","17","92","40","0","0","0","0","0","0","0","0"
"Вологодская область","135 230 446","43 023 692","125 750 385","38 562 346","604 451","112 769","44 822 361","77 732 288","10 909 096","4 654 120","2 608 478","4 594 755","1 587 564","690 588","912 984","1 418 475","0","0","1 695 493","3 176 280","1 348 285","633 392","611 809","125 175","68 996","7 430","80 859","65 453","45 068","6 958","2 529","507","6 319","19 157","7 749","3 967","2 951","5 703","1 967","1 212","5","3","74","83","80","26","0","0","0","0","0","0","0","0"
"Воронежская область","159 631 904","79 749 282","149 778 412","70 963 691","370 858","224 765","97 282 662","222 278 691","13 691 369","9 373 013","5 694 299","13 324 366","2 021 871","1 372 034","1 964 822","3 671 064","0","0","3 729 477","9 653 109","1 746 346","1 272 599","706 148","217 377","29 622","5 471","142 605","9 626","24 766","31 486","3 119","X","7 678","43 293","7 498","5 415","2 618","15 081","1 589","1 673","18","X","33","21","30","24","0","3","0","0","0","62","0","0"
"Ивановская область","142 836 636","107 198 173","127 046 314","88 749 274","488 290","165 570","27 477 783","105 019 247","16 780 285","18 438 715","1 566 719","5 658 440","1 686 807","1 522 007","541 892","1 569 895","0","478","1 024 827","4 088 067","1 452 190","1 401 127","582 176","227 892","17 983","9 402","81 977","398 698","765 354","1 084 918","243 834","133 954","4 241","17 492","6 888","4 961","1 758","4 941","1 619","1 277","333","116","170","862","796","738","0","0","0","0","0","0","0","0"
"Иркутская область","192 756 040","90 300 653","176 391 584","79 922 692","522 004","227 899","91 318 421","185 122 765","18 807 307","10 839 925","5 428 693","11 072 568","2 456 171","1 472 798","1 913 560","3 283 290","0","0","3 515 133","7 789 275","2 147 922","1 375 866","744 139","201 872","25 147","2 801","50 638","14 262","338 092","146 086","20 613","5 582","11 959","42 086","10 973","7 433","5 668","12 884","3 458","2 760","41","9","21","31","463","162","0","0","0","0","0","0","0","0"
"Калининградская область","280 803 283","73 916 451","255 104 797","65 806 895","1 383 220","207 395","89 213 671","144 953 104","29 310 522","9 189 581","5 352 402","8 695 946","4 393 862","1 377 805","1 595 465","2 399 009","0","0","3 756 916","6 296 196","4 122 153","1 331 425","780 654","105 323","79 889","13 855","0","0","0","0","0","0","7 988","25 460","13 165","5 218","3 357","7 035","3 600","1 650","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
