GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67
Вологодская область;5 572;0;0;115;0;49 188;412;30;3 721;5 446;1 624;1 151;545;19;81;7;12;1 352;640;840;7 203;953;1 622;5 258;9 347;549;257;30 455;214;65;4;1;3;8;13;4;6;3 902;20 526;12 656;17 225;24 955;2 380;8;2;37;6 290;9 607;1 671;32 228;7 513;22 733;150 558;473;1 018;309 913;112;1 537;6;30;29;419;18;28;2 016;0;0;17 226
Воронежская область;8 162;0;0;1 996;0;98 741;338;50;8 878;10 482;3 262;2 511;1 490;69;56;7;47;1 843;451;1 615;10 082;1 805;2 046;9 848;10 489;79;166;54 421;83;55;0;0;2;22;45;2;50;13 197;34 107;25 544;38 058;75 780;12 541;2;3;189;11 465;11 342;3 269;45 831;13 404;27 957;255 109;67;670;555 257;71;1 137;0;0;9;479;12;27;34 451;0;0;133 082
Ивановская область;3 562;0;0;193;0;24 612;160;0;2 303;2 873;1 047;733;426;25;7;4;13;1 053;30;584;3 928;564;642;1 894;3 863;87;78;16 100;61;17;4;0;1;13;1;0;0;1 706;6 412;5 676;8 607;17 035;3 042;0;1;15;6 200;306;948;9 867;2 169;5 905;34 352;60;236;99 199;61;339;1;0;6;553;1;0;0;0;0;3 093
Иркутская область;9 549;0;0;7;0;96 861;1 610;88;5 624;9 864;2 715;2 159;1 828;117;104;23;65;5 821;1 444;1 343;14 010;2 620;5 426;14 868;21 335;554;657;67 915;386;315;4;3;19;20;154;281;40;3 339;13 486;14 215;21 738;63 974;13 208;4;2;60;13 834;14 089;1 653;41 221;14 721;58 993;425 843;197;2 103;687 170;100;3 388;17;134;72;412;851;3 298;4 844;0;0;388
Калининградская область;6 412;0;0;13;0;37 542;671;30;2 649;4 542;1 451;1 183;669;47;17;2;30;1 328;754;1 333;4 530;870;757;8 254;5 545;10;18;28 360;165;79;9;2;3;4;15;49;7;502;7 579;8 096;15 847;35 900;8 377;1;0;53;4 315;19 323;2 586;20 837;6 652;10 546;267 510;7;71;399 749;477;2 438;51;1 157;32;171;1 251;13 032;284;0;0;3 548
Калужская область;4 247;0;0;739;0;44 475;74;5;3 295;5 028;1 597;1 096;658;32;50;4;49;1 259;390;735;6 655;740;1 045;7 091;5 990;52;30;29 691;10;8;1;1;1;2;2;0;5;2 141;12 168;11 908;15 881;33 155;5 502;6;15;165;5 474;5 785;642;14 165;2 701;7 676;128 899;48;119;240 780;32;271;4;1 040;23;87;170;0;547;0;0;14 504
Камчатский край;1 632;0;0;16;0;15 560;6 183;58;587;1 656;400;225;327;14;5;6;7;530;354;213;1 794;387;928;1 547;4 052;407;444;8 964;654;72;1;1;1;4;45;55;10;458;3 768;1 948;2 607;15 319;2 480;0;3;14;2 983;8 789;406;8 711;3 021;13 282;39 593;291;1 847;100 901;649;3 064;7;1 217;10;201;5 408;7 817;1 577;0;0;1 439
Кемеровская область - Кузбасс;6 808;0;0;532;0;78 148;312;26;5 409;8 521;2 808;1 966;1 472;44;60;6;35;3 425;2 456;1 068;8 796;1 364;2 778;7 974;17 718;327;653;48 041;149;55;1;0;7;13;28;25;25;2 806;13 408;19 640;26 610;64 648;7 545;3;1;87;10 200;27 856;2 130;40 202;10 534;38 862;216 560;230;2 265;473 615;61;171;0;0;33;343;12;70;1 050;0;0;25 385
Кировская область;5 062;0;0;240;0;46 644;149;4;3 446;4 757;1 109;891;442;16;77;11;11;1 583;237;964;6 044;701;1 614;3 359;9 032;192;92;25 244;70;13;0;0;1;3;24;0;4;4 697;14 704;8 932;13 639;23 270;3 418;5;3;42;9 601;5 289;1 978;27 606;5 378;22 722;91 788;163;370;229 655;116;250;0;0;3;123;19;0;279;0;0;35 620
Костромская область;2 685;0;0;87;0;23 060;126;14;2 214;2 745;679;420;284;8;34;11;9;1 099;163;540;3 397;504;894;1 853;4 017;187;117;14 846;57;30;0;0;2;1;1;1;6;2 389;9 144;4 827;5 996;13 514;1 387;4;3;31;4 849;2 737;1 081;15 466;4 003;12 432;52 687;166;443;129 164;110;1 431;0;0;19;150;1;46;18 208;0;0;6 068
Курганская область;2 592;0;0;100;0;27 612;104;10;2 589;2 378;557;400;291;12;28;5;13;1 502;83;850;3 881;385;967;1 865;3 777;197;124;15 791;71;1;0;0;2;0;2;2;10;1 871;7 008;3 341;4 455;9 130;1 209;1;1;27;5 704;949;1 675;17 608;2 937;12 606;49 119;102;337;116 432;89;7;0;0;18;0;8;12;441;0;0;9 731
Курская область;3 791;0;0;3;0;46 003;49;7;5 072;4 483;1 277;745;464;34;44;4;7;2 758;389;876;5 759;679;1 764;4 506;6 485;9;38;28 826;21;10;0;0;0;3;0;0;7;5 676;15 363;10 234;11 247;26 343;6 414;3;1;17;15 526;8 539;1 766;27 197;5 365;24 565;119 128;9;157;270 969;83;484;0;0;0;270;0;0;440;0;0;945
Ленинградская область;5 858;0;0;679;0;58 657;622;6;4 502;7 966;2 215;1 759;1 046;62;33;12;63;1 863;608;953;7 968;1 187;1 567;7 283;11 464;235;229;39 026;198;108;3;1;7;8;114;15;4;5 818;29 144;16 929;26 144;54 195;11 280;4;7;220;12 026;13 107;1 835;36 323;9 177;21 705;163 904;209;808;390 529;427;6 878;16;15;22;292;164;751;332;0;0;28 894
Липецкая область;4 471;0;0;73;0;48 885;127;5;5 360;5 462;1 534;1 075;638;37;33;5;14;2 052;665;1 093;6 179;824;1 708;6 125;6 286;64;106;32 876;80;23;0;0;2;6;0;1;5;6 008;16 364;12 230;16 220;33 330;7 314;3;2;63;12 592;15 917;2 207;28 403;6 252;23 967;166 549;62;416;340 100;157;1 211;0;0;38;519;0;53;131;0;0;3 931
Магаданская область;896;0;0;10;0;17 243;384;35;374;1 298;263;213;334;8;7;0;0;328;322;186;1 775;372;884;2 870;6 014;119;188;9 226;200;45;2;0;0;0;9;12;25;210;1 544;655;1 070;4 872;349;0;0;0;933;3 546;386;8 401;3 159;12 800;68 996;70;521;106 573;253;857;13;0;0;0;55;174;3 257;0;0;3 937
Московская область;32 446;0;0;58;0;309 256;814;208;24 183;52 461;15 093;10 366;7 390;490;219;74;300;11 416;7 667;7 033;47 607;9 394;8 206;42 331;49 657;557;721;243 733;368;178;8;6;11;28;74;8;192;18 232;181 791;110 977;148 688;383 189;79 654;23;28;1 279;57 527;143 722;13 022;177 687;54 896;107 957;962 780;480;2 960;2 361 804;1 559;7 923;36;1 170;81;962;441;512;145 072;0;0;1 311
Мурманская область;2 355;0;0;16;0;24 500;1 093;4;2 032;3 087;712;468;330;9;32;4;9;1 230;627;279;2 962;479;883;3 738;4 316;334;571;16 869;412;196;2;0;1;3;41;100;4;1 790;7 836;4 034;5 436;16 112;1 912;2;1;17;5 002;5 268;449;10 950;3 528;11 049;75 740;142;1 347;147 213;276;6 753;7;0;11;123;14 934;36 487;1 246;0;0;4 439
Нижегородская область;12 617;0;0;2 124;0;123 372;2 801;18;7 041;12 285;4 366;3 636;2 003;116;106;12;87;3 934;1 492;2 042;17 607;3 052;3 154;13 678;14 749;267;303;74 493;152;544;1;2;3;11;546;363;16;11 132;41 487;29 744;53 287;101 840;18 565;11;5;376;19 464;31 905;3 669;69 451;20 435;38 829;325 591;235;1 148;747 227;370;25 496;1;79;28;466;39 733;14 296;834;0;0;204 810
Новгородская область;2 625;0;0;31;0;23 778;276;5;2 342;2 604;704;442;238;8;28;3;7;959;400;626;4 161;664;724;2 704;3 977;150;129;16 606;138;24;2;1;1;2;2;28;5;2 711;7 887;5 220;6 292;10 374;1 292;3;2;19;5 515;8 918;1 266;19 470;5 262;10 186;78 958;125;466;162 084;213;737;25;252;18;120;3;429;77;0;0;380
Новосибирская область;12 800;0;0;487;0;100 527;1 919;68;7 150;13 706;4 120;3 190;2 475;159;62;21;116;3 912;875;2 174;13 178;1 988;2 384;10 872;14 028;407;716;66 213;339;128;3;4;7;20;225;235;53;5 060;22 081;27 117;42 363;116 798;29 331;4;4;263;21 029;20 919;4 379;59 683;14 519;32 764;294 169;295;1 643;661 157;416;1 974;7;1 706;45;504;3 616;2 853;3 040;0;0;52 500
Омская область;6 716;0;0;55;0;59 565;2 420;25;5 784;6 352;1 688;1 161;1 082;45;58;16;36;3 147;329;1 727;8 622;1 043;2 427;5 839;8 515;243;219;39 305;105;27;4;2;1;2;429;486;22;3 031;10 699;7 846;10 576;32 365;4 076;3;3;95;7 250;2 621;2 803;30 249;6 518;25 943;112 920;129;521;252 924;140;678;2;239;9;135;10 106;11 512;1 056;0;0;4 244
Оренбургская область;5 086;0;0;1 805;2 434;71 372;115;39;3 838;5 591;1 951;1 243;878;38;20;6;21;2 284;653;1 614;9 505;1 322;3 345;7 232;9 341;284;438;39 340;62;11;0;0;0;2;0;0;36;1 219;8 602;14 445;17 968;41 268;6 426;1;1;70;12 218;12 139;2 838;39 878;9 411;41 035;193 014;256;1 653;394 108;127;208;0;0;0;62;0;0;4 751;0;0;52 613
Орловская область;2 873;0;0;803;0;29 527;25;7;3 466;3 125;769;468;237;9;23;2;7;1 099;26;732;3 983;488;857;2 898;3 744;17;32;18 180;10;0;0;0;0;3;0;0;5;3 408;11 280;6 066;7 251;11 855;1 584;2;1;12;4 625;683;1 385;15 583;3 373;9 917;60 254;12;93;135 695;8;0;0;0;0;77;0;0;72;0;0;31 228
Пензенская область;4 222;0;0;2;0;36 480;64;13;3 728;3 623;1 105;810;428;24;55;13;16;1 465;216;871;6 094;781;1 231;4 302;5 434;86;120;24 737;30;7;0;0;1;4;0;1;13;5 367;12 010;7 742;12 096;22 359;4 537;5;12;47;6 957;4 038;1 773;28 133;5 887;17 134;118 935;78;501;242 494;53;140;0;0;15;201;0;1;679;0;0;70
Пермский край;9 884;0;0;110;0;77 548;1 243;118;5 995;9 915;3 307;2 112;1 731;78;62;11;63;3 244;1 691;1 295;11 362;1 568;3 635;10 584;12 016;598;605;56 854;183;338;0;3;9;21;187;50;70;10 113;35 289;25 000;30 212;70 724;11 413;8;5;177;19 546;38 203;2 554;50 223;11 950;50 589;281 367;304;1 345;625 922;241;5 124;0;191;37;424;8 539;818;28 905;0;0;502
Псковская область;2 641;0;0;69;0;24 019;278;22;2 572;2 558;652;386;259;11;65;6;7;795;60;597;3 997;463;696;2 803;3 361;80;70;15 916;85;23;0;0;3;3;34;2;10;3 410;8 510;5 130;5 991;12 727;1 976;4;2;11;3 540;992;1 134;16 908;3 335;9 535;84 030;61;240;155 258;89;393;0;0;27;112;17;46;15;0;0;8 939
Ростовская область;15 330;0;0;1 067;0;151 726;1 650;36;13 595;20 154;5 721;3 535;2 266;151;115;18;74;6 391;1 386;4 921;20 425;2 733;5 056;15 246;18 048;36;34;101 631;505;172;11;2;4;11;149;341;28;10 124;32 516;39 646;52 278;116 890;25 714;6;3;310;15 233;8 950;5 838;58 775;12 560;37 709;249 706;34;161;640 547;630;3 897;101;222;32;491;2 059;21 057;1 344;0;0;26 165
Рязанская область;4 816;0;0;302;0;44 330;150;13;3 677;4 225;1 411;984;557;40;59;7;14;1 907;364;909;6 188;827;1 275;3 827;5 281;131;120;26 231;72;30;0;0;2;2;14;2;12;2 764;9 421;10 024;14 911;30 316;7 449;3;1;59;6 800;4 764;1 708;22 805;5 149;16 590;103 717;119;447;229 029;160;1 235;0;0;41;150;21;62;1 050;0;0;38 932
Самарская область;14 192;0;0;68;0;127 931;971;49;17 036;17 802;4 560;3 627;2 169;120;121;55;244;5 255;1 155;3 070;17 758;2 378;5 445;15 659;16 454;362;478;96 327;389;298;3;3;11;45;31;32;49;19 736;54 197;30 217;53 545;114 048;23 743;15;33;993;19 450;23 615;5 777;80 687;17 979;75 925;412 071;330;1 913;908 290;771;6 774;5;1 151;112;3 455;219;599;810;0;0;16 331
Саратовская область;8 041;0;0;2;0;80 704;502;13;8 338;8 641;2 360;1 865;965;41;28;9;24;3 731;681;2 315;12 149;1 563;3 615;7 688;11 285;207;280;53 967;220;140;0;3;5;13;22;4;13;9 013;29 619;18 547;28 579;49 020;7 438;1;4;100;18 101;14 040;4 128;52 208;12 364;50 647;211 350;183;1 157;497 715;517;6 885;0;536;88;930;17;92;530;0;0;128
Сахалинская область;2 455;0;0;49;0;29 003;3 361;27;914;2 648;765;580;565;12;21;2;7;1 417;517;458;3 172;746;1 380;3 943;7 126;372;352;17 135;519;92;3;4;6;4;42;228;15;499;4 642;3 076;6 534;19 008;1 781;1;0;10;8 491;12 497;947;14 929;6 083;19 689;109 364;328;1 407;205 770;1 039;2 378;14;1 490;46;244;251;6 988;1 452;0;0;5 246
Свердловская область;18 545;0;0;7 356;0;149 717;592;48;1;22 445;7 226;5 521;4 210;260;185;67;201;3 125;964;3 084;16 947;2 610;5 551;13 958;20 527;511;564;87 749;196;80;2;0;19;48;8;17;36;1;22 512;36 851;55 594;149 831;31 031;9;16;505;12 664;15 649;1 866;23 118;6 043;22 916;262 656;292;1 509;610 243;245;1 024;0;0;107;1 686;4;176;5 881;0;0;155 496
