GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76
Калининградская область;4 933;64;0;797;0;33 268;383;6;2 779;3 536;1 252;784;589;86;88;117;100;15;14;17;15;1 225;742;1 868;3 798;620;1 000;6 754;4 743;9;1;25 002;117;57;7;2;2;1;25;77;8;677;5 540;6 107;10 116;29 169;2 177;2 430;2 209;7 554;1 788;0;4;22;3 738;16 690;3 343;16 852;4 809;12 959;164 172;9 324;6;3;274 869;337;2 178;16;577;29;38;2 404;17 703;356;12 044;0;125 618
Ленинградская область;3 232;879;2;304;0;49 326;447;11;3 408;4 210;1 311;847;801;68;82;67;81;12;32;5;9;1 685;581;1 440;6 237;785;2 385;4 234;9 737;155;91;27 963;145;54;3;1;3;6;126;25;12;4 415;15 683;9 669;13 011;37 795;1 676;3 098;1 935;6 220;1 838;3;4;27;9 529;11 281;2 652;27 966;6 121;30 754;83 276;31 665;140;347;252 028;206;1 671;7;120;15;197;497;628;1 035;50 626;240;87 773
Мурманская область;1 979;104;0;83;0;20 029;711;5;2 600;2 767;571;322;299;19;33;28;17;1;27;7;10;1 122;538;636;2 995;415;1 094;1 322;3 902;315;325;14 739;373;93;1;3;0;2;48;169;5;1 933;4 474;2 062;2 603;7 329;415;656;397;920;34;1;0;8;3 239;4 115;559;6 491;1 512;5 435;9 386;9 025;110;487;49 226;62;590;4;387;0;99;27 529;8 461;714;2 848;0;2 631
Новгородская область;2 299;217;0;121;0;22 374;167;4;2 976;2 124;505;289;225;27;23;27;16;1;31;3;6;1 166;396;1 139;3 877;434;1 102;1 255;3 938;125;40;14 714;111;24;2;0;1;2;2;4;4;3 820;8 155;3 726;4 527;10 185;1 003;564;681;1 573;150;2;2;21;6 023;7 399;2 428;17 387;3 438;14 044;29 811;9 736;109;155;105 778;189;369;10;0;9;59;2;24;64;13 678;0;32 777
Псковская область;2 523;194;0;188;0;22 618;185;9;3 084;2 214;521;271;253;31;33;41;31;3;119;5;6;1 392;331;1 197;4 356;456;965;1 693;3 452;102;40;17 117;87;16;1;0;1;2;21;18;9;2 990;5 561;3 774;4 177;12 214;822;1 190;1 073;2 310;425;6;0;6;5 676;4 708;1 899;16 659;2 862;11 442;31 380;8 234;77;79;103 378;72;133;2;0;6;47;11;21;8;14 517;0;38 611
город Санкт-Петербург;16 960;101;6;962;20;188 491;2 480;292;16 491;37 342;12 693;8 424;7 901;945;1 354;1 262;1 342;79;54;8;121;8 891;4 777;7 400;26 828;3 364;4 664;15 158;24 043;306;200;154 370;330;420;28;15;3;13;834;658;288;26 651;123 210;86 092;118 064;383 267;29 502;42 260;26 998;106 529;13 473;1;5;347;54 679;78 042;13 148;111 549;23 486;50 516;279 309;63 504;272;737;1 345 998;571;22 000;54;6 279;27;495;25 668;67 567;23 018;38 400;241;228 057
Ненецкий АО;184;104;0;0;0;3 029;145;2;105;100;29;24;25;0;0;0;0;0;0;3;0;59;31;36;211;50;412;114;806;153;90;1 198;69;21;0;0;0;0;4;8;2;88;169;109;133;355;0;0;0;0;0;0;0;0;189;394;41;559;229;4 042;2 130;3 020;5;33;8 438;5;83;0;0;0;0;21;39;37;1 704;0;0
СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;14 649;244;6;262;186;136 047;338;107;22 867;15 443;3 633;2 103;2 876;267;166;259;251;26;130;51;21;10 078;661;8 067;21 040;1 936;8 963;8 983;15 460;24;45;107 259;135;26;1;0;6;10;38;66;145;12 254;22 806;17 603;25 622;101 907;6 067;5 083;4 738;16 876;2 683;2;9;24;17 012;4 804;7 160;44 699;6 800;51 897;107 265;21 362;9;105;419 539;107;417;0;0;37;315;32;314;5 174;7 223;31;81 710
Республика Дагестан;2 664;56;1;9;0;17 908;169;7;3 527;1 971;555;250;399;41;14;19;20;5;21;12;0;1 180;68;1 054;2 318;332;1 382;1 454;1 767;0;1;14 750;40;17;0;0;0;0;12;50;46;2 286;2 351;3 084;2 723;14 905;406;374;562;1 086;787;0;2;0;2 606;566;2 058;5 397;1 443;10 714;21 762;3 362;0;5;69 542;21;295;0;0;0;0;14;274;663;5 449;0;328
Республика Ингушетия;428;16;0;0;0;3 074;1;0;716;356;66;31;69;3;4;1;2;0;2;0;0;207;7;122;221;28;202;207;473;0;0;2 234;1;0;0;0;0;0;0;0;0;282;304;105;130;782;2;74;1;47;0;0;0;0;226;38;50;215;48;579;891;373;0;0;3 651;0;0;0;0;0;0;0;0;0;557;0;0
