GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182
Кемеровская область;2324379;27372607;0;1073627;0;126239;175946;826841;0;9215;25167652;280290;339271;4578458;125930;-4497;0;97;1861;252856;572;0;44160;0;0;348354;4165135;56554;0;0;0;-565188;-368;0;1001057;0;0;308143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269359;0;0;0;40218;26887;9492809;74881;483174;1712341;2431;0;2527346;0;0;0;351815;175920;0;234844;0;0;0;103428;32324;0;0;0;52051;557755;0;0;6292494;0;0;0;0;50199;2405;0;34;0;-83;0;0;5;0;0;0;0;0;0;0;2;0;1;0;0;0;0;2;0;12;130;0;0;24;0;0;0;36;0;0;0;1;19;37;9;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;42;0;0;89;0;0;0;0;5647;0;908;24910;9;3314;17453;0;96;4369;0;0;0;2180;266;690;139;476;0;14;0;0;0;0;0
Кировская область;399189;5830502;0;225680;0;1838;8112;0;27;9319;9217339;236081;121617;11866153;-26360;458685;0;26638;0;0;0;0;0;0;0;861274;1801492;2286;0;0;0;0;0;0;0;0;0;75352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237651;0;0;0;37488;73084;2191596;136683;202539;1071616;2246;0;150261;0;0;0;45891;48684;0;65400;0;0;0;62556;36331;33536;0;0;33693;262;0;0;0;0;0;0;0;10850;4464;0;12;0;-45;0;0;22;0;0;2;0;0;0;0;20;0;0;0;0;0;0;17;4;1;104;0;0;0;0;0;0;6;0;0;0;0;11;11;9;12;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1091;0;18600;9241;0;2217;1;0;453;740;0;0;0;150;95;155;230;1;0;642;0;0;13;0;0
Костромская область;946459;4699978;0;610817;0;4801;14714;1276;0;794916;5036689;135323;97876;4412078;0;0;0;0;0;0;0;0;0;0;0;8974;46031;0;0;0;0;0;-5419;0;0;0;0;273499;0;0;0;0;0;0;0;0;0;0;1289;0;0;0;0;0;0;0;88865;0;0;0;24664;16388;1406176;20315;112792;552179;2054;0;458677;0;0;0;118650;31087;0;109813;0;0;0;52652;20121;0;0;0;9657;65;0;0;0;0;0;0;0;5277;2146;0;85;0;56;0;0;-201;0;0;0;0;0;0;0;-252;0;0;0;0;0;0;-171;14;5;-566;0;0;6;0;0;0;-890;-7;0;0;0;-89;177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;0;150;0;0;0;0;206;0;248;4452;42;1837;0;8;6;2002;1;0;0;1479;290;384;111;138;0;0;0;0;0;0;0
Курганская область;240698;3412412;0;747888;0;758;14294;888;277;0;5540482;146321;179128;7823698;0;0;0;0;0;0;0;0;0;0;0;360807;100582;0;0;0;0;0;0;0;0;0;0;289308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181445;0;0;0;24250;16617;1882770;89055;113588;644373;875;0;270383;0;0;0;41457;37343;0;55485;0;0;0;99303;19092;0;0;0;11722;127225;0;0;0;0;0;0;0;4148;986;0;1092;0;0;0;0;44;0;0;0;1;0;0;0;25;0;0;0;0;0;0;0;0;5;7;2;0;1;0;0;0;919;2;0;0;0;17;832;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;48;0;5;0;0;48;0;0;0;0;906;0;144255;10081;2;759;0;0;-77;2839;-13;0;0;68;595;17;102;8666;0;6;0;0;100;0;0
Курская область;813467;9203707;0;1503904;0;9050;18956;90054;0;6545;8477297;241498;101458;10785929;89954;0;0;5310;0;0;0;0;0;0;0;39231;2724557;10803;85;0;0;0;0;0;0;0;0;472734;0;0;0;0;0;0;0;0;0;0;1793;0;0;0;0;0;0;0;226557;0;0;0;45482;26756;3474060;92634;169943;905752;4441;0;860155;0;0;0;254781;59293;0;133437;0;0;0;152945;43272;0;0;0;21451;531720;0;0;0;0;0;0;0;25150;82;0;0;0;19;0;0;20;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;142;80;3;0;72;0;0;0;449;-13;0;0;0;39;195;1;0;0;24;0;0;0;0;0;0;0;0;9;0;0;6;0;45;0;0;-70;0;0;0;0;1;0;252;5826;10;742;4370;47;1084;1226;0;0;0;1843;20;30;502;37;2;0;0;0;0;0;0
Ленинградская область;3905131;35572914;3659425;11285072;0;90086;177509;2693390;0;1714;22164235;238560;874203;22813039;-17395;0;0;570;95699791;10578617;27934;153849;5888298;0;961390;15714;1259663;0;4639;0;0;-96402;0;0;192270;0;0;1295022;0;0;0;0;483;0;0;0;0;0;370;0;0;0;0;0;0;0;4104;0;0;0;184266;217170;11353901;3037248;348604;2456079;2154;0;88613;0;0;0;1502715;1470935;0;10744;0;0;0;731938;425945;0;0;0;358985;31944;0;0;0;0;0;0;0;32835;7;559;309;0;0;0;0;246;0;0;0;0;0;0;0;-61;0;0;0;0;0;0;-3;0;160;-924;0;0;0;0;0;0;114;306;0;0;0;6;0;105;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;76;0;0;0;0;251;0;203714;8366;4;1160;0;0;140;16782;0;0;0;3582;380;552;68;202;0;0;0;0;15;0;2
Липецкая область;530089;7152986;1690624;10692888;0;16790;5911;2045524;0;2826;9312831;122224;376109;-5989604;0;0;0;1;264477;0;0;359;0;169;0;1212903;0;21;6;0;0;0;0;0;0;0;0;1112811;0;0;0;-1;0;0;0;0;0;0;493;0;0;0;0;0;0;0;202549;0;0;0;96892;34117;5143333;156053;215500;903352;6743;0;1206901;0;0;0;271242;91687;0;176748;0;0;0;257778;34140;0;0;0;30583;54674;0;0;0;0;0;0;0;44099;13;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;0;0;0;0;0;0;42;59;0;0;0;1;39;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;56;0;68;10166;57;2149;0;0;186;3570;0;0;0;1092;0;438;13;4;0;0;0;0;1;0;0
Магаданская область;662392;7645929;0;-2189;0;6707;4933;1470;0;0;4997859;80584;69340;-5084242;0;0;0;0;0;0;0;0;0;0;0;1231;0;0;0;0;0;0;-4245;0;0;0;0;666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;0;2;859572;0;87735;122222;350;0;31347;0;0;0;0;0;0;16842;0;0;1;3;97;0;0;0;13413;1526217;0;0;12472;2575742;0;0;0;2593;213;42978;1089;0;6;0;0;0;0;0;0;0;0;0;0;6;0;15;0;0;0;0;0;0;46;80;0;0;94;0;0;0;0;0;0;0;0;3;35;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;78;0;0;6;0;0;0;0;19409;0;0;2575;1;94;19687;0;3;1226;0;0;0;427;0;38;0;75;0;135;0;0;0;0;0
Московская область;12195585;129274127;0;3010427;0;843222;719666;3525799;81267;35915;113096269;1035345;8048369;242017700;-1939;-7719;0;28133;6452;121;0;1973712;0;159685;419543;9934285;22394349;147030;516477;0;0;0;-7879;0;-29670;0;0;14655461;0;0;0;0;0;10;0;2956;580;0;29207;0;0;0;0;0;0;0;1396745;0;0;0;910113;1311358;42234743;540225;1963822;13272371;47897;0;8425640;0;0;0;8933854;8072299;0;1983424;0;0;0;5095198;3093583;0;0;0;196575;35280;0;0;0;0;0;0;0;220510;10;0;28;0;1303;0;0;-1325;0;0;0;-53;0;0;0;-391;0;-170;0;0;0;0;46;1;2721;-1067;3;0;1610;0;0;0;464;3559;0;0;3;62;2690;249;39;0;27;0;0;17;0;0;0;0;0;31;0;0;69;0;299;0;0;-40;0;0;0;0;71;0;788639;98450;1029;3315;1;50;2671;47160;0;0;0;7368;1266;329;231;108;20;0;0;0;300;0;0
Мурманская область;1766019;16177395;3719260;7223461;0;25601;235601;105326;0;0;18560133;110701;176008;12922715;0;0;0;0;0;0;890;0;0;0;0;66721;0;0;0;0;0;0;-129;0;-18098;0;0;52011;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0;0;0;352615;0;0;0;2544;39488;4186453;0;95444;467688;2050;0;308289;0;0;0;4151;70782;0;15620;0;0;0;1592;10140;0;0;0;17609;2195528;0;0;0;0;0;0;0;7546;1321;302023;6276;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21;0;0;93;0;0;0;0;4;0;0;0;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1070;291;0;14454;1;303;0;25;103;927;7;0;0;304;437;-62;60;33;0;1096;0;0;0;2;13
Нижегородская область;2803191;31784417;0;4654682;0;64273;68993;149095;20;52254;34161956;692585;723290;56059600;6645;-13985;0;0;71572;34736871;111817;434162;7565211;13204;76304;5430306;4055457;5857;0;0;0;-90320;0;0;-32168;0;0;2095445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;374681;1;0;0;63399;96352;11502152;820101;656107;3039428;9038;0;2016663;0;0;0;226091;439835;0;281695;1;0;0;224408;127462;0;0;0;63267;3942;0;0;0;0;0;0;0;44231;1478;0;125;0;202;0;0;51;387;0;0;0;0;0;0;52;0;0;0;0;0;0;11;0;65;0;0;0;110;0;0;0;1188;71;0;0;0;181;747;220;0;0;0;0;0;0;0;0;0;0;0;12;0;0;61;0;10;0;0;116;0;0;0;0;645;0;15648582;33499;1;1383;0;0;486;3970;11;0;0;505;1346;184;1786;556;0;67;0;0;3;0;0
Новгородская область;535562;6279425;0;1241357;0;47014;504196;807669;0;3463;5931290;51729;95338;3063629;0;142;0;0;0;0;0;0;0;0;0;859095;369336;428575;0;0;0;0;0;0;0;0;0;148114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44065;0;0;0;18275;34327;2568307;312362;153898;689156;763;0;263027;0;0;0;68276;93443;0;34270;0;0;0;116940;76298;0;0;0;39190;8974;0;0;0;0;0;0;0;7138;1228;0;195;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;14;6;10;51;0;0;0;0;0;278;-2;0;0;0;0;1;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;6;0;0;0;0;1077;0;8739;2755;0;198;0;0;216;1537;0;0;0;881;55;339;0;67;5;0;0;0;0;0;0
Новосибирская область;2371927;30106455;0;665959;0;90350;152271;245275;0;92368;29869054;325490;650683;42023812;15158;0;0;0;0;402;2018;0;1059;0;52055;8042581;3222151;5062;0;0;0;0;-1639450;0;0;0;0;2319339;327;0;0;0;0;0;0;0;4887;0;24111;0;0;0;0;0;0;0;342888;0;0;0;27504;29206;9977410;213252;457023;2206865;6762;0;3087940;0;0;0;322942;235812;0;198301;0;0;0;156045;57637;1347921;0;0;108066;67638;0;0;402046;0;0;0;0;19707;1714;0;884;0;526;0;0;34;0;0;0;2;0;0;0;9;0;0;0;0;0;0;3;0;643;284;4;0;293;0;0;0;1234;20;0;0;0;113;371;0;1;0;12;0;0;0;0;0;0;0;0;2;0;0;11;0;53;0;0;39;0;0;0;0;3381;0;-16677;32436;1;520;0;50;253;6284;0;0;0;719;1;6;0;0;0;0;0;0;0;0;0
Омская область;891965;13149866;0;984998;0;4576;8743;73889;40;13025;14464379;328676;163291;30250411;18341;0;0;0;35267;34780433;37958;0;18331298;374600;0;6124576;8640421;0;0;0;0;-99039;0;0;482151;0;0;529350;89;0;0;59;0;0;0;0;0;0;1200;0;0;0;0;0;0;0;260877;0;0;0;44800;26453;5045176;56073;248246;1259551;4218;0;735563;0;0;0;136260;12122;0;176251;0;0;0;246461;9600;1327464;1273;165;13811;396;0;0;0;0;0;0;0;37280;1798;810;434;0;58;0;0;20;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;2636;4163;0;0;286;0;0;920;0;0;0;0;0;12;502;8;0;0;11;0;0;0;0;0;0;0;0;10;0;0;20;0;80;0;0;-4;0;0;0;0;9295;0;0;15930;7;2257;0;0;800;2376;0;0;0;508;3;418;252;106;0;0;0;0;5;0;0
Оренбургская область;2299722;21340797;0;2347349;0;109198;6554;6082;0;15554;15360052;181452;305999;39854820;25470;0;0;0;0;894304;29830;0;860987;20;0;99625;585135;24165;0;0;0;0;-166971;0;1944;0;0;756201;0;0;0;0;0;0;0;0;0;0;3544;0;0;0;0;0;0;0;230991;-63;0;0;54093;8;7651486;1398339;383152;855008;2991;0;971866;0;0;0;239702;0;0;279923;327;0;0;311807;63;92094434;11266316;1368333;61810;1195848;0;0;287;0;0;0;0;57671;1325;0;76;0;10;0;0;2;0;0;0;1;0;0;0;23;0;-1;0;0;0;0;0;0;71;86;0;0;146;0;0;0;453;0;0;1;0;25;-145;7;-1;0;14;0;0;0;0;0;0;0;0;8;0;0;-33;0;38;0;0;182;0;0;0;0;29416;0;28875;30978;2;609;0;0;80;5331;0;0;0;1338;520;176;81;1;0;122;0;0;0;29;0
Орловская область;249287;3906715;0;444219;0;53625;18451;12537;0;817;5354599;104920;63820;5206100;140;0;0;0;0;0;0;0;1;0;1183;17282;36150;98;0;0;0;0;0;0;0;0;0;348407;0;0;0;0;0;0;0;0;0;0;3262;0;0;0;0;0;0;0;26207;0;0;0;9891;3753;1807067;67681;130270;733845;2082;0;343172;0;0;0;131774;35415;0;83169;0;0;0;73876;15816;0;0;0;12171;1368;0;0;0;0;0;0;0;13929;264;0;0;0;2;0;0;21;27;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;17;40;0;0;345;0;0;0;153;25;0;0;0;0;75;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;1;0;0;4;0;0;0;0;12;0;4733;7051;2;590;0;0;127;2315;0;0;0;42;106;118;6;14;0;8;0;0;0;0;2
Пензенская область;378964;5687627;0;843823;0;114;11836;1153;0;1280;8215736;244303;84769;11347872;27151;0;0;0;0;0;0;0;0;0;629273;2382174;4618028;400074;177931;0;0;0;0;0;0;0;0;193670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;256879;0;0;0;33489;39708;2997940;117449;214630;1300732;3035;0;361152;0;0;0;234422;72799;0;151820;0;0;0;148623;47011;528095;0;0;11003;10811;0;0;0;0;0;0;0;11389;1172;0;0;0;-1;0;0;34;0;0;0;0;0;0;0;29;0;1;0;0;0;0;1;0;117;628;0;0;3;0;0;0;619;10;0;0;0;39;234;8;1;0;0;0;0;0;0;0;0;0;0;1;0;0;36;0;2;0;0;94;0;0;0;0;1167;0;300;10657;8;1077;0;0;799;1151;0;0;0;985;660;0;209;193;0;189;0;0;0;0;0
Пермский край;3803854;36193474;0;3405819;0;61051;96658;334984;85;2209;25742195;461241;1565296;45370088;0;0;0;0;0;13378198;95995;0;6991092;533210;0;19631;5585079;0;0;0;0;-360172;0;0;-5988;0;0;736814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;461914;-1;0;386;121314;147296;10029652;1590951;444403;2525785;4365;0;3281633;0;0;737;239873;273868;0;433436;0;0;791;229572;100458;77794951;326571;0;81883;440691;0;0;0;0;0;0;0;44495;3628;0;160;0;3;0;0;13;0;0;0;3;0;0;0;3;0;0;0;0;0;0;19;0;16;39;21;0;2532;0;0;0;557;24;0;0;0;17;186;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;153;0;0;0;0;6557;0;3573;23270;0;1709;0;0;2012;6176;0;0;0;2369;5580;795;422;690;123;165;0;0;32;8;64
Псковская область;141709;2523684;0;542193;0;2500;3065;5523;0;423;5105050;28969;29164;2394543;0;0;0;0;0;0;0;0;0;0;0;4031;0;0;0;0;0;0;-10436;0;0;0;0;493359;0;0;0;0;0;1540;0;0;0;0;8857;0;0;0;0;0;0;0;33595;0;0;73;8935;9965;1350799;80439;158660;623118;1283;0;243641;0;0;41;54579;61461;0;42627;0;0;99;86982;33657;0;0;0;10220;1310;0;0;0;0;0;0;0;8761;1583;0;336;0;3;0;0;114;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;157;122;0;0;15;0;0;0;323;297;0;0;0;23;255;1;2;0;2;0;0;0;0;0;0;0;0;1;0;0;6;0;1;0;0;16;0;0;0;0;3;0;684;3684;9;538;14414;0;223;1710;0;0;0;305;0;586;137;163;0;4;0;0;0;0;0
Ростовская область;2604849;32330259;0;4033017;0;88336;40761;63270;0;1968;33595275;814876;1190914;17912899;1043;0;0;0;36929416;0;-396;359;-847;0;235318;6625772;10335;987;0;0;0;0;-60325;0;102356;0;0;2069916;0;0;0;0;0;0;0;0;4;0;5214;0;0;0;0;0;0;0;945402;0;-1;0;154856;99576;13945419;1291808;556389;3039867;16854;0;4284729;0;0;0;431537;331802;-1;1139613;0;0;0;917340;248162;0;234979;11247;115865;32081;0;0;192909;0;0;0;0;21423;762;681;524;0;341;0;0;54;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1609;714;2;0;161;0;0;0;97;1;0;0;0;376;235;2;0;0;5;0;0;0;0;0;0;0;0;8;0;0;2;0;28;0;0;25;0;0;0;0;3905;0;3030618;36372;15;2757;0;200;223;16995;0;0;0;7155;696;816;125;518;0;155;0;0;64;4;0
Рязанская область;502071;7578369;0;779619;0;37219;20395;67458;120;4078;9501150;165611;186499;21466777;1;0;0;0;0;27668594;460634;0;13223867;13636;0;1912915;3;45967;0;0;0;0;0;0;804918;0;0;297474;0;0;0;0;0;0;0;0;0;0;3499;0;39;0;0;0;0;0;282844;0;0;0;39163;28362;3603797;1344265;206037;981297;1761;0;708434;0;0;0;181304;100956;0;178247;0;0;0;232580;62103;0;0;0;45773;1775;0;0;4968;0;0;0;0;17100;46;0;0;0;85;0;0;36;0;0;0;0;0;0;0;32;0;0;0;0;0;0;1;0;125;39;0;0;-9;0;0;674;13;0;0;0;0;17;0;166;0;0;7;0;0;0;0;0;0;0;0;9;0;0;27;0;46;0;0;90;0;0;0;0;3384;0;45782;18408;2;327;10;0;1142;2283;0;0;0;518;1521;236;0;6;0;0;0;0;0;0;0
Самарская область;3402173;39725788;0;4486068;0;31171;128507;1227965;0;102354;32339039;233177;956160;75482041;1;1513;0;0;0;28631291;1266271;695050;11447433;244288;135941;10433688;1359277;9660;0;0;0;-855077;0;0;345121;0;0;1140259;0;0;0;0;0;0;0;6242;0;0;617;397;0;0;0;0;0;0;424876;457015;0;0;70738;17573;13248836;110058;757662;3651442;7190;0;1568923;2025146;0;0;382940;69780;0;287301;190868;0;0;427768;69126;73338617;0;0;52213;10525;0;0;0;0;0;0;0;48464;1429;0;157;0;3;39;0;10;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;187;64;0;0;76;6;0;0;267;2;0;0;0;18705;715;0;8;0;6;6;0;0;0;0;0;0;0;5;8;0;8;0;9;7;0;139;0;0;0;0;15880;0;12043870;14317;1;1101;1717;0;-1655;7681;8;0;0;1485;45;231;98;665;2;10;27;0;9;3;5
Саратовская область;1098848;13650426;0;3280488;0;2825;14982;17075;1089;1363;17171457;369471;320766;24826373;-5697;0;0;0;40063960;9424680;142073;0;4505592;0;0;414469;50016;0;0;0;0;0;-122273;0;-5648;0;0;242058;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;445997;0;0;0;136321;425283;6777348;1264666;459003;2177009;6286;0;322605;0;0;0;143446;303932;0;108374;0;0;0;441289;282450;5275888;618357;216114;57094;231;0;0;0;0;0;0;0;10006;752;0;481;0;9;0;0;7;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;0;130;31;0;0;87;0;0;114;0;0;0;0;0;9;203;0;0;0;8;0;0;-6;0;0;0;0;0;3;0;0;9;0;2;0;0;125;0;0;0;0;27275;0;5970;10886;0;544;81786;0;53862;5916;4;0;0;695;0;583;118;11;0;574;0;0;9;0;19
Сахалинская область;5479310;17379511;0;112607;91393178;21622;31996;319942;0;0;15368633;243453;748118;5100182;0;0;0;0;0;143625;0;1;0;0;0;202003;0;0;0;0;0;0;-178702;0;80272;0;0;49967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59121;0;0;0;2;322;2896612;1896733;220825;674292;309;0;247256;0;0;0;62;4364;0;59467;0;0;0;0;335;8478466;9694;4131;111379;263126;0;0;136514;0;0;0;0;12241;768;457787;512;0;215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;29;-3;92;16;0;30;0;0;0;0;0;0;0;0;-18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;22987;1560;0;10008;5;519;0;0;1636;510;0;0;0;815;105;168;83;208;0;250;0;0;0;0;0
Свердловская область;4602186;51859451;337594;7098615;0;67448;628678;201304;11;420762;52349507;549395;1048732;68218206;0;0;0;0;0;96;0;0;0;0;409;5102776;5081;292;0;0;0;0;-908620;0;0;0;0;6304089;398;0;0;0;0;0;0;0;0;0;2616;0;0;0;0;0;0;0;1891928;0;0;0;10623;13492;22667827;1907710;498576;2256869;9533;0;4024723;0;0;0;15160;10296;0;923417;0;0;0;8307;9161;0;0;0;139790;2209394;0;0;146;0;0;0;0;64045;2471;0;84;0;47;0;0;4;0;0;1;0;0;0;0;15;0;0;0;0;0;0;22;11;884;3741;1;0;1415;0;0;0;6;3;0;0;0;126;206;145;4;0;25;0;0;0;0;0;0;0;0;48;0;0;1;0;53;0;0;4;0;0;0;0;4359;0;9650;64949;1;4071;2263;30;1645;12301;0;0;0;8399;658;366;193;30601;1;164;0;0;0;0;0
Смоленская область;590333;7624403;0;1776346;0;11768;16059;48415;35;159;7838546;121882;65642;1788430;0;0;0;0;0;0;0;0;0;0;0;915282;176900;0;0;0;0;0;0;0;0;0;0;11032051;0;0;0;2;0;1526143;4;260696;1508;0;11756;0;253;0;0;0;0;0;84754;0;0;0;35645;46634;3141801;432317;206295;780570;2993;0;223168;0;0;0;85251;128799;0;82357;0;0;0;107209;75747;0;0;0;31343;66;0;0;0;0;0;0;0;19684;3462;0;1;0;0;0;0;6;0;0;0;0;0;0;0;81;0;0;0;0;0;0;-2;0;701;100;0;0;65;0;0;0;-511;940;0;0;0;13;138;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;0;0;0;0;23;0;0;0;0;1;0;2252;11952;2;1067;0;0;280;1852;0;0;0;1653;425;227;177;8;0;-4;0;0;0;0;0
Тамбовская область;332651;4925396;0;790520;0;1208;4446;49728;0;0;6562096;100313;2967285;5467310;60182;3;0;0;1541691;0;0;0;0;0;0;316837;60587;273;0;0;0;0;0;0;0;0;0;200389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119331;0;0;0;42195;11350;2230744;125027;199539;922806;2173;0;885540;0;0;0;250480;79384;0;262516;0;0;0;313149;35915;0;0;0;8861;-204;0;0;0;0;0;0;0;22020;474;0;0;0;128;0;0;16;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;7;65;0;0;0;0;0;0;235;43;0;0;0;20;274;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;36;0;0;0;0;72;0;0;12781;1;1038;0;0;499;4363;0;0;0;1112;21;696;253;567;0;63;0;0;1;0;4
Тверская область;421592;6673246;0;3071860;0;12658;24942;56940;0;199;11176104;283352;528055;10509639;0;0;0;0;36;0;15;0;0;320099;123976;1372734;377849;240060;391835;0;0;0;-6135;0;-2366;0;0;346537;0;0;0;0;0;0;0;0;0;0;2689;0;21;0;0;0;0;0;119381;0;0;0;61244;65803;6401793;587515;219544;1143184;3112;0;878472;0;0;0;381455;362130;0;136083;0;0;0;287718;78707;0;0;0;46547;1029;0;0;0;0;0;0;0;37086;4354;0;9;0;7;0;0;52;0;0;0;0;0;0;0;20;0;0;0;0;0;0;1;0;110;298;0;0;9;0;0;0;2820;194;0;0;0;78;442;27;0;0;0;0;0;0;0;0;0;0;0;1;0;0;13;0;16;0;0;65;0;0;0;0;276;0;289625;10169;0;422;0;0;500;1000;0;0;0;144;0;60;20;718;0;0;0;0;0;0;8
Томская область;968940;13995481;0;2419574;0;41676;11899;17;125;378;12202919;131590;196065;36266415;0;0;0;0;0;398349;4986;0;21683;0;31623;3516194;642;0;0;22631;0;0;-1993;0;457468;0;0;85340;772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;584660;0;0;0;33974;8870;5277152;373817;115449;523373;2871;0;1022723;0;0;527;52950;13446;0;169468;0;0;0;69028;11095;52820128;1545697;1469715;32506;67;0;0;0;0;0;0;0;27606;4938;0;430;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;-27;23;12;0;36;0;0;-2;79;1;0;0;0;5;0;15;3;0;0;0;0;0;0;0;0;0;0;12;0;0;1;0;1;0;0;51;0;0;0;0;33292;0;73;15284;0;529;0;0;165;1850;0;0;0;621;0;60;372;5;0;5;0;0;0;0;0
Тульская область;1191006;15715032;0;305527;0;12104;404020;64122;0;474;13814832;161264;431243;-821530;160668;-4799;0;0;0;0;171;0;0;0;0;7612402;395219;0;0;0;0;-286580;0;0;0;0;0;455712;0;0;0;0;0;0;0;0;0;0;3939;0;0;0;0;0;0;0;183651;0;0;0;33050;43189;4717098;199978;255770;1189220;7634;0;767146;0;0;0;184088;238896;0;295095;0;0;0;287494;113769;0;0;0;147671;11567;0;0;0;0;0;0;0;62206;902;0;0;0;58;0;0;7;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;381;450;0;0;1374;0;0;0;76;239;0;0;0;47;357;0;0;0;5;0;0;0;0;0;0;0;0;4;0;0;7;0;48;0;0;28;0;0;0;0;73;0;8014;35889;3;1516;0;0;938;2217;0;0;0;1104;355;170;15;27;26;0;0;0;0;0;0
Тюменская область;3720907;34238733;0;3596548;0;31612;56527;59656;39;126127;17651137;175945;461844;16199291;0;0;0;0;0;1065;-4836819;0;3443111;101200;47190;262262;1572540;8804;0;0;0;-896305;-3932;0;14930;0;0;230674;0;0;0;0;0;0;0;0;0;0;15422;0;0;0;0;0;0;0;228495;0;0;0;46139;0;8092626;617200;374686;827914;2801;0;918987;0;0;75;135961;12;0;181840;0;0;0;188676;0;62230471;0;0;96388;1365;0;0;0;0;0;0;0;22787;2546;-1;225;0;20;0;0;11;0;0;1;0;0;0;0;14;0;0;0;0;0;0;11;0;227;82;6;0;90;0;0;0;548;0;0;0;0;8;285;14;0;0;8;0;0;0;0;0;0;0;0;15;0;0;6;0;25;0;0;27;0;0;0;0;46736;0;13286;41750;145;1131;-1;0;963;3205;0;0;0;1228;0;366;82;297;0;3;0;0;0;0;0
