"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67"
"Г.Севастополь","1346","0","0","0","0","8633","285","0","820","1211","383","210","142","8","12","1","9","568","229","223","1178","252","277","1026","1162","5","3","6541","43","39","5","1","1","16","63","36","0","317","926","1462","2930","4784","652","0","0","7","679","945","213","2786","992","1805","13535","5","11","31382","36","931","1","9","5","275","1106","5341","0","0","0","0"
"Еврейская автономная область","420","0","0","8","0","4724","34","1","265","499","104","57","47","0","7","1","1","294","25","65","601","89","151","413","1216","3","18","2619","11","3","0","0","0","1","2","0","1","167","863","651","787","1341","0","0","0","3","1614","494","92","2022","634","2052","10791","2","154","21512","2","29","0","0","0","68","2","0","23","0","0","73"
"Ненецкий автономный округ","207","0","0","80","0","2640","153","5","82","102","31","26","25","1","0","0","5","58","45","23","166","29","181","187","518","138","119","960","56","28","0","0","0","0","4","2","0","64","175","117","157","501","88","0","0","1","222","581","25","452","137","1813","3507","5","51","7752","5","110","0","0","0","0","12","18","0","0","0","1588"
"Ханты-Мансийский автономный округ - Югра","6620","0","0","67","0","128648","1714","421","7587","7391","2413","2723","2708","84","69","11","41","4308","4676","1124","15303","2546","10830","34809","25744","1524","1187","96511","765","244","1","1","8","14","111","82","18","8347","29791","15406","33699","108172","11257","10","4","96","24945","115592","1804","70185","19981","152310","966887","1030","4973","1547227","851","6260","1","22","87","766","246","1856","9572","0","0","7007"
"Чукотский автономный округ","363","0","0","0","0","7645","472","23","253","507","91","53","31","1","5","14","13","172","168","46","545","231","702","979","2942","232","139","3810","185","137","0","0","0","1","6","43","7","413","1727","629","704","963","114","0","7","32","667","2339","76","2146","1580","8218","15629","171","434","35129","361","2020","0","0","0","31","53","5328","677","0","0","0"
"Ямало-Ненецкий автономный округ","2358","0","0","50","0","48953","1351","385","1846","3517","797","783","871","24","50","9","14","1658","1847","296","3828","1157","5387","9397","12286","706","903","31453","356","195","0","0","0","8","272","76","381","2093","9529","3202","6139","27709","2729","3","4","77","4167","17423","594","17643","9293","77338","249827","364","2196","425040","456","2281","0","0","0","355","198","412","333517","0","0","18381"
"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Примечание: ХХХ-Информация исключена из отчета, т.к в нем содержатся сведения о налоговой базе и струтктуре начислений по 1 налогоплательщику.В соотвествии со статьей 102 Налогового кодекса","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Российской Федерации любые сведения о налогоплательщике, полученные налоговыми органами, составляют налоговую тайну и не подлежат разглашению, за исключением случаев,","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"предусмотренных федеральным законом","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
