GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158
   Республика Коми;160341534;160220175;3361;1444650;1406128;14061282;417;1169;1169;12856;5;209;135901453;135816614;679083086;3259;1;347843;346294;2077765;71;85;63;317;3;0;0;0;0;372930;372757;1863780;76;18547336;18550226;111688539;1490;2881666;2878396;540;4154;4212;3;3725965;3725642;1027;197081;195866;2023;0;0;0;2101;2101;21;231;0;0;-3;0;0;106301177;106267982;3127;83140448;83099869;3102;1093624;1093762;57;70049;69996;21;3356079;3363053;454;371131;370957;74;18112243;18113061;1442;157655;157333;151;0;0;0;8723;8690;1;12951220;12957414;59;45168623;45079931;5058;0;0;0;3872777;3880242;196;2366762;2367571;34;449596735;0;9627483;1925498;1671466;334294;132563;1458641;16792;3358;5328;1066;461;1831;6;0;35412337;7082465;10315;2063;84;7080318;0;0;0;0;45039820;9007963;1681781;336357;132647;8538959;1911409;382281;724380;144876;82885;154520;417;0;0;0;417;1;0;172535;2083944;240;0;1;0;449596735;12956822
   Республика Крым;134209500;132680845;13090;11137864;11130606;111305899;1961;5436;5436;59798;9;-1062;89406395;87986760;439941108;12475;0;83176;83203;499216;140;1313;1313;6649;4;-294;0;0;0;279354;265495;1327477;139;26200924;26165066;160601180;7721;6667067;6622071;3379;300;300;5;7097407;7040940;4650;203352;201865;1937;6;6;2;1836;1832;39;0;0;0;0;0;0;115647729;114714413;12428;85263081;84443345;12231;213961;212660;29;159588;159597;100;7051176;7036400;3244;273461;255298;132;22569949;22490887;7245;107788;107788;157;0;0;0;0;0;0;140997;139235;10;20178655;19824555;14560;0;0;0;1482881;1736603;65;149858;137818;20;3575118;1;31483472;6296695;4747606;949524;6649469;-1302298;36685;7337;314;63;202;7072;23;0;125010385;25002073;93453419;18690684;323824;5987565;0;0;0;0;156493857;31298768;98201025;19640208;6973293;4685267;6100274;1220055;19993694;3998739;105557;-2884241;15704;43416;8683;14;7007;8;0;41808;6142082;1849;0;2;0;3575118;139235
   Республика Марий-Эл;65328281;66321279;4797;7079251;7005692;70056935;686;4394;4396;48546;10;13022;38017521;39086973;195434527;4578;-3;1144275;1144909;6871277;129;602;602;6623;1;0;0;0;0;197030;203808;1019043;85;16216145;16197263;101580273;2585;2515903;2502210;941;1058;1072;1;2672615;2664508;1501;31440;31078;477;1888;1888;2;1008;1009;25;2349;30;2;0;0;0;56338583;57338310;4533;37964012;39013835;4495;1134148;1134134;136;85631;85631;69;2919411;2908919;884;197030;203808;85;13913179;13885370;2454;109702;108280;52;0;0;0;0;0;0;1854;1854;7;10022712;9981955;5128;0;0;0;948026;947380;85;271365;265275;8;11099382;0;13202948;2640586;1700084;340017;167512;2133057;0;0;0;0;0;0;0;0;3983505;796701;2703285;540656;10532;245513;0;0;0;0;17186453;3437287;4403369;880673;178044;2378570;1787673;357532;44763;8953;1001;347578;731;0;0;0;731;1;0;359417;2147090;0;0;0;0;11099382;832
   Республика Мордовия;91775593;91690031;5767;16646400;16616116;166161158;1030;16056;6539;71928;11;112;47421794;47366556;236956621;5480;0;5590085;5590146;33540879;173;220;220;1198;3;-27;0;0;0;111083;111084;555419;96;17692305;17707427;113286484;2901;4047033;4039822;1128;39;39;2;4297757;4292158;1907;68807;67125;417;1537;1537;4;177;177;5;2379;1828;2;0;0;0;82116627;82067208;5425;59789046;59785837;5390;1186908;1179517;141;237671;240093;98;3845403;3843282;1051;110181;110142;95;16894459;16855802;2799;52517;52517;96;44;19;1;0;0;0;73087;73087;7;12474166;12434739;5873;0;0;0;2805538;2804478;170;174169;174928;23;18528519;0;11652999;2330601;659671;131933;110499;2088169;2850;570;0;0;2;568;3;0;1397691;279538;419497;83899;7;195632;0;0;0;0;13050690;2610139;1079168;215832;110506;2283801;1922218;384445;23014;4603;1554;378288;400;0;0;0;400;7;0;157166;2079384;0;0;0;0;18528519;73000
   Республика Саха (Якутия);144444758;144113359;4005;2395212;2370391;23703897;560;28005;21251;233763;9;937;113927327;113552802;567764011;3846;0;184146;185478;1112869;88;0;0;0;0;0;0;0;0;1666546;1658084;8290416;94;18919246;19016313;121330348;1641;5997097;6004532;796;0;0;0;7326326;7311144;1360;420263;419312;616;117;117;1;19;19;1;0;0;0;0;0;0;100113807;99860895;3751;72993743;72896494;3699;481618;418399;58;14995;14995;16;7738156;7607590;745;1655772;1647311;89;17061412;17106492;1522;170046;169615;145;0;0;0;0;0;0;30351727;30354223;139;51621258;51294777;4185;0;0;0;37172251;36929091;431;3179328;3179286;41;515645176;0;15609679;3121939;3803842;760767;378516;1982656;10234;2047;1546;309;1618;120;8;0;65448827;13089769;9209167;1841833;126210;11121726;0;0;0;0;81058506;16211708;13013009;2602600;504726;13104382;2269783;453956;208065;41612;1546;410798;95994;0;0;16;95978;9;0;3746773;6016556;0;0;0;0;515645176;30354219
   Республика Северная Осетия-Алания;19425035;19179559;2323;1776455;1778901;17756647;372;10462;10322;113544;11;880;13196017;13043764;65217162;2044;0;327351;357410;2144461;121;-1002;45;3506;1;0;0;0;0;30950;22924;114620;24;3390256;3291418;20605880;752;647785;617302;392;-8022;468;1;693037;674365;533;8919;8713;111;0;0;0;1100;1049;5;1216;0;0;51;0;0;17183302;17041814;2124;13560316;13502611;2100;249186;244841;69;15409;14511;26;671584;655216;394;21155;19635;22;2664928;2602654;660;3638;3638;15;0;0;1;0;0;0;45608;57461;31;2918074;2800554;2384;0;0;0;694208;689077;81;148510;148510;7;3301628;0;4207034;841405;1343992;268799;180804;391802;68097;13619;718;144;0;13475;9;0;1048198;209640;59161;11832;6361;191447;0;0;0;0;5255232;1051045;1403153;280631;187165;583249;2383218;476645;9323;1865;2605;472175;2929;8000;1600;1911;-582;11;0;10987;2394205;80940;6752;19;0;3301628;57461
   Республика Татарстан;1660095315;1657445756;79100;49475185;49460158;494601578;6135;36344;36319;399504;65;23276;1152215597;1150015364;5750076828;76446;-40;6283367;6294966;37769779;1125;124;124;621;3;0;0;0;0;697787;660541;3302702;345;379565755;379253445;2313282245;44227;65209911;65124309;24508;2804748;2806681;51;71783368;71698832;31079;2136853;2164383;1354;173245;173285;8;3973;3660;56;111348;92541;32;314;425;5;1474271923;1471456166;77118;1006184320;1004313744;76551;44512902;44495746;1929;2737338;2730764;633;83059468;82875665;22804;669053;634422;325;335400104;334688549;41458;1710369;1716855;536;6;6;2;17102;11021;6;8700297;8706025;263;238699430;238526782;77457;0;0;0;59281129;58905466;1079;20912469;20871767;166;818510848;0;120130132;24026027;45045812;9009160;6394366;8622501;622443;124489;22346;4469;585;119435;59;0;526092772;105218553;187412702;37482539;145716;67590298;0;0;0;0;646222904;129244580;232458514;46491699;6540082;76212799;28367044;5673410;2424483;484895;172147;5016368;629855;17281;3456;436;625963;42;0;7233906;35600950;1021237;25;25;0;818510848;8584037
   Республика Тыва;4511104;4484080;286;110434;110427;1104266;34;195;195;2149;1;58;3506616;3498255;17491283;280;0;50;136;816;5;0;0;0;0;0;0;0;0;68650;58371;291858;14;582884;577599;3465594;83;174896;171692;45;0;0;0;241605;238429;89;65570;65570;31;0;0;0;1;1;1;0;0;0;610;610;2;3498136;3490869;249;2543075;2547692;247;209775;209775;3;26887;26887;3;90840;90686;43;68650;58371;14;492621;492323;73;65137;65135;15;0;0;0;0;0;0;946955;947471;17;1529461;1511052;299;0;0;0;1394567;1396419;29;1381;1381;2;14580413;0;1751385;350278;43037;8608;11213;330457;15850;3170;0;0;0;3170;2;0;3950496;790100;4353;871;10305;778924;0;0;0;0;5701881;1140378;47390;9479;21518;1109381;9822;1964;0;0;0;1964;734;0;0;0;734;1;0;0;9822;0;0;0;0;14580413;947471
   Удмуртская Республика;245887861;244145423;21887;12527646;12528184;125510955;2330;1033;1033;11358;3;899;168678283;167005736;835014127;21238;15;632383;636197;3977683;305;-649;4;9453;1;0;0;195;0;344326;344173;1720862;205;56137864;56099468;340916126;11053;6576219;6551896;5145;51619;49932;20;7565748;7530764;7263;200619;193924;806;0;0;0;4964;4911;54;9252;5212;17;0;0;0;187510081;185981106;21434;128963450;127516737;21321;2567031;2560151;415;283735;285283;207;11518338;11522519;4792;342687;342303;195;43732817;43650566;10490;105282;103394;150;0;0;0;0;0;0;4248928;4250775;118;57248518;57016041;21881;0;0;0;2909152;2864753;382;1797076;1795829;64;171185122;1;27845273;5569058;4184409;836883;729493;4002682;32328;6466;21333;4267;13;2186;11;0;58818323;11763663;30273458;6054690;12651;5696322;0;0;0;0;86663596;17332721;34457867;6891573;742144;9699004;5113518;1022704;262399;52479;6341;963884;48;113;23;0;25;2;0;485431;5598949;6105;29;6;0;171185122;4249793
   Республика Хакасия;54841703;54810245;2751;1490724;1485735;14857348;463;2376;2376;26140;8;-242;43736370;43717271;218586632;2600;0;130263;128057;768346;64;0;0;0;0;0;0;0;0;264211;264262;1321308;45;7827353;7827350;47115041;1185;994358;990676;579;7272;6595;7;1390695;1385436;890;47806;47740;408;0;0;0;14737;14737;15;3589;2589;2;0;0;0;45447937;45426883;2541;34592079;34588411;2524;1575837;1564618;58;240946;240946;26;1187187;1185203;535;263482;263533;43;7563194;7558961;1087;25212;25212;38;0;0;0;429;371;2;6954192;6953741;62;9188754;9176763;3011;0;0;0;6690906;6689806;97;349099;350335;18;99792825;2;4834111;966825;969746;193952;77026;695847;0;0;0;0;0;0;0;0;1786632;357327;78;16;78;357233;0;0;0;0;6620743;1324152;969824;193968;77104;1053080;2211152;442230;63746;12749;721;428760;291;0;0;0;291;2;0;504;2211656;1500;0;1;0;99792825;6952104
   Чеченская Республика;46894770;45282408;3101;2594974;2593093;25964106;342;45419;45419;499608;4;29379;38615786;37316153;186579184;2892;0;612975;607748;3645755;75;0;0;11914;0;0;0;0;0;2640;2640;13202;7;3875839;3685538;21979943;560;959051;895443;357;1433;1433;1;1115562;1030805;491;23396;23396;43;0;0;0;0;0;0;6667;0;0;287;287;1;45009595;43825610;2966;40457485;39441427;2947;175416;176238;46;109787;109938;16;1131192;1130160;356;2640;2640;7;3141637;2962317;448;9603;9603;16;0;0;0;0;0;0;12628;15363;3;2135148;2105109;3009;0;0;0;228134;633875;16;0;0;0;1290906;0;9010000;1802000;5983775;1196756;219359;385885;657861;131572;2929347;585869;172750;-627047;22;0;13512;2703;0;0;0;2703;0;0;0;0;9023512;1804703;5983775;1196756;219359;388588;348708;69742;35077;7015;10084;52643;33401;35077;7015;10084;16302;20;0;0;348708;365853;15363;5;0;1290906;15363
   Чувашская Республика;110422760;110418435;10282;4751998;4750521;47504516;1117;5957;5165;56818;7;32055;73958916;73988157;369940759;9906;0;664402;664497;3986985;193;7;7;35;1;0;0;0;0;119021;116865;584327;125;26839729;26830192;163180193;6194;3529009;3513265;2551;143026;143093;12;4050681;4031118;3754;81684;80417;885;0;0;0;4731;4732;27;2473;954;7;0;0;0;94007615;94063322;9953;65191297;65136207;9888;2234641;2234506;332;164582;163779;165;4062488;4187259;2309;117028;114939;120;22202230;22191216;5956;35349;35418;126;0;0;0;0;0;0;11362;10468;23;18987483;18920929;10684;0;0;0;2472179;2467745;168;44622;44622;15;13593940;0;15182546;3036509;2467455;493489;107162;2435858;202;40;172;34;15;-9;2;0;4328731;865747;330258;66053;3862;795832;0;0;0;0;19511277;3902256;2797713;559542;111024;3231690;9025782;1805155;215551;43111;18021;1744023;5;0;0;0;5;2;0;82330;9108112;2457;0;2;0;13593940;10291
   Алтайский край;286586362;278428397;25643;42262756;42166963;422130294;5698;19023;27462;302084;40;8120;185967330;178067554;890412991;23684;216;1282390;1283039;7698241;362;641;641;4746;5;50;50;250;1;361311;356953;1784764;224;46077301;46056743;305473898;11650;9147153;9059908;5579;854276;854819;40;10595401;10451782;8532;145009;145421;1138;0;0;0;490;488;27;9928;6635;12;-9;11;2;259359933;251384570;24928;197357593;189512006;24814;3762534;3761230;672;4972807;4965096;401;10213863;10183359;5089;306811;302136;212;42691965;42611356;11072;83017;82852;183;1745;1745;9;1308;719;2;1636812;1632785;240;34713442;34536550;25392;0;0;0;8877336;8875459;1059;686694;686694;46;85792506;1;29693714;5938741;7271553;1454310;528086;3956345;132353;26471;41814;8363;470;17638;16;0;5720157;1144032;2292103;458420;2284;683328;0;0;0;0;35413871;7082773;9563656;1912730;530370;4639673;6231460;1246292;274390;54878;4665;1186749;1132;630;126;0;1006;16;0;537137;6768597;37632;0;2;0;85792506;1626465
   Краснодарский край;1181013750;1180262325;58075;184276563;184168207;1841684104;8940;52548;56824;625062;76;38440;712714607;712383130;3562107101;54647;116;17903880;17857320;107146374;1144;895;958;9932;8;-3101;0;0;1;1053546;1018484;5092419;634;208533747;208475171;1376711069;32913;51746850;51563712;15759;161176;165375;51;56436470;56260741;21682;1056560;1053706;1704;27745;27752;14;9170;8730;119;146311;18310;36;1421;880;11;1082751177;1083705343;55640;783512588;784666183;54974;47661150;47680539;2793;4986211;5011242;744;58830920;58715961;14415;1033010;995195;607;185868005;185871963;31026;856750;761579;505;2299;2355;6;26;18;3;15979326;15953293;583;157583771;155873881;57357;0;0;0;73961172;74021199;1505;7971634;7935843;136;695633031;2;172745440;34549089;30493431;6098688;4100903;24349498;290224;58045;79861;15972;2969;39104;69;0;211799069;42359816;105733954;21146791;176036;21036989;0;0;0;0;384544509;76908905;136227385;27245479;4276939;45386487;22955199;4591039;851428;170286;237407;4183346;119702;41827;8365;10610;100727;85;0;16588795;39543994;186459;1921;40;0;695633031;15749540
   Красноярский край;823592204;822508659;34034;27804335;27769576;277695679;3946;6919;6785;74617;46;17940;638510785;638070296;3193684045;32803;14;1718781;1744035;11181129;580;135;121;13885;2;13044;12897;64486;2;1955401;1949792;9748954;265;116176025;115958475;713385581;16066;35165890;34883728;8104;40043;40208;21;37414819;36994014;11837;991771;989596;2198;5016;5016;4;555;576;16;34901;6498;16;1687;1726;5;707066709;706829466;32976;523840343;523703674;32769;17769183;17752369;822;501983;501833;244;56559721;56451144;7521;1952199;1946143;254;105684736;105735399;15215;753284;736797;474;136;136;1;455;429;2;15565013;15525011;356;206022505;205229912;33992;0;0;0;104474557;104005428;1259;37736140;37747599;145;817232074;2;76815474;15363092;21617900;4323583;1426189;9613320;406069;81214;247;49;130;81035;19;0;39590057;7918011;3496503;699299;12757;7205955;0;0;0;0;116405531;23281103;25114403;5022882;1438946;16819275;44410417;8882084;1634028;326806;129368;8425910;182305;16350;3270;1213;177822;34;0;2728740;47139157;59486;135;6;0;817232074;15477053
   Приморский край;499122453;497089079;26140;26956565;26956582;269555225;4179;42819;41979;461770;19;2316;365249826;363713774;1818533144;24992;719;2142783;1874263;11245573;340;22127;18168;91704;14;1671;615;3077;3;443493;422251;2111258;149;85640920;85607234;529547859;11836;16885930;16797057;5287;369513;369513;28;18641912;18469589;7563;1015839;977737;1447;14934;14934;6;-110;70;5;11882;7516;15;178;178;2;463045117;461954913;25132;296236004;295308271;24677;65243936;65078513;4035;1566591;1565536;117;23568732;23676322;4910;408111;386866;145;75284927;75205383;11107;736076;735357;310;39;39;2;443;443;5;10972065;10618246;831;58703570;58106503;25630;0;0;0;32532131;32555247;1429;2239158;2244861;81;381439997;0;61774497;12354898;12179449;2435886;1614379;8304633;605241;121048;460;92;0;120956;19;0;377432438;75486487;470202895;94040579;231786;-18785878;0;0;0;0;439206935;87841385;482382344;96476465;1846165;-10481245;40707687;8141537;9780041;1956009;162798;6022730;1779202;9282230;1856446;424;-77668;21;0;19636695;60344382;35616;99;10;0;381439997;10585181
   Ставропольский край;284665131;283725097;18595;33076346;32829556;328295991;3603;17652;17685;194533;22;8015;180862990;180328128;901631978;17464;0;907615;905777;5434658;319;105;105;7369;4;0;0;0;0;387936;387608;1938042;230;57250270;57117560;378458992;9308;11396290;11356979;4172;48648;46171;12;12154618;12131229;6176;179396;176031;733;8;8;2;16783;16667;70;4056;995;6;-2;0;0;250812582;250166369;17663;179425978;178981334;17496;6389105;6371257;622;1170857;1171084;240;14171220;14129913;3789;384119;383598;220;49176678;48994756;8659;135089;134356;186;70;70;1;1570;0;0;437637;437641;50;40772785;40457114;18688;0;0;0;7103322;7096369;397;2467067;2467067;52;100618181;820;43606395;8721277;6467813;1293561;821443;6606273;486374;97274;359238;71848;182;25244;52;0;9351867;1870373;617796;123560;5188;1741625;0;0;0;0;52958262;10591650;7085609;1417121;826631;8347898;6980953;1396192;200642;40128;11729;1344335;228602;63445;12689;10541;205372;28;0;1395721;8376674;458512;39118;9;0;100618181;435294
