GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158
   Республика Коми;54705912;54608118;1183;539620;510229;5102288;141;369;369;4055;1;-880;46271336;46198912;230994558;1144;1;95896;94347;566082;27;80;58;291;2;0;0;0;0;123151;122978;614895;30;6357774;6361561;38362894;508;1071894;1068747;194;887;945;1;1318647;1319470;376;103304;102453;712;0;0;0;816;816;8;231;0;0;-3;0;0;38451771;38446206;1092;30158902;30145502;1079;434866;435004;22;19145;19093;7;1165886;1172978;171;123151;122978;30;6463426;6464581;516;86409;86087;53;0;0;0;33;0;0;4015457;4021650;20;13498028;13406006;1789;0;0;0;1147948;1155447;67;997859;998667;12;134020985;1701;3876003;775200;388634;77726;18380;679094;138;28;1340;268;0;-240;1;0;11733476;2346696;3359;672;60;2345964;0;0;0;0;15609479;3121896;391993;78398;18440;3025058;615990;123198;315946;63189;31219;28790;417;0;0;0;417;1;0;66183;682173;0;0;0;0;134020985;4021112
   Республика Крым;50596887;49089565;4531;3844999;3837741;38377357;705;2409;2409;26500;4;604;33943594;32538116;162683891;4324;0;29627;29653;177921;54;493;493;2467;1;-294;0;0;0;126437;111956;559778;54;10178319;10148505;62624317;2654;2262011;2223225;1159;12;12;1;2470928;2420776;1624;49824;48340;665;0;0;0;931;929;15;0;0;0;0;0;0;43647443;42681332;4302;32535981;31675455;4236;76472;75171;10;39165;39174;32;2584895;2573193;1125;122508;108027;50;8260654;8182831;2536;29230;29230;54;0;0;0;0;0;0;45706;43944;4;7044945;6762474;5058;0;0;0;74513;328303;19;64763;52722;7;897425;4911;12379613;2475922;1640260;328051;388168;1759703;5423;1085;0;0;19;1066;6;0;72142661;14428533;63181205;12636241;133332;1658960;0;0;0;0;84522274;16904455;64821465;12964292;521500;3418663;3166475;633295;6249893;1249978;4692;-621375;8064;9430;1886;0;6178;2;0;28965;3195440;445;0;1;0;897425;43945
   Республика Марий-Эл;22363683;23457193;1655;2430120;2356820;23568198;237;717;719;7907;2;-679;13101120;14272455;71361566;1581;-3;445043;445680;2675901;51;0;0;0;0;0;0;0;0;99448;106226;531132;32;5417379;5397584;33907983;865;820677;804445;322;-7;0;0;886506;877681;524;13713;13351;176;1070;1070;1;399;399;11;1648;0;0;0;0;0;19167556;20245381;1542;13075902;14206265;1534;439661;439648;43;30118;30118;23;959962;947039;300;99448;106226;32;4438889;4411068;845;106437;105016;19;0;0;0;0;0;0;360;360;3;3643142;3624770;1782;0;0;0;397982;396634;27;49408;43319;3;4321713;1768;5808571;1161712;545698;109138;40714;1011860;0;0;0;0;0;0;0;0;1234390;246878;793451;158690;4388;83800;0;0;0;0;7042961;1408590;1339149;267828;45102;1095660;561926;112384;20154;4031;461;107892;731;0;0;0;731;1;0;210242;772168;0;0;0;0;4321713;142
   Республика Мордовия;32347124;32281823;1995;6530305;6500286;65002855;353;15786;6269;68961;5;142;17204949;17168822;85844107;1891;0;1745560;1745637;10473819;63;88;88;540;2;-27;0;0;0;31556;31557;157783;35;5276316;5291952;33905040;983;1489467;1482785;384;4;4;1;1542510;1537296;659;25680;24036;154;525;525;1;2;2;1;551;0;0;0;0;0;28458401;28418772;1861;21232378;21236004;1848;438195;430804;52;78664;81085;30;1375643;1374150;390;31386;31348;35;5281514;5245083;975;21114;21114;35;44;19;1;0;0;0;58099;58099;2;4799106;4770588;2033;0;0;0;933949;933289;68;24052;24811;9;6656188;2093;4771301;954260;293574;58714;56562;838984;2250;450;0;0;2;448;1;0;453950;90789;54;11;1;90777;0;0;0;0;5225251;1045049;293628;58725;56563;929761;1403689;280738;5081;1016;438;279284;116;0;0;0;116;2;0;49322;1453011;0;0;0;0;6656188;58074
   Республика Саха (Якутия);45796752;45504283;1393;819563;795571;7955708;193;24040;17286;190147;5;449;36710180;36406399;182031553;1347;0;62497;63829;382978;31;0;0;0;0;0;0;0;0;609634;601172;3005860;33;4965154;5030013;30365621;527;1828582;1835998;245;0;0;0;2605237;2589944;473;158761;157811;232;117;117;1;0;0;0;0;0;0;0;0;0;31965363;31681020;1311;23066678;22946125;1286;206423;143204;21;8629;8629;6;2751614;2621599;284;609626;601164;32;5192124;5228515;536;132204;131783;62;0;0;0;0;0;0;9358501;9360914;63;15667735;15411365;1487;0;0;0;10925811;10762186;152;1160260;1160219;14;167715768;1516;9384154;1876832;1885543;377109;159392;1340331;499;100;100;20;124;-44;2;0;24460425;4892084;3553123;710625;41627;4139832;0;0;0;0;33844579;6768916;5438666;1087734;201019;5480163;1115079;223016;60204;12041;289;210686;12856;0;0;16;12840;2;0;1469309;2584388;0;0;0;0;167715768;9360914
   Республика Северная Осетия-Алания;7962698;7749864;839;630612;635429;6354286;132;8991;8851;97366;7;-11625;5512076;5351853;26760121;741;0;145950;176009;1056051;55;-1002;45;3506;1;0;0;0;0;20776;12750;63751;7;1409399;1334349;8353773;257;237347;209500;137;-8022;468;1;246467;230608;195;3661;3556;41;0;0;0;293;242;2;704;0;0;51;0;0;7103023;6939206;755;5446328;5366525;750;117825;113480;23;4883;3985;8;325733;307432;146;12216;10696;6;1196137;1135390;230;1784;1784;7;0;0;0;0;0;0;4455;16308;9;1154530;1094240;858;0;0;0;291078;286320;28;35434;35434;2;1046750;867;2085836;417167;658676;131735;87214;198218;4250;850;718;144;0;706;4;0;705476;141095;16843;3369;6249;131477;0;0;0;0;2791312;558262;675519;135104;93463;329695;1459562;291913;7226;1445;858;289610;2616;6700;1340;611;665;5;0;8265;1467827;33416;3414;6;0;1046750;16308
   Республика Татарстан;614330263;612386818;27145;17602974;17588931;175889330;2094;10602;10576;116337;19;17218;428714212;427226812;2136134265;26433;-41;2433223;2444350;14666095;425;0;0;0;0;0;0;0;0;360264;322824;1614130;142;137900873;137541717;840184783;14842;24780427;24727260;8386;1044232;1046165;19;27287827;27244497;10742;981637;1012568;483;132;172;1;1998;1686;21;30008;11584;11;151;261;5;545268711;543314667;26393;369864899;368875450;26198;19289531;19267156;697;697591;689385;204;29060832;28852191;7884;342047;307223;133;125150868;124449007;14613;854066;869061;188;0;0;0;12762;6681;3;2602209;2606184;91;86763168;86775597;26649;0;0;0;19239771;19251094;359;9357945;9315268;62;215582105;27335;54182003;10836402;25414533;5082906;5312382;441114;369382;73876;142;28;174;73674;19;0;174995925;34999185;20436668;4087336;48751;30863098;0;0;0;0;229177928;45835587;45851201;9170242;5361133;31304212;11253360;2250671;948299;189659;150333;1910679;17327;36;7;201;17119;14;0;2932945;14186305;66279;0;7;0;215582105;2585430
   Республика Тыва;1804404;1777379;109;35254;35247;352473;13;195;195;2149;1;58;1404808;1396533;6982664;105;0;603;603;3616;3;0;0;0;0;0;0;0;0;37453;27173;135865;5;199127;193841;1163046;29;80306;77102;13;0;0;0;126160;122984;34;21815;21815;11;0;0;0;0;0;0;0;0;0;610;610;2;1468312;1460992;93;1013003;1017566;93;60410;60410;1;4604;4604;1;49379;49226;20;37453;27173;5;279731;279432;27;22583;22581;5;0;0;0;0;0;0;283276;283793;7;538081;519723;114;0;0;0;462449;464301;10;948;948;1;4242341;114;579274;115854;28836;5767;11213;98874;9911;1982;0;0;0;1982;1;0;1049645;209929;2955;591;9883;199455;0;0;0;0;1628919;325783;31791;6358;21096;298329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4242341;283792
   Удмуртская Республика;91044977;89181231;7479;3938447;3938636;39386570;786;1016;1016;11178;2;-2585;66803403;65007759;325042390;7281;0;285899;289713;1839486;108;-649;4;18;1;0;0;0;0;156664;156511;782556;83;17059027;17018784;103239788;3709;2390845;2367089;1739;13026;11340;6;2803438;2768704;2522;71870;65189;296;0;0;0;1134;1081;17;4593;553;8;0;0;0;72536488;70818177;7317;47825822;46193813;7278;1091453;1084573;149;102582;104130;75;2946796;2947099;1675;156241;155857;78;20366461;20282760;3636;50506;49906;57;0;0;0;0;0;0;1142152;1143999;45;18461115;18297853;7508;0;0;0;1036414;994215;117;640829;639581;28;43745754;7650;10450941;2090187;1820262;364053;212596;1513538;11391;2278;7006;1401;8;869;4;0;29347334;5869466;18892564;3778513;1304;2089649;0;0;0;0;39798275;7959653;20712826;4142566;213900;3603187;1810790;362158;130933;26187;3434;332537;24;0;0;0;24;1;0;161313;1972103;1673;28;2;0;43745754;1143864
   Республика Хакасия;17688794;17668979;956;489059;488803;4888030;157;1380;1380;15181;3;1075;14061430;14046996;70235347;907;0;50042;50401;302406;22;0;0;0;0;0;0;0;0;56165;56215;281075;16;2604351;2604576;15752093;418;348567;345409;197;1590;913;2;425338;420605;315;21920;21854;126;0;0;0;6408;6347;6;3537;2538;1;0;0;0;14777349;14768632;872;11183484;11192021;863;477636;466417;19;63852;63852;10;447329;445402;209;56165;56215;16;2543774;2539616;386;5109;5109;15;0;0;0;419;362;1;2005488;2005037;20;2844632;2831946;1035;0;0;0;1912039;1910938;27;175238;176475;6;24274346;1044;2315711;463143;397003;79400;31925;351818;0;0;0;0;0;0;0;0;515937;103187;0;0;0;103187;0;0;0;0;2831648;566330;397003;79400;31925;455005;954905;190982;2861;572;234;190176;0;0;0;0;0;0;0;0;954905;0;0;0;0;24274346;2003798
   Чеченская Республика;20018475;19186821;1129;1011906;1009413;10094133;123;25718;25718;282899;2;29343;16810494;16266861;81334426;1051;0;182852;178994;1073966;27;0;0;9507;0;0;0;0;0;885;885;4427;3;1592802;1402306;8382610;182;296413;256956;129;0;0;0;362566;301954;174;10325;10325;16;0;0;0;0;0;0;6667;0;0;0;0;0;19356988;18955855;1073;17751327;17513867;1067;49483;50305;11;25376;25528;4;457258;457177;133;885;885;3;1084873;906450;148;3587;3587;7;0;0;0;0;0;0;6251;8986;1;777554;747266;1098;0;0;0;104944;512578;5;0;0;0;820361;1134;5518811;1103763;2585470;517095;72365;514303;452504;90501;1012729;202546;49029;-161074;7;0;3795;759;0;0;0;759;0;0;0;0;5522606;1104522;2585470;517095;72365;515062;169635;33927;1112;222;2810;30895;25369;1112;222;2810;22337;12;0;0;169635;277242;8986;3;0;820361;8986
   Чувашская Республика;40556250;40554393;3550;1486377;1484899;14848995;401;4852;4060;44663;4;30464;28692377;28723449;143617239;3418;0;294961;295055;1770329;70;7;7;35;1;0;0;0;0;47051;44937;224684;45;8510063;8500623;51771258;2098;1109829;1094711;865;136503;136570;6;1490106;1471027;1319;35520;34572;333;0;0;0;2258;2259;13;839;38;3;0;0;0;34550901;34604792;3424;24158758;24099622;3397;807198;807063;128;40422;39619;59;1350589;1477236;832;46408;44319;44;8128685;8117841;2063;19036;19104;49;0;0;0;0;0;0;5634;4738;10;7002938;6941858;3713;0;0;0;958676;954446;59;22923;22923;6;5761715;3789;6691954;1338390;721069;144213;37384;1156793;0;0;0;0;0;0;0;0;1750488;350097;184256;36851;957;312289;0;0;0;0;8442442;1688487;905325;181064;38341;1469082;6090846;1218169;105750;21150;7418;1189601;0;0;0;0;0;0;0;23972;6114818;0;0;0;0;5761715;4641
   Алтайский край;104253260;98064211;8921;15229908;15141157;151407709;1938;-1879;6561;72170;17;54342;69605307;63751585;318815168;8275;11;496320;496968;2981806;130;178;178;1218;2;0;0;0;0;207923;203565;1017826;85;15602677;15551531;103097174;3895;2433519;2342275;1780;336659;337202;16;3045739;2898127;2860;74361;74773;425;0;0;0;126;125;8;3445;153;2;-20;0;0;92997472;86930234;8619;72412930;66510802;8575;1239009;1237624;236;1561159;1553551;134;4087491;4056186;1834;155242;150567;79;13500432;13394300;3814;34685;34519;68;990;990;4;1255;666;1;488919;484893;92;13670526;13553378;8904;0;0;0;2766935;2764011;317;338508;338508;19;29426333;9173;11895295;2379057;3631226;726247;238306;1414504;4509;902;8;2;0;900;6;0;3316197;663238;1363409;272682;368;390188;0;0;0;0;15211492;3042295;4994635;998929;238674;1804692;2127521;425506;125003;25001;941;399564;658;0;0;0;658;7;0;227002;2354523;37632;0;2;0;29426333;479318
   Краснодарский край;422911848;422202462;19914;61932714;61828593;618285938;3083;32311;37434;411771;34;-23083;261846974;261407406;1307044028;18817;1159;7026351;7061528;42369165;405;164;228;18075;3;-3101;0;2;1;446046;415405;2077023;238;72852878;72797116;479498718;11093;16606366;16423478;5316;67654;68117;18;18787877;18637447;7458;483623;481363;615;5189;5196;6;3881;3537;43;127740;7850;12;6788;4070;4;390602254;391219316;19027;283123614;283989884;18798;16519095;16538432;1001;1490275;1518709;253;22195843;22057993;5223;438479;405084;228;66349698;66388173;10685;417828;321788;189;54;54;2;8;0;0;5652288;5636646;189;53733619;52389919;19695;0;0;0;26393131;26480336;476;2571146;2535567;47;227899445;20174;59312593;11862517;10251357;2050275;1301456;8510786;115203;23041;12932;2586;1293;19162;28;0;81879882;16375975;46517753;9303550;44323;7028102;0;0;0;0;141192475;28238492;56769110;11353825;1345779;15538888;9775318;1955064;328613;65722;5847;1883495;36348;2208;442;413;35493;27;0;6759371;16534689;112983;1814;19;0;227899445;5485598
   Красноярский край;280070731;279083603;11709;9584620;9551048;95510478;1384;2791;2656;29214;18;-6736;217703958;217333995;1089933128;11321;0;681790;708119;4415429;199;83;69;10166;1;348;202;1010;1;670470;664861;3324300;97;38619378;38402001;237336358;5406;11891464;11634149;2739;21290;21457;8;12830331;12444982;4089;484364;482206;772;2309;2309;1;197;218;5;28286;108;3;704;743;2;251554394;251236324;11288;189859966;189625513;11220;4755917;4740469;281;119113;119159;88;20479280;20382420;2687;671242;665186;92;35359901;35414209;5314;303345;286892;167;136;136;1;137;110;1;5405162;5370572;133;59549906;58877676;11788;0;0;0;36415124;35888644;399;17699628;17693606;47;320155199;12186;45918751;9183751;9071171;1814232;576815;6792704;7142;1428;0;0;2;1426;5;0;15042975;3008596;595479;119096;4059;2885441;0;0;0;0;60961726;12192347;9666650;1933328;580874;9678145;18593606;3718722;754990;150998;46871;3520853;127779;6131;1226;410;126143;15;0;1018955;19612561;11063;135;3;0;320155199;5353422
   Приморский край;187922333;186227216;9009;9679899;9684167;96841661;1459;15002;14162;155784;7;-780;140118714;138913977;694533980;8630;711;1034173;768702;4612209;122;5407;1449;8886;3;1276;220;1102;1;253091;231828;1159138;60;30752132;30714765;188597780;3966;5241658;5153065;1817;229932;229932;10;6069556;5897590;2632;345758;307654;509;985;985;2;-157;23;1;9619;5253;8;4;4;1;178168969;177366443;8618;116025356;115384530;8466;26193190;26028743;1386;99078;98023;42;7906492;8015601;1727;220002;198735;57;27509476;27429394;3837;212729;212011;111;0;0;0;6;6;1;3893070;3539316;277;16311326;15773471;8897;0;0;0;10084567;10116378;467;771100;776824;31;122277431;9330;22332887;4466577;4116812;823362;571493;3071722;298686;59737;195;39;0;59698;6;0;23207757;4641552;4785253;957051;86834;3597667;0;0;0;0;45540644;9108129;8902065;1780413;658327;6669389;15705159;3141032;1020673;204133;9901;2926998;152899;843940;168788;192;-16081;7;0;7980724;23685883;139669;22169;3;0;122277431;3520349
   Ставропольский край;104084713;103188290;6420;13260527;13055752;130557513;1283;7413;7446;81904;9;12617;65893713;65364757;326813619;6045;0;354510;358993;2153961;106;1;1;6752;1;0;0;0;0;107242;106914;534569;88;20161355;20026245;134196947;3173;3902821;3867035;1395;28174;28174;5;4287338;4262949;2105;65011;64712;265;8;8;2;11679;11563;23;3441;380;1;-2;0;0;91692181;90999102;6077;65974553;65502263;6010;2567352;2560823;218;347180;346655;70;5204884;5145272;1400;104594;104073;86;17440884;17288037;3030;52712;51980;73;0;0;0;1570;0;0;106412;106416;19;14707596;14489690;6483;0;0;0;2330270;2323501;111;1326822;1326822;20;31384226;6559;16144676;3228936;2414744;482947;217763;2528226;265280;53056;196391;39278;46;13732;18;0;2339166;467832;56447;11290;2646;453896;0;0;0;0;18483842;3696768;2471191;494237;220409;2982122;3134399;626880;131737;26348;3582;596950;105580;20903;4181;3484;97915;11;0;487341;3621740;84437;6690;4;0;31384226;106417
   Хабаровский край;93381480;92650482;5344;5848897;5877761;58777607;742;370;162;1782;2;2573;63462842;62853589;314202770;5188;61;3212818;3212759;19276553;115;62;62;395;1;0;0;0;0;261233;248588;1242938;60;14442189;14352847;86616985;2468;5286208;5236950;1237;20324;20324;3;6150627;6082929;1899;176648;159129;631;50;50;1;158;147;3;48641;9541;2;-35;0;0;83596852;83184142;5087;60176644;60155030;5026;2792547;2791743;236;1292309;1291922;21;5382984;5362701;1184;260456;248232;60;13562768;13267412;2425;123588;65102;80;0;0;0;37062;8960;2;2510718;2509981;98;18985931;18522469;5669;0;0;0;12076229;11278379;267;1316642;1345284;14;95234966;5769;10121307;2024264;2715654;543132;122675;1358457;125178;25035;0;0;0;25035;2;0;1606452;321290;18747;3750;1289;316251;0;0;0;0;11727759;2345554;2734401;546882;123964;1674708;5700668;1140134;17177;3435;4254;1132445;1247;802;160;0;1087;9;0;579049;6279717;0;0;0;0;95234966;2512728
