"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29"
"Республика Северная Осетия-Алания","27","0","0","19","7","0","155 348 270","139 264 949","107 087 718","2 045 872","456 218","0","0","20 820","0","6 650","0","0","304","19","0","1","21","1 096","13 032 903","9 997 579","138 774","3 190","0","X"
"Республика Татарстан","225","0","0","407","0","0","2 738 760 943","2 428 158 375","2 155 709 926","43 584 692","2 215 549","0","0","7 359 885","0","162 672","0","0","1 333","4","0","982","0","3 485","226 124 117","215 772 563","3 618 910","4 281","0","530 490"
"Республика Тыва","10","0","0","41","0","0","39 583 208","32 949 579","19 799 471","424 263","51 189","0","0","229 369","0","0","0","0","108","0","0","4","0","544","3 211 289","2 694 430","52 054","0","0","1 924"
"Удмуртская Республика","49","0","0","99","0","0","364 486 401","347 049 369","300 549 627","6 413 324","174 685","0","0","864 481","0","126 159","0","14","1 824","64","0","329","0","6 490","83 007 791","71 125 217","1 038 764","11 838","0","110 250"
"Республика Хакасия","18","0","0","2","0","0","144 012 320","141 952 951","119 316 207","2 428 046","84 261","0","0","24 934","0","136 370","0","88 459","587","29","0","424","0","3 090","21 318 754","16 331 170","289 400","2 612","0","46 817"
"Чеченская Республика","13","0","0","50","1","0","259 916 797","247 446 594","218 923 953","3 857 702","613 876","0","0","788 351","0","19 791","0","0","331","0","0","0","0","3 858","21 325 651","16 575 608","283 210","0","0","0"
"Чувашская Республика","81","0","0","50","3","0","197 729 820","190 708 009","143 177 769","3 034 575","446 818","0","0","320 832","0","36 213","0","0","1 361","40","0","1 354","1","6 278","42 300 334","38 516 194","685 281","3 597","0","116 041"
"Алтайский край","71","0","0","9","0","0","299 693 535","276 470 838","247 657 404","5 274 424","510 864","0","0","109 116","0","174 128","0","0","2 325","43","0","126","0","8 743","68 314 571","60 425 306","1 237 129","4 503","0","14 693"
"Краснодарский край","214","2","0","143","0","0","3 219 481 320","3 034 254 388","2 425 766 413","43 493 817","10 255 577","1 672 179","0","8 701 256","0","1 574 965","0","329 884","6 891","168","0","11","0","54 343","431 193 107","367 391 855","7 246 845","34 169","0","34 049"
"Красноярский край","45","0","0","3 202","0","0","2 128 389 024","2 035 996 764","1 510 985 570","30 369 822","666 508","0","0","7 254 968","0","648 698","0","369 944","1 848","30","0","160","0","15 039","75 641 800","53 449 394","1 026 915","3 594","0","33 527"
"Приморский край","55","0","0","305","177","0","961 180 532","913 609 235","823 376 563","13 399 794","1 127 859","0","0","4 521 278","0","408 863","0","371 211","2 633","64","0","176","57","11 033","213 367 392","175 468 850","2 076 946","5 529","0","785 457"
"Ставропольский край","141","0","0","150","0","0","494 931 652","470 407 255","397 289 399","8 682 648","645 635","0","0","846 382","0","45 727","0","0","1 379","73","0","4","0","6 524","60 705 442","54 842 134","1 120 601","8 662","0","1 989"
"Хабаровский край","35","0","0","52","0","0","1 271 430 562","1 162 361 948","1 121 085 641","15 592 884","589 231","0","0","6 110 044","0","1 407 024","0","2 223 856","612","49","0","2","0","4 055","35 334 501","28 562 474","604 222","5 905","0","13 110"
"Забайкальский край","36","0","0","18","0","0","654 893 693","600 205 206","561 646 318","6 901 157","496 427","0","0","3 990 934","0","1 197 835","0","556 576","967","7","0","3","0","4 935","21 077 441","18 288 985","269 191","1 082","0","6 110"
"Амурская область","21","0","0","104","3","0","1 297 421 773","1 183 207 926","1 022 533 302","9 881 972","1 086 790","0","0","3 095 565","8 908 462","1 669 720","0","2 044 905","1 126","39","0","40","0","8 260","59 823 499","52 816 495","532 058","2 061","0","152 205"
"Архангельская область","24","0","0","45","16","0","477 093 812","473 943 102","442 440 439","9 401 950","639 972","0","0","129 452","0","202 188","0","62","1 057","2","0","531","0","4 175","38 826 233","33 134 848","661 177","18","0","38 122"
"Астраханская область","61","0","0","614","0","0","470 275 116","490 197 654","459 521 437","9 135 586","265 782","0","0","1 261 923","0","102 893","0","21 500","820","39","0","152","0","3 510","26 246 589","22 094 044","465 116","4 898","0","5 153"
"Белгородская область","34","0","0","30","0","0","394 982 537","393 311 352","356 566 748","7 715 976","328 126","0","0","459 385","0","53 157","0","0","1 745","45","0","724","0","8 360","69 382 159","64 176 642","1 259 409","5 851","0","37 838"
"Брянская область","79","1","0","72","2","0","205 949 226","200 384 369","158 569 625","3 451 975","171 589","X","0","700 464","0","36 429","0","0","814","3","0","46","0","4 307","39 099 729","33 584 946","687 323","197","0","12 580"
"Владимирская область","83","0","0","45","0","0","377 441 258","363 387 960","246 476 806","5 101 953","638 091","0","0","630 400","0","120 099","0","0","1 501","100","0","4","0","6 341","46 935 706","40 295 151","794 682","10 968","0","187"
"Волгоградская область","104","0","0","205","0","0","787 602 329","686 377 696","392 222 134","8 369 328","1 055 440","0","0","4 809 207","0","195 315","0","98 710","2 074","71","0","62","0","7 203","53 264 686","46 802 884","935 984","4 799","0","49 971"
"Вологодская область","54","0","0","105","0","0","845 122 459","847 264 197","655 929 229","14 118 792","1 343 787","0","0","1 944 798","0","253 578","0","19 770","2 037","54","0","921","0","8 397","42 023 655","38 010 324","688 075","4 614","0","77 832"
"Воронежская область","132","0","0","270","2","0","675 073 933","654 326 785","568 183 541","11 406 157","449 458","0","0","1 587 294","0","200 325","0","46 735","2 653","5","0","1 670","0","17 203","127 102 633","106 668 012","1 952 025","564","0","207 655"
"Ивановская область","47","0","0","35","0","0","195 879 449","197 024 405","100 057 208","2 135 829","173 208","0","0","136 941","0","13 142","0","563","67","0","0","0","0","217","15 528 255","15 242 518","304 874","0","0","0"
"Иркутская область","65","0","0","2 104","1","0","1 990 712 123","1 770 074 669","1 568 186 843","17 840 421","1 661 344","0","0","4 818 731","12 536 958","1 027 992","0","355 637","1 853","15","0","1 250","0","4 571","73 590 853","70 223 872","1 224 462","3 017","0","163 217"
"Калининградская область","153","0","0","12","0","0","474 858 670","390 439 254","307 567 022","6 395 129","1 583 531","0","0","427 579","0","124 417","0","82 455","2 316","32","0","141","0","11 892","102 902 952","92 044 064","1 858 707","40 748","0","26 006"
"Калужская область","53","1","0","1 279","5","0","481 558 814","463 166 786","233 541 649","4 940 881","1 724 414","X","0","3 239 534","0","54 176","0","12 643","860","2","0","405","0","3 439","34 491 585","28 873 596","543 615","823","0","77 390"
"Камчатский край","13","0","0","77","1","0","215 729 964","192 077 254","174 760 258","3 411 232","110 329","0","0","689 571","0","0","0","0","719","16","0","284","0","2 564","37 875 873","35 798 533","688 508","6 071","0","28 782"
"Кемеровская область - Кузбасс","80","1","0","118","9","0","889 956 936","882 698 638","683 772 018","14 020 940","585 765","X","0","980 664","0","302 625","0","9 137","1 470","74","0","126","0","7 723","81 496 151","75 377 508","1 458 421","7 059","0","40 800"
"Кировская область","39","0","0","122","0","0","257 606 650","234 129 401","169 565 903","3 600 552","83 729","0","0","1 121 100","0","125 131","0","0","1 466","14","0","1 081","0","6 562","31 008 062","27 145 300","466 492","2 739","0","87 974"
"Костромская область","19","0","0","66","0","0","114 499 877","106 792 369","79 557 093","1 644 557","58 712","0","0","189 661","0","105 699","0","0","537","2","0","10","0","1 372","18 474 313","17 900 796","353 685","1 697","0","2 418"
"Курганская область","42","0","0","56","1","0","163 390 657","149 344 252","126 491 804","2 601 127","280 592","0","0","214 166","0","141 359","0","0","810","15","0","47","0","3 533","18 957 790","16 589 817","332 264","1 244","0","9 425"
"Курская область","61","0","0","21","0","0","346 105 738","335 943 512","240 709 188","4 877 594","219 223","0","0","2 011 013","0","49 826","0","174","1 271","59","0","3","0","8 647","64 201 101","54 237 179","1 100 069","8 053","0","1 322"
"Ленинградская область","43","0","0","242","0","0","2 127 245 651","2 072 857 487","1 499 129 855","30 638 402","4 778 660","0","0","8 210 215","0","806 394","0","134 512","1 490","17","0","143","0","19 774","164 793 171","123 592 256","2 371 060","4 197","0","96 070"
"Липецкая область","198","0","0","46","0","0","371 433 816","360 502 835","286 053 951","6 145 846","848 223","0","0","428 480","0","70 528","0","0","775","3","0","500","0","2 498","35 377 080","32 220 000","637 909","128","0","32 805"
"Магаданская область","18","0","0","7","0","0","234 329 325","222 317 618","211 288 646","4 642 417","156 531","0","0","90 157","0","0","0","0","330","4","0","4","0","1 231","17 062 974","15 712 022","323 142","759","0","7 103"
"Московская область","395","0","0","243","28","0","3 626 806 412","3 440 211 070","2 621 265 924","52 760 846","5 168 250","0","0","9 211 958","0","1 001 074","0","1 135 669","5 414","99","0","183","0","39 184","906 048 226","809 815 783","15 357 836","21 067","0","710 246"
"Мурманская область","46","0","0","54","0","0","536 549 941","515 579 656","280 452 553","5 759 332","702 126","0","0","4 476 308","0","193 658","0","288 969","913","26","0","24","0","2 855","41 520 045","39 325 505","804 010","2 829","0","22 686"
"Нижегородская область","110","0","0","391","2","0","893 788 073","854 478 679","644 035 598","13 874 445","657 877","0","0","3 119 544","0","118 952","0","0","3 735","19","0","89","0","10 028","156 566 924","148 191 320","2 998 268","6 956","0","160 074"
"Новгородская область","35","0","0","19","0","0","228 231 714","225 947 736","168 594 359","3 517 243","556 517","0","0","463 755","0","154 974","0","57 088","861","32","0","350","0","3 441","14 717 611","13 146 305","197 892","1 841","0","64 159"
"Новосибирская область","77","0","0","63","0","0","744 938 355","696 146 844","581 834 027","12 572 078","746 271","0","0","1 526 845","0","220 078","0","11 335","3 376","82","0","188","0","22 608","294 616 369","239 095 151","4 619 549","18 272","0","139 693"
"Омская область","42","0","0","75","0","0","580 119 429","548 357 858","384 122 270","8 080 889","299 618","0","0","1 405 762","0","141 773","0","18 956","1 623","56","0","9","0","8 778","62 860 952","53 272 115","629 465","1 099","0","19 649"
"Оренбургская область","74","0","0","34","0","0","766 657 708","716 875 905","677 563 337","14 706 915","378 876","0","0","491 127","0","134 128","0","3 326","309","1","0","159","0","647","21 927 001","21 582 879","349 574","X","0","105 664"
"Орловская область","29","0","0","531","0","0","155 644 119","155 089 850","103 329 623","2 213 873","101 362","0","0","759 402","0","53 541","0","296","854","14","0","295","0","4 894","47 035 715","41 493 023","785 138","2 786","0","108 028"
"Пензенская область","124","0","0","17","0","0","291 636 125","284 425 541","259 123 868","5 521 983","213 887","0","0","346 814","0","51 113","0","0","275","X","X","X","0","646","25 673 119","23 757 248","516 742","X","X","X"
"Пермский край","250","0","0","325","0","0","1 312 207 252","1 254 111 259","997 754 873","16 303 537","900 992","0","0","9 974 732","0","263 472","0","460","2 826","99","0","1 619","0","13 224","132 970 167","118 391 770","2 241 930","23 060","0","155 882"
"Псковская область","44","0","0","531","0","0","146 574 285","130 658 072","78 995 307","1 563 349","332 062","0","0","729 165","0","69 330","0","11 213","608","44","0","90","0","2 318","17 040 471","15 318 747","301 284","3 887","0","4 476"
"Ростовская область","153","0","0","39","2","0","1 119 136 398","1 055 504 469","889 207 086","19 136 266","546 191","0","0","2 206 132","0","401 246","0","4 513","8","0","0","0","0","10","30 823","30 823","586","0","0","0"
"Рязанская область","186","0","0","161","2","0","303 803 002","294 857 704","222 928 450","4 771 124","320 032","0","0","1 117 459","0","111 433","0","0","1 718","118","0","888","0","5 785","57 776 120","52 919 377","918 958","10 494","0","130 443"
"Самарская область","127","0","0","46","0","0","1 089 136 483","1 067 111 998","946 820 107","20 650 646","1 097 383","0","0","1 376 183","4","177 621","0","441","4 165","83","0","59","0","20 224","211 599 727","196 990 522","3 873 293","49 819","0","13 793"
"Саратовская область","98","0","0","118","0","0","533 413 947","490 491 053","412 839 455","8 697 173","1 193 145","0","0","629 486","0","197 398","0","44","2 065","5","0","171","0","9 477","85 986 385","78 092 329","1 526 863","1 252","0","29 188"
"Сахалинская область","16","0","1","34","5","0","954 044 636","898 828 596","427 419 054","8 803 306","771 849","0","X","1 679 501","0","254 896","0","5 160","462","1","0","1","0","884","40 739 820","40 092 467","486 195","X","0","X"
"Свердловская область","216","0","0","668","0","0","1 488 812 000","1 443 718 541","1 282 550 777","27 387 584","1 026 142","0","0","2 856 910","0","547 667","0","2 765","5 632","133","0","103","0","34 699","265 542 137","218 129 051","3 384 030","8 602","0","517 716"
"Смоленская область","67","0","0","20","0","0","227 883 383","223 865 808","206 205 869","4 429 666","245 644","0","0","119 892","0","97 612","0","0","745","10","0","2","0","2 096","21 084 615","20 779 747","433 296","1 303","0","1 960"
"Тамбовская область","43","0","0","24","5","0","231 456 222","222 209 428","184 264 115","3 944 327","241 944","0","0","516 694","0","60 262","0","0","878","1","0","61","0","4 384","33 795 101","29 946 089","619 585","X","0","8 420"
"Тверская область","63","0","0","207","0","0","483 438 505","449 150 156","335 917 522","7 177 174","932 846","0","0","1 106 168","0","206 658","0","11 152","1 105","6","0","184","0","5 611","26 972 752","18 694 413","322 221","236","0","49 905"
"Томская область","44","0","0","52","2","0","385 026 171","362 955 816","327 118 717","7 172 346","180 887","0","0","619 604","0","11 169","0","0","600","23","0","197","0","1 878","27 904 543","26 206 214","494 850","4 513","0","24 989"
"Тульская область","96","0","0","169","15","0","500 905 975","468 014 263","380 303 080","6 752 124","657 431","0","0","2 366 217","0","71 928","0","2 027","1 481","0","0","26","0","6 003","44 180 473","40 370 095","800 890","0","0","6 365"
"Тюменская область","80","0","0","954","0","0","1 196 979 277","1 154 434 975","565 717 255","11 947 466","985 962","0","0","11 644 770","0","351 256","0","44","225","0","0","272","0","655","27 549 360","26 195 049","505 684","0","0","18 028"
"Ульяновская область","81","0","0","230","0","0","231 481 592","221 892 240","155 653 112","3 282 333","495 621","0","0","746 852","0","101 083","0","0","1 324","59","0","990","0","6 092","98 637 254","89 164 117","760 230","23 704","0","1 008 751"
"Челябинская область","93","0","0","119","0","0","839 199 164","785 398 898","699 787 526","14 720 055","472 806","0","0","1 325 623","0","260 135","0","14 795","408","3","0","7","0","585","70 963 879","69 141 051","1 160 167","1 941","0","15 507"
"Ярославская область","42","0","0","99","0","0","368 044 940","358 809 156","304 143 678","5 796 288","371 256","0","0","1 250 465","0","97 275","0","0","1 332","3","0","27","0","3 471","73 409 070","69 081 349","1 416 754","454","0","64 799"
"г. Москва","340","3","0","403","0","0","8 630 055 129","8 172 491 052","4 379 237 303","83 632 760","4 879 381","23 759","0","84 392 391","0","1 939 049","0","2 817 778","20 696","165","0","1 697","0","221 319","8 910 253 781","7 943 947 435","140 308 202","988 705","0","17 776 423"
"г. Санкт-Петербург","119","2","0","143","5","0","3 444 184 322","3 188 516 645","2 089 031 578","44 788 733","7 655 064","4 070","0","16 416 320","123","152 421","0","13 164","6 634","66","0","792","0","63 868","1 872 840 772","1 692 627 276","27 664 181","89 936","0","465 144"
"г. Севастополь","58","0","0","235","0","0","110 664 207","104 252 922","46 961 320","1 026 317","591 754","0","0","662 709","0","4 429","0","0","746","36","0","1","0","2 635","49 643 145","47 187 801","837 402","80 811","0","X"
"Еврейская автономная область","17","0","0","33","0","0","162 573 337","157 006 043","118 272 058","2 120 364","178 572","0","0","339 422","0","348 536","0","25 871","149","4","0","11","0","525","3 035 680","2 915 836","48 896","137","0","9 222"
"Ненецкий АО","1","0","0","9","0","0","279 967 515","275 586 656","274 103 818","6 030 284","X","0","0","29 317","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ханты-Мансийский АО - Югра","42","0","0","237","0","0","5 459 846 820","5 398 280 547","5 245 492 299","111 694 929","1 749 921","0","0","4 396 972","0","460 064","0","921","2 510","5","0","1 146","0","22 380","155 933 735","131 742 333","1 991 027","201","0","642 415"
"Чукотский АО","5","0","0","17","0","0","131 475 689","132 392 279","121 286 939","1 758 276","30 560","0","0","913 260","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ямало-Ненецкий АО","21","0","0","119","0","0","8 429 732 822","7 886 559 316","5 360 420 191","115 900 037","109 004","0","0","57 069 060","0","98","0","0","9","0","0","14","0","16","6 287 849","6 286 005","41 110","0","0","96 289"
"Примечание: Х - Информация исключена из отчета, т.к. в нем содержатся сведения о налоговой базе и структуре начислений по 1 налогоплательщику. В соответствии со статьей 102 Налогового кодекса Российской Федерации любые сведения о налогоплательщике, полученные налоговыми органами, составляют налоговую тайну и не подлежат разглашению, за исключением случаев, предусмотренных федеральным законом.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
