GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31
Магаданская область;18930889;18548255;1518;58036;58102;509;0;0;0;16898094;16557484;1391;0;0;0;6857549;6817857;159;4193509;4174894;1763;66826992;5147725;926591;298666;53761;70213;802617;1475511;214826;67143887;6818048
Московская область;1965991998;1956918625;126083;9494493;9299347;10375;648822;459466;284;1774434285;1766898238;120453;192807;118221;92;15102787;15202233;3538;221829796;220283042;130011;271334823;661694985;119105097;225269084;40548435;12333324;66223338;50333310;28195411;274954921;14147892
Мурманская область;59727756;60357946;7076;425830;439603;2221;62;17;1;46178847;47046965;6584;44;0;0;6581575;6593765;109;10331316;10104641;8775;76816715;20229255;3641269;3549084;638834;625727;2376708;21763877;5815201;57475264;4542648
Нижегородская область;518423009;520414852;62001;1210169;1070752;3309;961504;96590;72;446187920;448254178;59457;697197;52123;32;27262049;27224481;1293;58797820;58449256;62993;230154577;178751044;32175190;64702202;11646397;3349974;17178819;30273777;53006478;205990735;23394531
Новгородская область;53462546;53314442;6373;196109;194584;751;34242;1413;9;46341773;46324172;5970;34526;504;6;5274994;5271877;200;7329839;7199264;6567;47954378;15740792;2833347;2803493;504630;412131;1916586;768304;506705;47952309;5243681
Новосибирская область;381363955;382781227;69133;524210;433918;2726;63869;19097;87;344037045;345285795;67052;35309;11348;35;7988825;7965963;1295;39493630;39330551;68707;111910667;298321673;53697900;59013354;10622399;2188097;40887404;113931667;3131259;111814687;7892617
Омская область;149449565;149468669;23727;191246;191156;1645;17574;1652;26;122629916;122908720;22588;12089;372;10;2231313;2237693;673;28069999;27808283;24363;27921224;53318789;9597383;28891304;5200435;266538;4130410;6965673;374676;27921222;2233857
Оренбургская область;153840802;153765405;16459;262866;265006;1418;12037;2175;14;116705543;116804781;15091;8945;572;4;6413845;6413146;431;42130812;41980212;17084;72738001;70155333;12627960;43381200;7808623;356156;4463181;3529322;424368;72738002;6305243
Орловская область;47659265;47970345;8321;167275;167278;659;6558;915;8;43024577;43474105;7752;1900;79;5;263825;263556;193;6070751;5995768;8508;6934282;12830318;2309460;5030079;905418;256039;1148003;1057724;143511;6928672;256681
Пензенская область;84734064;85319901;12714;54710;51836;1161;8407;5193;27;76069899;76789613;12090;5313;2933;11;285174;285825;206;11065737;10935818;13358;9637338;20086906;3615645;6093202;1096777;132980;2385888;3882560;279097;9646090;284288
Пермский край;292192396;297683289;41993;306583;328680;3454;23364;6987;28;233062246;238870331;39772;13999;3947;15;24136139;24179088;638;54556379;54141964;44044;279954914;120019991;21603599;60537614;10896773;1577064;9129762;39207344;2490573;170246218;13284797
Псковская область;38603593;38561331;7586;46182;46382;929;1813;524;14;36001001;35952150;7166;787;1558;9;423688;423197;403;3488762;3484805;7879;8092973;11585257;2085343;6422324;1156014;191225;738104;358970;36954;8043864;419395
Ростовская область;412131888;410696327;47558;346154;343706;2404;34360;21196;68;386027719;384828742;44616;11655;3613;21;17997330;18008038;1553;44239201;44112443;47450;324227169;128999222;23219860;48162137;8669184;1226306;13324370;10604036;6280113;324132712;17977137
Рязанская область;126207485;126484584;17858;100609;100373;1237;13765;4192;24;107547496;107635850;17011;3065;862;10;1281079;1279823;282;20043865;20223471;18407;19547201;33806732;6085213;9837476;1770746;343206;3971261;3099480;253155;19511576;1266703
Самарская область;546951343;537621098;66684;939586;927969;2395;128930;2976;58;469835068;460540925;63898;137100;10199;21;11651185;11678305;1021;77189554;77110551;65983;156718972;308217185;55479102;101176325;18211751;2669720;34597631;57045486;2871632;145544965;10954447
Саратовская область;171449850;171545263;24710;173316;176361;1028;16390;7993;41;148410680;148682103;23336;9322;3059;24;2187249;2192319;532;26542783;26260834;24766;38488302;60892797;10960705;21983998;3957119;468584;6535002;2395225;441101;35519254;1845350
Сахалинская область;65434587;65174309;4305;3343378;3342851;840;298;205;6;64992942;64892996;3891;109;51;2;1514779;1537014;116;18735852;18598548;4648;47616117;10554977;1899896;1926518;346775;180489;1372632;2010037;3393705;47139721;1490705
Свердловская область;758693192;749926708;95265;1378306;1131646;6054;187464;34581;148;667204194;658174441;91428;180569;71614;52;38322058;38247928;2154;88060891;87967907;97705;377186231;711611565;128090079;421594568;75887022;4956086;47246971;32040907;5622363;330835915;32155209
Смоленская область;82267048;83117303;14424;328414;330194;1894;80101;68238;70;76358859;77211778;13875;63516;56623;45;5917556;5903215;2407;7821741;7836683;13715;60319048;24182171;4352789;8880287;1598451;154883;2599455;10684934;2604155;60312804;5845905
Тамбовская область;78315279;77881357;8777;83427;80936;1123;16222;3534;4;74703923;74284514;8278;12564;3026;2;429399;429406;85;7830432;7834819;9323;6781541;15677849;2822013;3785497;681390;322097;1818526;1060153;25552;5618028;252334
Тверская область;90984660;91285940;15980;192407;188571;2660;99604;3041;9;80093354;80241030;14792;49119;2110;5;1016857;1034686;335;12148570;12219011;17903;13669653;26331906;4739743;9056653;1630199;225008;2884536;2237277;2626319;13663951;1017174
Томская область;177226835;177326846;15705;123654;120698;1642;13111;5712;11;146294150;146383218;15001;4738;86;3;1300967;1275410;195;32410967;32294587;16694;17502475;30456478;5482167;8042604;1447670;264551;3769946;2890555;649416;17502475;1274340
Тульская область;157814368;159128020;19596;364781;368116;1624;26289;20245;33;143900537;145279367;18682;5387;1206;12;11090583;11088629;363;17666659;17720640;20378;124241851;28911469;5204066;8725724;1570631;829891;2803544;4453257;1289992;121385331;10635537
Тюменская область;322376838;320765697;23798;3571692;3156923;1815;27794;552;3;276752312;275328993;22513;12495;1;1;21874824;21907080;177;56977428;56356379;24453;247692269;188808082;33985456;61645147;11096125;1970109;20919222;37773634;4809158;247591820;21891165
Ульяновская область;107669473;106462878;16166;232618;232288;1425;-265;15006;8;97417063;96287680;15398;-598;0;0;983940;963408;230;12400248;12345810;16730;19485045;28742235;5173603;12664291;2279573;741043;2152987;4522956;8964908;19114924;920041
Челябинская область;467590631;478492007;65318;640681;476167;3150;352352;40791;113;406969187;418313061;62653;193197;22950;47;20354739;20171127;1904;50512531;50031350;65821;183450196;458189053;82474031;319570546;57522701;1420907;23530423;14361907;1959368;182206140;19831815
Забайкальский край;31306250;31217743;3674;91451;83168;1265;12033;143;8;29909446;29773397;3205;319;0;0;2526890;2521916;218;6429869;6453853;4548;25722547;19246349;3464345;1395765;251239;87013;3126093;16690113;7800;25692445;2514777
Ярославская область;159322768;162070968;29663;308203;297521;1255;28385;1945;16;136812437;139614765;28207;14911;1455;9;1821074;1821244;485;24648709;24583140;29881;32334528;59695662;10745220;24309347;4375680;1136027;5233513;26350975;736307;31792683;1713550
город Москва;10473202306;10470161810;585333;69670800;69730561;30760;2570071;1373790;1222;9422874060;9423343613;566579;1196813;593308;426;602766338;602829227;11349;1223839066;1225486793;577187;6752053761;92633048868;16673948797;56690891026;10204360387;128929469;6340658941;11137678888;80224428291;6623767438;582328188
город Санкт-Петербург;2983889353;2982941011;258240;9777959;9708723;10727;630683;183765;285;2694848809;2694825852;251831;260062;86134;80;77731186;77630905;5412;342808460;341460609;256255;902609143;4183095090;752957098;2594768322;467058283;16254506;269644309;6252724431;71550955;719747771;57451404
Еврейская автономная область;2494793;2484293;527;7581;6962;615;0;0;0;2445816;2429747;481;0;0;0;244247;243866;26;427047;415682;1060;3409953;717567;129163;101509;18274;11660;99229;118385;0;3355104;238496
Ненецкий АО;8287330;8283611;263;7108;6966;12;0;0;0;8878228;8901291;248;-334;0;0;3108225;3113252;12;1133033;1130786;237;56725936;2303759;414675;175080;31514;21845;361316;2919690;323906;56725937;3109727
Ханты-Мансийский АО - Югра;649093226;646683814;18784;720370;730596;1786;4508;1267;4;431758919;429841839;17341;429;429;1;50590601;50543300;91;172471551;172058242;19734;1021147919;139493355;25108803;34446280;6200332;3342849;15565622;14206220;7450775;402488310;18551115
Чукотский АО;5997876;6010056;306;170884;170847;752;0;0;0;5890353;5892103;283;0;0;0;2845632;2851966;32;1462189;1465047;889;44840479;1243274;223790;294069;52932;55311;115547;334034;0;44922490;2851965
Ямало-Hенецкий АО;419452709;418902157;4076;6016309;6021543;719;0;0;0;291559523;291635323;3600;0;0;0;5220706;5245487;22;178775616;178342542;4499;114399217;52443113;9439764;25102294;4518414;680226;4241124;7115570;84934;104242343;4874735
Республика Крым;70497869;69376795;14363;70579;87183;1896;1634;685;5;61460846;60375513;13364;409;409;1;50785;68881;57;10510399;10485686;15676;1326893;48119285;8661471;40064503;7211610;835501;614360;2722727;274514;1326893;67964
город Севастополь;17972493;17910636;5188;35875;35220;855;1251;20;1;15425502;15360589;4925;75;0;0;10570;9680;21;2716471;2719290;5879;309165;10767266;1938108;1250231;225040;128185;1584883;3523305;40058;309165;9360
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
