GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69
    Алтайский край;8044;0;0;0;80981;334;17;6327;7381;2027;1447;1168;681;455;57;65;12;12;4509;437;3034;12720;1406;3262;5486;11441;296;356;49291;139;27;0;0;3;4;37;0;12;4816;16011;7734;19581;55811;9767;22855;6559;4;2;40;24847;11238;6048;59786;10821;45309;150552;267;1454;412600;141;484;0;0;19;106;36;0;1324;0;0
    Красноярский край;9079;2376;0;0;122214;3133;183;5087;9474;3564;2564;2436;1178;772;99;63;15;73;3742;2027;1731;12782;2365;5841;12874;19754;499;603;64809;518;452;0;0;11;20;360;223;81;1720;14098;14901;27711;88402;14225;31788;9572;2;2;64;10747;20366;2031;36628;11101;71982;336641;104;2279;637556;269;11496;0;0;47;227;9348;6922;20432;83815;0
    Иркутская область;9055;1;0;0;91628;1557;84;5972;10045;2712;2018;1826;816;547;91;91;14;57;5981;1199;1614;13769;2515;6078;12709;19600;486;343;66789;360;331;5;6;21;23;166;212;49;3437;13577;13443;22054;68275;11036;23082;9994;3;2;46;14116;11364;1970;40241;13766;65201;355812;171;973;623524;93;3109;18;297;75;414;860;2732;6554;109;0
    Кемеровская область - Кузбасс;6474;527;0;0;72021;298;20;5178;8180;2492;1639;1336;542;352;30;34;6;28;3681;2634;1336;8432;1204;3011;5913;14877;301;499;44981;141;39;0;0;5;10;49;9;18;2772;12540;17002;24235;64302;8958;19863;4241;2;2;70;11010;27608;2731;38392;9088;43046;152901;212;1649;405787;54;120;0;0;26;301;19;8;638;22210;0
    Новосибирская область;11841;428;0;0;99666;1581;68;7660;13946;3686;2883;2353;1225;818;123;50;22;107;3853;700;2580;12899;1726;2586;7898;12758;476;557;62932;307;101;1;1;4;17;94;144;53;3518;14814;14633;34756;125959;20041;48133;21330;1;2;79;21145;16567;5198;58707;12784;36251;213632;161;797;558038;143;1064;1;88;16;363;1824;1760;2964;42263;0
    Омская область;6755;17;0;0;59687;2368;30;6087;6260;1575;1090;1024;440;307;28;48;15;45;3248;482;2049;8808;929;2678;4938;8167;234;205;39276;114;31;4;1;1;2;384;412;27;3102;10022;6952;10269;33977;4723;11804;2881;3;3;99;7241;3476;3254;30189;5794;28250;93170;117;455;235801;147;677;2;15;5;70;10094;10762;1292;2981;0
    Томская область;3789;6;0;0;40680;755;22;3452;5271;1215;787;687;280;159;18;23;2;14;2399;573;855;5562;658;3101;4060;6371;497;363;28656;269;64;0;1;6;8;79;27;16;2079;7299;5303;8140;27867;3618;7859;2691;1;0;14;8191;5892;1413;19472;4155;37703;91870;260;978;219402;235;705;0;315;32;289;161;401;3977;35;0
    Республика Бурятия;2761;3;0;0;23636;466;25;2552;2991;489;335;312;119;69;4;33;9;6;1732;137;505;3343;538;1233;1709;4057;126;113;15922;210;97;0;1;1;6;12;25;6;1676;5939;1975;2899;8409;1441;2678;348;2;2;19;4828;1614;571;11884;2977;10140;32790;32;135;85725;59;1000;0;9;6;122;11;317;357;28;0
    Республика Саха (Якутия);4092;221;0;0;42315;2163;147;1591;5418;745;481;633;129;76;8;55;18;23;2143;655;437;4483;798;3428;6056;9636;506;248;26964;527;206;0;1;2;0;163;245;38;967;7962;2018;6299;25303;2643;4798;1499;2;5;29;12093;8718;860;20504;6543;49108;172536;108;204;311799;222;743;0;11;9;0;1364;1689;5224;7334;0
    Приморский край;6032;0;0;0;57735;1960;38;2635;7286;2028;1328;1539;597;381;51;37;13;28;2635;1322;1023;6744;1508;2421;7065;10045;132;85;37124;385;246;15;5;3;10;95;158;22;1243;10602;8587;14546;67985;11614;25733;7675;2;4;62;4506;8388;997;18521;8699;17186;141646;72;177;300628;538;14894;75;905;26;289;10583;34965;3389;0;0
    Хабаровский край;4347;42;0;0;45299;3500;59;2021;5272;1498;1035;1057;387;228;16;26;7;24;1646;1171;874;6013;1333;2449;5667;9617;342;228;30222;758;382;0;2;1;3;223;83;38;1279;8343;6183;11424;47405;7447;14585;2335;2;4;52;9610;27003;1713;27747;10117;31558;133613;128;500;316050;450;9223;0;59;6;101;832;1867;3256;5625;0
    Амурская область;2987;0;0;0;37693;409;24;2663;3458;673;406;524;130;103;12;29;2;2;1768;361;490;4666;857;2219;4007;8591;116;89;22291;208;75;0;0;1;4;44;13;8;2263;5929;3206;6459;29054;3109;7706;2794;2;1;6;6368;5291;600;13106;4058;31400;107663;95;378;215410;339;1304;0;0;13;364;95;244;1246;0;0
    Камчатский край;1573;5;0;0;14930;6218;73;701;1538;404;237;318;52;33;10;4;6;10;537;306;238;1774;344;902;1211;3638;403;405;8529;636;94;2;1;1;0;50;102;17;553;3526;1989;2783;17075;1490;2835;2449;0;3;21;3087;7235;445;8791;2779;12784;31760;287;1633;92832;1096;3942;9;1217;7;0;7492;8503;2445;618;0
    Магаданская область;862;11;0;0;16211;375;31;465;1263;262;220;333;62;37;3;5;2;9;352;310;216;1699;359;887;2446;5377;102;151;8828;201;41;2;0;0;0;13;9;27;260;1429;623;1074;5198;531;911;234;0;0;10;1000;3213;422;7791;2963;12616;56771;57;385;93370;249;817;13;0;0;0;60;139;3265;4082;0
    Сахалинская область;2526;24;0;0;28177;3612;31;1107;2748;792;569;554;175;68;8;19;1;27;1465;545;525;3040;787;1556;3713;6792;350;271;17448;726;108;4;2;3;7;77;361;16;602;4679;3076;6006;19674;3156;3732;1219;1;0;31;9442;13375;1060;14422;6415;21791;104558;310;1071;205141;1417;2973;15;651;30;300;323;8672;2063;3042;0
    Забайкальский край;3183;4;0;0;33776;99;7;2828;3710;476;331;352;120;67;9;59;2;2;2236;491;873;5079;792;2104;2771;6884;22;43;22105;56;5;0;0;2;2;0;0;2;1556;4277;1419;2301;8261;1054;2191;703;2;0;2;5881;3729;926;11365;3282;14354;42763;5;36;100117;24;34;0;0;12;31;0;0;14;3;0
    Еврейская автономная область;416;11;0;0;4886;40;1;302;515;114;57;43;3;6;0;11;1;2;260;35;94;601;90;169;350;1144;3;12;2644;15;3;0;0;0;0;4;0;1;197;903;665;784;1583;73;360;0;1;0;4;1476;744;136;2062;708;2285;9416;2;105;20963;13;28;0;0;0;0;3;0;23;85;0
    Чукотский автономный округ;365;0;0;0;6890;449;26;281;464;75;40;30;12;2;1;5;17;15;173;134;56;455;221;723;637;2608;250;213;3326;172;120;0;0;0;1;10;39;13;463;1553;517;541;871;181;53;28;0;9;36;702;1806;89;1691;1490;8504;10739;170;721;29011;322;1553;0;0;0;31;54;5350;2537;0;0
