GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49
  Приморский край;186 009 543;79 256 497;171 664 001;70 431 628;367 937;74 719;91 029 517;121 570 194;15 990 683;9 124 227;5 368 280;7 209 068;2 438 169;1 383 674;1 726 369;1 745 115;0;0;3 641 601;5 458 309;2 178 459;1 311 871;641 655;163 617;27 249;6 301;135 737;121 205;1 893;186;6 938;42;14 309;31 427;11 043;5 090;5 871;9 191;2 533;1 551;22;1;287;528;10;5;32;64;183;83
  Ставропольский край;109 243 150;110 377 195;99 565 645;98 164 247;168 401;75 819;43 800 375;118 607 971;10 388 087;12 902 707;2 651 195;7 038 508;1 485 629;1 718 493;951 168;2 046 858;0;0;1 700 027;4 991 896;1 321 162;1 612 621;369 184;209 575;16 969;10 400;0;0;79 771;209 366;59 250;15 511;8 870;52 287;7 349;7 110;3 559;12 127;1 883;1 481;76;23;0;0;240;213;20;42;86;117
  Хабаровский край;137 077 925;39 168 129;128 289 500;34 880 169;581 926;254 280;49 610 337;76 087 643;10 993 315;4 620 517;2 914 225;4 488 288;1 586 929;685 048;944 530;1 146 750;0;0;1 969 507;3 341 197;1 307 128;642 507;620 473;99 837;30 427;2 812;87 861;75 974;59 519;17 989;14 779;2 844;8 410;18 350;8 414;3 194;3 457;4 204;1 979;950;35;15;144;154;229;58;28;60;152;48
  Забайкальский край;42 078 135;25 684 481;38 962 826;24 694 758;140 920;68 788;24 157 063;49 979 367;3 410 400;2 621 748;1 091 482;1 569 293;492 040;346 281;360 194;463 212;0;0;731 288;1 106 070;412 126;301 489;183 298;110 738;3 474;6 391;351 332;1 322 813;13 819;31 916;32 419;204;3 209;10 230;2 929;1 621;1 374;2 794;902;444;85;10;255;2 365;73;98;13;48;37;17
  Амурская область;58 646 896;31 954 218;53 536 613;28 390 273;259 083;43 819;27 051 159;42 075 430;5 535 096;3 723 230;1 437 818;2 273 559;793 774;524 950;436 886;539 582;0;0;1 000 932;1 733 892;715 394;492 725;214 826;71 749;6 886;3 015;197 051;231 285;29 333;30 230;25 066;6 512;3 248;10 203;3 298;2 218;1 216;2 719;763;590;54;12;173;596;91;91;14;17;55;31
  Архангельская область;73 127 522;32 753 275;67 809 236;29 047 393;300 368;92 367;40 545 717;63 437 051;6 005 742;3 774 881;1 668 080;2 593 637;776 670;459 289;590 125;957 632;0;-1;1 077 956;1 636 047;597 250;396 635;401 494;108 071;14 009;5 895;737 037;1 172 101;76 386;73 988;25 120;5 421;5 787;18 794;4 735;2 177;2 417;3 965;1 151;476;157;14;3 135;13 107;432;229;21;23;61;31
  Астраханская область;32 217 112;30 639 854;29 278 993;27 131 237;151 785;107 066;17 444 113;30 644 176;3 417 106;3 747 797;999 471;1 717 482;480 371;499 719;367 306;544 604;0;0;632 165;1 173 004;434 776;462 506;124 855;88 572;13 701;2 865;45 286;119 469;35 987;40 511;4 928;2 199;3 442;13 235;2 884;2 551;1 262;3 214;728;558;32;11;107;392;117;100;0;0;0;0
  Белгородская область;74 515 983;49 515 640;69 226 117;44 884 586;372 755;194 143;29 957 618;53 351 039;6 265 584;4 803 627;1 749 404;3 187 400;940 874;722 320;655 337;952 079;0;-9;1 094 067;2 235 330;811 673;646 961;343 040;140 383;28 391;12 704;48 372;23 054;20 397;6 202;7 028;210;5 213;25 201;4 711;4 832;2 006;6 464;968;1 200;77;8;30;167;107;44;17;17;60;39
  Брянская область;55 714 002;29 917 594;51 039 918;26 565 079;100 448;14 570;23 563 149;45 232 725;4 947 289;3 417 550;1 393 370;2 696 751;741 743;520 057;520 533;819 870;0;0;872 550;1 876 880;641 372;481 677;204 067;62 984;6 567;304;16 962;31 462;2 575;0;559;0;3 470;18 830;3 447;2 246;1 200;4 877;770;606;1;0;11;24;8;0;11;11;45;25
  Владимирская область;84 506 998;36 361 548;77 881 775;31 847 256;383 829;82 325;37 920 853;63 147 739;7 155 468;4 559 625;2 048 697;3 543 072;1 002 085;644 096;760 799;1 034 124;0;0;1 287 898;2 508 951;853 682;598 906;377 172;79 592;18 592;6 030;225 230;235 452;55 497;32 237;9 652;496;6 903;19 989;5 905;3 068;2 619;4 922;1 361;764;65;10;547;1 130;438;154;10;15;46;20
  Волгоградская область;78 240 583;43 625 583;71 141 409;38 470 453;425 096;59 407;48 798 557;93 121 085;7 800 912;5 467 729;2 805 217;5 387 781;1 059 455;763 744;1 023 295;1 715 897;0;41;1 781 920;3 671 633;923 362;721 631;307 777;88 413;19 309;3 662;157 959;167 494;88 724;45 342;32 151;6 252;9 464;36 745;7 250;4 330;3 653;7 938;1 906;1 015;124;40;325;518;315;177;23;27;43;24
  Вологодская область;107 801 826;42 178 792;100 781 674;38 027 522;369 824;109 179;29 881 300;49 370 270;8 072 889;4 346 079;1 599 482;2 643 489;1 111 148;580 441;546 831;807 478;0;0;1 052 651;1 835 990;878 668;500 416;561 430;144 916;24 759;5 865;185 210;316 296;38 854;45 344;0;0;6 172;16 084;8 188;3 581;2 761;3 965;2 097;1 052;0;0;230;794;191;157;14;15;107;35
  Воронежская область;134 008 080;68 247 951;125 579 594;61 784 028;513 775;314 499;65 610 260;112 069 759;10 339 658;6 662 706;3 950 894;6 760 048;1 558 119;998 882;1 370 359;1 798 267;0;0;2 580 536;4 961 745;1 301 299;903 498;608 869;213 321;28 964;8 859;54 984;4 388;8 490;17 443;484;117;7 828;33 299;8 180;4 750;2 564;9 189;1 708;1 249;8;3;21;12;16;15;39;45;96;73
  Ивановская область;106 278 268;49 930 603;97 624 522;42 989 567;316 043;94 073;18 602 391;38 311 641;9 723 279;6 868 313;1 078 447;2 162 430;1 047 659;666 463;359 598;591 483;0;0;718 849;1 570 905;845 358;607 645;478 973;127 481;20 482;4 280;36 883;70 044;245 423;253 367;64 340;60 085;4 177;12 654;7 215;4 202;1 657;3 792;1 711;1 235;153;116;135;303;684;407;13;57;81;36
  Иркутская область;186 967 484;90 070 736;171 920 448;80 929 502;643 950;188 621;74 918 198;107 493 276;16 767 558;9 555 469;4 537 102;6 460 383;2 335 032;1 375 885;1 469 857;1 726 581;0;0;3 074 545;4 726 977;2 038 926;1 257 665;728 422;247 383;23 459;7 892;0;0;220 051;68 315;28 374;7 257;12 448;35 933;12 377;7 771;5 430;9 841;3 486;2 290;87;22;0;0;412;140;144;119;228;93
  Калининградская область;259 724 201;66 456 291;238 963 534;59 455 267;1 621 876;324 328;56 256 170;74 700 570;24 217 015;7 366 627;3 463 313;4 501 841;3 668 089;1 121 340;913 625;1 175 995;0;0;2 549 688;3 325 723;3 397 554;1 074 970;701 869;98 120;143 534;15 715;18 148;10 585;3 988;1 806;6 343;1 217;7 941;19 619;14 754;5 047;2 934;5 154;3 728;1 613;42;8;12;19;4;9;58;32;251;65
  Калужская область;67 754 905;35 957 349;62 493 033;32 221 014;143 444;132 859;27 965 180;49 908 235;6 145 221;3 824 353;1 686 043;3 003 743;823 658;504 026;590 931;829 574;0;0;1 095 112;2 174 022;697 695;455 297;304 988;99 741;3 003;15 307;32;2 626;74 279;58 936;391;145;4 927;18 409;4 493;2 686;1 883;4 960;1 049;669;4;6;1;7;261;121;10;17;56;27
  Камчатский край;50 359 590;27 584 066;44 674 090;23 274 123;119 223;68 203;13 189 591;23 311 505;6 411 759;4 379 588;766 087;1 327 931;639 272;436 242;245 479;318 012;0;0;520 607;1 009 919;567 046;399 990;202 936;76 606;3 110;2 696;30 972;58 756;262 838;176 405;14 073;11 797;2 290;5 671;3 215;1 919;1 246;1 977;993;691;60;16;86;264;2 068;1 126;8;38;31;27
  Кемеровская область - Кузбасс;116 863 133;36 220 158;107 284 613;32 722 917;441 618;62 572;66 310 273;88 956 133;10 198 420;3 637 279;3 833 174;5 062 777;1 462 036;526 951;1 401 267;1 440 323;0;0;2 431 907;3 622 530;1 241 695;475 896;480 382;101 778;32 515;2 221;168 167;263 590;64 062;19 761;22 882;819;10 318;31 526;8 030;3 486;3 548;7 657;1 888;884;163;18;348;2 835;232;121;25;50;88;29
