GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67
Костромская область;2 666;0;0;84;0;22 833;137;12;2 649;2 862;623;353;265;7;33;11;13;970;92;565;3 324;495;901;1 655;3 877;175;117;14 819;57;30;0;0;1;1;2;1;4;2 806;9 660;4 592;5 449;13 332;1 303;3;4;38;4 552;2 317;1 159;15 490;3 900;12 675;47 135;159;435;123 118;106;1 307;0;0;13;150;3;46;11 168;0;0;5 411
Курганская область;2 623;0;0;95;0;27 141;123;10;2 581;2 292;526;366;260;12;29;5;14;1 479;89;908;3 887;366;1 024;1 611;3 678;203;120;15 437;69;6;0;0;2;0;4;0;10;1 913;7 016;4 240;5 912;13 272;2 139;1;1;31;5 725;1 320;1 829;17 953;2 819;12 859;41 553;176;602;116 444;154;66;0;0;36;0;8;0;588;0;0;9 053
Курская область;3 738;0;0;0;0;44 296;49;4;4 937;4 568;1 188;642;434;30;42;4;6;2 386;321;924;5 782;650;1 873;3 890;6 463;12;26;27 647;17;8;0;0;0;3;0;0;4;5 589;15 653;9 554;10 244;23 959;5 537;3;1;16;13 881;7 488;1 864;27 318;5 094;25 926;103 069;11;140;249 659;67;413;0;0;0;270;0;0;461;0;0;0
Ленинградская область;5 416;0;0;629;0;56 460;407;4;4 360;7 467;1 997;1 632;969;57;31;12;56;1 908;570;996;7 871;1 188;1 689;6 932;11 422;207;199;37 774;172;100;3;0;1;7;69;4;4;5 869;28 633;15 398;25 228;50 679;9 889;4;7;229;12 212;12 502;1 933;36 096;9 221;24 014;162 038;194;742;384 071;361;6 123;14;0;15;495;80;669;239;0;0;26 200
Липецкая область;4 285;0;0;48;0;45 368;119;3;4 920;4 975;1 426;947;595;35;33;3;14;2 001;639;1 119;5 407;781;1 693;4 992;6 193;66;88;29 500;75;23;0;0;2;4;0;0;3;5 472;15 470;11 092;15 071;31 998;6 559;3;1;43;12 288;14 554;2 360;25 041;5 993;23 882;140 983;54;349;304 246;155;1 247;0;0;38;357;0;0;42;0;0;2 778
Магаданская область;875;0;0;11;0;16 612;362;33;415;1 246;260;213;331;4;5;2;7;321;309;189;1 712;361;866;2 569;5 750;118;172;8 805;190;42;2;0;0;0;7;10;26;233;1 482;632;1 072;4 810;285;0;0;9;913;3 363;386;8 072;3 037;12 264;59 238;68;467;95 510;245;833;13;0;0;0;52;329;3 453;0;0;4 506
Московская область;31 039;0;0;49;0;298 631;731;216;23 922;56 140;14 946;9 946;7 518;433;206;91;305;11 385;7 254;7 648;47 922;8 804;8 498;37 152;45 579;562;589;241 454;363;153;7;3;7;20;27;58;193;18 739;206 695;114 234;150 835;393 751;75 205;23;33;1 178;54 235;151 994;14 061;178 036;51 713;111 992;852 732;474;2 497;2 300 279;1 494;6 866;23;254;56;642;364;2 083;143 467;0;0;996
Мурманская область;2 339;0;1;14;0;25 115;1 093;3;1 955;3 174;706;447;497;9;33;3;8;1 278;637;314;2 910;486;946;4 284;4 136;340;529;17 678;380;178;2;1;1;3;49;96;3;1 750;7 970;3 916;5 362;16 984;1 623;2;1;19;4 892;4 819;487;10 905;3 716;13 643;116 517;147;1 218;190 982;249;6 561;7;56;11;123;15 376;43 478;1 197;0;6;4 495
Нижегородская область;11 903;0;0;2 260;0;115 704;2 795;19;6 320;12 185;3 939;3 173;1 846;98;126;13;79;4 263;1 478;2 216;17 088;2 798;3 204;11 283;14 174;250;256;70 009;148;579;2;1;6;7;604;341;17;10 392;41 895;27 667;49 771;97 856;17 717;13;5;346;21 593;24 396;3 943;68 424;19 044;40 012;258 556;216;1 008;663 905;343;27 475;5;60;42;266;43 315;12 663;952;0;0;340 812
Новгородская область;2 579;0;0;29;0;22 285;229;6;2 357;2 610;664;406;221;8;28;3;13;944;409;666;4 109;620;739;2 560;3 828;132;87;16 349;139;26;2;0;1;2;3;4;6;2 774;8 048;4 937;6 181;10 098;1 525;3;2;38;5 453;9 016;1 351;19 050;4 901;10 573;74 748;114;315;157 173;195;755;25;0;18;120;3;105;98;0;0;373
Новосибирская область;11 949;0;0;437;0;95 908;1 665;62;7 077;13 553;3 723;2 847;2 266;145;53;16;107;3 790;824;2 368;12 671;1 822;2 424;8 751;13 165;455;649;62 291;332;142;3;2;6;20;157;69;49;5 417;22 599;25 762;40 405;111 295;28 183;3;3;248;20 758;19 035;4 672;58 184;13 716;33 736;244 488;319;1 509;600 316;416;2 337;7;739;37;544;2 990;1 115;3 237;0;0;50 654
Омская область;6 576;0;0;22;0;59 027;2 353;26;5 774;6 497;1 560;1 077;1 025;30;51;15;43;3 263;440;1 916;8 692;986;2 529;5 059;8 266;238;223;38 926;112;32;4;1;1;2;402;404;23;2 998;10 726;7 504;10 350;31 043;3 503;3;3;97;7 495;2 876;3 047;30 300;6 011;26 837;97 539;125;519;236 831;142;689;2;22;9;107;9 517;10 592;1 152;0;0;3 605
Оренбургская область;4 956;0;0;1 814;2 263;70 359;113;43;3 592;5 398;1 846;1 195;860;38;18;5;15;2 361;556;1 758;9 501;1 278;3 503;6 615;9 334;277;414;38 320;62;10;0;0;0;1;0;0;40;1 157;8 526;13 935;17 552;41 999;6 921;1;1;48;12 464;12 182;3 089;39 737;9 166;43 882;175 089;243;1 510;377 967;129;193;0;0;0;29;0;0;5 507;0;0;49 689
Орловская область;2 841;0;0;799;0;28 996;25;8;3 457;3 056;736;459;232;5;16;2;4;1 108;29;779;3 852;478;891;2 441;3 513;12;29;17 540;11;0;0;0;0;2;0;0;5;3 470;11 169;5 761;7 357;10 955;1 091;1;1;6;4 748;716;1 508;15 531;3 383;10 786;52 069;10;91;127 459;6;0;0;0;0;32;0;0;65;0;0;28 740
