GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147
Республика Мордовия;44804984;44747897;4120;5975667;5966619;59666190;704;3123;3123;34357;5;10547;0;27651589;27635990;138185677;3918;0;0;1585791;1585345;9512067;112;0;0;0;0;0;0;0;0;61578;57062;285313;64;7494449;7483532;49227633;1866;1924437;1922561;611;13;13;2;2024748;2016031;1033;37991;37411;371;0;0;0;128;742;4;540;1;1;0;0;0;40689825;40583200;3806;29809205;29833033;3773;835507;835571;102;119947;119786;65;1585274;1585933;524;61552;56841;63;8221650;8122396;1792;32254;32587;77;0;0;0;0;0;0;50654;50654;9;6019917;5977438;4243;0;0;0;1899512;1798421;137;755183;729731;26;7448572;5478855;1095772;386667;77334;81407;937031;0;0;0;0;0;0;0;0;12325631;2465126;9191120;1838224;6667;620235;0;0;0;0;17804486;3560898;9577787;1915558;88074;1557266;1868524;67001;1935525;0;0;0;0;7448569;50264
Республика Саха (Якутия);56359802;56109909;2572;941640;939269;9392696;291;278;277;3048;7;-30645;0;43192316;43029964;215149790;2481;-89;0;56906;54375;326248;58;0;0;0;0;0;0;0;0;1077046;1056422;5282110;63;9064727;8973160;56227736;952;1631318;1608032;410;127281;127845;4;2057654;2040977;703;244560;242725;527;18;18;1;-57;9;1;1186;0;0;0;0;0;50284937;50228080;2327;38819346;38636114;2302;532216;527628;49;13297;16387;10;1724384;1722414;362;1077531;1055960;61;8140974;8293895;874;117170;115664;95;0;0;0;0;0;0;12787864;12772431;101;11221156;11044527;2844;0;0;0;17449494;17297051;249;1689757;1695096;15;245941567;8076030;1615209;1942488;388499;179243;1047467;0;0;0;0;0;0;0;0;55567023;11113403;31012794;6202558;39807;4871038;0;0;0;0;63643053;12728612;32955282;6591057;219050;5918505;178519199;1232652;179751851;0;0;0;0;245941567;12742417
Республика Северная Осетия-Алания;10642390;10685100;1409;730953;728393;7283933;141;2464;2175;23928;5;37181;0;8021091;8029081;40145376;1270;-101385;0;261805;274085;1644516;85;40;0;9269;0;0;0;0;0;5610;2448;12234;11;1282149;1201894;7531480;399;327724;315263;173;1485;1962;4;341862;327439;255;6142;5101;92;0;0;0;0;0;0;2418;0;0;0;0;0;9135581;9239308;1313;7333973;7500614;1290;92254;93859;53;8629;8578;19;423877;415885;184;6117;2273;9;1265596;1212378;350;4252;4222;13;0;0;0;0;0;0;49556;49365;32;1647535;1589400;1419;0;0;0;184458;171318;58;-396;59;1;1368482;1796892;359379;508891;101778;210122;47479;0;0;2722;544;0;-544;0;0;362926;72585;1040490;208098;885;-136398;0;0;0;0;2159818;431964;1549381;309876;211007;-88919;35185;816;36001;135005;2308;12;0;1368482;45829
Республика Татарстан;703002204;703349078;51332;24182637;24201915;242019157;4053;46214;45147;496618;41;-406467;0;486903857;487161512;2435806736;49628;-2473;0;2163748;2172307;13033850;894;2935;2935;14676;5;0;0;0;0;471848;468691;2343462;276;153943252;153805927;952188380;26836;33044665;32522798;12371;509461;710826;49;35698426;35413417;16121;1354494;1354462;1026;751;203;3;1657;2045;48;80707;2995;24;261;268;5;637879602;639189567;49729;435192257;436889522;49384;17583919;17557649;1172;1646507;1620061;395;37885030;37880879;11382;458575;459203;270;143759539;143389549;25359;1350079;1350639;379;1240;1240;4;23318;22077;3;7291988;7278563;222;88156318;87198300;50616;0;0;0;28790915;28499243;716;9748129;9802431;121;412962861;60299165;12059838;16850847;3370175;873959;7815704;500253;100050;199057;39812;10894;49344;37;0;242342807;48468564;90541157;18108232;102223;30258109;0;0;0;0;302641972;60528402;107392004;21478407;976182;38073813;15127180;1944812;17071992;180006;907;22;0;412223345;7191303
Республика Тыва;2861799;2814026;218;35205;35208;352084;16;0;0;0;0;25393;0;2231624;2215027;11076433;210;0;0;389;389;2332;4;0;0;0;0;0;0;0;0;69393;69393;346964;11;398968;390621;2343985;53;39110;33206;25;139;139;1;100850;94992;46;55853;55853;26;0;0;0;0;0;0;0;0;0;-20;0;0;2258529;2221216;174;1730566;1697027;171;84100;84100;4;23902;23902;2;42926;40830;24;69393;69393;11;253675;252000;50;53924;53924;12;0;0;0;0;0;0;676787;676665;16;819322;806055;223;0;0;0;836986;834057;23;11318;11318;4;8738407;304601;60919;20968;4194;895;55830;218;44;0;0;0;44;1;0;2419698;483939;6922;1384;2035;480520;0;0;0;0;2724299;544858;27890;5578;2930;536350;135436;0;135436;0;0;0;0;8738406;676783
Удмуртская Республика;120496922;120387902;14537;5506281;5502326;55023113;1387;850;850;9344;10;51331;0;88302289;88189309;440952332;14121;-1390;0;171383;272658;1641648;220;17;17;166;1;0;0;0;0;197186;196967;984834;130;22530258;22499279;137758399;6948;2864240;2865810;2840;60379;58115;17;3739755;3718171;4011;112410;88371;569;0;0;0;1896;1857;28;2178;584;9;7;0;0;93977158;93901581;14124;66928425;66902044;14031;1814225;1813196;260;114270;115564;121;3720574;3708591;2662;195326;195082;126;21151838;21116108;6579;54010;52503;117;0;0;0;2;2;1;2080905;2082245;99;25824452;25766443;14630;0;0;0;1273455;1236624;213;1297217;1308138;49;78495377;14373088;2874617;3646139;729225;208936;1936456;14444;2889;8010;1602;0;1287;4;0;49461367;9892273;35902964;7180594;2013;2709666;0;0;0;0;63834455;12766890;39549103;7909819;210949;4646122;2518465;1741485;4259950;0;0;0;0;78495742;2048446
Республика Хакасия;24867651;24847190;1841;580180;570978;5709764;272;1803;1803;19825;6;-1121;0;19099644;19104530;95522647;1770;205;0;56440;56569;339412;46;0;0;49;0;0;0;0;0;72381;72416;362087;32;3678628;3629007;21957396;690;1331797;1362739;271;649;649;3;1379494;1410382;451;15085;14723;272;0;0;0;1393;1328;7;9390;0;0;0;0;0;21888329;21861202;1672;16438840;16434493;1657;331716;331716;32;165753;165753;20;1190210;1174607;239;73683;72326;31;3663094;3657277;652;25030;25030;21;0;0;0;2704;0;0;1935376;1935410;30;3323101;3321212;2044;0;0;0;2255841;2252769;41;138707;138707;14;24619381;2163640;432727;348145;69629;36112;326986;1311;262;260;52;33;177;3;0;1153678;230735;1553;311;330;230094;0;0;0;0;3317318;663462;349698;69940;36442;557080;1928349;0;1928349;0;0;0;0;24619384;1935407
Чеченская Республика;30922297;27418071;2059;829197;826539;8265413;189;44566;26956;296522;3;546292;0;25674780;22858780;114563032;1940;6033;0;192261;198005;1188030;55;0;0;0;0;0;0;0;0;202;202;1009;2;2598086;2333453;14021745;249;536809;514902;142;0;0;0;1030321;1008143;215;769;1463;27;0;0;0;0;0;0;0;0;0;0;0;0;30498278;26614892;1971;26716303;22904461;1953;180148;190009;28;20132;20318;5;793982;800228;158;201;201;2;2780610;2698755;196;615;616;5;0;0;2;0;0;0;5752;5752;2;975396;1450695;2000;0;0;0;480026;480153;19;19662;19662;2;201724;1415008;283002;1057756;211553;19347;52102;49932;9986;604331;120866;10287;-121167;12;0;4132;826;0;0;0;826;0;0;0;0;1419140;283828;1057756;211553;19347;52928;153533;150;153683;0;0;0;0;112079;0
Чувашская Республика;56632189;56547604;7159;2048080;2045181;20451815;711;2617;2509;27600;11;-21120;0;41785323;41753376;208739435;6880;-436;0;232013;230170;1381016;126;-138;0;0;0;0;0;0;0;71482;71489;357439;75;10651017;10607028;64508378;4014;1442011;1422112;1410;12575;12615;18;1863260;1829009;2074;94910;87600;745;0;0;0;2493;1797;16;1744;528;7;-46;0;0;46909839;46870201;6877;34082101;34090901;6824;1160115;1163557;226;86872;86437;89;1245362;1252878;1286;71473;71381;71;10216666;10157621;3889;47341;47332;84;0;0;0;-11;0;0;17797;18132;33;10804666;10747747;7564;0;0;0;986476;984084;127;160904;160904;20;5572423;8462949;1692592;1006132;201225;65683;1425684;3559;712;0;0;0;712;2;0;3910031;782008;195468;39093;2343;740572;0;0;0;0;12372980;2474600;1201600;240318;68026;2166256;1245016;50491;1295507;12865;123;4;0;5572423;16155
Алтайский край;151309056;141513203;18449;17760953;17697174;176972303;3661;-6056;5884;64728;20;7544584;0;103967936;102268848;511342554;17197;-578;0;464008;461890;2771840;256;100;100;2199;3;24;24;121;1;154171;149415;747074;137;17127821;17115097;109943963;7188;3083790;3031416;2726;480592;482086;46;4291612;3794991;4329;112561;110763;1095;0;0;0;8301;6719;24;20126;1262;15;-34;11;6;138472869;128897319;17735;115569041;106021269;17640;1898334;1582428;440;835758;1151306;280;3445389;3452196;2634;153833;148905;135;16480029;16449823;6813;82858;83728;146;0;0;3;9210;108;2;1505016;1506178;275;14348621;14105931;18554;0;0;0;2881293;2823318;666;383721;388001;40;35134754;16503734;3300748;4508926;901784;435572;1963392;22;4;0;0;0;4;5;0;2359309;471862;893692;178738;3268;289856;0;0;0;0;18863043;3772610;5402618;1080522;438840;2253248;4133222;158237;4291459;0;0;0;0;35134755;1486775
Краснодарский край;587629170;587323381;37961;84931431;84862238;848622160;5346;11753;19792;217747;54;23682;0;372160896;371946565;1859857153;35925;18316;0;6133062;6105153;36633431;858;827;827;15104;3;5781;5357;26782;4;522710;494816;2474081;395;93450598;93356300;603198303;20269;25200483;24836887;8089;1693281;1726537;39;30375716;30217105;11397;756899;753560;1307;3667;3667;5;7791;7728;90;12410;2847;15;2;2;8;536591975;537142994;36166;395715474;396554359;35726;22202256;22267401;1840;2334175;2263048;418;29003052;30126989;7499;516485;488554;382;86256710;84873340;19147;552753;551623;406;9617;7447;7;1614;29;3;23199546;23214148;418;69014043;68149801;37541;0;0;0;40369586;40367089;1022;38749376;4028152;87;286311113;65479259;13095851;13432839;2686569;1804639;8604643;99899;19980;9326;1865;1897;16218;30;0;93435810;18687163;50577255;10115450;26581;8545132;0;0;0;0;158915069;31783014;64010094;12802019;1831220;17149775;7796598;8774713;16571311;135597;2042;38;0;286321059;23168892
Красноярский край;410845884;408027717;22932;11913064;11898233;118982338;2544;5498;5499;60488;17;406566;0;335572855;333149498;1665760309;22145;-1820;0;677388;691960;4151776;423;0;0;0;0;0;0;0;0;828062;824719;4123591;187;49305420;49289905;301279811;9911;10783588;10763764;4339;58995;58642;21;12122649;12119641;6374;512729;509974;1840;7314;7314;6;25;141;8;11034;3930;13;1038;897;8;300509247;299897831;21965;234403429;233804281;21827;7813750;7812662;540;254325;280959;147;12590816;12570932;4036;817761;814735;183;44187502;44119052;9505;465852;464750;345;0;0;0;-1236;762;2;6711388;6752352;318;125900634;123738742;23345;0;0;0;22041782;21725563;739;11444377;11436210;96;379285772;40803206;8160641;18728647;3745729;1091133;3323779;25860;5172;6885;1377;48;3747;49;0;55835462;11167093;10688010;2137602;8642;9020849;0;0;0;0;96638668;19327734;29416657;5883331;1099775;12344628;14606785;1415383;16022168;69159;0;4;0;379285774;6714985
Приморский край;219565045;219021682;17307;13214896;13288233;132882322;2670;1235;1239;13635;6;1475228;0;169628203;169646595;848225648;16571;91;0;823716;819110;4914646;226;310;310;8516;4;0;0;0;0;159857;159888;799443;118;26552626;26454284;165014587;7276;6238228;6203560;2718;177974;177974;28;7712544;7636044;3984;456637;417835;1245;418;599;3;382;382;3;14113;12635;3;66;66;2;208018181;207369992;16532;147986874;147488454;16239;27364726;27367938;2580;140665;140749;64;7562294;7558213;2607;157973;158004;115;24496096;24345261;6906;312917;310228;210;3;3;1;308;81;1;6688655;6619718;638;23111328;22798169;17313;0;0;0;17306105;16828080;910;2420479;2042629;70;145731867;62629337;12525867;26868239;5373646;550318;6601903;326812;65363;24337;4867;1;60495;7;0;82772537;16554508;43052262;8610452;117539;7826517;0;0;0;0;145401874;29080375;69920501;13984098;667857;14428420;18680472;11525486;30205958;4108;0;3;0;145731863;6587460
Ставропольский край;140387640;140183317;12526;15426450;15378034;153780351;2393;10523;10528;115798;11;163004;0;91537344;91605171;458025870;11770;2529;0;319121;325879;1955273;206;0;0;0;0;0;0;0;0;200742;184784;923915;162;27226219;27197318;187106365;5851;5027133;4997110;2194;35159;35322;13;5509029;5476190;3400;225472;215374;617;0;0;0;2683;2637;43;9952;2441;8;0;0;0;124314693;124533348;11721;90874071;91240608;11598;2475063;2466341;404;652898;651937;138;6117247;6111302;2046;250096;176647;152;23825500;23766956;5537;119820;119559;143;0;0;0;44;0;0;134944;152684;45;22245111;21737362;12698;0;0;0;5969227;5898624;277;1584171;1588789;32;30165529;20702289;4140457;4015345;803067;350562;2986828;46356;9272;2467;493;20;8759;26;0;4980934;996186;280747;56152;9171;930863;0;0;0;0;25683223;5136643;4296092;859219;359733;3917691;3513180;1884076;5397256;178523;8454;5;0;30165529;152577
Хабаровский край;138597508;138765714;10495;7752634;7736334;77363511;1366;1258;1258;13832;12;4373530;0;95378175;95312346;476559998;10118;65427;0;2567633;2620260;15721568;218;55916;55894;331356;8;0;0;0;0;231764;226545;1132724;99;21174599;21167246;128218758;4687;6977837;6964515;1864;22779;22076;13;7082265;7536637;2857;332590;328903;1490;0;0;0;59;59;7;10156;9985;3;42;2;1;124425690;124592836;9950;86900638;87164558;9831;1962144;1949394;450;2626987;2626987;41;7556448;7538849;1728;231503;226283;95;25058158;24997083;4539;89733;89290;143;0;0;0;2633;2415;2;3567097;3591699;198;25441275;25227026;11355;0;0;0;14832433;14504901;578;1619519;1619766;29;105800345;13301952;2660394;4455073;891013;290713;1478668;2244;449;304980;60996;0;-60547;7;0;2966852;593371;412120;82423;189238;321710;0;0;0;0;16268804;3253765;4867193;973436;479951;1800378;2366486;2069556;4436042;701723;29262;10;0;105801053;3574802
Амурская область;74219789;73428035;4080;3841043;3841560;38418323;882;52361;52673;579410;11;249987;1;42994710;42600592;213001443;3783;1028;0;83417;89053;534059;59;71;71;3196;1;0;0;0;0;290579;286527;1432629;38;8852128;8813925;54326814;1517;17586532;17478595;618;82;82;2;17854539;17730746;959;1047061;1038917;809;0;0;0;166;166;6;0;0;0;11;11;5;94761015;94266795;3875;69282983;68921593;3814;1262936;1260068;397;299880;300628;27;13429128;13422662;619;290971;286483;36;9599873;9486904;1398;595222;588440;66;0;0;0;0;0;0;2984582;2975312;107;9542650;9312906;4491;0;0;0;32026946;32076641;403;6145175;5945045;19;62185365;6707305;1341459;2013583;402715;375582;563162;115920;23184;806;161;1980;21043;4;0;81605018;16321003;48345193;9669038;187689;6464276;0;0;0;0;88312323;17662462;50358776;10071753;563271;7027438;103355758;0;103355758;0;0;0;0;62185365;2951936
Архангельская область;46074982;45150983;4060;2251469;2251027;22510286;571;17;17;187;5;16629;0;27790750;27789996;138949974;3930;6;0;321820;323483;1940893;113;18;18;90;2;0;0;0;0;316706;315482;1577413;69;10758442;10758589;65687614;1711;3974423;3085934;574;19842;21021;10;4618946;3698448;1114;97110;96505;1263;0;0;0;988;967;18;17212;0;1;245;1;0;42979289;42287940;3790;35327276;34654513;3753;701038;702521;46;54007;52589;21;1834933;1811539;472;310471;309385;69;4699488;4705040;1667;52037;52343;130;0;0;0;1993;0;0;1728328;1725740;64;11688763;11485447;5031;0;0;0;10190529;10240390;192;536237;535613;24;65466869;8790631;1758128;1253921;250783;209206;1298139;9413;1883;9344;1869;13;1;1;0;3784637;756927;103278;20655;6259;730013;0;0;0;0;12575268;2515055;1357199;271438;215465;2028152;899330;3057292;3956622;54513;0;2;0;55566747;1506630
Астраханская область;33035582;32858454;2982;891866;892485;8924869;433;1276;745;8201;12;11736;11;27315891;27255881;136276964;2740;-848;0;311372;310132;1860784;111;37;30;150;1;0;0;0;0;9099;9099;45493;17;3674898;3563082;22026493;1219;705177;687239;416;6964;6964;5;820319;804026;898;47804;47141;233;239;236;4;184;197;6;5541;0;2;0;0;0;23650550;23668934;2754;18769891;18853092;2702;649990;627648;146;9464;31915;34;1206421;1194162;421;9099;9099;17;2982722;2930269;1132;21867;21654;56;1098;1098;3;1112;0;0;4159123;4159441;202;11589760;11405412;2880;0;0;0;6369274;6323361;335;640775;640775;8;121859283;3960333;792077;371274;74253;27785;690039;6764;1353;403;81;183;1089;10;0;1823061;364614;453940;90788;5866;267960;0;0;0;0;5783394;1156691;825214;165041;33651;957999;594053;6104509;6698562;315892;10886;28;0;121859285;4142366
