"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103"
"11","Республика Коми","369739","238603","129600","1536","3060387","1649650","856853","856853","0","792797","667298","125499","145762","0","145762","66132","1198843","1196909","1834680","95453","1505","19180","50","69019","0","52654","6724","1691","0","1635","483088","551825","7933","99706","0","99706","1804","0","38177","34596","16515","2828","0","0","34","0","0","0","0","0","567","7075","15808","158","706","552","116","351181","893662","508126","68678","316858","242741","185002","821","56918","407746","776921","192599","482255","2308551","1969417","11202","7323","1373273","20495","120407","131174","67058","256948","16298","123185","11809","34573","29897","25197","449","4251","284810","559210","546290","2943","1688022","2192258","1920279","411125","72409","127141","25617","53343","0","14648","0"
"91","Республика Крым","613628","553600","40988","19040","176070","98118","58","0","58","98060","1650","96410","0","0","0","67568","10384","196","1565872","237601","84517","48931","0","143303","17047","8602","12253","1328","39","671","7735","4515","20271","586","0","586","324177","194","31989","131744","59688","0","0","0","143","1672","0","0","86","0","119880","19209","25347","627","287425","262660","3420","112351","709191","525469","123690","60032","367447","271757","3600","92090","1085313","3173878","725924","2242646","1738712","1121762","612732","9591","43","13124","10628","475836","117362","637894","146745","383252","14941","191183","556841","535913","13856","7072","651540","748751","601195","7234","2014807","2528897","2704719","398101","97575","197838","40751","107292","146","47531","0"
"12","Республика Марий-Эл","563708","514159","48941","608","9793","49","49","0","49","0","0","0","50","0","50","9205","490","0","2861673","493109","320243","76721","0","6570","0","15724","18170","57659","0","57492","71477","235651","17918","209532","17","209515","71084","15428","19200","39302","386868","0","0","0","0","416","0","0","119","119","403170","215040","342697","104772","3502","413","50","134800","287136","103347","41321","142468","86554","60549","6302","19703","316143","730605","251016","429507","393926","292746","365","4416","122052","13206","50","57872","30052","133796","8053","119474","10755","14580","37486","34849","195","2442","121827","176314","93147","1394","723561","975441","878250","170795","42915","65262","11774","31932","0","13650","0"
"13","Республика Мордовия","1095413","1071326","22499","1588","2022","0","0","0","0","0","0","0","243","0","243","1736","43","28","2746707","617870","295093","97702","60104","112425","49","8657","22343","2275","0","577","64328","8333","3786","0","0","0","10653","110702","87058","227872","449017","193","0","0","858","0","17629","0","256689","0","209855","302469","18253","35067","376543","2","44","79152","266368","234906","71","31391","88202","49228","2425","36549","381141","935242","232395","635848","513972","420056","260","7331","108895","0","0","50865","43051","116646","19129","113407","12122","14027","46847","29791","99","16957","201242","306522","174866","1742","728597","975642","988029","201493","59099","79060","16879","35209","26","17401","0"
"14","Республика Саха (Якутия)","538226","290582","222893","24751","10062314","2066369","1577837","1570825","7012","488532","327438","161094","3440025","12212","3427813","4008526","547393","75818","685236","175303","35934","56494","0","19984","6","1580","7262","7140","0","1651","22653","411","13696","0","0","0","46031","0","12887","157135","134475","16","0","0","25","1193","108109","107540","0","0","135","639","1589","1616","6947","6296","587","75747","2364676","1004769","6442","1353465","208412","140395","25200","42817","1055718","1385510","273613","1020930","3485422","1495669","215346","16435","522802","374303","508078","1021247","86125","229055","21835","339411","63207","45879","234576","206463","18595","9518","332758","1248544","370179","1801","2612041","5567157","3924545","1096755","146563","137787","19339","47519","115","34902","0"
"15","Республика Северная Осетия-Алания","155257","123380","2605","29272","16185","132","0","0","0","132","132","0","167","0","167","15747","140","92","313935","49796","19363","2734","64","46928","1306","4369","14449","173","67","50","1678","1169","3079","220","0","220","3355","201","10938","40327","64655","50","0","0","0","0","58715","0","99","0","41990","6578","897","37","8752","0","4","13038","213735","135746","62586","15403","127932","106725","6696","14511","170921","482473","95622","355443","182050","115221","1956","2980","35706","37","97","38011","28684","86491","11314","73106","8747","17167","15379","11568","198","3613","59455","115276","99345","726","549839","882145","855574","172326","41967","45133","7825","20561","395","24726","0"
"16","Республика Татарстан","2081007","1971895","100460","8652","5967134","3486664","167","167","0","3486497","3486497","0","70","0","70","56814","2423586","2422829","20695352","1412686","246781","367356","86880","274512","2953","74153","111639","22743","0","16631","203768","376511","42952","1021756","0","1021738","3364507","86835","1430262","649559","1965950","37887","0","0","148444","46740","1521","0","62858","12499","652748","1016520","1038733","4451802","1186333","407603","754498","1308430","2305369","1962181","12323","330865","595761","411892","15334","168535","8382160","9757750","3211368","4291835","7173073","5408052","100787","29390","1511016","143097","225123","1131921","264880","1144228","190239","2599326","109016","380138","1549680","1339760","138031","71889","1526769","4502048","2043746","69554","3480741","9502486","6717146","1604938","588185","537169","74452","240500","214","81262","0"
"17","Республика Тыва","90482","52911","37073","498","473000","99027","99027","99027","0","0","0","0","373973","10426","363547","0","0","0","138200","10646","1732","318","0","328","0","1346","874","158","0","94","5162","99","1451","0","0","0","132","0","174","114450","765","0","0","0","41","0","0","0","0","0","628","0","50","50","0","0","0","1887","135457","76841","169","58446","22882","12479","84","10319","69494","247139","16959","216211","119258","52693","253","1076","0","0","15224","32381","18960","33422","1857","63386","5587","34095","10779","9993","0","786","32782","131202","47639","236","705837","1079800","714053","149139","46908","24425","2880","12028","36","10699","0"
"18","Удмуртская Республика","924881","846984","59786","18111","1248825","402244","0","0","0","402244","402244","0","28785","0","28785","14124","803673","803673","9825109","568648","88241","268181","0","73236","462","21723","104648","11684","0","2835","378674","32758","36277","0","0","0","70581","6388","112833","199692","3942390","216458","0","0","8033","1549","2204","0","24233","18257","2206175","677607","573944","164444","241500","135","235492","401445","719196","430288","114736","174173","222900","92645","3884","126371","667116","2453598","630025","1556868","1238968","843296","7346","11776","143740","8211","80232","231711","75518","425379","31202","430375","19694","23467","156837","132709","6170","17958","467661","1102389","695906","3346","1187423","2809213","2368642","552918","116524","173138","34127","81807","5","33514","0"
"19","Республика Хакасия","92394","72151","17933","2310","868187","531861","531861","531861","0","0","0","0","326913","78039","248874","7264","2149","0","1244653","114669","16659","30288","0","156523","0","1705","4013","309","0","157","9650","4838","4262","0","0","0","1626","0","11740","84879","597303","78116","0","0","50","384","536605","653","0","0","312","564","14923","72963","18727","432","2","145647","343454","289821","0","53633","67215","39218","17710","10287","522832","627470","127940","433140","305101","189706","39545","2834","0","57","98","92234","23006","84833","19751","78015","13812","15228","40577","33265","5103","2209","116116","157971","219632","729","796034","1076738","818769","143122","34546","46992","8649","21558","0","11891","0"
"20","Чеченская Республика","88083","72726","14953","404","179299","11187","0","0","0","11187","11187","0","0","0","0","6029","162084","161910","128646","15162","3476","1442","0","6031","0","2342","8044","414","0","196","5491","377","1335","107","0","107","1261","0","7931","38352","7905","173","0","0","1149","0","0","0","0","0","417","981","2899","14460","50","0","0","15087","252832","137475","92493","22864","56399","40639","3402","12358","764662","912070","224742","642378","328924","223262","2301","7433","45640","674","6","33243","71739","84237","12553","91133","8844","28508","107651","8067","0","99584","82691","156953","110673","2767","862178","2368908","1153162","212796","76678","43124","7125","14057","50","11930","0"
"21","Чувашская Республика","430396","411364","16235","2797","13220","0","0","0","0","0","0","0","0","0","0","13220","0","0","5088037","533295","52495","53768","0","46934","0","45874","137069","29649","0","29157","110828","43655","23449","159","0","159","260530","533","59868","228525","747364","157","0","58","702","3111","0","0","189815","13238","637253","1006046","282898","457855","198512","62","55807","237741","410055","308892","64890","36273","141664","73255","18904","49505","916008","1669089","570022","910462","558824","407339","3207","18633","50790","32915","85","59289","59196","235819","22111","227131","10323","14405","47444","25429","9573","12442","292580","601552","198477","3259","781617","1618646","1580500","205005","45545","125748","26349","61596","66","19791","0"
"22","Алтайский край","1889761","1774656","106709","8396","295019","2023","2023","60","1963","0","0","0","247364","0","247364","45446","186","50","5896762","1193711","125683","286759","58843","195240","0","121462","24843","5067","0","2231","129123","29031","26121","331850","263152","68698","179331","207538","371898","203840","1110574","9166","0","0","1066","2519","10943","0","30022","14385","63415","94213","325356","362671","745822","5722","50","175656","1053222","788167","42009","223046","225502","151407","7753","66342","1003352","3751152","1137121","2302057","1102648","696322","29905","8959","25990","6011","0","294467","105848","369270","53551","285175","24146","47049","70777","57777","257","12743","424373","713900","405578","5092","2318936","3376668","3178295","366424","85807","178598","36334","90272","209","48302","0"
"23","Краснодарский край","5413243","5287810","49000","76433","578175","387588","57","57","0","387531","232040","155491","14","0","14","89714","100859","43270","8578265","2805023","260587","380368","444218","447583","4234","67201","136663","36806","674","33524","63988","139152","92379","554406","0","554406","292105","94262","255901","841687","1405671","531021","0","0","6898","52010","29287","42","2140","1113","49018","93831","464267","15376","159634","41805","1620","559078","2094881","1293288","408441","393152","1250898","680235","61478","509185","6727682","26995913","3901307","21976966","9663709","3949156","94938","58119","1311890","89764","69651","5267732","287406","3103798","1338621","1722312","56245","658504","909360","715556","56987","136817","2478409","4496424","1991643","28397","4946763","8961642","9432177","2331029","882461","739622","153719","400451","413","216878","0"
"24","Красноярский край","1849530","1175167","640342","34021","7087545","1495913","546657","10532","536125","949256","743460","205796","2436302","101","2436201","69259","3086072","3055829","13479890","453914","107223","98655","50","49635","0","23158","29529","8653","0","7916","585431","8579","25163","386561","0","386561","390507","33929","105071","543934","7228574","1263","0","0","188","43961","6545101","429354","12415","11857","395980","170894","190963","203018","753155","12447","387405","1893242","3891456","3366316","53148","471991","959358","260300","136963","562095","3854860","5874004","2023090","3250505","9616900","5186564","2539792","124425","173107","610015","696729","2926534","197058","998676","115769","895815","63341","177790","131209","109329","2604","19276","932285","3872794","1897750","13525","4660119","7645044","6270616","1527440","525113","342943","73982","156863","1267","67507","0"
"25","Приморский край","1725960","335242","278401","1112317","540596","252560","252560","14593","237967","0","0","0","196271","7","196264","91535","230","131","4096295","624571","211964","41179","50","54384","10","18167","16465","997","0","732","219239","13364","28991","0","0","0","148975","25916","36661","334335","137414","13473","6046","0","49","1549","5490","0","51402","0","132434","12723","86755","38738","1169808","395065","622109","996348","1402069","938983","4653","458434","335115","235322","9438","90355","1384280","7261179","1668793","4942551","4970561","799540","81077","15662","167396","400205","142995","3461139","166682","459363","92197","760200","15935","210932","784387","751740","15215","17432","732059","1756484","741904","9991","4191743","4014615","3841818","668496","189037","238977","50191","116350","341","56785","0"
"26","Ставропольский край","3086417","3052103","18529","15785","129005","106866","0","0","0","106866","89500","17367","0","0","0","14919","7220","7170","3299663","484708","63809","154996","17427","188937","158","19355","91128","34125","4155","27339","13286","7521","66249","411","0","411","745333","74805","90873","211215","336141","22582","445","0","1940","962","4743","0","898","849","282495","232257","79137","51967","45102","0","626","244460","1525500","978559","297504","249436","441380","350656","2891","87833","1398273","3704834","1196268","2178303","1954644","1115950","1397","24133","383943","140","894","702778","134882","482307","64530","335542","18292","40459","115592","75716","1606","38270","540239","895222","483731","7566","2220196","3318814","4274127","454895","122769","231049","46295","112716","208","88063","0"
"27","Хабаровский край","720221","100607","273544","346070","2131249","470565","470565","470565","0","0","0","0","1595148","0","1595148","60992","4543","0","3973382","251210","64463","16519","0","13558","0","3337","12833","216","0","167","85375","3274","13137","551794","0","551794","62494","67305","55234","222965","567239","221338","0","50","1635","250","207454","207454","19320","0","1797","2934","21930","7900","1865509","365516","1498753","163341","2226301","1865011","122175","239116","351793","229514","10692","111587","2257313","3564521","1382896","1910236","9566747","7535418","6391757","8122","549712","95359","168172","1658370","109428","331896","42380","474478","16644","256236","49783","37121","2945","9717","537372","1389506","938629","6275","4397648","2889134","2901780","565930","201004","218477","33987","105081","99","34841","0"
"75","Забайкальский край","237120","92461","143458","1201","2693392","168293","167958","8480","159478","335","0","335","2232120","35137","2196983","50808","242172","0","1262379","82937","26774","7780","0","11371","0","1617","2708","867","0","669","8965","58","3603","0","0","0","533606","117","6219","56050","423524","321","0","0","58","744","380082","1390","1095","0","150","322","8364","0","51546","36","0","70355","655613","470898","1057","183658","96087","55935","7162","32990","1161375","1135915","237584","782963","5363123","4767812","4486925","6436","0","101","11053","527342","56815","208180","18876","116431","6641","26401","77111","64725","10706","1680","229781","760312","339347","4328","2221343","2455244","2282884","313569","50327","98088","15912","34677","86","21214","0"
"28","Амурская область","789311","675571","113288","452","2406624","142780","142780","47700","95080","0","0","0","2218474","0","2218474","41047","4323","0","926086","271844","37208","111121","0","6314","0","1635","3182","20","0","0","7673","2253","2714","257","0","257","322477","0","10969","58301","101252","167","0","0","23","402","0","0","50","0","244","1999","1667","62","66262","39702","0","66961","852261","466262","5992","380007","79037","31566","7078","40393","1992534","1277323","336713","795164","784392","488032","143595","5818","79553","25238","10820","202425","57877","163617","18317","105637","5142","26669","590429","584654","687","5088","219822","1166795","297927","1484","1590852","1646338","1665622","205171","41085","86231","13550","47327","116","15957","0"
"29","Архангельская область","785703","114871","468655","202177","471258","0","0","0","0","0","0","0","3512","0","3512","467697","50","50","6509207","168570","35316","26790","0","24652","0","4812","7681","284","0","141","591348","930371","9229","0","0","0","42369","13482","8577","42007","125514","0","0","0","0","88","2710","0","7093","0","76991","2371","84000","540","4227017","4196447","30241","149392","594685","355501","59315","179869","151534","109275","10499","31760","622799","1191181","251793","804375","1635042","499192","25183","6877","125704","194505","234624","618963","87758","254349","25641","188873","18948","42706","137383","128414","234","8735","370853","542045","229948","1306","2218740","2337997","2309145","380132","66741","142727","25380","74037","0","17206","0"
"30","Астраханская область","380549","304595","3195","72759","658083","599666","0","0","0","599666","249938","349728","0","0","0","10689","47729","47729","699351","80761","7760","1311","50","3464","0","22824","9375","11479","0","11311","3504","4940","6391","358","0","358","6572","0","17296","37311","69164","2940","0","0","38564","0","0","0","3483","0","2547","99","543","0","322263","272977","370","100460","368727","282667","8134","77926","155481","106008","2670","46803","528528","984549","204005","707282","703332","264983","63633","14622","78417","83966","0","309497","44886","171192","26744","106635","5727","19024","33678","28702","600","4376","146766","366139","197658","2558","1117659","1296976","1485285","212551","72722","83233","17917","40107","119","25720","0"
"31","Белгородская область","3922368","3893869","13786","14713","2392162","0","0","0","0","0","0","0","2378133","2378133","0","13898","131","131","5574651","1539212","258299","220087","147988","34878","174","28305","20905","6621","0","1397","15700","113507","67796","200","0","200","115586","67052","81696","515082","1651495","971151","0","0","108","15427","3312","567","3160","0","116515","43837","775615","120076","32499","67","26997","227900","742838","389409","159711","193718","241018","130231","5225","105562","1502241","2249863","988454","1023232","1303602","999569","7625","17763","20698","85","50","229274","74624","264243","32022","319726","25590","33173","102225","81408","1178","19639","331321","928652","493587","1651","1293130","2670538","1963118","499038","99704","173149","34771","70646","99","33631","0"
"32","Брянская область","1416558","1366816","48573","1169","3221","12","12","12","0","0","0","0","0","0","0","3185","23","23","3281367","489362","27155","237785","15010","41874","42399","9147","69611","7354","0","6544","72210","117673","8085","81","0","81","67305","68","57678","316958","742315","0","0","0","748","174","11924","0","217689","2243","-24591","117137","181115","292485","440105","50","28527","232996","469227","228990","104622","135615","121199","84360","5935","30904","570913","1768903","536045","1014289","1112529","932595","2009","12633","475975","14","0","107680","72240","164890","20661","177556","13585","13819","36793","32849","338","3606","267638","289359","355122","1643","974698","1404612","1491928","227602","76668","112238","23524","54466","50","20205","0"
"33","Владимирская область","489152","413914","71969","3269","143562","0","0","0","0","0","0","0","6","6","0","143506","50","0","8420555","1639213","835291","65115","0","32635","0","188265","111555","15173","0","12125","285274","43200","31313","190","0","190","178584","462831","365607","466750","1659776","188","0","0","35809","8900","24127","50","40468","34546","598646","485004","710562","222633","354806","2462","70503","568538","682730","390512","125361","166857","203309","121540","25433","56336","522057","2210456","735969","1259620","1205416","937791","4972","19834","34980","733","586","204659","61647","232770","46742","227869","12865","44193","61804","32454","8268","21082","564296","1438325","319455","3148","1300344","1865635","1929027","353943","83786","154952","36595","67006","1771","27669","0"
"34","Волгоградская область","1434987","1382581","35590","16816","52985","15012","0","0","0","15012","3638","11374","0","0","0","15842","22131","22131","6381108","581547","29436","103163","0","13834","46836","92940","22150","2301","0","431","12866","10957","39669","325093","0","324973","1535249","11255","280143","679432","1796928","423764","0","0","767829","1465","226732","0","17589","191","73856","34799","472045","70198","18638","15126","0","260372","1141467","688033","241123","212311","283449","187938","12816","82695","1069086","2575331","759727","1470089","2032299","1320768","13392","17042","481875","30283","148","565919","115181","408145","28910","450998","22231","50466","74895","59275","2056","13564","531568","1939121","603346","6714","2087568","2779327","3256536","384412","108721","235538","46338","96684","67","74213","0"
"35","Вологодская область","1091768","545241","531140","15387","11211","0","0","0","0","0","0","0","0","0","0","11107","104","104","8366263","452998","42413","182070","0","29134","0","7309","13890","936","0","147","487476","153730","13911","13885","13872","14","2538480","25730","38030","119416","3421756","2583157","0","0","25026","250344","8154","0","1919","1280","38249","23959","215460","57008","11658","8692","198","703248","699034","438741","85517","174776","272765","117845","5737","149183","1055439","2108947","1048983","835098","1436100","683463","23384","7443","236693","14879","97576","568360","71822","283701","18959","441864","28028","23939","183056","169622","1064","12370","319159","717241","320443","1815","1388206","1777938","1879844","377837","152466","171532","28434","100028","7","29466","0"
"36","Воронежская область","2614959","2561327","43391","10241","271379","0","0","0","0","0","0","0","0","0","0","150756","120624","118981","6143780","2081924","115567","397214","179435","59479","0","12061","48763","4562","0","2832","34837","26302","55224","0","0","0","495012","9119","167438","538569","724482","3742","0","408","124568","95","38764","0","50478","31297","315298","312766","582096","5259","376902","3402","157932","293687","1460606","989219","184719","286668","235003","163723","8887","62393","1529310","4481431","2072938","1921306","4208197","3466564","2297815","14730","126185","510","545","631981","108597","402656","44922","515022","29229","98460","129552","75038","30898","23616","637883","1629787","959955","5118","1903219","3957802","3711595","501341","179892","277604","62155","115970","158","75564","0"
"37","Ивановская область","199433","177138","21782","513","36805","0","0","0","0","0","0","0","134","0","134","24696","11974","0","2582991","212725","11101","27635","0","4990","55","810183","371467","2433","0","1176","86231","7729","14245","0","0","0","83389","28526","91577","47220","239854","5270","0","0","0","1217","1539","0","27960","27500","128447","53678","135953","84253","131","4","9","179905","489183","250726","85311","153146","128719","69385","7427","51907","424349","1170581","439398","644233","401626","280459","21823","10860","25573","1083","0","69536","50548","129977","22506","141803","11567","33128","40543","24672","6159","9712","234913","372518","195015","891","880661","1250357","1129605","204542","58186","100807","19790","57274","99","20490","0"
"38","Иркутская область","1507908","835268","668867","3773","6251029","2688065","429501","190130","239371","2258564","1788080","470484","2523469","244782","2278687","95014","944481","941272","8059270","327227","35520","19339","0","46630","1130","6863","25383","4577","113","4043","650678","887488","20774","778847","0","778847","972505","209962","81643","286344","1731663","59958","0","0","0","433","1463642","100615","5581","5581","14581","209899","140010","61566","1306697","1537","1303383","294803","2250951","1877559","10341","363051","373566","240929","12164","120473","2397826","4140299","1383958","2291469","9186652","7433957","5264173","14805","1074565","107017","277251","1237162","131265","592160","124207","402249","24555","90597","168872","145978","2541","20353","623648","2129377","1208243","8402","3915468","6281013","4219932","671118","167609","272601","46128","119541","195","62611","0"
"39","Калининградская область","667196","393235","6061","267900","276324","111111","0","0","0","111111","108585","2526","0","0","0","160063","5149","5114","2264098","715308","224557","48169","0","34891","31540","35336","14321","3981","0","3292","19092","54616","9329","0","0","0","50067","37546","49652","105859","245854","484","0","0","5762","3199","257","0","883","0","37935","55915","62991","95366","408941","403623","107","195558","419940","211316","73090","135534","191924","137860","18147","35917","1031734","2530636","573700","1749108","1412577","748602","264716","8530","20845","93718","916","491328","78013","440204","82372","294605","12262","13202","1108723","1093984","1503","13236","372170","856426","407812","7401","1450992","1539396","1609503","321777","118789","157305","31537","72883","1","37255","0"
"40","Калужская область","782201","736467","42566","3168","67087","0","0","0","0","0","0","0","0","0","0","58636","8451","50","7345058","1051979","580651","100752","0","25485","21280","24678","103463","10920","0","10404","141700","465609","11063","23235","0","23235","156038","205820","361052","763973","1463662","152605","0","0","2275","1205","38251","0","79853","73023","586891","231758","484574","540148","477479","37408","118970","194251","531471","244586","139853","147032","183713","104557","7898","71258","938820","1916073","902582","752943","782428","508691","10474","16561","46787","99","20276","189603","63759","245637","35821","291170","19393","24151","184594","174285","1533","8776","380009","1217211","326932","9810","1239649","1689099","1271348","279676","83598","131398","23061","58664","60","20582","0"
"41","Камчатский край","2670219","82699","39615","2547905","363390","4694","4694","0","4694","0","0","0","343990","0","343990","8589","6116","3889","515243","320376","16808","35602","0","14791","0","1279","1629","50","0","0","1931","110","3007","0","0","0","528","0","2240","10359","12375","43","0","0","0","746","0","0","50","0","68","121","6100","0","2755","2755","0","137524","855783","687022","4029","164733","171881","132679","1862","37340","297961","673790","233875","384684","748967","206558","99","3127","22588","28033","125027","349466","39883","135175","50014","91303","4180","28922","26771","25414","0","1357","130676","545621","177277","1775","1908669","1351086","1310504","276197","66675","67465","10886","33436","0","7899","0"
